	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.V1D1.1226.SM.4JBI5	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.12WSJ.0826.SM.5PNWV	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZVP2.1426.SM.5NQ7P	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.148VI.1226.SM.5RQJR	GTEX.13PL7.0526.SM.5J2MQ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XGQ4.1626.SM.4AT6J	GTEX.X15G.1026.SM.4PQZF	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.U3ZH.1126.SM.4DXUG	GTEX.QLQW.0626.SM.447A6	GTEX.11LCK.1626.SM.5PNYB	GTEX.ZY6K.0526.SM.5GZY9	GTEX.139YR.1626.SM.5IJGK	GTEX.WRHK.0426.SM.4MVOG	GTEX.VJYA.0626.SM.4KL1S	GTEX.UPIC.0626.SM.4IHK2	GTEX.ZAB5.1026.SM.5HL91	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.P4QT.0726.SM.3NMCM	GTEX.UJMC.1026.SM.4IHKN	GTEX.V1D1.1126.SM.4JBHT	GTEX.148VJ.1126.SM.5NQBZ	GTEX.X5EB.1426.SM.46MVW	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	GTEX.XPVG.1326.SM.4B65P	TCGA.B0.5696.01A.11R.1541.07	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.131XF.1926.SM.5DUW4	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13O61.1126.SM.5L3FI	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.TMMY.2226.SM.4DXTN	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.ZXES.0726.SM.5E451	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.13W3W.1426.SM.5LU56	GTEX.12WSK.2026.SM.5CVNB	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
RP11-1212A22.4	2367.9	1806.78	400.71	1870.53	2434.5	1781.89	1059.11	2434.5	1268.46	1781.89	1991.0	819.3	1519.15	2609.3	3146.52	4802.93	1617.0	4095.0	5292.48	2835.7	2835.7	2835.7	2664.15	1498.22	2777.33	3060.45	2796.65	3614.55	7803.01	3081.75	3901.01	4836.35	2502.97	4450.27	3443.31	4181.07	5403.7	3325.99	3716.2	4181.07	3716.2	3639.7	2609.3	2367.9	3768.09	3212.66	2591.27	2997.45	1977.24	2287.2	1794.29	2224.63	4210.15	4038.61	2303.12	3146.52	2367.9	2255.7	2701.35	346.29	1340.84	842.36	1286.18	848.22	713.11	1199.98	902.89	1733.13	698.41	796.86	1242.34	974.5	713.11	2384.37	2075.59	1685.71	518.15	493.56	764.36	1167.14	848.22	708.18	2178.83	1594.73	2555.58	1709.26	1551.09	1529.73	1857.6	1769.57	536.45	1304.15	872.1	2400.97	1044.52	1572.76	1350.18	1639.59	2537.92	1529.73	3589.58	1447.15	1674.06	1909.85	1605.83
RP11-295P9.3	103.69	84.04	44.25	90.77	69.52	191.67	96.01	65.26	126.12	103.69	78.89	60.82	163.28	312.0	198.47	212.78	346.29	181.28	351.14	190.34	551.56	423.61	346.29	68.55	785.88	332.14	514.56	309.83	713.11	414.87	616.37	483.38	571.05	309.83	373.81	426.57	708.18	493.56	511.0	239.52	409.15	543.96	305.55	275.28	236.21	450.94	381.68	432.53	988.12	466.88	202.66	107.38	329.84	547.75	688.78	409.15	206.94	387.02	638.15	30.12	105.89	102.25	40.36	42.71	74.58	55.49	99.43	41.22	63.0	71.5	100.13	42.41	51.71	356.05	162.14	221.86	53.19	69.03	23.93	63.45	122.64	81.14	271.48	115.97	157.68	198.47	102.97	114.36	191.67	173.85	105.15	52.82	63.0	182.55	167.9	217.27	69.52	124.37	241.19	79.45	336.79	100.83	182.55	236.21	88.26
RXRB	723.08	718.08	507.46	796.86	684.02	679.29	647.07	718.08	769.69	775.05	536.45	825.0	1001.93	1233.75	1030.12	743.43	1313.23	1081.39	1135.2	1044.52	1551.09	1457.23	1066.48	595.34	1844.76	1259.69	1242.34	1216.75	1781.89	1259.69	2555.58	1447.15	2032.85	1268.46	1651.0	1159.07	1674.06	1561.89	1794.29	1242.34	1286.18	1674.06	872.1	954.43	1216.75	1350.18	995.0	1498.22	1977.24	1572.76	1073.91	718.08	1745.2	1721.16	2018.8	1437.15	1023.0	1388.16	1757.34	503.95	921.88	813.63	813.63	563.18	954.43	759.08	921.88	748.61	567.1	808.0	872.1	842.36	543.96	665.29	878.17	1135.2	854.13	728.11	543.96	728.11	791.35	854.13	1096.5	947.83	1015.93	791.35	693.58	647.07	1268.46	967.76	791.35	450.94	848.22	723.08	866.07	1073.91	665.29	825.0	780.44	708.18	1037.29	896.64	974.5	1407.55	511.0
SEC61A2	120.94	154.42	124.37	88.88	78.89	88.26	114.36	84.04	94.67	107.38	76.71	120.1	113.56	170.25	173.85	248.0	172.65	202.66	181.28	215.77	194.36	229.72	154.42	80.57	251.48	214.27	201.25	151.22	231.32	181.28	309.83	232.94	312.0	183.82	318.57	185.11	297.17	323.03	241.19	201.25	231.32	223.41	89.51	197.09	234.57	172.65	129.69	214.27	287.01	182.55	139.07	126.12	217.27	236.21	429.54	301.33	143.01	171.45	218.79	31.0	158.79	126.12	93.35	80.01	122.64	102.25	130.6	100.13	96.01	90.77	223.41	137.14	60.82	204.07	137.14	111.99	101.54	103.69	81.14	111.21	76.17	72.52	215.77	151.22	79.45	135.24	69.52	92.7	127.0	123.5	86.43	64.8	66.18	61.68	67.12	117.6	36.53	98.04	143.01	60.82	165.57	112.77	121.79	123.5	45.21
SFSWAP	426.57	368.65	551.56	525.39	309.83	567.1	381.68	406.31	486.75	435.55	384.34	473.41	607.87	759.08	723.08	825.0	785.88	551.56	713.11	738.29	791.35	684.02	555.41	285.03	819.3	848.22	612.11	718.08	872.1	629.35	1096.5	759.08	1088.92	796.86	1023.0	624.99	780.44	934.76	713.11	620.67	703.28	890.44	567.1	651.58	764.36	698.41	503.95	753.83	1143.1	743.43	633.73	379.04	854.13	753.83	928.3	791.35	587.13	713.11	941.27	277.2	438.59	356.05	403.5	417.77	373.81	297.17	503.95	536.45	301.33	417.77	583.07	426.57	242.88	547.75	575.03	521.76	460.44	426.57	346.29	403.5	473.41	376.41	819.3	669.92	620.67	633.73	547.75	457.25	708.18	743.43	638.15	563.18	532.74	559.28	497.0	769.69	426.57	529.06	591.22	595.34	547.75	603.67	669.92	713.11	466.88
SIN3B	327.56	373.81	651.58	620.67	295.11	575.03	373.81	417.77	466.88	417.77	460.44	429.54	791.35	872.1	1250.98	1208.34	1909.85	1073.91	1407.55	1277.29	1594.73	1388.16	967.76	291.04	1794.29	1498.22	1051.79	1268.46	1963.57	954.43	2319.15	1286.18	2133.97	1143.1	1781.89	890.44	1583.71	1639.59	1437.15	1572.76	1295.13	1447.15	775.05	748.61	1551.09	1529.73	753.83	1388.16	1950.0	1417.35	921.88	884.29	1883.54	1662.49	2004.85	1709.26	842.36	1159.07	1781.89	217.27	540.19	693.58	540.19	974.5	595.34	376.41	743.43	536.45	420.68	547.75	1208.34	603.67	371.22	974.5	764.36	915.51	392.44	493.56	232.94	447.82	764.36	738.29	1561.89	974.5	591.22	819.3	624.99	559.28	934.76	1066.48	941.27	194.36	813.63	540.19	567.1	995.0	693.58	651.58	460.44	612.11	866.07	1277.29	954.43	909.17	575.03
SMARCC2	476.71	733.19	974.5	571.05	638.15	620.67	954.43	1135.2	1081.39	1175.27	988.12	1167.14	909.17	1331.57	872.1	1397.83	1685.71	1583.71	1388.16	1369.04	1594.73	1225.22	1268.46	343.89	1340.84	1685.71	1407.55	1572.76	1832.01	1277.29	1674.06	1369.04	1617.0	1159.07	1963.57	1233.75	1721.16	2075.59	1397.83	1183.45	1508.65	1487.87	1096.5	1044.52	1477.58	1674.06	1259.69	1407.55	1369.04	1378.57	1119.56	1001.93	1769.57	1322.37	1322.37	1685.71	1183.45	1427.22	1322.37	532.74	1059.11	1388.16	728.11	796.86	988.12	708.18	1135.2	759.08	764.36	825.0	1119.56	703.28	669.92	1295.13	1250.98	1250.98	1167.14	830.75	703.28	896.64	1225.22	1111.82	1628.26	1030.12	934.76	579.04	830.75	575.03	981.29	642.59	791.35	412.0	819.3	921.88	819.3	1467.37	454.09	860.08	748.61	934.76	796.86	718.08	1167.14	1175.27	579.04
SZT2	199.85	173.85	255.0	271.48	201.25	206.94	220.32	209.84	217.27	253.23	194.36	201.25	221.86	339.14	353.59	341.51	387.02	320.8	432.53	525.39	503.95	470.14	334.46	159.9	551.56	400.71	320.8	406.31	525.39	368.65	463.65	521.76	483.38	358.54	497.0	387.02	555.41	555.41	384.34	406.31	409.15	397.93	334.46	305.55	406.31	429.54	334.46	368.65	486.75	417.77	283.05	232.94	466.88	503.95	555.41	547.75	389.72	351.14	483.38	102.97	172.65	242.88	220.32	217.27	194.36	159.9	204.07	140.04	108.9	162.14	218.79	155.5	140.04	371.22	320.8	305.55	258.57	273.37	153.34	197.09	199.85	171.45	277.2	241.19	229.72	249.73	242.88	181.28	279.14	356.05	237.86	138.1	217.27	202.66	190.34	295.11	224.97	215.77	183.82	163.28	221.86	182.55	195.72	339.14	137.14
TAF1C	376.41	470.14	435.55	323.03	305.55	638.15	336.79	353.59	466.88	343.89	358.54	363.56	583.07	743.43	1233.75	1044.52	1369.04	591.22	1051.79	1378.57	1388.16	1427.22	974.5	493.56	2133.97	1304.15	842.36	1151.06	1870.53	995.0	1857.6	1331.57	1844.76	1259.69	2163.77	1331.57	1977.24	1781.89	1427.22	1199.98	1628.26	1250.98	866.07	1023.0	1369.04	1487.87	934.76	872.1	2018.8	1639.59	633.73	497.0	1487.87	1340.84	1561.89	1359.57	698.41	1295.13	1572.76	289.02	480.04	384.34	241.19	371.22	351.14	325.29	599.49	371.22	256.78	395.18	603.67	295.11	232.94	599.49	595.34	748.61	363.56	454.09	301.33	392.44	447.82	432.53	1051.79	703.28	642.59	759.08	525.39	669.92	836.53	921.88	836.53	503.95	738.29	693.58	595.34	1819.35	647.07	808.0	532.74	884.29	802.41	575.03	961.07	896.64	412.0
TCERG1	483.38	470.14	423.61	583.07	395.18	688.78	397.93	460.44	420.68	490.14	473.41	525.39	579.04	728.11	819.3	830.75	1044.52	728.11	1096.5	1051.79	1023.0	1066.48	703.28	384.34	1208.34	872.1	1059.11	872.1	1340.84	866.07	1322.37	921.88	1350.18	1143.1	1096.5	791.35	1015.93	848.22	1015.93	848.22	1023.0	961.07	819.3	748.61	785.88	642.59	723.08	860.08	1508.65	860.08	775.05	525.39	1088.92	1286.18	1685.71	1175.27	633.73	1066.48	1322.37	242.88	547.75	420.68	376.41	275.28	358.54	293.07	414.87	414.87	432.53	336.79	612.11	503.95	281.09	1304.15	543.96	540.19	395.18	420.68	279.14	395.18	563.18	299.25	1208.34	669.92	476.71	651.58	551.56	587.13	878.17	708.18	563.18	412.0	403.5	543.96	575.03	753.83	483.38	536.45	638.15	473.41	848.22	607.87	748.61	981.29	403.5
THOC1	454.09	432.53	279.14	414.87	212.78	497.0	267.73	327.56	327.56	351.14	325.29	320.8	470.14	466.88	470.14	679.29	796.86	551.56	785.88	651.58	1051.79	579.04	688.78	351.14	961.07	629.35	836.53	607.87	1081.39	679.29	1233.75	808.0	1233.75	854.13	995.0	743.43	1322.37	947.83	1044.52	764.36	660.68	753.83	555.41	417.77	785.88	629.35	555.41	612.11	1369.04	866.07	476.71	305.55	796.86	1277.29	1447.15	759.08	432.53	660.68	1008.9	163.28	356.05	253.23	325.29	312.0	242.88	228.13	301.33	371.22	299.25	253.23	486.75	236.21	198.47	616.37	348.71	397.93	281.09	226.54	142.01	195.72	231.32	246.28	802.41	463.65	571.05	444.72	356.05	323.03	703.28	511.0	406.31	392.44	371.22	373.81	379.04	514.56	368.65	332.14	514.56	483.38	698.41	507.46	583.07	651.58	392.44
THOC2	336.79	612.11	780.44	819.3	759.08	738.29	660.68	780.44	642.59	620.67	693.58	785.88	698.41	723.08	1143.1	1407.55	1143.1	921.88	1066.48	915.51	813.63	1477.58	796.86	656.11	1617.0	1697.45	1044.52	674.59	1073.91	808.0	1023.0	1369.04	896.64	1628.26	1183.45	791.35	902.89	1417.35	813.63	665.29	2004.85	1073.91	836.53	1819.35	1066.48	1191.69	748.61	718.08	854.13	1487.87	738.29	575.03	934.76	1001.93	1977.24	1685.71	1277.29	981.29	1001.93	392.44	688.78	743.43	575.03	909.17	503.95	540.19	579.04	480.04	764.36	629.35	1044.52	688.78	599.49	1322.37	698.41	579.04	457.25	473.41	450.94	406.31	603.67	486.75	1242.34	819.3	753.83	607.87	620.67	603.67	954.43	1191.69	713.11	441.64	454.09	540.19	583.07	967.76	476.71	674.59	738.29	909.17	688.78	587.13	1183.45	1023.0	854.13
TNRC6A	283.05	269.6	463.65	309.83	191.67	351.14	343.89	348.71	312.0	420.68	248.0	289.02	435.55	813.63	551.56	819.3	878.17	669.92	848.22	1008.9	878.17	967.76	748.61	177.53	1073.91	896.64	890.44	769.69	941.27	723.08	954.43	764.36	1066.48	785.88	1151.06	854.13	1143.1	961.07	902.89	612.11	842.36	954.43	540.19	830.75	836.53	896.64	624.99	723.08	1059.11	854.13	620.67	414.87	974.5	791.35	1111.82	1119.56	660.68	941.27	1037.29	154.42	389.72	412.0	287.01	241.19	387.02	248.0	318.57	264.03	283.05	242.88	366.09	239.52	237.86	1104.13	500.46	665.29	417.77	583.07	214.27	507.46	633.73	285.03	878.17	420.68	379.04	579.04	376.41	356.05	529.06	567.1	438.59	132.44	301.33	511.0	441.64	684.02	277.2	450.94	397.93	242.88	543.96	260.38	620.67	551.56	256.78
TSSK4	15.8	22.26	10.31	17.38	12.83	18.97	24.99	27.44	33.78	32.82	18.03	40.64	20.56	67.12	52.82	56.68	78.89	52.82	73.54	84.63	73.03	95.34	37.05	15.22	91.41	84.04	50.27	87.03	119.26	43.63	103.69	85.82	37.85	47.17	66.65	57.08	75.11	112.77	81.71	51.71	100.83	94.67	49.56	37.85	44.57	85.82	70.51	80.01	62.12	88.88	53.19	25.35	97.36	115.97	75.64	88.88	76.71	84.63	80.01	6.84	30.12	36.01	4.24	5.15	8.51	27.25	41.81	7.51	18.7	10.39	28.24	12.55	33.3	79.45	85.22	45.21	13.93	37.85	14.35	38.4	31.45	23.42	84.63	16.51	22.92	24.28	42.11	24.99	42.41	38.12	13.52	1.79	27.84	52.08	40.93	41.81	11.3	60.82	22.26	12.93	37.05	14.03	48.87	37.85	10.47
TTLL3	130.6	283.05	314.17	403.5	221.86	348.71	175.07	193.01	457.25	320.8	236.21	226.54	713.11	688.78	497.0	961.07	1250.98	674.59	1295.13	674.59	2163.77	1277.29	890.44	379.04	2018.8	1088.92	1551.09	1350.18	1685.71	1191.69	1963.57	1437.15	1594.73	1388.16	1870.53	1662.49	3018.3	1388.16	2303.12	1674.06	1268.46	1008.9	599.49	733.19	1331.57	1923.14	808.0	1225.22	3847.29	1388.16	934.76	599.49	1397.83	1806.78	2434.5	1051.79	896.64	1407.55	1757.34	84.63	521.76	384.34	397.93	414.87	591.22	283.05	420.68	493.56	134.3	229.72	854.13	226.54	146.03	785.88	490.14	514.56	397.93	450.94	105.89	182.55	525.39	197.09	1127.35	503.95	713.11	679.29	507.46	279.14	769.69	511.0	269.6	90.14	463.65	329.84	555.41	540.19	273.37	473.41	444.72	616.37	595.34	612.11	684.02	1030.12	234.57
TUBGCP6	414.87	320.8	295.11	361.04	202.66	400.71	204.07	316.37	426.57	260.38	289.02	287.01	417.77	507.46	624.99	665.29	738.29	567.1	890.44	808.0	1199.98	872.1	669.92	307.69	1427.22	785.88	748.61	660.68	1250.98	693.58	1143.1	934.76	1081.39	830.75	1407.55	796.86	1519.15	1388.16	1104.13	848.22	988.12	1066.48	493.56	529.06	1088.92	995.0	473.41	748.61	1268.46	974.5	521.76	353.59	1304.15	1225.22	791.35	1037.29	532.74	764.36	1208.34	161.02	316.37	351.14	301.33	209.84	318.57	379.04	332.14	289.02	232.94	289.02	406.31	187.71	253.23	457.25	414.87	575.03	251.48	239.52	123.5	169.07	275.28	356.05	633.73	500.46	559.28	361.04	323.03	195.72	507.46	420.68	412.0	251.48	406.31	307.69	409.15	438.59	291.04	314.17	423.61	339.14	825.0	536.45	432.53	563.18	358.54
UBAP1L	40.93	18.43	34.26	37.59	18.16	34.26	38.67	21.78	43.02	42.71	21.94	36.53	52.45	51.35	54.72	66.18	82.87	69.52	90.77	45.53	111.99	99.43	71.0	80.01	140.04	111.21	66.18	66.18	111.99	72.52	141.02	110.43	148.09	68.55	137.14	51.71	223.41	113.56	118.43	75.11	98.04	137.14	36.01	55.89	58.3	143.01	80.57	75.11	199.85	94.67	61.25	38.12	158.79	72.52	161.02	115.16	33.06	98.73	153.34	8.06	49.91	23.76	13.22	12.09	25.72	31.45	30.34	11.64	12.64	19.97	52.45	24.81	22.75	47.17	46.5	66.18	35.0	17.13	26.67	21.16	32.36	37.32	107.38	49.91	48.52	45.85	24.28	45.85	43.94	32.13	56.68	24.28	50.27	31.0	48.18	70.01	20.26	39.22	27.05	56.68	116.78	77.79	77.25	51.71	25.54
UCP3	16.15	25.17	25.91	43.32	15.68	20.11	5.77	14.56	17.9	24.11	6.62	19.39	17.38	32.36	21.94	26.47	65.72	32.59	37.85	37.05	24.46	67.59	35.5	16.63	70.01	47.17	24.99	17.9	53.95	30.78	44.25	56.28	88.26	92.05	42.41	25.91	83.45	90.77	60.82	14.56	121.79	79.45	22.43	60.39	51.71	53.95	40.93	28.45	91.41	75.64	27.44	19.68	61.68	51.71	84.04	56.28	36.01	100.13	43.32	5.19	34.75	24.63	7.88	4.24	11.13	18.56	16.75	7.0	5.54	7.94	23.76	11.3	12.0	30.56	20.86	15.68	11.82	29.91	24.11	12.18	18.7	15.34	43.32	15.68	19.97	12.36	18.7	22.43	13.22	32.13	27.44	24.11	15.22	19.68	37.59	22.92	19.82	24.81	18.03	11.64	52.82	32.13	37.05	57.08	28.86
USPL1	151.22	129.69	105.89	228.13	121.79	209.84	152.28	214.27	228.13	180.02	155.5	158.79	228.13	211.31	199.85	262.2	316.37	226.54	303.44	325.29	314.17	329.84	211.31	109.66	395.18	353.59	289.02	264.03	397.93	279.14	289.02	295.11	414.87	435.55	332.14	251.48	303.44	307.69	327.56	353.59	249.73	412.0	212.78	217.27	299.25	275.28	211.31	346.29	277.2	332.14	248.0	217.27	366.09	341.51	403.5	329.84	211.31	281.09	389.72	108.9	226.54	180.02	223.41	303.44	181.28	180.02	180.02	190.34	231.32	161.02	293.07	353.59	128.79	358.54	253.23	221.86	209.84	198.47	120.94	199.85	269.6	143.01	318.57	161.02	205.5	316.37	267.73	223.41	229.72	218.79	209.84	211.31	143.01	187.71	197.09	336.79	182.55	256.78	279.14	173.85	312.0	177.53	167.9	334.46	256.78
WDR52	16.75	105.15	53.95	67.12	38.95	62.12	32.82	41.81	48.18	53.57	49.91	32.36	52.82	121.79	113.56	94.67	121.79	90.77	205.5	97.36	256.78	187.71	221.86	37.85	387.02	221.86	218.79	249.73	503.95	295.11	325.29	194.36	305.55	151.22	334.46	293.07	435.55	277.2	256.78	148.09	277.2	473.41	154.42	140.04	318.57	289.02	234.57	177.53	620.67	253.23	71.5	61.68	140.04	293.07	303.44	172.65	73.54	143.01	373.81	11.47	56.28	29.48	48.87	22.43	42.41	31.9	49.56	36.01	102.97	38.95	82.87	19.11	34.02	241.19	84.63	85.82	34.26	54.33	36.53	15.34	65.72	13.62	178.77	91.41	65.72	117.6	52.08	58.71	169.07	74.58	99.43	65.72	72.52	97.36	46.18	151.22	45.21	73.03	78.34	80.57	231.32	66.65	149.12	194.36	30.78
WDR59	371.22	409.15	403.5	343.89	256.78	409.15	318.57	361.04	500.46	429.54	285.03	414.87	480.04	620.67	633.73	759.08	629.35	555.41	616.37	500.46	733.19	567.1	536.45	287.01	988.12	679.29	603.67	563.18	878.17	521.76	738.29	656.11	728.11	616.37	974.5	638.15	928.3	890.44	733.19	555.41	633.73	733.19	432.53	429.54	693.58	759.08	571.05	603.67	928.3	728.11	450.94	305.55	808.0	723.08	802.41	669.92	547.75	599.49	808.0	287.01	454.09	406.31	356.05	295.11	379.04	277.2	412.0	348.71	287.01	329.84	525.39	231.32	237.86	571.05	500.46	497.0	417.77	339.14	249.73	258.57	490.14	343.89	723.08	457.25	518.15	366.09	314.17	264.03	599.49	447.82	420.68	279.14	414.87	323.03	414.87	466.88	371.22	334.46	460.44	525.39	642.59	571.05	551.56	571.05	351.14
ZNF7	244.57	262.2	226.54	303.44	275.28	392.44	239.52	217.27	381.68	320.8	176.29	356.05	420.68	438.59	403.5	460.44	460.44	325.29	441.64	633.73	638.15	624.99	412.0	275.28	713.11	500.46	368.65	536.45	587.13	423.61	808.0	599.49	665.29	483.38	543.96	435.55	633.73	536.45	575.03	420.68	521.76	444.72	327.56	438.59	497.0	543.96	318.57	540.19	688.78	591.22	353.59	267.73	616.37	679.29	656.11	511.0	403.5	500.46	555.41	166.73	435.55	279.14	295.11	293.07	417.77	301.33	366.09	368.65	260.38	318.57	387.02	351.14	289.02	412.0	346.29	371.22	297.17	289.02	163.28	251.48	246.28	262.2	511.0	384.34	406.31	567.1	417.77	429.54	457.25	571.05	320.8	336.79	312.0	432.53	503.95	518.15	307.69	432.53	412.0	450.94	400.71	460.44	318.57	529.06	305.55
ZNF783	167.9	115.16	124.37	217.27	155.5	190.34	78.34	139.07	127.89	111.99	114.36	98.04	189.02	185.11	269.6	258.57	334.46	249.73	320.8	400.71	316.37	400.71	242.88	93.35	500.46	426.57	249.73	217.27	361.04	265.87	463.65	341.51	483.38	239.52	450.94	384.34	603.67	435.55	373.81	339.14	438.59	403.5	180.02	229.72	441.64	441.64	183.82	303.44	571.05	441.64	258.57	152.28	444.72	400.71	435.55	297.17	273.37	387.02	426.57	28.45	127.89	97.36	57.08	62.12	167.9	72.52	143.01	132.44	84.63	92.7	167.9	76.17	63.89	172.65	158.79	145.02	98.04	126.12	59.13	108.9	111.21	78.89	309.83	147.06	204.07	221.86	209.84	191.67	305.55	285.03	173.85	36.53	150.17	236.21	170.25	273.37	74.58	189.02	111.21	127.0	269.6	218.79	186.4	318.57	92.7
ZXDC	303.44	191.67	236.21	237.86	158.79	231.32	187.71	255.0	299.25	289.02	239.52	215.77	265.87	329.84	325.29	346.29	387.02	301.33	420.68	361.04	392.44	320.8	299.25	121.79	400.71	392.44	305.55	277.2	532.74	397.93	575.03	438.59	476.71	269.6	463.65	221.86	346.29	480.04	358.54	242.88	426.57	323.03	297.17	332.14	279.14	521.76	295.11	348.71	429.54	297.17	279.14	217.27	450.94	432.53	426.57	463.65	208.38	363.56	543.96	228.13	239.52	303.44	205.5	164.42	312.0	242.88	305.55	194.36	201.25	273.37	285.03	260.38	248.0	323.03	299.25	447.82	231.32	299.25	175.07	327.56	209.84	201.25	363.56	258.57	255.0	323.03	283.05	234.57	329.84	275.28	285.03	224.97	255.0	379.04	194.36	420.68	131.51	258.57	493.56	242.88	432.53	256.78	297.17	373.81	209.84
