	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.V1D1.1226.SM.4JBI5	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.12WSJ.0826.SM.5PNWV	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZVP2.1426.SM.5NQ7P	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.148VI.1226.SM.5RQJR	GTEX.13PL7.0526.SM.5J2MQ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XGQ4.1626.SM.4AT6J	GTEX.X15G.1026.SM.4PQZF	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.U3ZH.1126.SM.4DXUG	GTEX.QLQW.0626.SM.447A6	GTEX.11LCK.1626.SM.5PNYB	GTEX.ZY6K.0526.SM.5GZY9	GTEX.139YR.1626.SM.5IJGK	GTEX.WRHK.0426.SM.4MVOG	GTEX.VJYA.0626.SM.4KL1S	GTEX.UPIC.0626.SM.4IHK2	GTEX.ZAB5.1026.SM.5HL91	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.P4QT.0726.SM.3NMCM	GTEX.UJMC.1026.SM.4IHKN	GTEX.V1D1.1126.SM.4JBHT	GTEX.148VJ.1126.SM.5NQBZ	GTEX.X5EB.1426.SM.46MVW	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	GTEX.XPVG.1326.SM.4B65P	TCGA.B0.5696.01A.11R.1541.07	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.131XF.1926.SM.5DUW4	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13O61.1126.SM.5L3FI	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.TMMY.2226.SM.4DXTN	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.ZXES.0726.SM.5E451	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.13W3W.1426.SM.5LU56	GTEX.12WSK.2026.SM.5CVNB	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
NPIPA1	1437.15	1883.54	1594.73	1617.0	2004.85	1551.09	947.83	1250.98	1073.91	1143.1	1407.55	1183.45	1111.82	2075.59	2645.74	4239.45	3982.99	4903.87	5711.87	2240.11	4066.71	3303.0	2875.3	1498.22	4450.27	4481.23	3395.89	3467.27	5076.84	2855.44	4010.71	4298.64	3372.43	5403.7	4481.23	5255.91	6887.62	4802.93	5183.54	3716.2	4575.41	4704.07	2720.15	2875.3	4769.75	3303.0	2573.36	3491.39	4769.75	3589.58	2209.26	2664.15	4639.29	4481.23	3349.13	3325.99	2895.31	2133.97	3690.52	204.07	1540.37	660.68	1183.45	1259.69	629.35	921.88	674.59	1467.37	583.07	616.37	1477.58	587.13	441.64	2451.44	2090.03	1896.65	860.08	791.35	571.05	1015.93	1397.83	733.19	2163.77	1467.37	1883.54	1427.22	1268.46	909.17	2209.26	1030.12	1259.69	703.28	1295.13	1369.04	1331.57	1388.16	967.76	1059.11	1551.09	1175.27	2090.03	1447.15	1628.26	1662.49	1037.29
NPIPB4	262.2	426.57	507.46	334.46	206.94	543.96	209.84	267.73	356.05	277.2	368.65	260.38	599.49	1044.52	1331.57	1183.45	1923.14	698.41	2555.58	2682.69	1551.09	1477.58	769.69	229.72	2537.92	1242.34	1427.22	854.13	2163.77	961.07	3212.66	2739.08	2018.8	1639.59	3103.19	1639.59	3303.0	2451.44	1331.57	1183.45	1697.45	2133.97	866.07	954.43	1104.13	1437.15	1037.29	988.12	2520.38	1407.55	708.18	743.43	3146.52	2133.97	3690.52	1870.53	571.05	1183.45	1794.29	81.71	229.72	262.2	283.05	223.41	107.38	217.27	199.85	134.3	111.99	165.57	587.13	133.36	169.07	2163.77	708.18	660.68	316.37	339.14	181.28	336.79	684.02	186.4	780.44	423.61	297.17	723.08	191.67	163.28	825.0	860.08	281.09	129.69	389.72	343.89	438.59	567.1	241.19	181.28	397.93	229.72	819.3	293.07	718.08	974.5	287.01
PAPD7	218.79	267.73	409.15	279.14	146.03	329.84	267.73	314.17	273.37	267.73	279.14	199.85	376.41	339.14	830.75	555.41	551.56	500.46	521.76	381.68	397.93	579.04	525.39	111.21	490.14	447.82	450.94	409.15	466.88	400.71	769.69	480.04	551.56	454.09	476.71	392.44	441.64	514.56	463.65	480.04	392.44	511.0	371.22	312.0	371.22	400.71	497.0	529.06	629.35	503.95	420.68	318.57	480.04	392.44	718.08	490.14	248.0	420.68	486.75	183.82	299.25	318.57	193.01	305.55	221.86	217.27	289.02	271.48	175.07	231.32	356.05	258.57	157.68	400.71	248.0	341.51	258.57	327.56	191.67	208.38	361.04	242.88	587.13	327.56	389.72	329.84	256.78	204.07	339.14	384.34	373.81	175.07	297.17	224.97	143.01	336.79	118.43	316.37	277.2	228.13	376.41	251.48	429.54	389.72	271.48
PIAS3	483.38	571.05	356.05	866.07	400.71	624.99	532.74	429.54	743.43	470.14	406.31	543.96	769.69	1551.09	1143.1	1397.83	1313.23	928.3	1175.27	954.43	1572.76	1794.29	1023.0	334.46	1832.01	1183.45	1159.07	1605.83	1950.0	1662.49	2720.15	1225.22	1781.89	1529.73	2133.97	1225.22	2287.2	1437.15	2367.9	1806.78	1561.89	1628.26	693.58	665.29	1199.98	1175.27	1037.29	1628.26	2271.4	1427.22	1066.48	599.49	1883.54	1572.76	1857.6	1295.13	909.17	1359.57	1467.37	318.57	607.87	656.11	808.0	669.92	902.89	679.29	1081.39	884.29	500.46	633.73	1008.9	974.5	441.64	1304.15	802.41	1037.29	532.74	808.0	414.87	698.41	1037.29	525.39	1605.83	981.29	703.28	848.22	559.28	693.58	1977.24	463.65	460.44	264.03	688.78	301.33	587.13	866.07	669.92	808.0	1051.79	256.78	1628.26	1378.57	759.08	1757.34	507.46
PRPF3	775.05	493.56	384.34	665.29	351.14	896.64	417.77	521.76	587.13	450.94	373.81	497.0	872.1	780.44	1119.56	1127.35	1111.82	854.13	1167.14	1286.18	1508.65	1242.34	860.08	438.59	1709.26	1051.79	1313.23	1151.06	1806.78	878.17	1457.23	1199.98	1617.0	1030.12	1331.57	890.44	2224.63	1313.23	1397.83	1143.1	1378.57	1225.22	656.11	674.59	896.64	1175.27	791.35	1073.91	1794.29	1242.34	642.59	420.68	1806.78	1519.15	1437.15	1191.69	698.41	1008.9	1561.89	255.0	718.08	406.31	441.64	361.04	389.72	366.09	420.68	543.96	381.68	291.04	447.82	518.15	334.46	902.89	633.73	780.44	373.81	381.68	189.02	262.2	423.61	412.0	1369.04	660.68	896.64	813.63	633.73	490.14	909.17	728.11	591.22	579.04	583.07	633.73	612.11	842.36	507.46	591.22	872.1	698.41	1191.69	866.07	748.61	1037.29	529.06
PRPF38B	483.38	412.0	490.14	450.94	417.77	616.37	426.57	507.46	473.41	493.56	426.57	444.72	624.99	688.78	473.41	713.11	854.13	759.08	961.07	1096.5	974.5	902.89	808.0	217.27	1369.04	1051.79	878.17	738.29	1540.37	703.28	941.27	974.5	743.43	1051.79	1268.46	796.86	1051.79	1143.1	934.76	890.44	1096.5	1233.75	825.0	684.02	764.36	759.08	738.29	723.08	854.13	974.5	579.04	412.0	1151.06	1175.27	718.08	1008.9	547.75	791.35	1167.14	234.57	486.75	379.04	325.29	420.68	363.56	376.41	547.75	343.89	591.22	420.68	493.56	414.87	536.45	915.51	647.07	507.46	392.44	389.72	358.54	395.18	441.64	325.29	947.83	486.75	603.67	633.73	633.73	466.88	974.5	848.22	579.04	575.03	438.59	890.44	493.56	902.89	483.38	543.96	698.41	480.04	723.08	514.56	802.41	860.08	612.11
PRPF39	303.44	239.52	251.48	420.68	273.37	384.34	265.87	301.33	265.87	281.09	256.78	327.56	444.72	361.04	525.39	738.29	764.36	426.57	780.44	595.34	620.67	638.15	521.76	258.57	830.75	830.75	559.28	656.11	1096.5	684.02	796.86	748.61	854.13	728.11	1127.35	529.06	896.64	769.69	825.0	660.68	612.11	884.29	476.71	514.56	624.99	624.99	599.49	599.49	909.17	728.11	470.14	281.09	748.61	842.36	1081.39	713.11	432.53	599.49	819.3	101.54	400.71	273.37	246.28	376.41	209.84	178.77	312.0	318.57	358.54	232.94	532.74	348.71	208.38	718.08	339.14	318.57	264.03	198.47	157.68	212.78	190.34	183.82	688.78	409.15	368.65	351.14	351.14	387.02	521.76	392.44	384.34	287.01	303.44	255.0	297.17	497.0	255.0	283.05	339.14	361.04	525.39	339.14	563.18	507.46	332.14
PRPF40B	177.53	316.37	341.51	486.75	249.73	291.04	237.86	332.14	346.29	358.54	255.0	368.65	392.44	563.18	454.09	507.46	660.68	470.14	612.11	567.1	791.35	825.0	563.18	277.2	1001.93	825.0	703.28	713.11	995.0	638.15	954.43	693.58	1175.27	616.37	1066.48	624.99	1151.06	764.36	819.3	967.76	753.83	660.68	371.22	450.94	651.58	842.36	429.54	708.18	1001.93	688.78	543.96	348.71	848.22	796.86	928.3	759.08	454.09	638.15	878.17	154.42	381.68	244.57	339.14	373.81	373.81	224.97	265.87	224.97	175.07	279.14	521.76	194.36	138.1	358.54	463.65	490.14	343.89	195.72	209.84	180.02	293.07	281.09	607.87	591.22	607.87	361.04	327.56	262.2	490.14	327.56	463.65	201.25	299.25	236.21	325.29	503.95	236.21	361.04	341.51	409.15	713.11	450.94	395.18	599.49	275.28
RBM25	612.11	518.15	638.15	759.08	426.57	791.35	616.37	669.92	651.58	529.06	656.11	651.58	884.29	1044.52	813.63	1331.57	1467.37	1397.83	1617.0	2104.58	1697.45	1674.06	1191.69	366.09	1781.89	1639.59	1540.37	1572.76	2335.28	1397.83	2434.5	1477.58	2255.7	1551.09	2351.53	1350.18	1936.53	1628.26	1662.49	1991.0	1467.37	1819.35	1081.39	1277.29	1277.29	1397.83	1030.12	1628.26	1896.65	1359.57	1088.92	961.07	1857.6	2004.85	2520.38	1769.57	1159.07	1757.34	2178.83	314.17	620.67	656.11	567.1	607.87	764.36	454.09	764.36	603.67	728.11	507.46	1059.11	796.86	454.09	1963.57	884.29	813.63	780.44	819.3	470.14	638.15	769.69	435.55	1639.59	656.11	651.58	769.69	813.63	612.11	1096.5	813.63	480.04	384.34	454.09	728.11	567.1	1135.2	511.0	723.08	780.44	532.74	866.07	583.07	896.64	1183.45	435.55
RBM5	1081.39	848.22	1369.04	1359.57	791.35	1594.73	928.3	1447.15	1250.98	1175.27	1059.11	1088.92	2255.7	2384.37	1617.0	2193.99	3325.99	2367.9	3257.52	2720.15	4419.52	3060.45	3124.78	896.64	4575.41	3716.2	3039.3	2997.45	4704.07	3212.66	4639.29	3372.43	5041.77	3303.0	5112.16	2997.45	5751.61	3874.05	4704.07	3212.66	3901.01	4481.23	2351.53	2032.85	2875.3	3146.52	2682.69	3419.52	6294.04	3146.52	2047.0	1199.98	4575.41	4512.4	4210.15	3467.27	1963.57	3257.52	4268.94	314.17	1407.55	1167.14	1167.14	1191.69	1023.0	896.64	1216.75	1199.98	1059.11	830.75	1295.13	1008.9	748.61	2061.24	1487.87	1857.6	934.76	1111.82	536.45	854.13	1340.84	1081.39	3419.52	1594.73	1769.57	1561.89	1508.65	902.89	2520.38	1721.16	1551.09	1008.9	1519.15	1378.57	1286.18	2148.82	1023.0	1167.14	1832.01	1628.26	2319.15	2255.7	2627.46	2434.5	1417.35
