	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.132AR.0826.SM.5EGK6	GTEX.Y3IK.2326.SM.4WWDT	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.11TT1.0426.SM.5EGI9	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13X6H.1626.SM.5Q5CT	GTEX.1339X.1426.SM.5K7YO
ANAPC5	2400.97	2255.7	2004.85	1508.65	2271.4	3081.75	1721.16	2303.12	1757.34	1781.89	1896.65	1844.76	1769.57	1216.75	1977.24	2537.92	1769.57	1540.37	1427.22	2502.97	2032.85	1963.57	1487.87	2163.77	2032.85	1417.35	1304.15	1477.58	1417.35	1508.65	1674.06	1794.29	1295.13	0.0	0.56	1066.48	1111.82
C10orf90	285.03	57.49	82.87	29.27	120.1	214.27	36.79	176.29	27.84	59.97	32.13	92.7	37.59	1.31	123.5	269.6	20.56	32.13	18.03	148.09	260.38	186.4	23.76	132.44	42.71	39.79	16.88	11.55	31.67	43.32	26.28	4.28	2.39	0.0	0.13	0.91	0.0
C14orf182	26.86	5.23	16.63	2.53	16.63	38.4	8.06	24.11	5.15	3.23	6.11	14.03	3.82	0.84	15.68	35.5	8.99	8.78	1.25	33.3	24.99	2.56	1.5	32.59	11.55	0.71	2.56	6.41	6.21	6.26	14.45	27.64	3.06	0.0	0.21	4.7	1.14
CCL28	5292.48	1417.35	2777.33	60.39	2351.53	5791.62	1259.69	5183.54	457.25	1199.98	902.89	1191.69	125.24	111.21	3540.14	7485.11	791.35	514.56	59.13	4836.35	1991.0	3955.48	50.27	3349.13	1617.0	27.25	41.52	53.95	120.1	1111.82	1508.65	466.88	33.3	0.0	0.36	19.11	28.65
CCSAP	229.72	112.77	109.66	33.54	151.22	283.05	92.7	193.01	83.45	95.34	110.43	145.02	52.82	62.12	111.99	269.6	121.79	71.5	43.63	167.9	199.85	164.42	37.32	170.25	127.0	28.04	37.59	49.91	40.07	82.87	114.36	45.53	33.3	0.0	0.18	39.79	28.65
CHST9	256.78	56.68	110.43	0.67	111.21	381.68	41.22	187.71	27.25	56.28	51.35	91.41	0.39	0.0	180.02	237.86	17.13	29.7	1.48	228.13	297.17	175.07	0.0	271.48	69.03	0.0	7.11	0.0	1.97	36.79	143.01	3.99	0.75	0.0	0.0	1.83	1.45
CLDN8	4010.71	454.09	902.89	0.0	866.07	2609.3	521.76	1540.37	116.78	532.74	490.14	429.54	0.0	4.66	1073.91	1159.07	214.27	181.28	2.78	902.89	954.43	896.64	4.7	884.29	819.3	2.63	20.26	4.7	51.35	361.04	579.04	75.11	0.0	0.0	0.0	0.0	0.0
CSRNP3	255.0	17.0	27.84	8.85	53.19	273.37	27.44	68.55	15.34	50.63	31.0	58.71	12.18	3.66	50.63	159.9	18.43	24.28	10.63	125.24	36.53	23.08	10.31	108.14	21.01	2.92	9.78	19.68	13.42	16.63	51.35	7.51	15.34	0.0	0.0	4.24	2.41
CX3CL1	4903.87	2555.58	4869.99	1685.71	3212.66	7642.41	1832.01	4419.52	728.11	3515.68	1662.49	2485.67	684.02	718.08	7589.61	15180.22	974.5	2351.53	1001.93	9808.75	9740.98	6164.49	224.97	9151.82	1870.53	211.31	463.65	647.07	629.35	2193.99	5255.91	1605.83	183.82	0.0	0.36	105.89	135.24
DTNB	1427.22	358.54	518.15	178.77	591.22	1378.57	332.14	607.87	177.53	332.14	285.03	381.68	105.89	164.42	555.41	791.35	248.0	334.46	138.1	748.61	587.13	738.29	152.28	684.02	525.39	135.24	144.01	141.02	267.73	384.34	547.75	123.5	41.81	0.0	0.48	70.01	94.01
ELF5	11827.67	320.8	1199.98	0.0	1540.37	6887.62	299.25	1936.53	212.78	285.03	460.44	1044.52	1.35	8.99	1936.53	4328.55	447.82	249.73	0.13	2664.15	2434.5	4543.8	3.76	1551.09	1733.13	0.0	6.41	0.74	10.96	182.55	656.11	14.45	0.0	0.0	0.0	0.0	0.0
FABP4	9540.5	217400.14	140478.49	365622.68	92680.9	28923.41	225066.78	107203.06	348306.01	279017.26	370726.6	205673.01	489177.0	273275.14	194578.47	2502.97	447025.24	716197.51	602247.76	198667.0	284880.02	324980.94	569761.05	130165.62	198667.0	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	636586.81	476.71	0.0	0.15	493.56	1175.27
FOLH1	547.75	54.72	138.1	32.59	202.66	595.34	78.89	241.19	100.83	84.63	124.37	217.27	40.36	28.24	183.82	414.87	75.64	81.71	14.14	336.79	353.59	297.17	45.53	301.33	108.9	11.47	112.77	12.64	39.22	75.64	130.6	16.39	5.5	0.0	0.38	12.0	33.3
GABRP	7130.55	1963.57	2537.92	6.89	5479.15	8022.41	1151.06	6607.01	743.43	1477.58	1467.37	2090.03	3.29	24.46	3982.99	9409.14	1008.9	555.41	4.62	6699.25	6840.04	7280.4	4.46	5633.22	2915.45	0.62	2.34	2.34	116.78	441.64	3146.52	87.03	0.83	0.0	0.11	8.38	3.47
GPR125	813.63	486.75	429.54	269.6	583.07	915.51	384.34	748.61	555.41	483.38	543.96	575.03	346.29	493.56	476.71	1111.82	444.72	435.55	204.07	961.07	629.35	836.53	178.77	688.78	595.34	303.44	325.29	698.41	195.72	169.07	532.74	131.51	361.04	0.0	0.62	122.64	157.68
