	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.E2.A15M.01A.11R.A12D.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AC.A23C.01A.12R.A169.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0E9.01B.11R.A115.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.D7.6820.01A.11R.1884.13	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	TCGA.AJ.A3BG.01A.11R.A19W.07
AASDH	64.8	441.64	221.86	212.78	242.88	389.72	143.01	211.31	289.02	253.23	236.21	258.57	234.57	126.12	205.5	346.29	94.67	191.67	102.97	195.72	134.3	87.03	71.5	87.65	150.17	77.25	119.26	87.03	94.01	62.12	46.84	60.82	19.39	0.0	120.1	84.63	130.6	53.57	101.54	136.19	163.28	136.19	105.15	143.01	50.63	50.63	105.89	92.05	63.89
ADNP	447.82	1259.69	1508.65	1832.01	1594.73	1844.76	1519.15	1127.35	1963.57	1487.87	1277.29	2434.5	1073.91	1697.45	1697.45	1487.87	351.14	616.37	579.04	921.88	567.1	595.34	444.72	764.36	878.17	915.51	660.68	587.13	624.99	183.82	228.13	163.28	157.68	450.94	647.07	813.63	759.08	878.17	813.63	473.41	1059.11	567.1	884.29	1427.22	500.46	878.17	454.09	486.75	447.82
ANKIB1	281.09	896.64	591.22	595.34	563.18	921.88	540.19	547.75	842.36	575.03	612.11	567.1	599.49	872.1	555.41	703.28	212.78	297.17	353.59	486.75	228.13	291.04	163.28	409.15	376.41	285.03	275.28	361.04	242.88	89.51	63.45	57.89	29.91	305.55	251.48	435.55	423.61	208.38	218.79	307.69	297.17	368.65	607.87	612.11	231.32	194.36	175.07	157.68	70.51
ANKRD26	64.8	1427.22	205.5	159.9	126.12	703.28	215.77	173.85	118.43	132.44	101.54	135.24	102.25	88.26	325.29	195.72	23.93	67.12	66.18	79.45	49.21	38.12	39.5	63.0	69.52	29.27	63.0	32.13	35.5	16.88	13.42	3.26	12.83	0.0	42.11	38.12	59.55	48.52	133.36	76.17	93.35	74.58	221.86	127.89	50.63	25.17	44.25	33.78	6.31
ANKRD30A	0.0	8658.09	1936.53	12.18	775.05	1322.37	713.11	258.57	563.18	466.88	915.51	759.08	988.12	316.37	293.07	2090.03	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0
ANKRD50	73.03	660.68	518.15	320.8	473.41	1519.15	273.37	353.59	583.07	457.25	476.71	616.37	507.46	281.09	246.28	674.59	175.07	297.17	429.54	293.07	48.87	123.5	40.64	68.55	109.66	48.87	45.53	135.24	128.79	13.22	28.24	22.59	5.02	0.0	144.01	208.38	170.25	65.72	121.79	242.88	150.17	141.02	127.89	140.04	90.14	67.59	93.35	81.14	40.36
ANKS1B	92.05	1242.34	255.0	64.8	158.79	579.04	166.73	85.82	107.38	186.4	127.0	229.72	125.24	320.8	147.06	102.97	2.68	13.22	54.72	248.0	45.53	17.64	63.45	11.55	10.47	3.66	16.03	28.24	7.0	48.52	36.79	19.97	27.84	0.0	34.02	12.36	55.1	21.16	35.25	6.01	43.32	22.59	13.12	10.55	17.25	3.11	48.18	16.63	20.41
ARID4B	146.03	1923.14	934.76	1023.0	866.07	1950.0	961.07	575.03	738.29	1015.93	551.56	1388.16	665.29	497.0	860.08	941.27	193.01	271.48	503.95	583.07	162.14	260.38	152.28	264.03	447.82	187.71	297.17	289.02	275.28	72.52	121.79	20.86	73.54	193.01	318.57	339.14	389.72	158.79	791.35	414.87	500.46	253.23	457.25	563.18	291.04	180.02	152.28	220.32	110.43
ARNT	262.2	743.43	954.43	642.59	802.41	974.5	688.78	1059.11	708.18	1088.92	651.58	503.95	693.58	1008.9	961.07	769.69	279.14	327.56	733.19	802.41	287.01	314.17	232.94	540.19	579.04	414.87	325.29	406.31	483.38	231.32	325.29	493.56	154.42	476.71	368.65	454.09	454.09	463.65	728.11	438.59	583.07	334.46	351.14	525.39	318.57	316.37	470.14	441.64	167.9
ATAD2B	49.91	551.56	246.28	214.27	224.97	483.38	154.42	146.03	205.5	149.12	140.04	134.3	189.02	143.01	202.66	199.85	161.02	115.16	108.14	106.63	67.12	95.34	70.01	187.71	277.2	60.82	162.14	161.02	123.5	47.17	28.86	14.89	40.36	0.0	126.12	54.33	109.66	84.04	91.41	97.36	199.85	75.11	159.9	156.59	68.55	66.18	118.43	97.36	47.17
