	TCGA.FD.A5C1.01A.11R.A28M.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.VR.AA7B.01A.31R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4494.01A.01R.1206.07	GTEX.13FH7.1726.SM.5IJE7	TCGA.56.A4ZJ.01A.11R.A262.07
AARD	2.2	0.85	136.19	14.03	175.07	171.45	346.29	0.77	0.0	0.0	5.92	33.54	17.9
ABCA13	4.74	785.88	1388.16	145.02	1073.91	775.05	397.93	11.3	3.99	0.0	5.59	205.5	111.21
ABCA5	113.56	435.55	497.0	232.94	463.65	287.01	320.8	126.12	316.37	0.0	28.45	87.03	208.38
ABCA9	5.36	20.86	90.14	35.25	48.87	64.34	47.84	7.46	7.17	0.0	1.85	34.51	28.24
ADCY3	780.44	143.01	2367.9	3190.46	1340.84	3467.27	2915.45	92.7	176.29	0.0	629.35	854.13	743.43
AL353583.1	0.0	13.93	9.7	6.36	13.42	4.86	9.06	0.0	0.0	0.0	0.0	0.0	4.78
AL590452.1	0.32	0.72	5.73	2.53	9.48	6.57	4.13	0.0	0.0	0.0	0.0	0.13	1.33
ANKFY1	173.85	307.69	587.13	387.02	521.76	379.04	540.19	30.56	73.54	0.0	138.1	373.81	273.37
ANKRD13B	95.34	48.87	503.95	612.11	454.09	896.64	802.41	1.25	11.38	105.15	48.18	99.43	96.68
ANXA1	11189.6	1970321.01	53973.86	29327.18	90773.53	61146.25	107203.06	591.22	444.72	12076.21	5751.61	22225.61	8191.0
AP1AR	113.56	336.79	414.87	226.54	493.56	281.09	438.59	348.71	129.69	0.0	209.84	248.0	171.45
ARHGAP11B	50.98	199.85	314.17	195.72	669.92	624.99	406.31	1.57	16.39	0.0	11.47	29.7	63.0
ARHGEF4	143.01	26986.43	3614.55	2163.77	5183.54	3467.27	3303.0	0.4	1.13	0.0	21.78	46.5	909.17
ARL6IP6	223.41	607.87	813.63	559.28	1015.93	1044.52	872.1	96.01	126.12	612.11	351.14	361.04	316.37
B3GALNT2	96.01	246.28	285.03	237.86	457.25	289.02	511.0	12.64	23.08	0.0	56.68	116.78	234.57
BRWD3	26.28	100.13	120.1	94.01	151.22	158.79	277.2	5.45	31.9	0.0	14.56	44.57	73.54
BTAF1	54.33	297.17	967.76	543.96	1001.93	872.1	988.12	20.86	43.63	0.0	37.32	232.94	275.28
C17orf53	183.82	90.14	246.28	356.05	215.77	947.83	647.07	5.02	43.32	0.0	65.26	50.63	40.64
C17orf78	0.0	0.16	2.07	1.41	1.33	3.29	2.94	0.0	0.0	0.0	0.0	1.0	1.06
