	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QBU.1826.SM.5IJG3	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.QESD.0726.SM.4R1KQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145LU.1326.SM.5LU9N	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8487.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
ABL1	2758.13	928.3	967.76	866.07	1030.12	878.17	1806.78	1359.57	1427.22	1199.98	854.13	848.22	890.44	995.0	1963.57	3146.52	3467.27	1662.49	1498.22	3190.46	2609.3	1583.71	1844.76	2915.45	409.15	438.59	529.06	409.15	974.5	748.61	518.15	688.78	343.89	2004.85	432.53	738.29	620.67	674.59	447.82	389.72	309.83	191.67	137.14	132.44	312.0	175.07	175.07	202.66	205.5	279.14	205.5	162.14	165.57	363.56	144.01	260.38	176.29	2047.0	460.44	1340.84	2591.27	1051.79	679.29	1259.69	2209.26	2664.15	490.14	3419.52	3124.78	2816.11	688.78	1721.16	743.43	1008.9	688.78	387.02
ADAM33	1844.76	68.07	140.04	72.01	228.13	78.34	212.78	400.71	480.04	343.89	101.54	82.29	124.37	217.27	3901.01	5711.87	4450.27	2451.44	7966.99	1674.06	5831.91	1883.54	4575.41	3325.99	2.36	1.55	7.34	2.51	1.73	10.24	7.06	2.94	13.52	55.49	15.11	5.63	18.7	9.78	0.0	2.14	4.54	7.17	10.16	9.41	43.94	6.52	8.65	8.0	13.03	14.14	41.22	15.0	10.79	21.47	9.27	2.29	5.96	483.38	5.92	503.95	909.17	177.53	237.86	165.57	947.83	854.13	31.9	1059.11	1407.55	1359.57	89.51	1015.93	164.42	38.12	89.51	6.41
ADAMTS8	947.83	27.84	15.91	13.03	37.05	12.55	127.89	74.58	87.03	43.63	15.34	14.24	57.89	13.12	111.99	249.73	1088.92	165.57	269.6	395.18	173.85	87.03	224.97	170.25	4.9	0.48	6.52	8.0	2.84	283.05	7.69	11.13	10.08	9.63	5.28	24.28	28.86	37.59	19.53	5.59	2.86	0.85	10.79	3.72	8.25	10.08	6.01	8.58	4.9	3.82	7.94	2.78	5.59	12.27	4.62	0.48	13.83	98.04	0.0	171.45	536.45	38.12	221.86	848.22	381.68	312.0	10.79	262.2	295.11	120.94	13.93	163.28	34.51	2.43	20.41	10.79
AFAP1	967.76	178.77	236.21	217.27	281.09	182.55	256.78	229.72	368.65	275.28	153.34	132.44	185.11	215.77	341.51	473.41	305.55	529.06	384.34	514.56	356.05	361.04	376.41	353.59	35.25	9.7	82.29	37.32	48.18	236.21	63.89	224.97	205.5	129.69	77.25	116.78	155.5	157.68	87.65	20.11	21.47	21.01	9.56	11.91	65.72	7.57	15.34	3.72	36.53	12.36	32.36	20.56	15.34	15.56	24.11	10.47	15.11	555.41	147.06	476.71	896.64	262.2	339.14	412.0	819.3	902.89	299.25	866.07	753.83	796.86	108.14	312.0	140.04	183.82	318.57	85.82
ANGPTL7	381.68	8.99	45.53	31.9	48.87	15.8	10.63	14.67	24.28	40.36	15.22	2.97	47.5	19.53	466.88	493.56	255.0	198.47	902.89	171.45	417.77	281.09	1096.5	176.29	1.36	0.0	4.28	0.0	0.0	0.96	3.41	1.41	0.85	1.28	4.46	56.68	23.08	2.25	0.8	0.57	0.95	1.39	10.24	12.18	7.63	5.63	6.94	0.0	0.0	3.26	6.11	4.31	0.0	3.17	3.2	0.0	0.47	24.63	1.89	145.02	214.27	16.15	24.81	15.45	100.83	139.07	3.47	423.61	236.21	366.09	5.59	38.4	53.95	0.0	14.14	2.51
ANKS1A	1350.18	221.86	255.0	279.14	454.09	273.37	441.64	307.69	567.1	503.95	217.27	229.72	217.27	305.55	1208.34	872.1	698.41	1322.37	1199.98	947.83	830.75	796.86	1044.52	743.43	312.0	101.54	312.0	228.13	327.56	387.02	144.01	211.31	157.68	297.17	551.56	450.94	334.46	384.34	111.21	129.69	277.2	125.24	76.71	138.1	260.38	107.38	92.7	61.68	172.65	271.48	187.71	172.65	143.01	143.01	172.65	77.25	155.5	624.99	156.59	525.39	1359.57	366.09	228.13	305.55	954.43	974.5	234.57	915.51	1015.93	1151.06	246.28	432.53	285.03	228.13	138.1	212.78
ANTXR2	7911.95	703.28	624.99	728.11	2895.31	1059.11	2047.0	780.44	3124.78	2758.13	656.11	813.63	1015.93	1277.29	1819.35	1369.04	1477.58	3540.14	1757.34	1628.26	1529.73	1304.15	2004.85	3018.3	291.04	5255.91	44.57	75.64	112.77	201.25	118.43	547.75	688.78	209.84	256.78	463.65	620.67	698.41	68.07	242.88	76.17	587.13	223.41	620.67	417.77	185.11	251.48	264.03	397.93	441.64	490.14	703.28	571.05	299.25	476.71	171.45	466.88	2018.8	267.73	2915.45	5711.87	406.31	1540.37	802.41	4937.99	5403.7	303.44	5403.7	5672.41	7382.04	373.81	2384.37	684.02	143.01	607.87	129.69
AOC3	25179.16	281.09	371.22	264.03	1037.29	197.09	1378.57	921.88	1487.87	1605.83	267.73	125.24	629.35	642.59	5633.22	4066.71	3768.09	6337.83	5555.65	5555.65	4038.61	3982.99	4639.29	3124.78	140.04	94.01	309.83	167.9	229.72	376.41	441.64	860.08	493.56	153.34	397.93	540.19	1044.52	860.08	24.11	194.36	224.97	305.55	218.79	429.54	902.89	224.97	277.2	161.02	420.68	366.09	723.08	281.09	366.09	348.71	379.04	124.37	414.87	1340.84	155.5	2739.08	4066.71	791.35	1697.45	1008.9	5041.77	4671.57	191.67	5872.48	5292.48	5517.27	325.29	2255.7	954.43	518.15	1259.69	480.04
ARHGEF25	11745.96	126.12	271.48	197.09	595.34	170.25	830.75	551.56	890.44	1081.39	129.69	139.07	289.02	264.03	3665.02	2240.11	2319.15	2875.3	3768.09	2367.9	2451.44	1977.24	2682.69	1757.34	35.76	19.68	84.04	68.55	35.25	132.44	232.94	341.51	346.29	231.32	153.34	100.13	157.68	131.51	249.73	40.07	31.67	31.67	81.71	38.12	105.89	47.5	48.52	44.57	105.15	182.55	264.03	86.43	81.14	111.21	63.45	13.42	150.17	583.07	77.79	961.07	1709.26	251.48	555.41	373.81	1697.45	1794.29	366.09	2351.53	2758.13	2855.44	161.02	1037.29	381.68	273.37	620.67	152.28
ASB2	5403.7	84.04	64.34	72.01	463.65	33.78	521.76	314.17	1023.0	825.0	24.81	65.26	262.2	59.13	1551.09	1104.13	1073.91	1605.83	2178.83	633.73	1508.65	1044.52	1498.22	547.75	3.63	7.75	16.03	22.26	3.69	15.0	19.53	36.79	248.0	14.03	9.78	3.59	20.41	22.75	13.52	13.52	7.22	5.15	20.56	5.11	29.48	10.55	13.93	21.32	12.64	9.2	82.29	12.74	7.82	34.51	14.14	9.34	20.26	571.05	13.22	1066.48	2664.15	165.57	358.54	181.28	1594.73	1628.26	36.27	2004.85	2303.12	2384.37	77.25	928.3	353.59	3.86	35.0	4.78
