	TCGA.67.3770.01A.01R.0946.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.97.8171.01A.11R.2287.07	TCGA.49.6742.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.WFON.0426.SM.3GIL4	GTEX.ZTPG.0926.SM.5O99H	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.5483.11A.11R.1820.07	TCGA.22.4593.11A.01R.1820.07	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EM.A3OB.01A.11R.A220.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FY.A3R6.01A.11R.A220.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.FE.A22Z.01A.11R.A16R.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
AC027763.2	204.07	172.65	61.68	157.68	100.83	110.43	176.29	143.01	126.12	84.63	141.02	154.42	111.21	85.82	56.28	100.83	101.54	208.38	115.97	94.67	66.65	121.79	127.0	86.43	151.22	190.34	159.9	96.01	90.14	120.1	115.16	35.25	63.89	78.89	67.12	119.26	242.88	155.5	185.11	136.19	159.9	189.02	149.12	154.42	105.15	128.79	162.14	135.24	224.97	204.07	90.14	246.28	171.45	248.0	150.17	228.13	194.36	195.72	223.41	146.03	220.32	198.47	191.67	201.25	218.79	267.73	165.57	118.43	269.6	185.11	224.97	153.34	202.66	164.42	137.14	186.4	162.14	166.73	351.14	145.02	193.01	180.02	239.52	167.9	189.02	151.22	187.71	155.5	167.9	108.14	239.52	212.78	137.14	285.03	138.1	128.79	153.34	180.02	107.38	215.77	218.79	163.28	185.11	154.42	85.22	162.14	193.01	180.02	164.42	153.34	183.82	148.09	80.57	165.57	134.3	178.77	246.28	269.6	193.01	115.16	262.2	295.11	181.28	148.09	191.67	195.72	143.01	135.24	157.68	98.04	152.28	206.94	148.09	57.08	150.17	205.5	94.01	182.55	150.17	149.12	129.69	194.36	175.07	215.77	194.36	285.03	181.28	244.57	150.17	186.4	178.77	163.28	111.99	346.29	194.36	206.94	183.82	134.3	156.59	155.5	100.13	155.5	147.06	215.77	283.05	205.5	183.82	170.25	218.79	228.13	120.94	248.0	137.14	108.14	234.57	162.14	139.07	167.9	144.01	151.22	158.79	115.97	223.41
AGAP6	117.6	134.3	107.38	124.37	277.2	199.85	121.79	417.77	86.43	108.9	36.01	136.19	66.65	113.56	137.14	103.69	181.28	108.14	53.19	75.64	52.82	54.72	80.57	83.45	68.07	82.87	63.89	108.14	90.14	105.15	78.34	74.06	144.01	98.73	91.41	86.43	346.29	341.51	214.27	381.68	366.09	466.88	470.14	309.83	150.17	204.07	253.23	152.28	409.15	555.41	84.63	346.29	217.27	329.84	351.14	289.02	256.78	223.41	172.65	156.59	130.6	155.5	307.69	236.21	267.73	417.77	169.07	169.07	463.65	223.41	293.07	423.61	215.77	400.71	197.09	197.09	450.94	141.02	368.65	163.28	199.85	351.14	299.25	193.01	241.19	289.02	248.0	397.93	389.72	154.42	293.07	194.36	132.44	400.71	109.66	159.9	373.81	591.22	223.41	122.64	435.55	279.14	214.27	194.36	183.82	214.27	246.28	277.2	178.77	239.52	540.19	460.44	79.45	206.94	249.73	258.57	397.93	215.77	423.61	140.04	450.94	316.37	567.1	260.38	429.54	218.79	198.47	218.79	206.94	115.97	136.19	269.6	420.68	181.28	162.14	255.0	79.45	273.37	198.47	191.67	320.8	287.01	211.31	447.82	228.13	447.82	341.51	181.28	293.07	251.48	253.23	307.69	98.73	651.58	559.28	638.15	220.32	145.02	381.68	228.13	112.77	191.67	215.77	285.03	376.41	373.81	299.25	137.14	356.05	540.19	291.04	293.07	120.1	139.07	271.48	218.79	279.14	281.09	157.68	329.84	224.97	295.11	320.8
AHSA2	775.05	397.93	316.37	318.57	775.05	406.31	412.0	2004.85	187.71	172.65	371.22	105.15	201.25	195.72	190.34	329.84	52.82	153.34	97.36	389.72	96.68	218.79	363.56	182.55	395.18	279.14	318.57	190.34	285.03	236.21	190.34	381.68	63.45	325.29	159.9	124.37	2240.11	1467.37	693.58	1457.23	1551.09	2573.36	2367.9	1167.14	381.68	1001.93	1477.58	547.75	1923.14	2664.15	305.55	2209.26	1030.12	1896.65	1407.55	1709.26	1127.35	1066.48	1199.98	808.0	796.86	915.51	1487.87	1088.92	1685.71	2148.82	1023.0	684.02	2004.85	1066.48	1225.22	1781.89	1066.48	1359.57	995.0	967.76	1896.65	612.11	1757.34	743.43	616.37	1583.71	1721.16	1008.9	1313.23	2148.82	1030.12	2061.24	2434.5	703.28	1199.98	902.89	476.71	2400.97	255.0	688.78	1832.01	2163.77	698.41	379.04	1819.35	1295.13	1151.06	1066.48	764.36	1233.75	1350.18	1417.35	567.1	1322.37	2520.38	1529.73	339.14	1073.91	928.3	974.5	1487.87	1498.22	1359.57	759.08	1794.29	1674.06	2061.24	1135.2	2047.0	1369.04	866.07	674.59	878.17	366.09	432.53	1313.23	1447.15	543.96	432.53	981.29	307.69	1417.35	802.41	915.51	1487.87	1781.89	642.59	2591.27	656.11	1685.71	1605.83	1001.93	1175.27	1340.84	1167.14	1540.37	486.75	2956.17	1487.87	4607.24	954.43	559.28	1529.73	1286.18	447.82	890.44	995.0	1757.34	1417.35	1721.16	1104.13	583.07	1519.15	1909.85	1023.0	1733.13	620.67	660.68	1674.06	1030.12	1037.29	909.17	669.92	1487.87	1378.57	872.1	1331.57
AKAP17A	187.71	130.6	224.97	197.09	429.54	353.59	185.11	429.54	180.02	108.14	111.21	98.04	181.28	151.22	136.19	141.02	253.23	167.9	98.04	90.14	140.04	100.13	140.04	208.38	181.28	102.25	131.51	133.36	64.34	139.07	74.58	221.86	97.36	275.28	202.66	110.43	514.56	343.89	332.14	503.95	665.29	525.39	521.76	237.86	267.73	332.14	320.8	281.09	567.1	616.37	236.21	500.46	417.77	559.28	438.59	389.72	358.54	395.18	376.41	251.48	373.81	358.54	379.04	353.59	358.54	599.49	295.11	320.8	490.14	318.57	441.64	463.65	387.02	532.74	329.84	287.01	493.56	293.07	503.95	253.23	212.78	412.0	389.72	409.15	285.03	463.65	420.68	486.75	708.18	318.57	409.15	327.56	339.14	476.71	223.41	376.41	555.41	738.29	275.28	251.48	470.14	373.81	291.04	307.69	361.04	325.29	336.79	343.89	178.77	339.14	536.45	409.15	229.72	379.04	297.17	351.14	450.94	417.77	575.03	214.27	551.56	567.1	540.19	334.46	473.41	343.89	303.44	267.73	395.18	258.57	264.03	339.14	518.15	232.94	193.01	441.64	229.72	454.09	248.0	316.37	348.71	373.81	281.09	595.34	307.69	540.19	392.44	438.59	339.14	348.71	332.14	314.17	248.0	819.3	511.0	693.58	373.81	248.0	493.56	275.28	325.29	336.79	283.05	435.55	503.95	624.99	389.72	289.02	400.71	591.22	403.5	647.07	327.56	301.33	511.0	366.09	521.76	511.0	246.28	587.13	373.81	497.0	368.65
AKAP8L	603.67	967.76	698.41	703.28	1104.13	1233.75	521.76	1350.18	860.08	376.41	775.05	271.48	387.02	642.59	403.5	567.1	518.15	511.0	389.72	463.65	384.34	423.61	748.61	620.67	684.02	567.1	490.14	587.13	379.04	616.37	312.0	1066.48	406.31	624.99	780.44	490.14	2915.45	1674.06	1331.57	2075.59	2591.27	2520.38	2855.44	2018.8	1250.98	1340.84	1447.15	1605.83	2520.38	2796.65	1397.83	2816.11	1950.0	2664.15	2367.9	2193.99	1583.71	1721.16	1651.0	1183.45	1519.15	1721.16	2104.58	1857.6	2047.0	3081.75	1832.01	1369.04	2209.26	1745.2	2777.33	2178.83	1963.57	2133.97	1857.6	2047.0	2664.15	1277.29	2976.74	1437.15	1340.84	2004.85	2271.4	1819.35	1883.54	1685.71	1963.57	2555.58	2434.5	1259.69	1883.54	1498.22	1242.34	3060.45	1407.55	1551.09	2287.2	2502.97	1088.92	1059.11	2976.74	2018.8	1583.71	1540.37	1277.29	1844.76	1832.01	1832.01	1529.73	1936.53	2701.35	2209.26	1175.27	1508.65	1769.57	2075.59	2075.59	2148.82	2148.82	1359.57	2627.46	3124.78	3303.0	1651.0	1857.6	1685.71	1447.15	1225.22	1870.53	1259.69	1167.14	2271.4	2047.0	1407.55	1216.75	1896.65	1208.34	1896.65	1561.89	1286.18	2018.8	2287.2	1304.15	2796.65	1832.01	2303.12	1721.16	2193.99	1561.89	1417.35	2609.3	1963.57	1331.57	3639.7	2287.2	3060.45	1721.16	1313.23	1651.0	1529.73	1259.69	1467.37	1757.34	2004.85	2664.15	2591.27	1832.01	1388.16	2209.26	2739.08	1340.84	2976.74	1350.18	1378.57	2209.26	2104.58	1857.6	1806.78	1277.29	2335.28	1781.89	1745.2	1991.0
AMT	165.57	283.05	88.26	221.86	543.96	669.92	332.14	665.29	318.57	139.07	201.25	138.1	65.26	165.57	148.09	158.79	36.01	63.45	84.63	212.78	97.36	119.26	299.25	42.71	165.57	267.73	287.01	121.79	54.33	115.16	201.25	208.38	58.71	103.69	141.02	131.51	896.64	466.88	208.38	500.46	665.29	934.76	738.29	591.22	343.89	204.07	279.14	775.05	532.74	947.83	220.32	1051.79	463.65	409.15	660.68	587.13	251.48	603.67	323.03	503.95	412.0	297.17	412.0	684.02	743.43	1427.22	1135.2	123.5	748.61	612.11	547.75	629.35	426.57	679.29	299.25	409.15	633.73	256.78	688.78	376.41	126.12	547.75	551.56	173.85	583.07	301.33	447.82	642.59	571.05	511.0	490.14	454.09	121.79	1457.23	39.5	450.94	780.44	703.28	155.5	116.78	503.95	642.59	329.84	305.55	273.37	642.59	476.71	567.1	271.48	423.61	909.17	291.04	127.0	343.89	273.37	412.0	603.67	743.43	486.75	591.22	1167.14	423.61	860.08	511.0	599.49	387.02	177.53	242.88	417.77	297.17	211.31	332.14	444.72	253.23	441.64	688.78	197.09	708.18	785.88	353.59	438.59	830.75	423.61	1066.48	579.04	447.82	325.29	575.03	358.54	507.46	423.61	264.03	229.72	928.3	567.1	1369.04	387.02	379.04	412.0	507.46	371.22	226.54	665.29	647.07	708.18	988.12	511.0	669.92	698.41	693.58	507.46	967.76	647.07	167.9	397.93	507.46	457.25	351.14	256.78	476.71	902.89	414.87	603.67
AMY2B	187.71	307.69	262.2	150.17	417.77	379.04	78.89	92.05	152.28	164.42	127.0	167.9	31.0	110.43	223.41	151.22	30.34	33.06	24.99	234.57	217.27	46.5	275.28	35.76	220.32	281.09	285.03	94.67	151.22	72.01	31.45	291.04	31.0	22.92	96.68	65.72	1001.93	780.44	540.19	1073.91	1135.2	1313.23	1159.07	854.13	241.19	836.53	884.29	353.59	1001.93	1487.87	146.03	1369.04	713.11	941.27	819.3	1059.11	896.64	567.1	551.56	518.15	629.35	503.95	848.22	921.88	1066.48	1216.75	387.02	536.45	738.29	309.83	802.41	1397.83	684.02	796.86	748.61	769.69	1023.0	256.78	1639.59	559.28	215.77	934.76	684.02	514.56	620.67	878.17	563.18	878.17	1208.34	417.77	802.41	521.76	218.79	1407.55	197.09	583.07	1066.48	1388.16	376.41	277.2	830.75	693.58	738.29	660.68	470.14	769.69	1088.92	934.76	221.86	607.87	1073.91	890.44	201.25	567.1	780.44	688.78	941.27	890.44	607.87	579.04	872.1	1015.93	1417.35	785.88	1369.04	995.0	624.99	423.61	406.31	201.25	305.55	1191.69	1073.91	429.54	444.72	679.29	177.53	866.07	514.56	571.05	791.35	1037.29	420.68	1529.73	438.59	1088.92	1159.07	450.94	1151.06	603.67	819.3	802.41	320.8	2645.74	1529.73	2384.37	551.56	441.64	1540.37	796.86	376.41	813.63	743.43	813.63	1427.22	1081.39	1135.2	389.72	981.29	1662.49	571.05	819.3	295.11	301.33	698.41	607.87	493.56	525.39	435.55	679.29	575.03	1023.0	764.36
ANAPC2	265.87	497.0	366.09	412.0	571.05	466.88	460.44	583.07	490.14	463.65	423.61	500.46	323.03	441.64	409.15	397.93	376.41	400.71	412.0	305.55	329.84	325.29	275.28	271.48	525.39	444.72	480.04	511.0	269.6	612.11	271.48	325.29	258.57	438.59	483.38	409.15	802.41	587.13	599.49	748.61	866.07	872.1	825.0	743.43	536.45	500.46	540.19	575.03	775.05	854.13	521.76	587.13	703.28	775.05	759.08	713.11	555.41	629.35	514.56	412.0	532.74	483.38	595.34	518.15	432.53	872.1	500.46	497.0	708.18	595.34	713.11	753.83	616.37	909.17	575.03	493.56	780.44	389.72	802.41	543.96	447.82	743.43	669.92	507.46	587.13	738.29	642.59	708.18	830.75	518.15	669.92	620.67	583.07	665.29	277.2	651.58	819.3	928.3	447.82	500.46	703.28	579.04	466.88	587.13	450.94	599.49	547.75	612.11	346.29	669.92	848.22	896.64	387.02	665.29	638.15	669.92	733.19	647.07	848.22	521.76	796.86	785.88	947.83	563.18	693.58	536.45	532.74	490.14	476.71	567.1	447.82	674.59	775.05	785.88	392.44	698.41	316.37	679.29	591.22	529.06	684.02	642.59	457.25	780.44	651.58	759.08	651.58	607.87	612.11	483.38	624.99	620.67	575.03	1044.52	785.88	947.83	660.68	518.15	612.11	493.56	480.04	620.67	543.96	642.59	941.27	728.11	620.67	507.46	674.59	819.3	753.83	651.58	575.03	579.04	684.02	612.11	660.68	638.15	511.0	813.63	603.67	934.76	624.99
ANKS3	193.01	256.78	234.57	363.56	316.37	559.28	156.59	476.71	166.73	136.19	113.56	142.01	149.12	154.42	220.32	197.09	197.09	143.01	136.19	85.22	112.77	112.77	130.6	201.25	145.02	137.14	164.42	183.82	111.99	159.9	150.17	129.69	138.1	198.47	130.6	159.9	529.06	389.72	291.04	406.31	624.99	438.59	454.09	571.05	262.2	314.17	314.17	363.56	473.41	529.06	226.54	423.61	389.72	490.14	532.74	473.41	287.01	400.71	363.56	291.04	356.05	392.44	373.81	303.44	348.71	583.07	476.71	277.2	438.59	361.04	591.22	476.71	397.93	497.0	423.61	381.68	591.22	277.2	587.13	366.09	224.97	500.46	444.72	400.71	406.31	426.57	343.89	341.51	397.93	246.28	432.53	454.09	332.14	473.41	128.79	305.55	447.82	514.56	281.09	208.38	384.34	403.5	297.17	351.14	260.38	397.93	389.72	327.56	176.29	412.0	551.56	497.0	208.38	403.5	343.89	454.09	493.56	466.88	406.31	314.17	607.87	693.58	529.06	332.14	376.41	295.11	343.89	289.02	301.33	258.57	275.28	507.46	412.0	246.28	265.87	423.61	130.6	366.09	341.51	273.37	358.54	373.81	273.37	423.61	497.0	607.87	376.41	540.19	368.65	353.59	336.79	384.34	187.71	555.41	559.28	486.75	412.0	224.97	400.71	208.38	244.57	387.02	392.44	493.56	693.58	412.0	341.51	329.84	387.02	441.64	463.65	503.95	297.17	281.09	441.64	417.77	356.05	476.71	309.83	426.57	381.68	389.72	376.41
APBB3	423.61	406.31	173.85	463.65	497.0	400.71	277.2	473.41	201.25	118.43	249.73	237.86	145.02	182.55	251.48	246.28	102.25	246.28	89.51	167.9	123.5	190.34	187.71	116.78	166.73	218.79	226.54	226.54	100.13	183.82	87.03	285.03	64.8	429.54	195.72	180.02	1388.16	954.43	651.58	1259.69	1059.11	1359.57	1259.69	830.75	466.88	743.43	842.36	514.56	1001.93	1685.71	397.93	1359.57	934.76	1051.79	842.36	915.51	688.78	651.58	651.58	603.67	780.44	796.86	941.27	693.58	974.5	1199.98	753.83	629.35	1044.52	651.58	988.12	1216.75	743.43	1081.39	642.59	819.3	988.12	409.15	1199.98	647.07	348.71	1023.0	728.11	669.92	743.43	842.36	713.11	1340.84	1268.46	624.99	728.11	579.04	444.72	1350.18	215.77	669.92	915.51	1417.35	460.44	265.87	941.27	836.53	693.58	941.27	529.06	759.08	1023.0	934.76	490.14	764.36	1340.84	775.05	579.04	651.58	866.07	842.36	1304.15	974.5	796.86	612.11	1073.91	981.29	1340.84	728.11	1151.06	748.61	674.59	693.58	583.07	457.25	353.59	954.43	928.3	567.1	460.44	684.02	221.86	872.1	769.69	642.59	909.17	1216.75	507.46	1286.18	780.44	1143.1	896.64	603.67	728.11	660.68	753.83	825.0	595.34	1674.06	1096.5	2319.15	878.17	583.07	1044.52	854.13	379.04	595.34	743.43	825.0	1277.29	1359.57	941.27	543.96	934.76	1605.83	743.43	941.27	529.06	518.15	988.12	988.12	808.0	738.29	525.39	1044.52	808.0	669.92	743.43
