	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.13QIC.2326.SM.5LU5N	GTEX.S32W.1626.SM.4AD6G	TCGA.G4.6321.01A.11R.1723.07	GTEX.ZVT2.1926.SM.5GU5T	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11NUK.1226.SM.5P9GM	TCGA.44.2662.11A.01R.1758.07	GTEX.11EI6.0826.SM.5985V	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.N7MS.0926.SM.2HMIZ	GTEX.13NYB.0626.SM.5MR47	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.43.6143.11A.01R.1820.07	TCGA.HU.8238.11A.01R.2343.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.RWS6.0926.SM.47JXE	GTEX.ZYY3.1726.SM.5EGH3
ABCE1	1757.34	473.41	708.18	769.69	842.36	1304.15	1127.35	381.68	769.69	511.0	1001.93	536.45	713.11	679.29	842.36	460.44	587.13	603.67	480.04	769.69	802.41	854.13	830.75	796.86	1073.91	802.41	583.07	748.61	2061.24	1051.79	878.17	775.05	842.36	1437.15	612.11	1388.16	603.67	819.3	748.61	967.76	603.67	559.28	1870.53	559.28	2018.8	1081.39	1322.37	1268.46	1447.15	587.13	698.41	1447.15	728.11	941.27	1127.35	688.78	902.89	563.18	954.43	884.29	221.86	194.36	121.79	154.42	265.87	339.14	466.88	441.64	325.29	429.54	397.93	314.17	220.32	426.57	389.72	229.72	441.64	423.61	172.65	262.2	181.28	214.27
ADAM22	96.01	17.51	4.03	56.28	48.52	23.93	19.39	20.86	35.76	19.82	39.79	59.55	29.48	2.58	48.87	57.89	30.12	35.5	54.72	8.51	33.78	47.5	20.86	49.56	63.0	10.63	30.78	27.84	82.87	73.54	57.08	62.56	42.11	96.68	33.54	429.54	120.94	53.57	170.25	159.9	120.94	21.94	291.04	56.68	103.69	37.05	72.01	123.5	77.79	66.65	52.45	51.71	131.51	48.52	21.16	55.1	38.4	63.89	150.17	63.0	19.82	60.82	6.57	1.17	1.5	26.47	38.67	27.25	53.95	19.53	35.76	29.7	26.1	45.85	16.75	11.13	42.41	23.93	6.11	8.38	2.2	7.69
ARMC10	1950.0	896.64	1127.35	748.61	1051.79	1304.15	1073.91	753.83	1104.13	802.41	1051.79	1378.57	1119.56	708.18	981.29	764.36	1066.48	698.41	759.08	1259.69	1127.35	1159.07	1143.1	1059.11	1216.75	819.3	954.43	842.36	1331.57	1183.45	780.44	753.83	1104.13	1286.18	872.1	1216.75	848.22	708.18	995.0	866.07	836.53	567.1	2061.24	961.07	723.08	1407.55	629.35	890.44	988.12	547.75	902.89	961.07	1081.39	1605.83	1388.16	559.28	825.0	733.19	1081.39	1295.13	438.59	253.23	460.44	341.51	384.34	473.41	651.58	297.17	145.02	318.57	529.06	409.15	460.44	318.57	536.45	400.71	314.17	507.46	295.11	450.94	514.56	314.17
ASF1A	318.57	248.0	363.56	289.02	220.32	387.02	206.94	223.41	358.54	267.73	435.55	368.65	297.17	255.0	277.2	389.72	325.29	320.8	368.65	463.65	463.65	363.56	320.8	341.51	412.0	253.23	301.33	279.14	540.19	429.54	358.54	329.84	426.57	438.59	279.14	497.0	297.17	400.71	414.87	507.46	273.37	279.14	518.15	384.34	356.05	500.46	563.18	334.46	273.37	493.56	248.0	139.07	379.04	460.44	403.5	273.37	567.1	241.19	414.87	497.0	105.89	194.36	42.11	46.18	123.5	180.02	186.4	151.22	94.67	161.02	351.14	343.89	209.84	197.09	156.59	167.9	195.72	253.23	132.44	132.44	206.94	106.63
ASNSD1	1832.01	575.03	547.75	629.35	1313.23	921.88	591.22	497.0	483.38	603.67	878.17	480.04	947.83	532.74	698.41	896.64	679.29	633.73	463.65	713.11	1216.75	1051.79	796.86	866.07	1159.07	688.78	339.14	791.35	1594.73	1111.82	915.51	825.0	967.76	1572.76	612.11	1340.84	808.0	1001.93	1066.48	1199.98	651.58	1225.22	1674.06	571.05	884.29	1225.22	1081.39	1111.82	1135.2	647.07	718.08	1119.56	743.43	1242.34	1781.89	567.1	1242.34	1008.9	1250.98	1088.92	226.54	273.37	180.02	275.28	426.57	432.53	476.71	264.03	170.25	356.05	651.58	307.69	309.83	384.34	423.61	343.89	178.77	547.75	423.61	343.89	358.54	178.77
BET1	1001.93	830.75	848.22	708.18	802.41	444.72	651.58	688.78	674.59	503.95	612.11	688.78	507.46	713.11	476.71	503.95	595.34	543.96	599.49	1044.52	718.08	599.49	400.71	559.28	532.74	514.56	808.0	379.04	947.83	616.37	575.03	591.22	718.08	967.76	483.38	1051.79	629.35	503.95	642.59	819.3	536.45	420.68	1199.98	460.44	497.0	688.78	466.88	708.18	703.28	703.28	620.67	543.96	579.04	909.17	1135.2	728.11	718.08	426.57	1059.11	872.1	417.77	291.04	384.34	289.02	336.79	229.72	297.17	205.5	139.07	81.14	507.46	323.03	176.29	191.67	327.56	201.25	194.36	371.22	532.74	312.0	336.79	299.25
BHLHB9	122.64	43.63	42.71	96.01	96.01	87.65	53.19	58.3	85.82	41.81	93.35	51.71	56.28	69.03	120.94	103.69	68.07	42.41	56.28	97.36	84.04	63.45	62.12	70.01	295.11	51.71	23.08	47.84	121.79	86.43	71.0	74.58	77.25	78.34	55.89	128.79	58.71	94.01	132.44	75.11	69.52	38.95	273.37	89.51	67.12	67.12	109.66	66.18	94.67	157.68	92.05	18.7	120.1	124.37	70.01	156.59	36.01	80.01	111.99	108.14	15.11	10.47	17.77	22.92	24.11	29.7	48.87	46.84	33.54	13.93	52.08	43.02	29.48	58.71	41.81	10.24	22.75	32.82	32.13	22.75	15.34	13.83
BRIX1	1757.34	665.29	728.11	497.0	1008.9	1477.58	1369.04	447.82	540.19	543.96	836.53	995.0	860.08	483.38	825.0	728.11	688.78	555.41	486.75	693.58	921.88	713.11	872.1	728.11	2417.67	473.41	1073.91	638.15	1268.46	703.28	753.83	669.92	743.43	1175.27	791.35	995.0	363.56	575.03	460.44	775.05	358.54	759.08	1059.11	493.56	1159.07	981.29	909.17	902.89	1331.57	473.41	521.76	1427.22	543.96	1081.39	1427.22	518.15	1225.22	432.53	808.0	1216.75	215.77	234.57	90.77	115.97	195.72	293.07	182.55	136.19	173.85	220.32	332.14	205.5	165.57	208.38	299.25	142.01	170.25	389.72	175.07	163.28	169.07	102.25
BTF3L4	2502.97	954.43	1388.16	647.07	1617.0	1457.23	915.51	890.44	934.76	1096.5	1427.22	1286.18	1088.92	1191.69	1216.75	1883.54	1015.93	1059.11	934.76	796.86	1322.37	1909.85	981.29	1295.13	1583.71	1088.92	1151.06	1037.29	1745.2	1313.23	1135.2	921.88	1250.98	1757.34	1037.29	1259.69	813.63	1051.79	1037.29	1023.0	819.3	1359.57	1709.26	866.07	1183.45	1216.75	1167.14	1037.29	1268.46	674.59	1073.91	1781.89	1143.1	1628.26	2090.03	718.08	1605.83	1001.93	1359.57	1923.14	353.59	307.69	947.83	406.31	500.46	540.19	387.02	295.11	226.54	532.74	575.03	616.37	660.68	420.68	521.76	642.59	567.1	674.59	242.88	555.41	612.11	420.68
C4orf27	842.36	435.55	457.25	463.65	543.96	395.18	387.02	279.14	426.57	406.31	587.13	293.07	536.45	368.65	441.64	379.04	438.59	497.0	400.71	563.18	860.08	432.53	674.59	532.74	379.04	412.0	368.65	583.07	780.44	813.63	616.37	603.67	620.67	934.76	780.44	633.73	629.35	633.73	651.58	718.08	583.07	616.37	1950.0	642.59	567.1	928.3	842.36	629.35	738.29	728.11	575.03	532.74	660.68	915.51	909.17	371.22	866.07	412.0	738.29	1001.93	201.25	152.28	111.99	118.43	242.88	336.79	199.85	148.09	95.34	169.07	392.44	414.87	551.56	187.71	368.65	273.37	209.84	412.0	242.88	197.09	241.19	176.29
