	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.AZ.4315.01A.01R.1410.07	TCGA.H7.8501.01A.11R.2403.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.6590.01A.12R.1858.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.78.8662.01A.11R.2403.07	TCGA.49.4494.01A.01R.1206.07	TCGA.64.5775.01A.01R.1628.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.11UD2.0726.SM.5EQ69	GTEX.111FC.1126.SM.5GZWU	GTEX.11ZUS.0126.SM.5EQM5	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.RTLS.0926.SM.2TF5X	GTEX.11ZTT.0626.SM.5EQLM	TCGA.33.4589.01A.01R.1443.07
ASB14	1.53	1.68	3.44	2.61	0.0	3.26	0.28	2.39	2.46	4.21	17.25	13.32	15.34	4.5	13.62	9.13	25.35	11.04	38.67	31.0	17.25	29.48	10.31	34.75	19.97	0.0
BAIAP3	2.81	28.04	4.94	26.67	0.0	51.35	0.39	234.57	23.59	3.35	226.54	397.93	1104.13	400.71	490.14	575.03	981.29	316.37	1540.37	2224.63	723.08	1697.45	775.05	1127.35	384.34	13.12
CA5B	36.01	46.18	55.1	26.28	58.3	119.26	232.94	32.59	22.43	55.89	144.01	376.41	242.88	139.07	199.85	214.27	303.44	120.1	162.14	249.73	381.68	198.47	180.02	403.5	320.8	12.93
CALCOCO1	301.33	376.41	629.35	616.37	0.0	679.29	0.45	536.45	368.65	954.43	5791.62	2178.83	4210.15	5219.6	2537.92	3372.43	4575.41	2816.11	4972.34	3874.05	3146.52	2739.08	3820.7	4769.75	4769.75	392.44
CELA2B	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.29	0.0	46.18	32.36	25.17	16.51	0.0	13.83	15.56	22.43	6.78	20.26	6.46	23.08	0.0	46.5	30.12	4.66
CHD6	100.13	122.64	92.05	70.51	0.0	164.42	0.39	187.71	85.82	130.6	341.51	253.23	361.04	186.4	463.65	406.31	759.08	217.27	258.57	379.04	575.03	366.09	198.47	642.59	273.37	114.36
CPE	82.87	148.09	191.67	119.26	0.0	660.68	0.52	111.99	2485.67	373.81	1757.34	2224.63	2367.9	2032.85	1096.5	1697.45	3168.41	1487.87	1167.14	1313.23	4869.99	1733.13	890.44	3955.48	6887.62	314.17
DMTF1	155.5	480.04	429.54	267.73	0.0	460.44	1.16	406.31	295.11	371.22	447.82	656.11	1119.56	688.78	764.36	961.07	1594.73	674.59	934.76	967.76	967.76	743.43	961.07	1143.1	915.51	387.02
F10	5.5	22.26	9.13	10.63	0.0	15.0	0.4	31.45	14.24	5.59	432.53	249.73	647.07	363.56	127.89	518.15	902.89	138.1	414.87	555.41	521.76	99.43	409.15	571.05	518.15	14.14
FBLN1	129.69	493.56	444.72	954.43	0.0	1111.82	1.01	4038.61	571.05	1119.56	8840.04	7749.1	12589.08	5255.91	1378.57	5329.3	15075.35	4903.87	15824.9	9876.98	11909.94	2287.2	6164.49	15934.98	7966.99	454.09
GCC2	40.07	229.72	197.09	86.43	146.03	325.29	73.03	283.05	115.16	234.57	529.06	583.07	642.59	277.2	579.04	450.94	780.44	318.57	376.41	473.41	457.25	738.29	429.54	738.29	414.87	46.18
HRC	0.0	4.9	1.97	5.5	0.0	4.98	0.21	10.47	3.29	6.84	59.13	27.44	59.97	82.87	19.39	15.56	147.06	13.22	42.71	111.21	98.73	11.91	74.06	78.89	60.39	0.95
KIAA1456	0.33	0.68	1.55	1.77	0.0	9.06	0.46	1.58	2.71	1.71	49.21	511.0	241.19	47.84	115.97	75.11	423.61	55.89	281.09	183.82	361.04	153.34	60.82	813.63	275.28	0.87
KRTAP5-1	0.0	0.65	0.0	2.94	0.0	3.38	0.51	8.13	2.97	2.76	17.9	9.78	37.85	14.03	25.54	12.93	24.28	0.0	1.62	31.0	42.11	12.83	3.86	43.63	3.08	0.0
LGR6	0.33	30.12	10.71	4.06	0.0	60.82	0.39	2.2	12.55	61.25	55.49	91.41	403.5	138.1	24.11	127.89	283.05	55.1	1023.0	172.65	185.11	37.05	417.77	651.58	669.92	0.0
MTMR12	229.72	234.57	191.67	129.69	0.0	279.14	0.43	253.23	153.34	212.78	540.19	320.8	423.61	476.71	242.88	309.83	368.65	647.07	507.46	400.71	660.68	607.87	480.04	493.56	607.87	102.25
MTUS2	2.16	2.25	0.0	0.99	0.0	0.67	0.0	2.18	0.28	0.0	2.56	8.99	42.11	5.45	6.78	8.38	9.93	12.36	13.93	7.57	5.41	6.52	1.19	56.68	33.54	0.0
NBEAL1	26.67	46.18	41.22	43.02	0.0	38.67	0.2	48.52	28.65	30.56	93.35	212.78	208.38	124.37	167.9	246.28	291.04	92.7	94.67	119.26	264.03	185.11	94.01	285.03	102.25	32.36
NICN1	34.75	132.44	115.97	29.7	0.0	100.13	0.52	162.14	121.79	108.14	211.31	253.23	466.88	253.23	197.09	320.8	511.0	273.37	651.58	470.14	500.46	228.13	435.55	483.38	435.55	29.91
OCA2	0.0	6.94	0.0	1.1	0.0	1.38	0.22	2.39	4.28	1.3	9.56	10.47	80.01	64.8	16.63	52.08	44.57	19.39	134.3	105.15	25.72	27.05	54.72	173.85	253.23	0.0
OR2A7	9.78	64.8	12.45	33.78	0.0	28.24	0.35	47.5	17.25	4.17	25.17	97.36	177.53	79.45	88.88	112.77	90.77	25.54	279.14	104.42	80.01	61.68	124.37	208.38	297.17	8.13
PCDHB4	6.11	8.32	1.79	2.43	0.0	13.72	0.3	8.92	7.11	10.96	68.07	153.34	92.05	58.71	35.25	39.79	158.79	43.94	45.53	108.9	98.04	55.1	42.41	178.77	77.25	3.11
POU2F1	61.25	45.85	33.78	47.17	42.71	74.06	57.49	45.85	58.3	44.25	115.16	146.03	92.05	75.64	102.97	82.87	185.11	67.59	90.14	67.12	169.07	182.55	80.01	211.31	121.79	21.16
PPP1R12B	66.65	63.0	21.01	44.57	0.0	95.34	0.38	68.55	90.77	22.1	420.68	476.71	1059.11	325.29	307.69	379.04	1259.69	366.09	500.46	441.64	1225.22	620.67	454.09	872.1	738.29	9.2
PPP1R1A	0.62	7.34	2.39	5.45	0.0	24.99	0.35	0.0	4.54	89.51	40.36	36.79	110.43	59.13	69.03	32.13	26.86	29.7	60.39	107.38	152.28	42.71	39.22	159.9	152.28	9.41
PRDM16	0.93	9.56	16.63	2.34	0.0	35.25	0.27	10.71	13.52	0.64	100.13	76.17	486.75	64.34	490.14	87.03	191.67	157.68	246.28	258.57	53.57	175.07	122.64	521.76	172.65	3.23
PRKAA2	1.53	1.23	0.45	0.0	0.0	16.88	0.36	1.43	14.89	20.11	63.89	70.51	102.25	14.24	22.43	23.76	69.03	15.22	25.54	46.5	148.09	55.89	41.22	141.02	28.45	0.0
RASSF1	373.81	629.35	629.35	366.09	0.0	503.95	0.59	529.06	353.59	423.61	974.5	1159.07	1407.55	1199.98	1199.98	947.83	1268.46	563.18	688.78	1950.0	1477.58	660.68	703.28	1697.45	665.29	239.52
RIMKLB	111.99	34.02	269.6	231.32	0.0	353.59	1.01	316.37	120.94	400.71	518.15	896.64	2701.35	547.75	518.15	1397.83	2018.8	379.04	967.76	1417.35	2434.5	1008.9	802.41	1832.01	1044.52	180.02
SCGB1A1	0.0	18.84	0.0	4.39	0.0	13.03	0.0	540.19	3146.52	0.0	3336720.86	2581895.97	3178687.03	2343119.96	1739208.14	1041331.96	2691538.19	3091765.64	3968052.37	3134925.09	2392353.91	2825352.59	2691538.19	998912.34	3070409.25	8.92
SLC25A27	16.75	83.45	19.25	62.12	0.0	30.34	1.06	24.63	12.36	8.45	182.55	120.1	567.1	229.72	92.05	291.04	791.35	98.73	500.46	723.08	629.35	232.94	432.53	665.29	351.14	6.06
SLC6A1	2.46	8.13	1.01	3.99	0.0	9.7	0.29	11.21	2.53	4.35	18.56	30.78	104.42	13.52	14.56	25.91	93.35	15.68	43.02	183.82	82.29	14.35	39.79	71.5	33.54	1.46
SNAP91	0.0	0.0	0.0	0.0	0.0	1.11	0.08	0.0	0.0	1.04	16.63	1.75	4.54	4.35	1.55	1.89	3.69	2.76	1.19	4.78	1.41	4.21	2.25	9.56	73.54	0.0
SOX5	3.96	5.02	4.98	6.52	0.0	8.99	0.26	6.62	6.84	13.72	91.41	103.69	111.21	39.5	55.49	62.12	189.02	37.32	48.87	55.49	256.78	132.44	172.65	323.03	167.9	0.61
