	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
CLIP3	102.97	53.95	16.51	47.17	20.11	232.94	325.29	426.57	363.56	521.76	759.08	61.68	195.72	78.89	221.86	126.12	147.06	181.28	190.34	124.37	511.0	114.36	20.41	206.94	193.01	43.94	232.94	171.45	718.08	536.45	21.32	89.51	193.01	201.25	387.02	43.32	75.64	214.27	24.28	303.44	126.12	87.03	89.51	144.01	118.43	256.78	318.57	368.65	83.45	54.33	100.13	348.71	92.7	214.27	98.04	50.63	143.01	381.68	713.11	848.22	480.04	258.57	1066.48
DAAM2	36.27	25.91	10.71	29.27	18.56	110.43	88.88	165.57	186.4	201.25	223.41	26.67	96.68	44.25	87.03	51.71	48.18	59.13	107.38	63.45	224.97	47.84	7.88	46.18	81.14	17.38	102.97	37.85	341.51	251.48	9.7	45.85	131.51	111.21	137.14	15.68	29.06	97.36	16.63	156.59	47.5	28.65	40.07	94.67	36.53	90.14	164.42	151.22	44.57	8.58	49.91	121.79	37.32	80.57	44.25	23.76	37.85	186.4	299.25	221.86	234.57	96.68	529.06
DDR2	77.79	27.44	26.67	31.0	32.82	113.56	100.83	244.57	239.52	273.37	209.84	43.63	136.19	49.91	81.71	92.7	82.29	108.9	246.28	63.45	373.81	67.59	9.56	84.63	102.25	32.82	122.64	60.82	432.53	187.71	18.97	88.88	111.99	121.79	197.09	25.91	39.79	115.97	26.86	348.71	63.45	48.87	43.94	130.6	40.93	244.57	154.42	134.3	44.89	15.11	53.95	115.97	50.63	93.35	47.17	55.49	55.89	256.78	202.66	348.71	346.29	100.83	728.11
DPYSL2	97.36	117.6	69.03	87.03	49.56	156.59	208.38	303.44	447.82	450.94	343.89	69.52	147.06	138.1	178.77	153.34	152.28	161.02	265.87	155.5	368.65	141.02	48.18	143.01	136.19	79.45	275.28	147.06	579.04	287.01	41.52	126.12	267.73	299.25	289.02	48.87	111.21	206.94	63.45	289.02	126.12	134.3	96.68	83.45	82.87	236.21	251.48	209.84	107.38	40.07	154.42	217.27	126.12	148.09	88.26	68.07	97.36	255.0	277.2	366.09	309.83	183.82	656.11
EHD2	348.71	246.28	64.34	176.29	92.05	629.35	674.59	819.3	1233.75	1030.12	1561.89	172.65	503.95	305.55	490.14	438.59	371.22	409.15	713.11	444.72	674.59	334.46	161.02	688.78	521.76	151.22	551.56	417.77	1477.58	1250.98	61.25	279.14	738.29	684.02	647.07	88.88	186.4	466.88	100.83	693.58	309.83	183.82	305.55	387.02	191.67	500.46	612.11	1001.93	327.56	88.88	281.09	941.27	314.17	521.76	212.78	136.19	316.37	921.88	1733.13	1857.6	909.17	748.61	2133.97
EPHB1	10.79	3.08	0.43	4.86	2.73	20.26	7.82	14.24	28.86	38.4	87.65	2.84	16.51	5.06	27.44	9.06	12.93	16.15	31.9	12.27	29.7	14.24	2.14	10.08	21.01	2.53	8.65	1.43	50.63	46.18	1.97	4.46	11.13	26.47	16.63	0.25	13.32	13.93	1.51	23.59	7.69	1.66	3.86	13.72	4.86	11.91	19.25	26.1	3.53	4.46	8.78	14.45	3.23	35.76	3.66	1.27	4.17	54.33	60.82	37.32	42.71	19.82	97.36
FAT3	7.82	1.6	0.59	2.05	0.96	14.35	16.88	47.17	22.92	38.4	64.8	1.64	25.35	2.66	11.91	11.55	12.18	12.18	24.63	5.41	36.27	8.13	0.33	12.64	16.88	2.25	14.67	5.63	38.12	34.02	0.35	2.53	10.55	14.14	26.1	4.39	0.72	14.78	1.48	37.59	3.29	0.66	5.96	10.16	3.2	21.94	13.22	16.63	3.32	0.61	5.92	26.86	4.31	13.12	4.43	2.39	7.82	54.72	57.08	70.01	49.91	15.91	57.49
FOXF1	119.26	53.19	23.42	60.39	21.94	253.23	480.04	285.03	1277.29	529.06	518.15	38.4	162.14	140.04	171.45	299.25	115.16	205.5	444.72	214.27	332.14	190.34	22.26	258.57	204.07	53.19	249.73	80.01	708.18	1151.06	18.43	97.36	279.14	264.03	406.31	31.45	62.56	191.67	41.52	351.14	110.43	58.3	77.25	190.34	96.68	186.4	246.28	409.15	115.97	18.7	80.57	301.33	108.14	267.73	86.43	40.07	103.69	318.57	525.39	698.41	583.07	264.03	723.08
FST	23.42	35.25	12.09	32.82	8.78	136.19	95.34	231.32	825.0	819.3	381.68	23.59	126.12	45.53	117.6	70.01	115.97	181.28	253.23	55.49	139.07	148.09	4.17	78.89	54.33	19.53	567.1	36.79	205.5	271.48	2.92	26.67	82.29	82.29	164.42	13.52	28.04	29.48	20.86	178.77	19.39	19.53	58.3	50.63	29.27	142.01	99.43	159.9	21.32	18.03	35.25	281.09	55.49	94.01	28.24	21.47	45.21	220.32	248.0	314.17	728.11	297.17	242.88
GIPC2	4.7	9.63	3.66	3.41	2.81	11.3	12.74	25.72	38.4	31.45	31.22	9.48	5.92	10.0	9.27	16.15	12.36	22.75	26.1	8.06	35.5	6.21	0.96	8.13	8.65	4.46	29.06	7.22	52.45	16.27	1.35	6.84	7.46	21.94	19.39	4.39	7.46	14.89	4.66	20.11	8.38	3.2	4.66	5.28	5.41	21.78	11.47	8.85	6.84	1.51	12.93	26.67	9.13	8.71	4.74	2.12	4.31	27.64	19.11	25.91	41.81	31.9	38.4
