	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6745.11A.01R.1858.07	TCGA.73.4676.11A.01R.1755.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4626.11A.01R.1758.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.Q2AH.0426.SM.2I3EP	GTEX.N7MS.0926.SM.2HMIZ	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.PW2O.0526.SM.2I3DX	TCGA.33.4587.11A.01R.2125.07
AC015987.2	0.0	733.19	738.29	1167.14	1191.69	1457.23	2178.83	1896.65	1685.71	2148.82	412.0	624.99	848.22	674.59	748.61	1015.93	1001.93	599.49	1044.52	1498.22	1044.52	791.35	1111.82
AC024592.12	18.84	52.82	28.86	0.0	87.65	38.12	67.12	115.16	46.18	33.3	36.27	46.18	49.56	15.34	12.36	12.83	25.91	8.65	51.71	22.92	19.25	22.75	87.03
AC120194.1	0.0	140.04	406.31	0.54	2739.08	3325.99	4328.55	3372.43	2555.58	1662.49	320.8	209.84	1697.45	277.2	947.83	1561.89	417.77	262.2	1208.34	1857.6	1286.18	507.46	3443.31
ARL6IP5	981.29	1088.92	1331.57	0.8	5329.3	5076.84	6699.25	5791.62	4123.49	7485.11	4704.07	2573.36	2417.67	2816.11	4671.57	3716.2	2193.99	2224.63	4038.61	11267.44	2855.44	2367.9	5441.3
ASAH1	3018.3	1561.89	1096.5	0.64	12160.22	11584.24	12502.12	11035.54	9945.68	26248.46	12676.65	10959.3	17197.56	10084.54	13399.51	15607.02	10585.95	2758.13	18178.19	13968.57	15607.02	10512.82	10154.69
ATG5	220.32	575.03	339.14	0.56	665.29	518.15	679.29	698.41	438.59	559.28	348.71	241.19	463.65	231.32	346.29	271.48	291.04	251.48	316.37	397.93	384.34	303.44	633.73
B2M	98646.85	195931.88	391864.76	3395.89	746611.43	527933.71	851707.37	663619.99	450134.56	425853.18	124863.17	296977.71	363097.14	301123.38	148488.36	275175.93	179048.63	336441.4	251464.33	513497.31	170568.48	144427.91	577714.63
BRK1	2384.37	1832.01	2591.27	607.87	7803.01	6935.54	9409.14	9088.59	5366.37	7180.15	2417.67	2004.85	4802.93	3168.41	4328.55	4450.27	4328.55	3901.01	4972.34	9344.14	4239.45	2875.3	7803.01
BST1	128.79	41.22	51.71	0.44	559.28	591.22	620.67	536.45	555.41	1044.52	193.01	170.25	253.23	228.13	197.09	275.28	178.77	123.5	457.25	872.1	111.21	223.41	616.37
BTF3	4903.87	8191.0	13399.51	4937.99	19082.0	15934.98	20030.74	22535.88	14867.79	13681.08	7130.55	15934.98	12502.12	7230.1	9025.81	10733.74	8598.28	10084.54	14663.09	22380.2	10883.59	6792.79	17927.91
C12orf10	271.48	633.73	713.11	0.64	1477.58	1167.14	1437.15	1359.57	1104.13	1059.11	819.3	738.29	1088.92	928.3	813.63	674.59	1447.15	551.56	909.17	1540.37	909.17	723.08	1388.16
C12orf57	785.88	1909.85	2271.4	1.1	12589.08	10084.54	12676.65	18431.96	7280.4	5995.9	2468.49	4903.87	7382.04	4543.8	7230.1	4038.61	4575.41	5791.62	4481.23	8598.28	8305.36	4181.07	12160.22
C15orf57	260.38	271.48	358.54	651.58	941.27	896.64	1088.92	1151.06	878.17	612.11	551.56	329.84	480.04	633.73	291.04	529.06	536.45	543.96	595.34	796.86	454.09	514.56	1397.83
C19orf81	0.0	4.7	0.0	0.17	14.45	15.91	16.88	21.01	7.63	3.14	24.63	0.0	113.56	3.79	9.93	9.7	13.03	2.81	4.28	16.51	69.03	13.42	21.47
C8orf59	1819.35	1304.15	1417.35	5403.7	4095.0	3540.14	5594.3	4937.99	2935.74	3081.75	947.83	2193.99	3742.05	1143.1	1896.65	1857.6	1508.65	1081.39	1583.71	4903.87	1572.76	1127.35	5366.37
CALM2	9151.82	7180.15	7803.01	825.0	31432.17	23009.42	38697.77	33922.56	25005.23	22850.48	11909.94	10808.41	19482.97	7331.05	13492.72	15285.81	11827.67	13776.25	21320.18	39237.98	8963.45	9344.14	27938.14
CCDC107	251.48	395.18	312.0	0.82	1498.22	1551.09	1437.15	1651.0	1427.22	1369.04	1519.15	518.15	2417.67	954.43	1651.0	769.69	1277.29	947.83	1617.0	1407.55	1963.57	656.11	1806.78
CD58	463.65	934.76	563.18	0.68	1135.2	1143.1	1295.13	1359.57	1487.87	848.22	802.41	249.73	1250.98	878.17	532.74	583.07	543.96	507.46	1268.46	1199.98	674.59	346.29	1508.65
CD9	4419.52	15715.58	16611.71	11504.21	28525.2	21468.49	24490.61	21172.91	30785.28	46986.85	41763.8	25887.07	32994.92	10585.95	21026.65	42346.82	17317.18	4704.07	55107.99	37639.55	54349.29	19482.97	25708.25
CMC1	129.69	279.14	343.89	0.66	1417.35	1388.16	1175.27	1594.73	1617.0	915.51	356.05	244.57	967.76	412.0	728.11	629.35	438.59	457.25	493.56	1508.65	764.36	473.41	1709.26
COX17	463.65	1651.0	1378.57	0.78	2835.7	2777.33	2956.17	2739.08	2485.67	2047.0	1651.0	961.07	3901.01	1651.0	2075.59	2796.65	1769.57	1457.23	2061.24	2178.83	1427.22	1457.23	3639.7
COX4I1	1697.45	7433.4	7485.11	1.39	20737.16	21172.91	24153.43	25179.16	16727.26	19892.37	8538.88	10084.54	23820.89	12244.81	13033.07	11745.96	8421.31	7433.4	20170.07	30999.42	17927.91	16269.83	23492.92
COX7A2	2032.85	4450.27	3742.05	0.99	13681.08	11992.79	15285.81	15499.21	9540.5	11267.44	2875.3	6337.83	10154.69	5112.16	7382.04	4769.75	7280.4	4543.8	8363.13	11424.74	5633.22	4671.57	15075.35
COX7B	2061.24	2319.15	2119.22	191.67	5147.73	5183.54	7749.1	6840.04	4903.87	4066.71	890.44	2104.58	5292.48	1896.65	3190.46	2520.38	2720.15	1923.14	2976.74	5112.16	2664.15	2104.58	7032.37
CTBS	176.29	426.57	332.14	237.86	483.38	483.38	521.76	551.56	624.99	603.67	318.57	329.84	381.68	256.78	384.34	318.57	403.5	144.01	493.56	454.09	312.0	242.88	547.75
DKFZP779J2370	35.76	10.47	14.67	0.0	58.3	132.44	183.82	102.25	70.51	59.13	12.45	4.06	115.97	27.64	25.35	29.27	55.89	41.52	35.0	62.56	38.67	38.12	81.14
EEF1B2	5292.48	8658.09	7642.41	1.28	26431.04	20170.07	29327.18	34396.12	19214.73	16157.44	5112.16	10659.59	15392.14	7382.04	17558.94	10440.2	12502.12	5041.77	15715.58	43236.64	11112.3	7081.29	30361.44
EIF4EBP3	81.14	361.04	228.13	0.57	1143.1	1175.27	1175.27	1015.93	1277.29	1407.55	878.17	759.08	1709.26	769.69	1397.83	1359.57	733.19	764.36	1733.13	1225.22	1519.15	743.43	1225.22
FAM195B	684.02	563.18	1159.07	0.92	3372.43	3124.78	3372.43	3614.55	3419.52	2997.45	1605.83	591.22	2468.49	1628.26	1350.18	1143.1	1977.24	2004.85	2090.03	2976.74	2090.03	2178.83	3928.15
FAU	5479.15	11664.82	17927.91	21919.61	50359.33	41188.81	59887.86	60304.42	35856.82	26800.01	19618.49	27553.49	33688.23	21468.49	26248.46	30785.28	24153.43	16496.96	36106.23	40341.14	38697.77	21172.91	61146.25
FBXL15	10.24	107.38	137.14	0.57	339.14	267.73	320.8	299.25	269.6	323.03	138.1	142.01	651.58	218.79	366.09	346.29	194.36	77.25	392.44	201.25	447.82	140.04	426.57
FDPS	3589.58	4639.29	2287.2	0.61	6426.31	7081.29	10440.2	6792.79	6079.61	6471.02	4388.98	2520.38	7589.61	5555.65	4937.99	8718.32	11745.96	3467.27	5255.91	6250.56	8022.41	5112.16	8078.22
FKBP1B	96.01	28.65	64.34	0.56	836.53	607.87	1001.93	785.88	441.64	267.73	656.11	64.34	961.07	1008.9	547.75	417.77	228.13	607.87	551.56	1127.35	769.69	336.79	656.11
