	TCGA.AZ.6605.11A.01R.1839.07	GTEX.14E6C.2226.SM.5QGQG	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.X8HC.1326.SM.46MWB	GTEX.13QBU.0826.SM.5IJBU	GTEX.X15G.1026.SM.4PQZF	GTEX.146FQ.1126.SM.5NQBM	GTEX.146FH.1626.SM.5NQ9H	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13O3O.0726.SM.5J1N7	GTEX.11NUK.2426.SM.5BC4U
ACOT13	412.0	147.06	336.79	228.13	325.29	277.2	260.38	214.27	723.08	470.14	830.75	0.0	0.33	108.9	318.57
ADCK1	258.57	87.03	232.94	143.01	176.29	187.71	144.01	94.01	255.0	231.32	255.0	0.0	0.19	65.72	71.5
ALKBH5	2148.82	1127.35	1909.85	1745.2	2133.97	1407.55	1467.37	1104.13	2133.97	1883.54	2032.85	866.07	277.2	723.08	567.1
ANAPC15	1844.76	890.44	1216.75	988.12	1313.23	1242.34	490.14	860.08	1769.57	2133.97	1594.73	0.0	0.48	547.75	567.1
ATP5SL	1769.57	612.11	890.44	1015.93	1175.27	947.83	808.0	796.86	1950.0	1369.04	1923.14	0.0	0.65	297.17	444.72
BANF1	5147.73	2075.59	5711.87	2976.74	3395.89	3124.78	2148.82	2777.33	4671.57	5147.73	6840.04	0.0	0.62	1551.09	1819.35
BOK	3901.01	476.71	802.41	825.0	1359.57	1088.92	780.44	607.87	1551.09	1378.57	1685.71	0.0	0.6	102.25	84.63
C1orf216	1277.29	175.07	583.07	1225.22	1447.15	490.14	285.03	256.78	414.87	414.87	429.54	0.0	0.47	167.9	41.22
C22orf39	1936.53	624.99	1286.18	1508.65	2335.28	1832.01	603.67	961.07	1447.15	1286.18	1457.23	0.0	0.55	417.77	283.05
CDIP1	703.28	343.89	403.5	651.58	728.11	651.58	525.39	660.68	1487.87	1119.56	1159.07	0.0	0.54	95.34	76.71
CHCHD4	429.54	198.47	325.29	325.29	460.44	341.51	231.32	236.21	620.67	426.57	599.49	0.0	0.0	127.89	96.68
COQ3	387.02	155.5	206.94	156.59	251.48	181.28	131.51	171.45	397.93	279.14	214.27	0.0	0.13	26.28	95.34
COX10	320.8	103.69	242.88	175.07	279.14	206.94	145.02	165.57	361.04	426.57	291.04	155.5	291.04	111.21	195.72
DEF8	2417.67	1183.45	1135.2	1407.55	1369.04	1359.57	1572.76	1159.07	1896.65	1745.2	2287.2	0.0	1.01	363.56	283.05
DHRS4	1250.98	373.81	848.22	796.86	1023.0	866.07	607.87	674.59	1697.45	1369.04	1832.01	0.0	0.49	389.72	738.29
DHRS4L2	748.61	371.22	703.28	514.56	656.11	624.99	476.71	417.77	1277.29	1081.39	1519.15	0.0	0.42	242.88	587.13
DHRSX	220.32	118.43	154.42	127.89	143.01	140.04	158.79	141.02	194.36	429.54	241.19	0.0	0.55	85.82	139.07
EIF2D	1008.9	483.38	713.11	915.51	802.41	866.07	532.74	769.69	1044.52	941.27	1059.11	0.0	0.55	339.14	256.78
ERC1	575.03	141.02	470.14	486.75	559.28	457.25	185.11	358.54	490.14	503.95	559.28	0.0	0.56	187.71	143.01
EXOC7	2133.97	941.27	1639.59	1781.89	1757.34	1662.49	1175.27	1208.34	1977.24	2133.97	2319.15	0.0	0.8	743.43	796.86
FAM104B	693.58	135.24	483.38	400.71	536.45	521.76	242.88	289.02	579.04	587.13	620.67	0.0	0.16	256.78	133.36
FAM173A	555.41	432.53	409.15	269.6	295.11	463.65	476.71	426.57	674.59	500.46	713.11	0.0	0.55	110.43	140.04
FAM207A	961.07	493.56	466.88	373.81	802.41	1159.07	703.28	733.19	1639.59	1183.45	1322.37	0.0	0.31	248.0	178.77
FAM53B	406.31	172.65	242.88	267.73	293.07	246.28	108.9	189.02	412.0	297.17	356.05	0.0	0.42	93.35	98.73
FEZ1	1883.54	483.38	1896.65	1857.6	2335.28	1151.06	679.29	769.69	1286.18	1369.04	1259.69	0.0	0.69	507.46	165.57
GNA12	2148.82	450.94	1175.27	1745.2	1745.2	1167.14	848.22	866.07	1111.82	1331.57	1183.45	915.51	105.89	674.59	748.61
GRHPR	2720.15	1250.98	1519.15	1769.57	1963.57	1769.57	1721.16	1639.59	2224.63	3419.52	2271.4	1769.57	98.73	981.29	2163.77
HDAC11	603.67	234.57	438.59	555.41	802.41	476.71	167.9	239.52	669.92	780.44	890.44	0.0	0.36	66.65	72.01
HIBCH	454.09	316.37	336.79	371.22	441.64	547.75	293.07	289.02	500.46	518.15	583.07	0.0	0.37	136.19	332.14
ILDR2	246.28	7.22	55.89	24.99	133.36	33.78	10.96	17.25	57.89	34.02	44.89	1.5	39.5	23.76	5.36
KCNK3	583.07	25.72	106.63	521.76	299.25	220.32	121.79	181.28	264.03	150.17	387.02	0.0	0.42	123.5	7.22
KCTD17	723.08	209.84	884.29	854.13	1030.12	607.87	423.61	323.03	674.59	567.1	988.12	0.0	0.56	147.06	108.14
KCTD21	279.14	88.26	131.51	178.77	198.47	120.94	75.11	176.29	194.36	193.01	256.78	0.0	0.1	58.71	21.01
LRRC47	1242.34	599.49	961.07	1015.93	1143.1	1030.12	728.11	884.29	1225.22	1073.91	1369.04	0.0	0.25	389.72	194.36
MED22	947.83	532.74	543.96	688.78	921.88	575.03	547.75	420.68	1175.27	759.08	759.08	212.78	497.0	128.79	115.16
MRAS	802.41	271.48	753.83	1051.79	1487.87	480.04	450.94	500.46	612.11	753.83	791.35	164.42	473.41	139.07	74.58
MRPL34	2720.15	967.76	1388.16	1594.73	1963.57	1757.34	1242.34	1909.85	4512.4	2193.99	3564.78	0.0	0.4	438.59	1191.69
