	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.11P82.1026.SM.5BC5J	GTEX.R53T.1326.SM.48FCQ	GTEX.145MN.1726.SM.5SIA6	GTEX.147JS.2526.SM.5S2Q8	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.OXRK.1726.SM.3NB16	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XMK1.1726.SM.4B64Z	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.12KS4.2426.SM.5LU8P	GTEX.113JC.1026.SM.5H117	GTEX.12584.1426.SM.5EGJ9	GTEX.11NV4.1126.SM.5HL6J	TCGA.CG.5733.11A.01R.1602.13	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.13N1W.2026.SM.5K7YU	GTEX.ZVT3.2126.SM.59HL2	GTEX.13RTK.0226.SM.5RQHR	GTEX.P78B.1826.SM.3P5YX
ABT1	466.88	521.76	420.68	567.1	532.74	258.57	457.25	486.75	497.0	473.41	441.64	460.44	579.04	406.31	325.29	265.87	267.73	486.75	450.94	206.94	312.0	131.51	100.83	224.97	414.87	470.14
ACOT13	1359.57	1268.46	813.63	954.43	1295.13	688.78	1119.56	1167.14	836.53	1001.93	995.0	769.69	1183.45	575.03	612.11	241.19	172.65	267.73	638.15	318.57	178.77	332.14	214.27	358.54	253.23	540.19
ACP1	2451.44	1806.78	2351.53	2384.37	2119.22	2119.22	2004.85	2032.85	1819.35	2351.53	2555.58	2701.35	2303.12	2434.5	2335.28	1135.2	884.29	775.05	2004.85	1685.71	1733.13	1313.23	1051.79	1378.57	1313.23	1794.29
AFTPH	555.41	679.29	884.29	830.75	785.88	423.61	579.04	743.43	571.05	866.07	830.75	571.05	620.67	507.46	633.73	305.55	616.37	358.54	536.45	480.04	420.68	493.56	285.03	529.06	435.55	547.75
AGGF1	209.84	229.72	314.17	269.6	271.48	175.07	244.57	267.73	215.77	265.87	256.78	281.09	281.09	171.45	220.32	78.34	51.71	53.19	186.4	92.7	116.78	98.04	65.72	159.9	204.07	265.87
AP3S2	1030.12	1015.93	1950.0	1191.69	1104.13	525.39	1417.35	1233.75	878.17	1001.93	995.0	647.07	1159.07	503.95	483.38	281.09	325.29	262.2	251.48	220.32	258.57	309.83	267.73	447.82	334.46	486.75
API5	896.64	954.43	1175.27	1350.18	947.83	848.22	825.0	974.5	941.27	1225.22	1143.1	1208.34	1030.12	902.89	1111.82	713.11	403.5	363.56	688.78	583.07	624.99	624.99	954.43	688.78	633.73	819.3
C14orf142	591.22	457.25	1096.5	738.29	743.43	395.18	511.0	684.02	426.57	791.35	753.83	547.75	718.08	325.29	518.15	65.26	156.59	120.94	320.8	137.14	212.78	171.45	74.58	265.87	197.09	305.55
C6orf203	842.36	819.3	961.07	1104.13	1088.92	414.87	656.11	988.12	753.83	1127.35	1008.9	780.44	872.1	363.56	559.28	175.07	65.26	80.01	500.46	132.44	236.21	163.28	79.45	249.73	450.94	514.56
CCZ1	947.83	1857.6	1991.0	1233.75	1923.14	928.3	1191.69	1023.0	1427.22	1030.12	1259.69	1819.35	1259.69	1183.45	1111.82	854.13	457.25	884.29	878.17	947.83	872.1	764.36	463.65	785.88	511.0	563.18
CHCHD4	507.46	460.44	423.61	426.57	389.72	312.0	289.02	373.81	395.18	447.82	297.17	376.41	389.72	226.54	332.14	281.09	93.35	99.43	277.2	96.68	122.64	156.59	217.27	198.47	212.78	295.11
COG2	612.11	633.73	759.08	825.0	748.61	366.09	591.22	684.02	679.29	728.11	813.63	555.41	629.35	412.0	559.28	211.31	110.43	147.06	426.57	140.04	220.32	242.88	127.0	224.97	368.65	514.56
COIL	246.28	293.07	301.33	376.41	246.28	137.14	218.79	264.03	277.2	275.28	303.44	264.03	285.03	177.53	256.78	120.94	64.8	83.45	182.55	148.09	94.67	85.82	97.36	180.02	180.02	231.32
COPG2	432.53	785.88	785.88	674.59	780.44	748.61	473.41	595.34	591.22	353.59	830.75	878.17	1037.29	291.04	571.05	220.32	273.37	92.7	260.38	320.8	289.02	185.11	289.02	356.05	450.94	239.52
DDX1	1268.46	1437.15	1477.58	1685.71	1407.55	1037.29	1127.35	1378.57	1242.34	1519.15	1407.55	1594.73	1313.23	819.3	1268.46	836.53	423.61	287.01	825.0	447.82	599.49	476.71	579.04	521.76	830.75	1015.93
EBAG9	674.59	647.07	1081.39	842.36	1127.35	656.11	698.41	848.22	665.29	808.0	813.63	665.29	896.64	466.88	665.29	336.79	457.25	275.28	915.51	341.51	320.8	426.57	231.32	525.39	466.88	693.58
ELMOD2	255.0	255.0	447.82	358.54	358.54	309.83	224.97	287.01	264.03	339.14	366.09	346.29	256.78	165.57	339.14	105.15	90.14	98.73	157.68	108.14	123.5	69.52	127.0	248.0	183.82	190.34
ERLIN2	400.71	629.35	1104.13	921.88	981.29	409.15	723.08	728.11	511.0	684.02	698.41	514.56	813.63	348.71	497.0	121.79	154.42	55.49	429.54	175.07	218.79	148.09	171.45	348.71	371.22	389.72
FAM120A	2335.28	1923.14	2682.69	2555.58	2720.15	1540.37	2047.0	2627.46	2537.92	2875.3	2609.3	2178.83	2976.74	1819.35	1883.54	981.29	656.11	420.68	1806.78	1233.75	1605.83	1191.69	733.19	1340.84	1697.45	1883.54
