	TCGA.CM.4744.01A.01R.A32Z.07	GTEX.13O61.1226.SM.5KM21	GTEX.S7SE.0926.SM.2XCD6	TCGA.85.7710.11A.01R.2125.07	TCGA.CG.5732.01A.11R.1602.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.IN.A6RI.01A.11R.A32D.31	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.HU.A4GT.01A.21R.A251.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.12WSG.2026.SM.5FQUU
AKAP2	31.0	1104.13	1674.06	1662.49	463.65	1417.35	642.59	366.09	928.3	1127.35	397.93	1127.35	141.02	258.57	1175.27	237.86	1001.93	283.05	171.45	201.25	351.14	142.01	277.2	808.0	1233.75	674.59	854.13	753.83	802.41	228.13
AP1M1	441.64	1111.82	1350.18	1059.11	620.67	1088.92	748.61	547.75	733.19	603.67	813.63	1286.18	307.69	660.68	1151.06	547.75	947.83	450.94	417.77	293.07	656.11	353.59	555.41	1073.91	1111.82	567.1	890.44	656.11	769.69	571.05
ARHGAP31	9.7	148.09	414.87	358.54	67.59	193.01	162.14	39.22	133.36	190.34	139.07	224.97	19.68	67.12	329.84	78.34	242.88	108.14	48.87	30.78	73.54	34.02	61.68	190.34	239.52	85.82	128.79	88.88	155.5	97.36
ASB2	44.89	728.11	232.94	170.25	81.14	665.29	94.67	20.11	95.34	279.14	111.21	1561.89	18.16	71.5	189.02	18.7	258.57	51.71	43.02	10.96	21.78	5.02	48.18	547.75	1304.15	142.01	587.13	256.78	759.08	71.0
C10orf128	55.1	346.29	1662.49	988.12	186.4	470.14	231.32	43.63	177.53	426.57	277.2	295.11	37.59	94.67	379.04	128.79	334.46	88.88	71.0	60.82	153.34	18.97	94.67	305.55	265.87	249.73	629.35	305.55	656.11	154.42
C1orf162	115.16	583.07	2133.97	2400.97	297.17	981.29	579.04	68.55	341.51	1081.39	571.05	860.08	161.02	287.01	1417.35	186.4	819.3	246.28	124.37	178.77	447.82	94.67	159.9	457.25	387.02	336.79	1051.79	273.37	1051.79	171.45
CAMK1D	68.55	90.77	373.81	329.84	39.5	232.94	143.01	28.04	84.04	151.22	54.72	133.36	7.0	31.22	289.02	28.04	125.24	16.15	21.01	45.53	70.01	13.93	114.36	120.1	120.1	59.97	99.43	50.27	85.82	37.05
CD200	30.78	221.86	612.11	334.46	92.05	438.59	100.83	41.52	164.42	291.04	186.4	269.6	53.19	43.02	567.1	108.9	366.09	143.01	99.43	91.41	124.37	52.82	92.05	175.07	264.03	85.82	258.57	100.13	381.68	66.65
CDC42EP3	34.26	624.99	830.75	896.64	297.17	688.78	366.09	173.85	400.71	629.35	226.54	1331.57	87.65	181.28	633.73	289.02	669.92	249.73	118.43	133.36	248.0	90.77	323.03	435.55	769.69	285.03	514.56	353.59	525.39	217.27
CHRNA4	0.0	0.88	13.12	0.8	0.32	4.21	0.65	0.0	2.46	1.27	0.0	2.07	0.0	0.32	0.96	0.0	0.35	0.35	0.0	0.0	0.0	0.0	3.32	2.71	3.92	0.0	0.87	1.13	1.23	0.0
