	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.AACK.01A.11R.A41C.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.X4XY.1626.SM.46MVN	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13QJC.0726.SM.5RQJK	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11DXY.0426.SM.5H12R	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
AHNAK	409.15	441.64	836.53	723.08	909.17	728.11	249.73	813.63	743.43	0.0	0.8	1286.18	748.61	1350.18	2148.82	1015.93	2193.99	2434.5	1437.15	3419.52	1561.89	1477.58	1819.35	2351.53	819.3	4543.8	1685.71	1721.16	1721.16	1583.71	3146.52	1594.73	1832.01	3190.46	2047.0	1225.22	3467.27	1806.78	1508.65	1794.29	1407.55	3955.48	1322.37	884.29	1088.92	4298.64	1001.93	2133.97	1208.34	2417.67	1023.0	486.75	656.11	1259.69	1561.89	1397.83	1199.98	1143.1	432.53	928.3	748.61	1733.13	1583.71	1008.9	1487.87	2032.85	1268.46	1769.57	1896.65	1857.6	1617.0
ANTXR1	36.01	48.18	14.78	43.94	16.15	19.53	33.78	48.52	17.13	0.0	0.44	642.59	514.56	915.51	1733.13	896.64	2209.26	2915.45	836.53	2915.45	1030.12	607.87	2468.49	1540.37	575.03	3467.27	1295.13	633.73	825.0	599.49	4298.64	915.51	693.58	1794.29	860.08	1023.0	3467.27	1583.71	872.1	1721.16	642.59	2502.97	616.37	738.29	1044.52	2777.33	420.68	1781.89	909.17	2271.4	497.0	547.75	616.37	1127.35	808.0	733.19	1427.22	555.41	460.44	688.78	500.46	571.05	603.67	791.35	476.71	1427.22	743.43	1015.93	1313.23	2104.58	2148.82
ARHGEF25	14.67	40.07	24.63	24.63	33.06	38.67	18.29	44.57	32.13	0.0	0.61	86.43	149.12	105.15	358.54	117.6	237.86	229.72	129.69	224.97	108.9	127.0	358.54	223.41	46.84	525.39	299.25	169.07	157.68	223.41	366.09	156.59	137.14	454.09	299.25	163.28	376.41	163.28	152.28	205.5	107.38	273.37	123.5	132.44	186.4	441.64	166.73	291.04	90.14	273.37	83.45	73.03	117.6	193.01	94.01	134.3	260.38	35.5	39.5	89.51	154.42	81.71	92.05	62.56	119.26	329.84	194.36	82.29	255.0	220.32	287.01
BRINP3	3.2	0.0	0.0	0.47	0.0	0.0	0.0	9.85	0.0	0.0	0.13	7.94	1.81	16.88	63.89	47.17	94.67	59.55	32.36	61.68	22.75	22.92	76.17	73.54	1.1	117.6	36.27	22.26	45.21	38.12	159.9	35.5	41.81	87.65	41.81	14.89	129.69	36.53	18.7	58.3	20.71	84.63	83.45	10.0	7.22	141.02	5.02	48.18	19.25	61.25	19.39	4.9	9.41	31.0	18.16	26.1	49.91	13.32	8.58	8.38	6.31	10.47	11.13	41.22	35.0	55.89	35.0	7.46	48.18	108.14	30.56
C1QTNF2	2.01	4.31	1.66	2.76	4.03	2.07	0.58	3.76	0.69	0.0	0.0	5.59	1.5	13.32	136.19	11.91	65.72	95.34	26.47	155.5	18.84	25.54	59.55	47.17	3.32	135.24	97.36	22.26	24.11	23.42	137.14	50.63	18.43	124.37	46.5	21.78	166.73	53.95	32.82	47.5	12.36	147.06	21.78	44.25	12.0	121.79	21.94	78.34	16.75	115.16	12.83	15.45	9.2	79.45	9.06	8.85	69.03	11.91	16.51	20.71	18.84	23.76	13.22	11.21	22.75	76.71	12.55	13.12	85.22	65.72	63.0
C1QTNF7	0.95	1.25	1.53	0.77	2.97	8.38	0.78	17.51	2.94	0.0	0.0	7.94	5.63	44.89	239.52	19.53	215.77	206.94	70.51	343.89	55.49	39.5	190.34	120.94	8.13	199.85	212.78	33.06	52.82	19.97	356.05	78.34	50.98	198.47	102.25	72.52	287.01	125.24	53.95	87.03	46.18	314.17	41.81	17.9	27.64	567.1	19.25	291.04	50.27	256.78	5.96	14.35	20.56	82.29	37.59	36.01	114.36	10.39	22.1	48.87	18.97	29.27	18.84	11.13	69.52	145.02	40.07	17.64	183.82	209.84	150.17
CPXM2	0.82	5.23	2.84	10.31	7.28	8.65	9.93	9.93	5.54	0.0	0.29	28.45	17.13	121.79	265.87	142.01	463.65	264.03	111.99	563.18	228.13	49.91	339.14	118.43	30.34	674.59	371.22	100.83	244.57	98.73	878.17	480.04	94.01	674.59	309.83	148.09	808.0	293.07	149.12	271.48	111.21	665.29	90.77	202.66	281.09	392.44	42.71	208.38	84.04	265.87	397.93	80.01	126.12	99.43	119.26	40.64	193.01	22.75	48.87	124.37	29.7	77.79	40.93	74.06	51.71	285.03	99.43	99.43	318.57	540.19	218.79
DKK3	133.36	90.77	59.13	136.19	100.13	24.81	88.26	44.25	34.26	0.0	0.99	339.14	480.04	180.02	1304.15	376.41	934.76	1427.22	343.89	1268.46	571.05	297.17	1322.37	896.64	242.88	1369.04	1437.15	429.54	466.88	429.54	1119.56	511.0	271.48	1304.15	915.51	521.76	1529.73	723.08	389.72	713.11	325.29	2119.22	417.77	358.54	483.38	1639.59	334.46	1088.92	329.84	1447.15	293.07	113.56	215.77	791.35	249.73	191.67	1037.29	320.8	320.8	265.87	325.29	228.13	224.97	206.94	275.28	1151.06	376.41	688.78	808.0	775.05	543.96
EPHA3	0.61	3.06	6.52	8.13	7.11	5.92	11.47	18.43	3.32	0.0	0.15	39.22	13.93	215.77	536.45	239.52	171.45	967.76	420.68	1051.79	180.02	228.13	599.49	624.99	73.54	358.54	638.15	253.23	198.47	102.97	995.0	239.52	190.34	363.56	161.02	218.79	1030.12	567.1	122.64	447.82	194.36	1044.52	299.25	198.47	76.17	2018.8	127.89	532.74	218.79	713.11	150.17	85.22	115.16	248.0	190.34	144.01	466.88	205.5	51.71	105.15	141.02	131.51	90.77	204.07	237.86	351.14	135.24	205.5	450.94	620.67	334.46
FAM180B	0.0	0.0	6.36	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.23	0.0	33.3	417.77	49.56	201.25	346.29	66.65	1167.14	80.57	16.27	435.55	299.25	10.24	406.31	271.48	35.25	81.14	19.39	813.63	145.02	29.06	624.99	50.27	52.82	813.63	52.08	51.71	291.04	52.45	638.15	27.64	90.14	34.75	698.41	9.48	384.34	65.26	356.05	36.01	4.39	24.81	206.94	47.5	23.93	143.01	5.82	6.89	78.34	11.21	14.67	24.28	25.35	36.53	320.8	20.71	120.94	295.11	633.73	277.2
