	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.4279.01A.01R.1131.13
CCDC84	860.08	58.71	532.74	579.04	211.31	607.87	130.6	163.28	249.73	392.44	332.14	723.08	104.42	483.38	567.1	175.07	153.34	152.28	289.02	249.73	698.41	172.65	490.14	748.61	307.69	205.5	466.88	105.89	429.54	154.42	429.54	414.87	273.37	406.31	547.75	291.04	234.57	629.35	78.34	214.27	397.93	500.46	397.93	341.51	555.41	595.34	339.14	454.09	559.28	314.17	73.54	540.19	480.04	218.79	283.05	0.0	1.14	102.25
CCNL2	6164.49	351.14	3467.27	3039.3	808.0	2573.36	656.11	902.89	825.0	3901.01	2451.44	3280.18	429.54	2645.74	2956.17	669.92	587.13	444.72	1066.48	2032.85	5479.15	947.83	1977.24	5147.73	1127.35	693.58	3491.39	403.5	2573.36	525.39	4038.61	688.78	1662.49	1844.76	2777.33	1397.83	921.88	5183.54	571.05	1088.92	1225.22	2061.24	1844.76	1127.35	1923.14	2777.33	2451.44	2555.58	3491.39	1277.29	368.65	1191.69	4152.18	1167.14	1417.35	0.0	1.89	423.61
CDC42BPG	412.0	111.99	497.0	616.37	74.58	356.05	82.87	283.05	224.97	483.38	204.07	417.77	67.12	412.0	400.71	155.5	68.07	34.26	117.6	127.0	392.44	105.15	275.28	417.77	121.79	38.95	353.59	50.27	234.57	351.14	536.45	206.94	215.77	490.14	363.56	180.02	412.0	647.07	101.54	228.13	144.01	395.18	339.14	97.36	314.17	301.33	255.0	332.14	224.97	93.35	176.29	132.44	277.2	177.53	226.54	0.0	0.43	4.66
CDK3	316.37	48.52	291.04	258.57	12.55	172.65	41.81	43.94	29.7	194.36	208.38	170.25	47.84	155.5	269.6	49.91	49.21	35.0	80.01	62.56	149.12	63.89	199.85	318.57	76.71	27.44	118.43	35.25	151.22	53.57	123.5	73.54	115.97	122.64	212.78	109.66	58.71	327.56	20.71	46.18	105.15	173.85	131.51	63.0	152.28	172.65	140.04	123.5	212.78	137.14	127.89	74.06	226.54	141.02	114.36	0.0	0.97	26.67
CHERP	884.29	332.14	796.86	854.13	529.06	764.36	363.56	438.59	414.87	921.88	748.61	1096.5	334.46	780.44	693.58	483.38	395.18	234.57	575.03	612.11	808.0	450.94	607.87	825.0	575.03	336.79	507.46	295.11	651.58	647.07	764.36	616.37	567.1	669.92	764.36	540.19	463.65	791.35	336.79	540.19	389.72	543.96	559.28	279.14	575.03	460.44	660.68	579.04	733.19	361.04	521.76	228.13	941.27	420.68	518.15	511.0	214.27	246.28
CLASRP	3060.45	177.53	2018.8	1662.49	291.04	1447.15	511.0	463.65	334.46	2240.11	1081.39	2240.11	151.22	1733.13	1487.87	633.73	283.05	185.11	595.34	1242.34	3280.18	915.51	1096.5	2664.15	660.68	162.14	2178.83	269.6	1936.53	708.18	1639.59	808.0	616.37	854.13	2287.2	647.07	559.28	2224.63	267.73	866.07	316.37	1340.84	842.36	348.71	1119.56	921.88	995.0	934.76	2004.85	1030.12	808.0	769.69	2163.77	1199.98	559.28	0.0	1.5	253.23
CNKSR1	1143.1	148.09	748.61	775.05	473.41	575.03	454.09	376.41	271.48	1561.89	775.05	1340.84	138.1	967.76	669.92	256.78	353.59	77.25	223.41	480.04	1030.12	339.14	429.54	1119.56	387.02	208.38	1008.9	205.5	896.64	403.5	830.75	356.05	420.68	583.07	890.44	579.04	341.51	1081.39	447.82	301.33	228.13	624.99	547.75	205.5	503.95	457.25	426.57	423.61	529.06	226.54	256.78	316.37	591.22	356.05	341.51	0.0	0.18	100.13
CRELD1	1268.46	441.64	1023.0	915.51	607.87	941.27	366.09	476.71	514.56	1397.83	769.69	974.5	169.07	1119.56	1066.48	753.83	231.32	185.11	483.38	1322.37	830.75	348.71	780.44	988.12	728.11	146.03	486.75	363.56	896.64	896.64	896.64	543.96	438.59	866.07	808.0	748.61	1175.27	947.83	688.78	1417.35	329.84	665.29	688.78	209.84	802.41	684.02	1023.0	473.41	981.29	356.05	1277.29	373.81	1388.16	447.82	780.44	0.0	0.47	460.44
CSNK1G2	1340.84	567.1	1540.37	1286.18	551.56	1268.46	444.72	543.96	480.04	1340.84	1313.23	1322.37	693.58	1104.13	1277.29	529.06	525.39	293.07	728.11	1143.1	1250.98	624.99	1023.0	1359.57	579.04	217.27	1417.35	339.14	1175.27	1111.82	1477.58	599.49	890.44	813.63	1561.89	872.1	785.88	1662.49	571.05	603.67	463.65	819.3	607.87	476.71	1051.79	854.13	684.02	1015.93	791.35	941.27	713.11	339.14	819.3	1023.0	738.29	0.0	0.66	356.05
CXXC1	2537.92	121.79	1977.24	1745.2	400.71	1572.76	412.0	303.44	587.13	1242.34	915.51	2240.11	170.25	1757.34	1639.59	603.67	218.79	175.07	536.45	967.76	1208.34	450.94	1417.35	2032.85	361.04	102.25	1322.37	164.42	1617.0	507.46	1769.57	473.41	463.65	995.0	1923.14	633.73	629.35	1977.24	309.83	493.56	441.64	1143.1	921.88	277.2	1051.79	708.18	1135.2	674.59	1639.59	555.41	647.07	599.49	2163.77	1001.93	708.18	0.0	1.1	400.71
DFFB	112.77	24.99	117.6	115.16	41.52	86.43	42.41	159.9	76.71	134.3	60.39	147.06	34.51	118.43	137.14	36.27	44.25	19.82	43.02	75.64	131.51	36.27	87.03	135.24	44.25	30.12	81.14	55.1	79.45	39.5	98.04	33.78	137.14	56.28	90.77	47.84	67.12	180.02	31.22	45.85	76.71	74.58	90.14	52.45	69.52	64.8	94.01	74.58	74.58	33.06	51.71	37.85	112.77	45.21	85.22	0.0	0.2	59.97
DMAP1	988.12	316.37	974.5	1030.12	967.76	514.56	444.72	409.15	341.51	896.64	1268.46	1167.14	202.66	1119.56	1191.69	547.75	224.97	167.9	497.0	490.14	860.08	493.56	902.89	1250.98	507.46	194.36	941.27	189.02	854.13	753.83	860.08	339.14	521.76	1001.93	1135.2	693.58	444.72	1135.2	454.09	954.43	579.04	733.19	764.36	358.54	954.43	718.08	974.5	819.3	1437.15	575.03	769.69	571.05	1628.26	620.67	791.35	547.75	100.83	660.68
DNHD1	180.02	56.28	163.28	134.3	29.27	138.1	43.94	40.36	89.51	94.67	74.06	438.59	63.0	111.99	59.55	28.24	18.56	69.52	63.45	110.43	189.02	64.34	58.3	138.1	65.72	54.72	149.12	26.67	96.68	68.07	139.07	29.27	36.53	96.01	125.24	82.87	48.18	186.4	18.97	20.71	75.11	149.12	90.14	68.07	78.89	105.89	171.45	166.73	316.37	55.1	7.63	102.25	246.28	37.85	53.95	0.0	1.06	7.46
DPH7	1088.92	113.56	733.19	713.11	197.09	656.11	139.07	312.0	262.2	688.78	669.92	796.86	137.14	748.61	753.83	371.22	246.28	104.42	366.09	500.46	802.41	366.09	540.19	1216.75	361.04	82.29	633.73	265.87	595.34	323.03	693.58	463.65	348.71	470.14	860.08	343.89	271.48	988.12	153.34	414.87	289.02	500.46	426.57	215.77	486.75	412.0	567.1	423.61	633.73	403.5	301.33	414.87	878.17	397.93	368.65	0.0	0.93	293.07
ECHDC2	5041.77	532.74	4869.99	3768.09	988.12	2451.44	1081.39	466.88	669.92	3874.05	2004.85	5255.91	642.59	4972.34	4210.15	1437.15	486.75	703.28	1037.29	2875.3	4704.07	1369.04	2537.92	5751.61	1250.98	518.15	2303.12	470.14	3794.3	633.73	4543.8	1304.15	1268.46	3372.43	3039.3	2163.77	896.64	4802.93	1015.93	1066.48	2555.58	2816.11	3081.75	1709.26	3349.13	2485.67	4802.93	3257.52	7280.4	902.89	1066.48	2224.63	6792.79	2047.0	1794.29	0.0	0.84	728.11
EGFL8	612.11	99.43	525.39	629.35	70.51	258.57	46.84	38.67	42.11	473.41	277.2	866.07	148.09	412.0	529.06	127.0	96.68	60.82	202.66	307.69	366.09	98.04	260.38	967.76	141.02	62.12	277.2	108.14	293.07	66.65	316.37	83.45	103.69	182.55	543.96	209.84	109.66	674.59	29.06	154.42	253.23	265.87	208.38	264.03	334.46	438.59	320.8	212.78	241.19	189.02	297.17	131.51	305.55	269.6	197.09	0.0	0.73	220.32
EML3	1417.35	332.14	1199.98	1208.34	376.41	934.76	486.75	323.03	507.46	1208.34	995.0	1015.93	447.82	967.76	1159.07	591.22	202.66	183.82	616.37	587.13	1233.75	368.65	583.07	1572.76	603.67	511.0	878.17	361.04	854.13	679.29	860.08	567.1	476.71	679.29	1081.39	698.41	599.49	1369.04	384.34	435.55	559.28	733.19	587.13	599.49	967.76	463.65	559.28	693.58	1277.29	995.0	392.44	587.13	660.68	591.22	633.73	0.0	1.03	420.68
EXD3	665.29	63.45	587.13	503.95	120.1	708.18	102.25	209.84	110.43	607.87	379.04	1088.92	93.35	500.46	579.04	137.14	125.24	33.54	202.66	363.56	457.25	121.79	412.0	909.17	171.45	41.81	518.15	127.89	476.71	150.17	713.11	283.05	265.87	267.73	802.41	202.66	162.14	748.61	134.3	176.29	107.38	297.17	218.79	82.87	232.94	309.83	265.87	463.65	483.38	126.12	234.57	146.03	463.65	244.57	336.79	0.0	0.64	115.97
FAM73B	486.75	44.25	500.46	470.14	157.68	435.55	148.09	134.3	147.06	660.68	507.46	532.74	77.25	441.64	371.22	249.73	101.54	63.45	217.27	303.44	579.04	314.17	379.04	674.59	269.6	28.65	571.05	105.89	356.05	183.82	348.71	178.77	151.22	303.44	591.22	256.78	180.02	563.18	135.24	158.79	145.02	346.29	264.03	91.41	291.04	368.65	269.6	366.09	432.53	125.24	177.53	107.38	591.22	329.84	241.19	0.0	0.97	90.14
FBXO24	30.34	15.68	30.12	27.44	15.45	19.11	3.35	11.04	11.3	24.11	10.55	25.17	16.88	16.75	16.75	14.67	10.0	6.16	6.21	21.01	36.01	4.58	17.64	23.25	8.71	6.41	43.63	2.39	33.78	18.97	27.25	12.45	19.39	5.77	28.24	17.0	23.08	24.46	9.41	13.93	8.78	23.76	10.47	8.71	16.75	16.51	27.84	27.44	22.43	1.69	12.18	12.93	19.97	16.27	13.22	0.0	0.17	7.46
GIGYF1	981.29	98.04	915.51	961.07	147.06	947.83	214.27	128.79	175.07	1104.13	441.64	1508.65	98.04	684.02	708.18	307.69	136.19	88.26	343.89	521.76	1216.75	165.57	674.59	961.07	205.5	71.0	703.28	123.5	555.41	256.78	825.0	283.05	224.97	384.34	902.89	343.89	209.84	1030.12	114.36	251.48	209.84	454.09	323.03	149.12	351.14	285.03	441.64	536.45	583.07	130.6	122.64	128.79	414.87	351.14	329.84	228.13	988.12	67.59
GTF2H4	665.29	307.69	703.28	525.39	314.17	366.09	463.65	775.05	336.79	728.11	358.54	723.08	309.83	656.11	629.35	575.03	432.53	353.59	417.77	463.65	836.53	423.61	563.18	775.05	392.44	373.81	483.38	312.0	624.99	591.22	688.78	450.94	638.15	480.04	612.11	381.68	334.46	775.05	476.71	412.0	316.37	563.18	521.76	283.05	543.96	595.34	460.44	629.35	612.11	514.56	490.14	575.03	764.36	1378.57	473.41	0.0	0.66	366.09
HES4	743.43	19.53	493.56	555.41	117.6	503.95	96.68	68.07	70.51	796.86	525.39	665.29	46.5	466.88	473.41	90.14	43.32	62.56	176.29	220.32	497.0	89.51	454.09	860.08	147.06	20.26	312.0	29.48	316.37	94.67	567.1	58.3	457.25	209.84	633.73	107.38	111.99	379.04	60.39	94.67	48.87	124.37	70.51	36.79	262.2	137.14	57.49	120.1	92.05	130.6	275.28	52.82	332.14	117.6	91.41	0.0	0.58	129.69
HGFAC	36.53	0.49	18.16	10.39	0.0	18.03	0.91	1.51	0.0	69.03	33.78	102.97	0.0	5.19	12.93	1.27	0.84	0.0	4.03	15.34	15.91	0.57	5.36	9.56	0.52	0.0	2.39	0.0	15.0	0.0	15.91	3.66	6.26	10.88	8.85	3.72	0.57	10.24	0.0	9.56	0.0	10.08	6.46	0.0	3.92	2.86	6.26	1.0	5.5	1.53	0.65	0.0	11.13	3.32	3.69	0.0	0.62	0.0
HINFP	559.28	251.48	595.34	511.0	275.28	503.95	153.34	387.02	336.79	529.06	309.83	521.76	251.48	500.46	536.45	164.42	283.05	167.9	327.56	269.6	397.93	212.78	463.65	599.49	283.05	283.05	381.68	158.79	392.44	275.28	490.14	295.11	409.15	348.71	450.94	307.69	285.03	660.68	208.38	269.6	289.02	397.93	361.04	289.02	384.34	381.68	463.65	343.89	400.71	348.71	229.72	363.56	579.04	312.0	406.31	0.0	0.56	202.66
HOOK2	2468.49	314.17	1685.71	1769.57	438.59	2133.97	371.22	232.94	536.45	2075.59	1175.27	2104.58	332.14	1794.29	1651.0	1159.07	457.25	212.78	669.92	1350.18	2255.7	1111.82	1208.34	2351.53	769.69	231.32	1437.15	371.22	1806.78	780.44	1991.0	1008.9	718.08	1104.13	2335.28	684.02	884.29	1950.0	612.11	1313.23	476.71	1199.98	813.63	361.04	1081.39	1819.35	1250.98	1259.69	1923.14	660.68	738.29	785.88	2240.11	884.29	1081.39	0.0	0.85	181.28
IDUA	1322.37	38.95	559.28	718.08	143.01	902.89	237.86	158.79	249.73	854.13	583.07	1059.11	63.45	500.46	616.37	579.04	101.54	48.52	248.0	483.38	785.88	157.68	363.56	1369.04	234.57	61.68	620.67	47.5	679.29	241.19	723.08	343.89	205.5	297.17	836.53	211.31	323.03	743.43	249.73	476.71	166.73	248.0	231.32	94.67	429.54	283.05	400.71	412.0	954.43	237.86	144.01	97.36	915.51	403.5	178.77	0.0	1.0	269.6
INPP5E	221.86	32.82	193.01	226.54	78.89	201.25	69.03	95.34	60.39	215.77	208.38	220.32	76.71	181.28	177.53	92.05	81.14	32.59	110.43	170.25	167.9	84.63	171.45	226.54	127.0	84.63	205.5	81.14	164.42	97.36	154.42	107.38	96.01	120.94	217.27	122.64	96.01	248.0	88.88	100.83	100.83	126.12	127.89	88.88	144.01	87.65	115.16	121.79	152.28	56.68	89.51	79.45	178.77	66.65	136.19	0.0	0.66	50.63
JMJD7	249.73	66.65	441.64	389.72	389.72	490.14	457.25	123.5	125.24	567.1	314.17	551.56	85.22	423.61	463.65	224.97	44.57	144.01	176.29	438.59	457.25	115.97	325.29	460.44	234.57	107.38	332.14	51.35	470.14	258.57	392.44	149.12	98.04	281.09	327.56	253.23	334.46	483.38	289.02	190.34	193.01	285.03	379.04	114.36	343.89	389.72	507.46	327.56	511.0	162.14	397.93	154.42	409.15	444.72	368.65	0.0	0.41	71.0
KRBA1	277.2	31.45	269.6	320.8	68.07	178.77	98.73	101.54	58.3	237.86	417.77	283.05	44.25	281.09	220.32	106.63	32.13	85.22	127.89	187.71	332.14	62.12	166.73	229.72	78.34	25.35	183.82	78.34	134.3	111.21	249.73	212.78	171.45	167.9	291.04	120.1	88.88	256.78	72.01	82.29	120.1	163.28	149.12	46.84	180.02	332.14	147.06	181.28	242.88	112.77	134.3	96.68	279.14	143.01	130.6	0.0	0.75	40.93
LENG8	8247.98	460.44	4388.98	5219.6	429.54	4671.57	473.41	493.56	567.1	4903.87	2935.74	4802.93	511.0	2758.13	2075.59	603.67	647.07	656.11	1313.23	1529.73	6294.04	1119.56	2032.85	4869.99	954.43	323.03	5403.7	387.02	2537.92	723.08	5219.6	723.08	884.29	1304.15	4358.66	1191.69	825.0	5219.6	356.05	551.56	1417.35	2271.4	1757.34	791.35	1322.37	1883.54	1369.04	2417.67	3039.3	902.89	497.0	507.46	5147.73	884.29	1259.69	0.0	1.77	567.1
LRCH4	1477.58	381.68	1378.57	1191.69	387.02	1044.52	432.53	444.72	301.33	1844.76	954.43	1781.89	309.83	1250.98	928.3	555.41	656.11	423.61	698.41	981.29	2240.11	543.96	1233.75	1617.0	414.87	395.18	1259.69	293.07	1733.13	620.67	1572.76	713.11	607.87	525.39	2520.38	708.18	819.3	1508.65	363.56	748.61	318.57	728.11	620.67	332.14	743.43	708.18	791.35	1073.91	1030.12	381.68	500.46	363.56	1023.0	808.0	599.49	0.0	1.22	329.84
LY6G5B	265.87	19.39	256.78	241.19	22.26	161.02	27.84	48.87	31.67	180.02	140.04	190.34	45.53	113.56	127.89	40.36	78.34	46.84	71.5	62.12	206.94	39.5	93.35	293.07	36.79	35.25	198.47	37.32	137.14	45.53	163.28	58.3	45.53	69.03	211.31	94.01	55.1	277.2	7.17	48.52	103.69	237.86	114.36	142.01	98.73	66.18	167.9	169.07	309.83	124.37	27.25	59.55	144.01	156.59	102.97	0.0	1.23	21.01
MAMDC4	231.32	10.88	84.63	105.89	6.67	151.22	11.64	6.52	11.91	253.23	115.97	189.02	9.13	87.65	105.89	36.53	23.59	5.11	16.88	141.02	165.57	51.71	63.45	152.28	13.83	5.59	70.51	7.4	138.1	15.11	162.14	13.12	16.88	34.26	128.79	23.59	35.0	170.25	23.93	35.5	12.45	28.24	26.28	7.57	56.28	32.36	49.21	22.1	58.3	11.73	34.75	7.88	98.04	13.72	34.26	0.0	1.03	13.62
MAN2C1	2976.74	429.54	3303.0	2555.58	490.14	2271.4	493.56	414.87	363.56	2148.82	1883.54	2591.27	366.09	2163.77	1896.65	780.44	305.55	493.56	860.08	1388.16	3372.43	624.99	1467.37	3190.46	555.41	490.14	2319.15	397.93	2178.83	595.34	2875.3	470.14	769.69	1427.22	2555.58	995.0	1073.91	4123.49	348.71	624.99	738.29	2004.85	1127.35	836.53	1259.69	1769.57	954.43	3039.3	2351.53	1508.65	285.03	1477.58	4181.07	1397.83	1127.35	0.0	1.62	587.13
MAP2K7	656.11	185.11	684.02	728.11	283.05	599.49	223.41	214.27	281.09	738.29	647.07	808.0	209.84	616.37	547.75	358.54	232.94	105.15	327.56	599.49	633.73	318.57	567.1	808.0	412.0	154.42	454.09	177.53	518.15	376.41	620.67	403.5	518.15	389.72	656.11	389.72	346.29	775.05	273.37	403.5	303.44	457.25	381.68	256.78	426.57	409.15	540.19	466.88	684.02	249.73	223.41	224.97	723.08	327.56	514.56	0.0	0.85	171.45
MAP3K6	1709.26	189.02	1030.12	1529.73	275.28	612.11	171.45	395.18	273.37	1313.23	423.61	842.36	137.14	1313.23	1437.15	303.44	202.66	118.43	363.56	368.65	866.07	223.41	785.88	1551.09	397.93	98.04	587.13	78.89	599.49	1037.29	1208.34	150.17	599.49	1225.22	1059.11	947.83	583.07	1617.0	591.22	441.64	532.74	988.12	743.43	327.56	1721.16	656.11	214.27	366.09	1001.93	1583.71	384.34	435.55	624.99	764.36	819.3	435.55	137.14	167.9
ME3	1044.52	22.26	466.88	323.03	40.36	220.32	46.5	128.79	198.47	301.33	224.97	438.59	82.87	466.88	368.65	96.68	60.82	26.47	185.11	1896.65	343.89	74.06	176.29	1059.11	373.81	40.64	432.53	98.73	198.47	102.97	497.0	72.52	95.34	316.37	444.72	275.28	162.14	620.67	71.5	297.17	291.04	348.71	248.0	242.88	395.18	332.14	607.87	132.44	217.27	1051.79	65.72	403.5	483.38	397.93	165.57	0.0	0.96	187.71
MED26	206.94	86.43	202.66	224.97	142.01	186.4	82.87	114.36	107.38	229.72	171.45	204.07	90.14	195.72	163.28	130.6	115.16	64.8	159.9	197.09	205.5	146.03	176.29	223.41	115.16	97.36	140.04	63.0	175.07	129.69	181.28	127.0	183.82	144.01	163.28	146.03	100.13	195.72	68.07	129.69	90.14	141.02	117.6	112.77	134.3	146.03	204.07	185.11	142.01	127.89	109.66	75.64	134.3	92.7	161.02	0.0	0.17	63.89
MEGF6	595.34	84.63	1199.98	599.49	31.67	551.56	185.11	215.77	79.45	1277.29	334.46	620.67	19.25	287.01	591.22	109.66	32.59	19.97	145.02	66.18	1135.2	51.35	303.44	1340.84	48.18	20.11	414.87	3.63	206.94	79.45	480.04	41.81	110.43	271.48	860.08	211.31	872.1	1037.29	251.48	21.47	139.07	480.04	150.17	60.82	332.14	802.41	231.32	239.52	381.68	269.6	120.1	103.69	241.19	139.07	244.57	0.0	0.8	103.69
MGP	469249.9	131982.68	286861.53	146444.06	998912.34	381149.17	1139523.1	659036.03	343510.77	100719.65	431797.89	368165.8	35856.82	386469.83	256748.15	736332.6	85876.94	77934.88	623486.02	577714.63	309589.14	716197.51	462789.59	154794.07	546551.29	8022.41	299043.36	466008.55	489177.0	569761.05	119776.72	1196176.45	539026.74	623486.02	87075.75	434801.29	706337.4	102125.66	459592.86	687022.54	453265.5	462789.59	800198.39	397335.0	509950.32	598087.73	585779.24	1524599.69	565825.41	869603.57	1100706.72	845824.19	496005.67	1308968.45	614902.29	3419.52	848.22	76330.98
MIB2	1519.15	39.22	954.43	995.0	177.53	660.68	193.01	242.88	135.24	1216.75	679.29	1030.12	46.5	703.28	842.36	133.36	70.51	63.45	189.02	733.19	1350.18	166.73	521.76	1183.45	209.84	46.18	612.11	52.08	802.41	133.36	848.22	172.65	381.68	444.72	941.27	277.2	295.11	974.5	84.63	271.48	156.59	381.68	214.27	96.01	497.0	429.54	441.64	262.2	511.0	162.14	285.03	67.59	848.22	164.42	236.21	0.0	1.16	166.73
MIIP	813.63	85.82	587.13	728.11	351.14	460.44	258.57	536.45	262.2	713.11	583.07	896.64	83.45	708.18	878.17	178.77	154.42	111.21	366.09	301.33	543.96	271.48	620.67	884.29	214.27	77.79	486.75	111.21	775.05	356.05	633.73	273.37	651.58	450.94	785.88	314.17	281.09	819.3	173.85	356.05	237.86	379.04	384.34	143.01	500.46	212.78	229.72	209.84	587.13	412.0	808.0	107.38	457.25	563.18	218.79	0.0	0.77	314.17
MORN1	412.0	18.7	314.17	299.25	153.34	202.66	81.71	124.37	139.07	612.11	237.86	379.04	19.97	289.02	277.2	106.63	39.5	48.52	73.54	346.29	417.77	139.07	187.71	373.81	149.12	21.63	305.55	49.21	191.67	55.49	318.57	72.52	178.77	156.59	312.0	153.34	87.03	376.41	121.79	249.73	61.25	157.68	161.02	59.55	202.66	236.21	334.46	211.31	343.89	90.77	115.16	114.36	435.55	191.67	130.6	98.04	220.32	40.64
MUS81	1277.29	332.14	1111.82	1051.79	493.56	848.22	363.56	507.46	447.82	1199.98	1073.91	1111.82	392.44	764.36	1015.93	486.75	447.82	234.57	480.04	591.22	1044.52	267.73	688.78	1199.98	466.88	406.31	819.3	493.56	890.44	559.28	1001.93	392.44	791.35	775.05	1583.71	503.95	529.06	1340.84	486.75	432.53	493.56	785.88	780.44	521.76	738.29	647.07	511.0	616.37	866.07	429.54	947.83	395.18	1104.13	860.08	412.0	0.0	0.72	348.71
NADK	1044.52	379.04	1167.14	1104.13	713.11	915.51	785.88	988.12	703.28	1286.18	1030.12	1551.09	358.54	1111.82	854.13	490.14	460.44	441.64	753.83	1757.34	1467.37	703.28	896.64	1437.15	620.67	262.2	1051.79	334.46	1119.56	698.41	1322.37	409.15	1081.39	785.88	1286.18	890.44	796.86	1304.15	947.83	872.1	583.07	830.75	665.29	518.15	890.44	753.83	698.41	642.59	878.17	1051.79	728.11	521.76	769.69	909.17	713.11	802.41	571.05	708.18
NAT6	591.22	119.26	397.93	397.93	384.34	318.57	181.28	102.97	181.28	303.44	318.57	403.5	208.38	412.0	368.65	141.02	121.79	122.64	120.1	414.87	329.84	133.36	194.36	429.54	161.02	83.45	435.55	198.47	389.72	106.63	356.05	182.55	138.1	211.31	514.56	226.54	156.59	447.82	255.0	244.57	267.73	265.87	267.73	191.67	234.57	289.02	173.85	334.46	323.03	151.22	180.02	214.27	223.41	518.15	303.44	0.0	0.51	130.6
NCKIPSD	384.34	329.84	473.41	563.18	343.89	473.41	379.04	291.04	371.22	438.59	236.21	435.55	204.07	447.82	368.65	305.55	223.41	205.5	226.54	353.59	343.89	206.94	271.48	423.61	368.65	164.42	351.14	241.19	371.22	307.69	406.31	251.48	262.2	438.59	511.0	460.44	249.73	665.29	262.2	242.88	318.57	406.31	406.31	255.0	525.39	575.03	376.41	387.02	503.95	341.51	371.22	327.56	543.96	305.55	507.46	0.0	0.3	180.02
NDOR1	226.54	108.9	299.25	217.27	167.9	356.05	80.57	74.06	132.44	336.79	281.09	366.09	120.94	251.48	218.79	191.67	180.02	64.34	155.5	246.28	307.69	194.36	190.34	336.79	159.9	75.11	275.28	69.03	267.73	195.72	291.04	198.47	88.88	154.42	400.71	154.42	134.3	323.03	129.69	105.89	98.04	115.16	162.14	60.39	144.01	115.97	145.02	171.45	236.21	89.51	88.26	81.14	211.31	125.24	140.04	0.0	0.72	82.87
NEIL1	2163.77	277.2	1447.15	961.07	175.07	1159.07	43.94	107.38	208.38	1369.04	679.29	1963.57	217.27	1175.27	1037.29	279.14	84.04	84.63	223.41	988.12	1259.69	115.97	271.48	1167.14	285.03	92.05	988.12	71.5	1498.22	343.89	1487.87	366.09	183.82	543.96	1551.09	325.29	483.38	1498.22	249.73	432.53	273.37	660.68	559.28	361.04	633.73	1023.0	802.41	1023.0	1417.35	217.27	325.29	417.77	1923.14	981.29	536.45	0.0	1.1	140.04
NEURL4	500.46	70.01	660.68	563.18	81.71	392.44	215.77	142.01	137.14	368.65	297.17	684.02	80.01	540.19	320.8	212.78	80.01	61.25	150.17	339.14	441.64	163.28	248.0	616.37	241.19	48.18	532.74	198.47	460.44	159.9	438.59	285.03	173.85	256.78	603.67	215.77	186.4	583.07	111.99	237.86	156.59	334.46	279.14	125.24	332.14	198.47	389.72	400.71	525.39	142.01	226.54	118.43	543.96	341.51	260.38	0.0	0.87	52.45
