	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.4279.01A.01R.1131.13
AP003068.6	54.33	6.89	30.56	18.97	12.93	22.92	5.15	10.88	8.0	29.48	19.53	32.82	7.34	21.63	15.68	9.06	6.06	3.86	17.13	10.24	31.22	11.21	17.0	29.7	13.62	8.65	24.46	4.35	20.26	5.5	13.93	12.93	13.42	13.12	36.79	9.63	7.34	24.99	3.56	5.23	8.78	9.78	12.09	8.06	15.22	7.34	15.56	14.67	22.26	4.78	4.24	10.96	28.65	14.14	9.06	0.0	0.67	0.0
AP006621.5	703.28	12.09	303.44	291.04	67.12	285.03	60.82	90.14	84.63	221.86	70.01	371.22	24.46	244.57	186.4	37.05	24.63	34.75	120.1	279.14	316.37	48.87	189.02	358.54	143.01	21.63	180.02	75.11	231.32	44.25	236.21	77.25	155.5	373.81	307.69	94.67	81.14	248.0	97.36	170.25	85.82	134.3	189.02	45.53	234.57	89.51	189.02	90.14	466.88	20.86	115.97	36.01	318.57	228.13	48.52	0.0	0.42	48.52
ARGLU1	3690.52	454.09	2835.7	2645.74	642.59	1191.69	521.76	1331.57	748.61	2384.37	1233.75	2224.63	708.18	2047.0	2163.77	1467.37	860.08	563.18	1519.15	1769.57	2935.74	896.64	1529.73	3103.19	1242.34	536.45	3443.31	860.08	1721.16	723.08	2193.99	703.28	1331.57	1427.22	2193.99	1437.15	1242.34	2956.17	547.75	583.07	1870.53	2573.36	1605.83	1977.24	1508.65	3794.3	4095.0	2468.49	3257.52	1096.5	563.18	1250.98	2739.08	988.12	2193.99	1111.82	603.67	514.56
ARHGAP33	1066.48	34.75	387.02	420.68	62.56	323.03	117.6	102.97	57.08	660.68	514.56	575.03	38.12	307.69	332.14	151.22	187.71	117.6	105.15	167.9	1088.92	142.01	231.32	703.28	84.04	75.64	808.0	104.42	529.06	139.07	612.11	72.52	112.77	87.65	521.76	109.66	49.21	540.19	70.51	98.04	50.98	244.57	137.14	54.72	108.14	221.86	323.03	159.9	438.59	57.89	96.68	55.89	454.09	96.01	181.28	0.0	0.96	10.55
ARHGEF10L	759.08	94.01	764.36	860.08	466.88	759.08	226.54	447.82	470.14	819.3	813.63	836.53	92.7	684.02	435.55	239.52	165.57	112.77	540.19	309.83	764.36	483.38	426.57	902.89	329.84	73.03	825.0	154.42	346.29	194.36	563.18	195.72	660.68	483.38	733.19	343.89	384.34	723.08	187.71	387.02	381.68	583.07	490.14	231.32	521.76	743.43	497.0	624.99	334.46	320.8	426.57	318.57	693.58	312.0	406.31	0.0	0.66	185.11
ARHGEF16	753.83	63.45	426.57	295.11	150.17	295.11	183.82	348.71	186.4	1059.11	212.78	540.19	29.27	500.46	500.46	128.79	85.82	71.5	81.14	356.05	723.08	260.38	384.34	693.58	237.86	41.22	312.0	58.3	642.59	218.79	599.49	114.36	236.21	287.01	583.07	242.88	211.31	457.25	231.32	197.09	45.21	185.11	197.09	62.12	269.6	518.15	249.73	228.13	358.54	107.38	197.09	107.38	305.55	209.84	158.79	0.0	0.4	63.89
ARIH2OS	56.68	18.7	48.18	71.0	45.53	41.22	32.82	24.46	44.89	39.5	26.86	46.84	13.93	54.72	68.07	22.75	8.51	8.85	14.89	68.07	50.63	15.68	28.24	67.59	27.64	6.94	67.59	17.64	47.84	16.15	42.71	23.08	23.42	42.71	72.52	35.0	18.29	64.34	15.0	55.1	32.13	32.13	32.13	21.63	49.56	22.59	60.39	63.89	48.87	10.71	58.3	26.47	50.98	66.18	40.64	0.0	0.0	26.86
ATAD3B	723.08	17.13	525.39	395.18	45.85	295.11	88.26	361.04	110.43	575.03	246.28	571.05	17.77	351.14	397.93	62.12	37.05	20.41	117.6	181.28	426.57	79.45	297.17	703.28	69.03	26.28	295.11	31.67	336.79	96.68	525.39	78.89	251.48	145.02	536.45	103.69	102.25	764.36	33.3	87.03	18.84	163.28	109.66	43.63	95.34	166.73	164.42	191.67	493.56	206.94	124.37	43.02	249.73	96.68	98.04	0.0	1.36	46.5
ATG2A	244.57	105.15	325.29	336.79	159.9	299.25	164.42	271.48	170.25	341.51	246.28	361.04	114.36	323.03	253.23	189.02	63.45	94.67	171.45	262.2	281.09	98.73	199.85	325.29	198.47	61.25	323.03	120.94	305.55	269.6	289.02	226.54	123.5	205.5	346.29	190.34	211.31	339.14	177.53	202.66	139.07	239.52	215.77	88.26	226.54	343.89	255.0	223.41	248.0	123.5	120.94	162.14	316.37	129.69	246.28	0.0	0.28	71.5
BANP	320.8	334.46	466.88	381.68	157.68	314.17	167.9	273.37	171.45	457.25	244.57	441.64	201.25	376.41	397.93	329.84	208.38	159.9	204.07	563.18	329.84	353.59	423.61	470.14	223.41	191.67	224.97	158.79	423.61	223.41	400.71	490.14	395.18	312.0	503.95	293.07	236.21	454.09	260.38	291.04	264.03	283.05	348.71	191.67	336.79	255.0	325.29	295.11	373.81	140.04	309.83	215.77	466.88	341.51	283.05	0.0	0.37	183.82
