	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.AJ.A3BK.01A.11R.A19W.07
AASS	417.77	72.52	334.46	217.27	260.38	256.78	136.19	209.84	346.29	329.84	106.63	198.47	244.57	185.11	169.07	153.34	220.32	271.48	151.22	218.79	202.66	186.4	283.05	212.78	68.07	70.51	180.02	281.09	104.42	209.84	208.38	237.86	187.71	281.09	209.84	131.51	432.53	201.25	133.36	307.69	242.88	264.03	74.58	318.57	204.07	218.79	115.16	248.0	275.28	299.25	138.1	74.06	156.59	215.77	267.73	237.86	148.09	121.79	175.07	217.27	187.71	149.12	28.86
AFF4	1001.93	195.72	967.76	679.29	441.64	947.83	389.72	928.3	748.61	884.29	177.53	351.14	660.68	460.44	447.82	463.65	379.04	507.46	384.34	329.84	493.56	612.11	466.88	480.04	172.65	205.5	228.13	497.0	285.03	429.54	567.1	647.07	743.43	466.88	379.04	371.22	954.43	346.29	366.09	414.87	1008.9	842.36	271.48	941.27	521.76	775.05	234.57	890.44	460.44	599.49	265.87	293.07	312.0	426.57	543.96	389.72	361.04	323.03	299.25	674.59	638.15	463.65	100.83
AHCYL1	1733.13	830.75	1540.37	1066.48	1051.79	1519.15	1135.2	1457.23	1151.06	1551.09	511.0	629.35	1388.16	1167.14	1073.91	1127.35	934.76	1225.22	1250.98	915.51	1151.06	1104.13	954.43	848.22	638.15	698.41	872.1	1104.13	872.1	1167.14	1151.06	1175.27	1457.23	1175.27	1208.34	878.17	1745.2	842.36	688.78	1135.2	1286.18	1457.23	842.36	1794.29	1037.29	1540.37	819.3	1427.22	603.67	1304.15	825.0	819.3	995.0	651.58	1407.55	961.07	775.05	961.07	947.83	1277.29	1268.46	1250.98	679.29
AHCYL2	353.59	153.34	368.65	262.2	255.0	303.44	223.41	316.37	358.54	303.44	191.67	187.71	289.02	275.28	208.38	232.94	161.02	251.48	220.32	221.86	269.6	325.29	171.45	314.17	103.69	128.79	158.79	214.27	197.09	242.88	195.72	371.22	376.41	201.25	237.86	186.4	332.14	217.27	130.6	198.47	395.18	283.05	153.34	334.46	246.28	363.56	141.02	309.83	189.02	289.02	199.85	189.02	201.25	218.79	264.03	244.57	204.07	182.55	211.31	303.44	285.03	237.86	49.21
AKAP10	376.41	165.57	417.77	208.38	190.34	420.68	264.03	392.44	275.28	395.18	87.65	156.59	339.14	212.78	218.79	249.73	187.71	244.57	195.72	234.57	234.57	262.2	202.66	229.72	140.04	145.02	161.02	281.09	187.71	242.88	248.0	234.57	297.17	217.27	208.38	220.32	353.59	220.32	138.1	291.04	336.79	327.56	193.01	444.72	234.57	339.14	163.28	314.17	214.27	289.02	172.65	170.25	177.53	221.86	287.01	289.02	187.71	224.97	185.11	307.69	336.79	297.17	99.43
AKT2	2835.7	2004.85	2956.17	2835.7	2758.13	2367.9	2627.46	2875.3	2319.15	2367.9	1685.71	2485.67	2720.15	2777.33	2335.28	2485.67	2148.82	2451.44	1870.53	1628.26	2537.92	2555.58	2287.2	2319.15	2148.82	1923.14	1733.13	2777.33	2335.28	2193.99	2895.31	2555.58	2720.15	2468.49	2855.44	2591.27	3467.27	2004.85	1870.53	3257.52	2485.67	2384.37	2148.82	3349.13	2997.45	2935.74	2133.97	2319.15	2520.38	2555.58	1819.35	1733.13	1628.26	2664.15	2739.08	1896.65	2018.8	2240.11	2133.97	2664.15	2591.27	2303.12	1313.23
ALDH5A1	356.05	236.21	307.69	305.55	237.86	314.17	180.02	260.38	183.82	303.44	18.29	137.14	312.0	158.79	181.28	217.27	153.34	265.87	307.69	189.02	228.13	299.25	159.9	162.14	140.04	107.38	253.23	229.72	209.84	199.85	255.0	289.02	271.48	198.47	217.27	132.44	190.34	165.57	113.56	170.25	260.38	334.46	214.27	223.41	264.03	244.57	157.68	376.41	208.38	190.34	170.25	119.26	101.54	201.25	400.71	172.65	208.38	226.54	287.01	293.07	265.87	208.38	158.79
ALDH6A1	2645.74	830.75	1073.91	1322.37	1498.22	1397.83	967.76	1233.75	1322.37	1250.98	426.57	890.44	1250.98	1340.84	860.08	547.75	1268.46	1277.29	1561.89	1127.35	1378.57	1183.45	872.1	651.58	759.08	314.17	1104.13	1369.04	470.14	890.44	1378.57	830.75	1936.53	1437.15	1757.34	629.35	1397.83	1066.48	583.07	1225.22	1529.73	1286.18	665.29	1369.04	1268.46	988.12	909.17	1250.98	373.81	1674.06	543.96	884.29	769.69	769.69	1594.73	718.08	620.67	708.18	775.05	1295.13	1250.98	599.49	226.54
AMOTL1	674.59	267.73	1685.71	1359.57	312.0	974.5	503.95	1175.27	688.78	1143.1	323.03	217.27	679.29	76.71	371.22	551.56	239.52	414.87	205.5	356.05	403.5	521.76	258.57	518.15	226.54	202.66	211.31	291.04	329.84	285.03	909.17	764.36	708.18	473.41	305.55	277.2	1388.16	356.05	134.3	571.05	780.44	738.29	450.94	872.1	314.17	775.05	629.35	607.87	785.88	483.38	318.57	171.45	211.31	163.28	808.0	514.56	285.03	698.41	371.22	693.58	872.1	616.37	81.71
ANKS1A	339.14	130.6	381.68	305.55	223.41	273.37	237.86	283.05	273.37	299.25	133.36	221.86	283.05	232.94	307.69	212.78	166.73	271.48	202.66	169.07	218.79	264.03	198.47	327.56	139.07	150.17	155.5	251.48	181.28	220.32	293.07	209.84	301.33	237.86	244.57	228.13	307.69	201.25	142.01	176.29	265.87	223.41	161.02	397.93	209.84	348.71	157.68	258.57	275.28	318.57	164.42	205.5	194.36	217.27	281.09	224.97	137.14	178.77	180.02	208.38	271.48	223.41	109.66
