	TCGA.CH.5739.01A.11R.1580.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.V1.A9ZG.01A.11R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A6E6.01A.11R.A311.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7231.01A.11R.2118.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5769.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.ZG.A9LZ.01A.11R.A41O.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.VN.A88L.01A.11R.A352.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ABHD13	148.09	149.12	69.03	84.04	115.97	124.37	110.43	170.25	101.54	211.31	85.22	106.63	128.79	145.02	166.73	127.0	152.28	139.07	121.79	126.12	125.24	73.54	68.55	186.4	92.05	145.02	82.29	107.38	94.01	125.24	96.01	92.7	120.94	115.16	92.7	102.25	109.66	143.01	105.15	108.14	102.97	128.79	100.13	163.28	116.78	80.57	119.26	102.25	102.97	111.99	111.99	92.05	112.77	81.71	131.51	49.91	87.65	202.66	74.58	101.54	88.26	87.03	181.28	89.51	123.5	82.29	112.77	131.51	105.15	99.43	111.99	144.01	141.02	150.17	171.45	141.02	139.07	52.08	119.26	69.52	111.99	158.79	112.77	98.73	119.26	98.73	100.83	102.25	100.83	135.24	173.85	119.26	98.73	124.37	152.28	114.36	115.97	122.64	76.71	98.04	199.85	91.41	118.43	105.89	228.13	115.97	199.85	90.14	105.89	84.63	122.64	123.5	170.25	137.14	103.69	85.22	115.97	95.34	70.01	93.35	115.97	100.83	108.9	131.51	156.59
ABHD17B	339.14	521.76	223.41	212.78	339.14	532.74	269.6	679.29	299.25	540.19	190.34	214.27	307.69	406.31	669.92	466.88	521.76	256.78	363.56	343.89	674.59	208.38	279.14	476.71	299.25	358.54	164.42	267.73	170.25	265.87	229.72	206.94	239.52	285.03	208.38	346.29	358.54	551.56	215.77	356.05	470.14	316.37	223.41	329.84	253.23	325.29	447.82	555.41	234.57	327.56	231.32	507.46	323.03	379.04	420.68	246.28	221.86	441.64	486.75	226.54	231.32	237.86	579.04	262.2	466.88	299.25	316.37	334.46	237.86	234.57	281.09	241.19	769.69	575.03	450.94	381.68	348.71	426.57	543.96	269.6	323.03	688.78	384.34	629.35	211.31	236.21	229.72	208.38	275.28	480.04	435.55	483.38	301.33	412.0	403.5	285.03	231.32	466.88	253.23	285.03	432.53	348.71	400.71	406.31	470.14	260.38	414.87	153.34	246.28	293.07	353.59	353.59	454.09	353.59	283.05	214.27	267.73	195.72	246.28	256.78	212.78	532.74	551.56	239.52	387.02
ABI1	748.61	616.37	316.37	409.15	733.19	921.88	536.45	836.53	547.75	878.17	540.19	215.77	470.14	500.46	884.29	902.89	909.17	490.14	551.56	819.3	796.86	529.06	409.15	921.88	555.41	620.67	480.04	551.56	525.39	612.11	616.37	595.34	532.74	529.06	571.05	638.15	674.59	571.05	559.28	486.75	514.56	656.11	603.67	941.27	521.76	466.88	759.08	620.67	665.29	450.94	521.76	616.37	447.82	555.41	769.69	234.57	320.8	759.08	616.37	743.43	432.53	629.35	890.44	624.99	587.13	376.41	540.19	607.87	363.56	406.31	624.99	571.05	902.89	728.11	679.29	616.37	728.11	651.58	785.88	503.95	486.75	921.88	688.78	753.83	536.45	423.61	497.0	497.0	642.59	669.92	981.29	629.35	420.68	872.1	830.75	412.0	551.56	733.19	356.05	629.35	848.22	547.75	547.75	647.07	819.3	507.46	753.83	392.44	473.41	470.14	603.67	651.58	733.19	769.69	579.04	423.61	563.18	500.46	518.15	480.04	463.65	543.96	733.19	633.73	476.71
ABI2	780.44	915.51	339.14	329.84	607.87	1030.12	444.72	1183.45	343.89	1191.69	368.65	775.05	500.46	438.59	842.36	1023.0	854.13	376.41	616.37	684.02	848.22	351.14	591.22	819.3	429.54	603.67	518.15	460.44	379.04	547.75	688.78	480.04	599.49	518.15	559.28	759.08	579.04	647.07	371.22	563.18	921.88	599.49	532.74	603.67	403.5	483.38	633.73	599.49	674.59	429.54	389.72	339.14	463.65	656.11	764.36	555.41	525.39	854.13	1023.0	679.29	567.1	514.56	947.83	679.29	872.1	463.65	366.09	603.67	607.87	346.29	521.76	511.0	866.07	713.11	902.89	713.11	591.22	764.36	802.41	540.19	559.28	830.75	738.29	928.3	547.75	336.79	514.56	802.41	743.43	830.75	860.08	1030.12	389.72	684.02	830.75	571.05	651.58	842.36	373.81	603.67	656.11	529.06	674.59	532.74	974.5	460.44	921.88	406.31	423.61	532.74	423.61	616.37	791.35	791.35	301.33	507.46	555.41	460.44	591.22	595.34	353.59	693.58	633.73	476.71	466.88
ADAM10	860.08	1674.06	547.75	620.67	1008.9	1378.57	703.28	1832.01	961.07	2209.26	723.08	759.08	896.64	813.63	1950.0	1477.58	1467.37	813.63	866.07	802.41	2875.3	599.49	961.07	1583.71	1023.0	703.28	392.44	813.63	389.72	836.53	703.28	743.43	583.07	1096.5	638.15	1001.93	890.44	743.43	620.67	902.89	1159.07	830.75	981.29	1208.34	1023.0	536.45	941.27	1008.9	688.78	954.43	954.43	656.11	656.11	679.29	1378.57	285.03	400.71	1617.0	1096.5	813.63	616.37	718.08	1936.53	947.83	1857.6	473.41	890.44	1051.79	693.58	507.46	1081.39	633.73	1806.78	1331.57	1551.09	1259.69	995.0	808.0	1427.22	802.41	708.18	1322.37	1127.35	1151.06	780.44	902.89	684.02	1096.5	941.27	1030.12	1583.71	1119.56	688.78	1331.57	1572.76	872.1	567.1	1487.87	693.58	698.41	1745.2	842.36	884.29	1208.34	1551.09	718.08	981.29	656.11	934.76	563.18	842.36	1001.93	1286.18	1119.56	764.36	500.46	1088.92	473.41	595.34	708.18	1127.35	723.08	1331.57	713.11	928.3
ADAM17	162.14	139.07	40.36	63.0	127.89	166.73	114.36	206.94	82.29	190.34	60.82	58.71	98.04	117.6	202.66	170.25	187.71	96.01	108.14	111.21	206.94	56.68	94.01	186.4	87.03	159.9	83.45	90.77	76.71	183.82	84.63	86.43	112.77	90.14	88.26	120.94	110.43	131.51	79.45	89.51	99.43	100.83	86.43	115.97	72.52	129.69	156.59	117.6	98.04	102.25	108.14	94.67	122.64	114.36	129.69	46.5	54.72	191.67	128.79	73.54	60.39	88.88	180.02	96.68	161.02	63.45	165.57	108.14	143.01	72.52	127.89	100.83	186.4	176.29	127.89	132.44	138.1	86.43	151.22	78.89	107.38	158.79	134.3	150.17	125.24	89.51	77.79	92.05	63.89	158.79	183.82	190.34	60.39	185.11	193.01	97.36	116.78	130.6	66.65	105.15	177.53	101.54	108.9	121.79	176.29	103.69	154.42	75.11	83.45	87.65	103.69	165.57	171.45	128.79	104.42	63.89	111.99	68.55	108.9	108.9	77.25	89.51	139.07	105.89	87.03
ANKRD50	191.67	297.17	65.26	130.6	171.45	356.05	121.79	417.77	90.14	457.25	116.78	54.33	180.02	155.5	409.15	316.37	320.8	167.9	100.83	149.12	217.27	88.88	77.79	368.65	124.37	83.45	108.14	154.42	132.44	182.55	129.69	144.01	134.3	161.02	182.55	171.45	128.79	400.71	115.16	126.12	318.57	234.57	122.64	211.31	102.25	143.01	343.89	139.07	204.07	111.21	124.37	101.54	185.11	231.32	301.33	42.11	59.55	521.76	186.4	94.67	63.45	172.65	438.59	205.5	277.2	69.52	175.07	172.65	112.77	100.13	144.01	141.02	226.54	366.09	199.85	161.02	176.29	256.78	295.11	85.82	159.9	214.27	289.02	183.82	158.79	133.36	111.99	66.65	180.02	334.46	738.29	172.65	95.34	343.89	341.51	125.24	11.13	295.11	60.39	116.78	271.48	149.12	262.2	171.45	376.41	142.01	277.2	93.35	109.66	137.14	162.14	265.87	293.07	178.77	115.97	79.45	142.01	180.02	102.97	123.5	97.36	191.67	249.73	128.79	115.97
ARHGEF12	842.36	988.12	336.79	438.59	647.07	1191.69	500.46	878.17	599.49	988.12	483.38	376.41	547.75	507.46	1242.34	1081.39	1111.82	620.67	503.95	769.69	693.58	490.14	525.39	1159.07	624.99	620.67	318.57	486.75	476.71	629.35	629.35	507.46	536.45	633.73	503.95	463.65	733.19	743.43	490.14	642.59	457.25	599.49	599.49	819.3	447.82	412.0	928.3	638.15	651.58	473.41	567.1	728.11	551.56	417.77	890.44	178.77	267.73	1277.29	633.73	543.96	341.51	638.15	1111.82	490.14	642.59	237.86	660.68	603.67	518.15	343.89	595.34	543.96	624.99	830.75	878.17	802.41	866.07	595.34	529.06	551.56	483.38	1037.29	647.07	713.11	532.74	454.09	454.09	607.87	575.03	633.73	1191.69	638.15	316.37	1191.69	1175.27	638.15	490.14	981.29	358.54	518.15	1044.52	575.03	441.64	665.29	1119.56	547.75	825.0	395.18	514.56	466.88	713.11	698.41	902.89	830.75	555.41	389.72	563.18	450.94	525.39	595.34	441.64	703.28	473.41	575.03	511.0
ARSB	82.87	133.36	54.33	65.72	104.42	131.51	52.08	170.25	47.17	114.36	33.3	47.5	109.66	55.1	186.4	153.34	141.02	74.58	89.51	98.04	161.02	55.89	74.58	135.24	80.57	45.85	48.52	69.03	59.55	141.02	62.12	93.35	82.29	93.35	89.51	98.04	111.21	69.03	54.72	73.54	146.03	83.45	68.55	77.79	53.95	64.8	162.14	73.54	57.49	50.63	64.34	42.41	52.08	95.34	129.69	28.04	67.12	191.67	108.14	38.12	63.45	59.97	124.37	120.1	143.01	30.34	66.65	127.89	79.45	60.82	96.68	73.03	180.02	96.01	138.1	148.09	85.82	26.67	84.63	74.06	60.82	95.34	70.51	94.67	59.97	68.55	66.18	49.56	111.99	67.59	148.09	112.77	46.84	169.07	126.12	117.6	33.78	124.37	45.21	80.01	169.07	62.56	74.58	71.5	137.14	87.03	127.89	56.28	55.49	41.81	51.35	138.1	119.26	78.34	67.12	43.63	140.04	52.45	60.39	58.3	81.71	76.71	81.71	83.45	67.59
ARSH	3.59	9.13	0.0	1.77	2.68	5.23	0.91	18.7	0.0	10.31	2.29	0.0	7.88	0.0	16.03	12.27	10.79	0.31	5.63	1.22	24.99	2.84	1.27	7.63	0.0	1.48	0.61	0.32	1.95	6.52	0.31	2.25	0.0	0.34	2.89	1.85	3.08	15.0	0.35	0.61	13.62	0.93	1.79	1.2	0.31	1.01	0.95	8.92	1.55	5.41	0.0	13.32	1.57	2.58	7.57	0.27	4.31	9.34	21.78	0.0	1.99	1.25	9.27	8.92	6.26	0.3	0.0	2.97	0.31	3.23	4.5	1.83	0.0	23.25	6.57	5.5	0.62	4.78	22.75	1.53	3.06	1.81	8.51	24.28	0.0	0.0	0.65	0.61	6.52	12.0	14.24	0.32	2.1	4.66	5.73	3.23	0.0	18.56	1.5	7.63	5.23	17.0	3.23	8.38	17.13	2.16	3.11	0.65	0.3	4.1	3.41	3.5	10.47	2.43	1.5	0.95	9.56	0.66	0.0	2.51	1.53	5.15	21.32	1.19	1.43
