	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU1J.0326.SM.46MUM	GTEX.13FH7.0526.SM.5IJF8	GTEX.11EQ9.0726.SM.5A5K2	GTEX.14BMU.0926.SM.5S2QB	TCGA.CV.7424.11A.01R.2081.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07
ABCC5	551.56	599.49	435.55	1104.13	1088.92	1096.5	1151.06	808.0	147.06	110.43	97.36	45.53	103.69	34.02
APOOL	82.29	77.25	91.41	177.53	224.97	199.85	204.07	162.14	80.57	93.35	104.42	49.56	30.34	71.5
ARHGAP11A	57.89	32.59	199.85	320.8	285.03	162.14	199.85	153.34	30.12	15.68	30.34	10.88	9.93	6.84
ARL5A	595.34	802.41	743.43	1096.5	842.36	1096.5	1037.29	738.29	332.14	232.94	161.02	217.27	198.47	157.68
ARPP19	854.13	808.0	669.92	1151.06	1208.34	1277.29	1331.57	1242.34	674.59	616.37	426.57	339.14	412.0	267.73
B3GALNT2	244.57	204.07	246.28	323.03	336.79	450.94	381.68	293.07	111.99	53.57	20.11	55.1	35.0	31.67
BMPR1A	151.22	127.89	117.6	226.54	167.9	185.11	177.53	181.28	53.19	38.12	41.52	29.27	42.41	33.54
C12orf5	220.32	204.07	221.86	307.69	249.73	293.07	403.5	241.19	190.34	110.43	111.21	65.26	117.6	64.34
C1orf174	466.88	417.77	381.68	466.88	429.54	361.04	420.68	387.02	194.36	309.83	258.57	285.03	309.83	177.53
C2orf69	103.69	100.13	85.22	212.78	194.36	182.55	201.25	169.07	82.87	73.54	99.43	68.07	81.71	30.34
C4orf46	71.5	58.3	33.06	112.77	96.01	87.65	74.06	54.72	17.64	19.97	16.63	16.63	20.41	11.91
C5orf30	52.82	38.67	46.5	122.64	142.01	155.5	143.01	96.68	45.53	13.52	12.64	5.73	10.24	3.82
CAND1	1331.57	1167.14	967.76	1819.35	1572.76	1529.73	1583.71	1350.18	441.64	329.84	281.09	256.78	283.05	265.87
CCDC25	339.14	318.57	316.37	525.39	988.12	860.08	612.11	612.11	559.28	241.19	223.41	256.78	273.37	309.83
