	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.ZF.A9R2.01A.11R.A39I.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.50.5045.01A.01R.1628.07	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.35.4123.01A.01R.1107.07	TCGA.49.4506.01A.01R.1206.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5066.01A.01R.1628.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07
ACAP1	248.0	84.04	57.49	220.32	165.57	68.55	74.58	205.5	209.84	759.08	420.68	153.34	100.83	96.68	285.03	181.28	190.34	153.34	223.41	209.84	45.85	162.14	81.71	277.2	48.18	189.02	72.52	121.79	75.11	688.78	124.37	688.78	599.49	438.59	412.0	607.87	351.14	180.02	318.57	595.34	379.04
ADAMTSL1	1.38	4.46	0.6	8.32	1.66	1.23	3.63	2.46	0.67	75.64	7.17	1.25	1.58	15.22	33.06	27.44	5.68	9.7	23.08	19.82	8.45	12.74	9.85	3.76	5.36	14.67	65.72	6.31	7.06	22.75	16.51	22.75	4.86	6.46	128.79	132.44	77.79	32.36	43.63	40.64	37.32
AMICA1	95.34	53.19	10.88	78.34	63.89	10.24	15.0	111.99	59.55	915.51	111.21	18.84	22.26	63.45	176.29	130.6	9.7	58.3	157.68	49.91	22.59	127.0	35.0	120.1	37.85	90.77	123.5	105.15	40.93	785.88	389.72	928.3	387.02	242.88	289.02	316.37	2032.85	5292.48	1259.69	559.28	271.48
AQP9	1.39	1.95	0.0	2.92	4.28	4.58	1.55	6.11	4.17	27.84	3.06	2.78	2.2	17.13	229.72	4.35	0.6	10.08	112.77	16.88	2.07	3.89	6.46	57.89	1.83	0.0	23.76	9.78	0.36	163.28	256.78	193.01	96.68	102.25	226.54	248.0	518.15	1950.0	158.79	20.41	48.52
ARHGAP9	101.54	41.22	2.66	40.36	18.7	4.94	11.91	212.78	41.52	860.08	175.07	26.67	25.17	121.79	244.57	204.07	6.41	53.19	255.0	74.58	13.42	264.03	130.6	214.27	10.63	107.38	124.37	145.02	62.12	1225.22	224.97	872.1	915.51	373.81	454.09	559.28	470.14	507.46	547.75	529.06	157.68
BIN2	31.0	18.43	2.05	28.45	3.63	4.28	4.58	66.65	17.25	283.05	59.97	5.23	8.71	45.85	108.9	75.11	1.19	17.9	100.83	35.25	20.41	81.71	40.93	111.21	7.22	35.5	42.11	43.32	17.64	366.09	157.68	314.17	231.32	107.38	214.27	206.94	172.65	688.78	633.73	141.02	81.14
BLK	5.06	0.96	0.58	1.93	0.0	0.31	0.0	1.22	1.28	301.33	43.32	0.32	1.55	19.82	16.15	3.63	0.0	1.3	4.03	1.16	0.36	17.13	0.0	9.56	0.0	6.26	4.13	1.45	1.28	133.36	4.9	124.37	23.93	39.79	13.22	33.78	51.71	5.82	5.92	24.63	1.16
BTK	18.97	15.56	1.77	20.56	3.96	4.9	3.69	23.42	7.69	320.8	76.17	4.03	1.91	46.84	60.82	39.5	2.05	14.67	84.04	33.06	4.46	43.94	29.48	77.25	5.15	13.72	37.59	23.25	8.71	466.88	204.07	351.14	275.28	103.69	221.86	348.71	1183.45	3794.3	503.95	105.15	54.33
C10orf128	120.94	40.36	4.98	599.49	16.03	7.34	26.28	88.88	34.02	616.37	59.55	16.51	65.72	94.01	127.0	74.58	17.25	133.36	147.06	94.67	46.84	94.67	38.12	132.44	7.88	111.21	189.02	44.89	53.95	665.29	223.41	395.18	356.05	146.03	343.89	769.69	559.28	480.04	848.22	318.57	273.37
C19orf35	1.36	1.28	0.88	1.93	0.67	0.32	0.92	1.53	0.34	11.55	0.77	1.53	0.0	2.56	2.07	4.28	0.58	0.99	4.31	0.4	0.36	3.2	3.2	5.28	0.0	1.5	4.13	3.17	0.0	4.82	6.11	30.56	6.62	2.03	18.7	2.73	7.82	6.01	28.86	9.93	5.45
