	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ASH1L	215.77	208.38	139.07	159.9	191.67	144.01	136.19	170.25	135.24	159.9	218.79	173.85	215.77	186.4	163.28	253.23	187.71	629.35	638.15	563.18	450.94	343.89	444.72	536.45	384.34	579.04	503.95	325.29	493.56	258.57	348.71	343.89	334.46	249.73	403.5	303.44	339.14	180.02	444.72	175.07	295.11	493.56	373.81	454.09	435.55	150.17	358.54	234.57	529.06	457.25	583.07	400.71	234.57	303.44
ATXN1L	212.78	201.25	103.69	154.42	178.77	124.37	163.28	161.02	108.9	141.02	183.82	143.01	159.9	164.42	204.07	231.32	167.9	441.64	376.41	368.65	336.79	318.57	325.29	438.59	305.55	371.22	314.17	226.54	332.14	244.57	309.83	318.57	293.07	264.03	395.18	279.14	348.71	177.53	381.68	176.29	242.88	379.04	426.57	429.54	323.03	197.09	303.44	255.0	718.08	346.29	384.34	414.87	185.11	251.48
C11orf30	132.44	100.83	66.65	100.13	108.14	88.88	85.22	135.24	105.15	102.25	141.02	103.69	128.79	101.54	109.66	100.13	130.6	334.46	320.8	215.77	241.19	211.31	208.38	241.19	151.22	287.01	244.57	208.38	262.2	232.94	156.59	199.85	178.77	195.72	237.86	171.45	187.71	191.67	226.54	187.71	249.73	201.25	172.65	236.21	299.25	114.36	209.84	161.02	297.17	303.44	316.37	265.87	171.45	172.65
C9orf156	361.04	423.61	220.32	307.69	329.84	267.73	291.04	287.01	299.25	320.8	371.22	291.04	429.54	341.51	258.57	412.0	289.02	743.43	563.18	486.75	713.11	521.76	567.1	656.11	460.44	633.73	543.96	429.54	836.53	435.55	579.04	571.05	460.44	674.59	518.15	703.28	713.11	435.55	575.03	551.56	486.75	836.53	738.29	660.68	575.03	599.49	521.76	543.96	995.0	902.89	825.0	583.07	351.14	511.0
CCNT1	135.24	143.01	107.38	124.37	120.94	95.34	94.67	110.43	113.56	106.63	150.17	99.43	154.42	128.79	109.66	173.85	131.51	353.59	356.05	248.0	234.57	194.36	246.28	255.0	214.27	275.28	197.09	199.85	178.77	206.94	173.85	212.78	137.14	170.25	214.27	167.9	201.25	137.14	224.97	153.34	193.01	228.13	269.6	363.56	209.84	176.29	211.31	132.44	389.72	256.78	316.37	212.78	162.14	146.03
CCP110	161.02	121.79	68.07	58.71	93.35	100.13	48.52	69.52	74.06	95.34	147.06	55.89	110.43	114.36	92.05	126.12	112.77	287.01	423.61	221.86	253.23	149.12	172.65	237.86	120.94	371.22	241.19	157.68	232.94	137.14	198.47	193.01	163.28	171.45	183.82	139.07	147.06	86.43	199.85	120.94	154.42	221.86	226.54	159.9	231.32	116.78	181.28	117.6	281.09	228.13	297.17	190.34	141.02	205.5
CDR2	483.38	651.58	397.93	466.88	603.67	521.76	563.18	708.18	599.49	457.25	642.59	476.71	441.64	819.3	928.3	679.29	728.11	1388.16	1225.22	1498.22	2018.8	1407.55	1051.79	1286.18	1963.57	2384.37	995.0	1242.34	1467.37	836.53	866.07	1208.34	1259.69	1242.34	1111.82	1467.37	1250.98	866.07	1447.15	1417.35	1008.9	1119.56	1277.29	1322.37	1639.59	1208.34	1104.13	934.76	1313.23	1498.22	1313.23	1096.5	1135.2	1259.69
CHD6	249.73	255.0	143.01	185.11	273.37	193.01	148.09	212.78	183.82	161.02	260.38	224.97	269.6	291.04	237.86	358.54	283.05	647.07	624.99	406.31	470.14	361.04	358.54	587.13	323.03	759.08	466.88	314.17	559.28	363.56	329.84	470.14	336.79	273.37	387.02	426.57	329.84	309.83	470.14	212.78	336.79	454.09	514.56	353.59	518.15	262.2	397.93	271.48	642.59	638.15	521.76	447.82	244.57	341.51
CRTC3	309.83	363.56	314.17	206.94	305.55	395.18	258.57	356.05	323.03	376.41	500.46	397.93	295.11	417.77	303.44	450.94	412.0	819.3	738.29	642.59	769.69	620.67	563.18	733.19	647.07	796.86	679.29	463.65	656.11	432.53	595.34	607.87	511.0	612.11	660.68	620.67	583.07	376.41	660.68	381.68	457.25	669.92	941.27	651.58	612.11	435.55	555.41	633.73	1561.89	703.28	759.08	591.22	460.44	518.15
DCAF16	220.32	186.4	121.79	151.22	202.66	175.07	129.69	118.43	140.04	170.25	181.28	129.69	198.47	165.57	154.42	212.78	198.47	450.94	490.14	314.17	332.14	309.83	323.03	366.09	271.48	384.34	323.03	236.21	351.14	256.78	305.55	277.2	249.73	295.11	295.11	283.05	275.28	172.65	368.65	244.57	251.48	336.79	368.65	373.81	239.52	215.77	281.09	237.86	435.55	368.65	444.72	279.14	258.57	283.05
DCP1A	134.3	121.79	104.42	112.77	127.0	82.87	84.63	98.73	120.94	133.36	137.14	78.89	148.09	115.16	85.22	155.5	139.07	343.89	285.03	204.07	217.27	182.55	229.72	281.09	157.68	260.38	189.02	175.07	229.72	175.07	186.4	209.84	156.59	181.28	249.73	164.42	202.66	127.0	253.23	151.22	127.89	204.07	248.0	279.14	201.25	149.12	182.55	186.4	384.34	191.67	341.51	208.38	146.03	178.77
DDX25	24.63	32.59	7.22	0.0	5.06	8.78	12.45	15.68	4.46	46.18	41.22	11.21	14.14	16.03	11.64	16.51	17.51	149.12	423.61	229.72	214.27	49.56	38.95	323.03	109.66	299.25	123.5	53.95	202.66	38.67	146.03	96.68	262.2	432.53	70.01	232.94	53.57	22.92	137.14	99.43	22.59	205.5	47.5	76.71	108.14	36.79	74.06	15.91	429.54	191.67	199.85	236.21	40.64	460.44
DEK	1135.2	1073.91	941.27	909.17	1104.13	1001.93	769.69	878.17	1051.79	1066.48	1407.55	1015.93	1457.23	902.89	884.29	1651.0	1304.15	2796.65	1721.16	3146.52	2451.44	2148.82	2148.82	2384.37	3081.75	3467.27	1662.49	2004.85	1844.76	1651.0	1457.23	1561.89	1685.71	2240.11	2032.85	1806.78	2434.5	1225.22	2287.2	1963.57	1896.65	2417.67	2224.63	1806.78	2468.49	1977.24	2335.28	1551.09	2240.11	2209.26	2468.49	1923.14	2119.22	2090.03
DESI2	253.23	332.14	260.38	271.48	318.57	334.46	231.32	232.94	289.02	221.86	379.04	224.97	277.2	332.14	255.0	356.05	271.48	836.53	547.75	583.07	791.35	395.18	463.65	486.75	518.15	890.44	414.87	447.82	423.61	314.17	432.53	470.14	363.56	403.5	490.14	493.56	514.56	343.89	575.03	470.14	323.03	483.38	486.75	532.74	728.11	633.73	480.04	339.14	540.19	607.87	571.05	463.65	387.02	400.71
