	GTEX.U4B1.0926.SM.4DXUV	TCGA.KN.8432.11A.01R.2315.07	TCGA.GL.8500.01A.11R.2404.07	GTEX.ZAB4.0826.SM.5LU9D	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.RNOR.1426.SM.48FDJ	GTEX.QV44.0326.SM.4R1KD	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.UPK5.1426.SM.4JBHH	TCGA.67.3770.01A.01R.0946.07	TCGA.64.1678.01A.01R.0946.07	TCGA.05.5423.01A.01R.1628.07	TCGA.75.5146.01A.01R.1628.07	TCGA.67.3772.01A.01R.0946.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.N7MS.0926.SM.2HMIZ	TCGA.37.4135.01A.01R.1100.07	TCGA.34.5234.01A.01R.1635.07	TCGA.AG.3725.11A.01R.1736.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.S341.0226.SM.5S2VG	GTEX.WXYG.0226.SM.3NB2Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF
ABT1	273.37	616.37	264.03	299.25	307.69	234.57	339.14	253.23	346.29	249.73	334.46	693.58	1030.12	759.08	738.29	679.29	896.64	836.53	633.73	297.17	194.36	974.5	961.07	813.63	325.29	351.14	392.44	397.93	395.18	348.71	346.29
AC092675.3	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.88	59.55	83.45	24.99	1.64	7.11	73.03	8.99	0.0	0.0	0.0	4.58	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOT8	327.56	1674.06	878.17	395.18	620.67	460.44	457.25	738.29	583.07	733.19	698.41	656.11	1397.83	2956.17	954.43	902.89	1350.18	2367.9	791.35	392.44	463.65	1697.45	1081.39	1639.59	915.51	555.41	651.58	665.29	764.36	660.68	603.67
ATP6V1G1	1477.58	9740.98	4268.94	2417.67	1896.65	3419.52	1733.13	1950.0	3060.45	2224.63	2956.17	4769.75	9673.69	5479.15	4903.87	4869.99	7032.37	8305.36	4066.71	1359.57	1313.23	3928.15	8134.41	4481.23	4671.57	3060.45	3280.18	3168.41	3768.09	3665.02	3589.58
BCL2L12	205.5	483.38	267.73	303.44	473.41	175.07	392.44	154.42	435.55	356.05	244.57	307.69	1286.18	607.87	616.37	450.94	1183.45	1233.75	426.57	82.87	99.43	1268.46	551.56	536.45	171.45	215.77	212.78	215.77	255.0	303.44	218.79
BOLA3	412.0	2573.36	1909.85	579.04	669.92	785.88	438.59	500.46	825.0	698.41	769.69	2537.92	3540.14	1208.34	3257.52	1081.39	2468.49	3081.75	1561.89	139.07	262.2	1977.24	2609.3	3060.45	1806.78	921.88	1081.39	1167.14	1819.35	1508.65	1015.93
BUD31	1111.82	5255.91	3443.31	1242.34	1340.84	1639.59	1216.75	947.83	1950.0	1051.79	1183.45	3146.52	8963.45	5872.48	3901.01	4010.71	9409.14	8363.13	2400.97	1001.93	1378.57	5954.47	7803.01	4639.29	2997.45	1857.6	2075.59	2335.28	2271.4	2609.3	2032.85
C11orf31	1277.29	7032.37	2816.11	3124.78	3395.89	1233.75	3395.89	2835.7	3060.45	2367.9	2502.97	8134.41	7966.99	9474.59	5594.3	5292.48	8778.97	13681.08	5751.61	2502.97	1104.13	13681.08	12764.83	6207.38	4704.07	2520.38	3257.52	3589.58	4328.55	3982.99	3372.43
C11orf83	105.89	656.11	312.0	105.15	242.88	77.79	180.02	204.07	373.81	220.32	228.13	511.0	1322.37	902.89	514.56	371.22	723.08	1331.57	299.25	55.89	51.35	743.43	493.56	679.29	202.66	162.14	277.2	229.72	293.07	309.83	163.28
C15orf61	159.9	197.09	139.07	81.71	92.05	61.68	139.07	123.5	71.5	94.01	152.28	253.23	514.56	224.97	287.01	147.06	170.25	397.93	293.07	106.63	61.68	665.29	262.2	320.8	211.31	145.02	187.71	241.19	295.11	231.32	244.57
