	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF29.1926.SM.5S2P1	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.R55C.0526.SM.3GIKA	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.ZTX8.0426.SM.59HLG	GTEX.11P7K.1726.SM.5GU6F
ADNP	2090.03	1437.15	220.32	297.17	169.07	246.28	183.82	305.55	201.25	183.82	217.27	271.48	215.77	195.72	163.28	202.66	201.25	748.61	406.31	470.14	435.55	547.75	503.95	607.87	540.19	441.64	525.39	579.04	819.3	503.95	728.11	633.73	723.08	293.07	373.81	743.43	579.04	583.07	511.0	854.13	329.84	599.49	429.54	743.43	688.78	521.76	540.19	463.65	423.61	454.09	633.73	395.18	460.44	1030.12	633.73	638.15	884.29	547.75	928.3	813.63
AKAP10	718.08	514.56	85.22	68.07	49.91	108.14	45.53	71.5	92.7	52.82	74.58	45.85	53.95	40.64	44.57	73.54	88.26	140.04	271.48	450.94	202.66	384.34	275.28	368.65	346.29	256.78	277.2	246.28	406.31	289.02	325.29	325.29	314.17	412.0	221.86	432.53	392.44	432.53	363.56	409.15	255.0	307.69	244.57	246.28	417.77	285.03	289.02	289.02	221.86	249.73	356.05	371.22	371.22	612.11	387.02	381.68	460.44	567.1	281.09	361.04
API5	3124.78	2537.92	669.92	571.05	486.75	665.29	507.46	423.61	503.95	454.09	616.37	457.25	612.11	438.59	543.96	620.67	595.34	1268.46	1051.79	961.07	902.89	995.0	909.17	1015.93	866.07	961.07	896.64	1359.57	1617.0	934.76	1277.29	1119.56	1304.15	961.07	703.28	1268.46	1191.69	1167.14	1477.58	1909.85	693.58	934.76	808.0	1104.13	1151.06	890.44	909.17	941.27	1081.39	1233.75	2061.24	1350.18	819.3	1651.0	842.36	1467.37	1322.37	890.44	2434.5	1685.71
ARHGAP5	2090.03	1923.14	285.03	157.68	173.85	226.54	144.01	180.02	104.42	187.71	205.5	249.73	115.97	127.89	96.01	275.28	223.41	457.25	409.15	363.56	392.44	547.75	563.18	412.0	343.89	320.8	361.04	647.07	915.51	376.41	529.06	339.14	463.65	366.09	241.19	830.75	547.75	412.0	620.67	995.0	387.02	318.57	579.04	392.44	400.71	316.37	503.95	255.0	334.46	392.44	1225.22	547.75	236.21	660.68	334.46	656.11	928.3	759.08	1487.87	1427.22
ARPP19	1977.24	2351.53	395.18	255.0	438.59	389.72	420.68	423.61	466.88	339.14	312.0	466.88	387.02	406.31	267.73	325.29	323.03	1923.14	1508.65	1096.5	1044.52	1628.26	1769.57	1304.15	1015.93	1030.12	1081.39	1639.59	2104.58	1322.37	1561.89	1059.11	1277.29	1066.48	974.5	2303.12	1498.22	1175.27	1447.15	2075.59	2047.0	934.76	1757.34	1487.87	1286.18	1487.87	1259.69	825.0	1250.98	1135.2	3190.46	1519.15	813.63	1350.18	872.1	1909.85	1628.26	2367.9	1806.78	1806.78
ATF2	1639.59	791.35	275.28	260.38	341.51	289.02	173.85	283.05	129.69	204.07	201.25	246.28	206.94	229.72	122.64	262.2	177.53	363.56	281.09	343.89	202.66	389.72	447.82	387.02	297.17	273.37	262.2	379.04	532.74	325.29	351.14	323.03	341.51	318.57	251.48	444.72	412.0	438.59	381.68	583.07	316.37	325.29	353.59	329.84	379.04	295.11	532.74	299.25	275.28	303.44	521.76	332.14	314.17	555.41	299.25	447.82	612.11	470.14	669.92	669.92
BCL9	325.29	412.0	45.53	57.89	46.5	74.06	32.36	165.57	96.68	30.12	38.12	45.85	67.59	58.71	65.72	40.36	33.78	248.0	172.65	144.01	185.11	226.54	143.01	190.34	180.02	70.01	195.72	176.29	164.42	116.78	223.41	234.57	271.48	82.29	122.64	291.04	80.57	206.94	127.89	275.28	180.02	212.78	205.5	299.25	366.09	226.54	262.2	186.4	144.01	237.86	163.28	173.85	193.01	206.94	154.42	209.84	295.11	156.59	414.87	624.99
BLOC1S6	1313.23	1051.79	224.97	189.02	234.57	232.94	229.72	161.02	189.02	217.27	182.55	155.5	205.5	187.71	150.17	273.37	201.25	616.37	480.04	480.04	343.89	361.04	660.68	435.55	454.09	376.41	343.89	633.73	872.1	409.15	441.64	518.15	642.59	559.28	336.79	629.35	567.1	473.41	412.0	802.41	514.56	409.15	406.31	679.29	511.0	540.19	591.22	426.57	351.14	507.46	1250.98	607.87	387.02	708.18	389.72	638.15	698.41	532.74	703.28	651.58
C3orf70	323.03	38.67	0.58	5.23	3.17	6.41	2.34	1.81	5.45	6.21	8.0	1.95	1.83	3.44	1.93	3.11	3.0	32.36	28.04	13.32	43.63	18.03	8.65	25.17	9.13	18.97	42.11	29.27	59.55	18.7	35.25	28.04	60.82	39.79	9.41	24.63	42.41	47.5	56.68	49.56	30.78	27.25	9.63	57.49	23.76	24.81	29.48	18.97	16.75	15.34	30.56	17.64	6.73	65.72	30.12	107.38	92.7	13.12	450.94	483.38
CDK19	490.14	307.69	58.3	48.18	43.94	55.49	30.12	26.86	53.95	25.91	69.03	31.22	73.03	57.89	41.52	76.71	60.82	146.03	236.21	123.5	64.34	189.02	242.88	164.42	183.82	178.77	130.6	149.12	244.57	107.38	236.21	180.02	182.55	229.72	148.09	229.72	223.41	155.5	187.71	137.14	136.19	206.94	211.31	130.6	175.07	156.59	256.78	140.04	110.43	185.11	175.07	170.25	167.9	289.02	166.73	215.77	271.48	224.97	299.25	291.04
