	GTEX.S341.1326.SM.4AD72	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.U8T8.2226.SM.3DB95	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.WH7G.0726.SM.3NMBM	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T
AK7	3690.52	173.85	476.71	236.21	1151.06	426.57	198.47	314.17	693.58	314.17	323.03	234.57	353.59	447.82	251.48	698.41	229.72	140.04	289.02	351.14	371.22	111.99	242.88	435.55	118.43	293.07	607.87	514.56	473.41	392.44	447.82	194.36	842.36	128.79	688.78	105.15	287.01	166.73	599.49	607.87	1628.26	36.01	444.72	297.17	258.57	343.89	651.58	194.36	56.28	86.43	139.07
ANKDD1B	974.5	92.7	79.45	63.45	559.28	180.02	118.43	90.14	124.37	111.99	214.27	48.87	59.97	178.77	47.5	56.28	111.99	10.31	69.03	69.52	123.5	27.05	78.34	156.59	39.79	82.29	64.34	221.86	49.91	37.32	361.04	57.89	426.57	15.11	224.97	48.18	59.97	127.89	202.66	134.3	327.56	19.25	202.66	88.88	117.6	185.11	246.28	43.32	4.9	12.74	55.49
ANKRD45	825.0	114.36	190.34	109.66	679.29	264.03	142.01	132.44	358.54	237.86	124.37	152.28	173.85	187.71	128.79	457.25	65.72	56.28	173.85	180.02	229.72	48.52	100.13	183.82	65.26	98.04	325.29	220.32	198.47	228.13	260.38	101.54	279.14	86.43	559.28	33.06	81.71	35.5	441.64	201.25	981.29	31.45	178.77	120.94	84.04	186.4	463.65	33.06	20.26	50.27	25.35
ANKRD65	2271.4	842.36	1529.73	743.43	2555.58	435.55	493.56	890.44	629.35	1191.69	1909.85	890.44	356.05	1923.14	612.11	2875.3	830.75	373.81	540.19	1088.92	1250.98	287.01	981.29	713.11	226.54	890.44	441.64	1417.35	3928.15	575.03	1628.26	454.09	2627.46	281.09	3280.18	346.29	514.56	1561.89	1369.04	1639.59	2502.97	98.73	1769.57	1757.34	1143.1	1268.46	753.83	281.09	113.56	273.37	379.04
ANKRD66	107203.06	123.5	507.46	204.07	1159.07	525.39	279.14	264.03	624.99	397.93	409.15	242.88	353.59	551.56	181.28	633.73	201.25	141.02	329.84	152.28	447.82	94.67	166.73	325.29	67.59	371.22	511.0	511.0	444.72	323.03	603.67	209.84	1127.35	99.43	733.19	96.01	111.99	163.28	373.81	444.72	1639.59	33.3	450.94	133.36	156.59	412.0	764.36	122.64	36.53	60.82	100.13
APOBEC4	660.68	66.65	123.5	92.05	808.0	205.5	189.02	148.09	371.22	258.57	82.87	105.89	87.03	62.12	127.89	295.11	37.32	30.12	107.38	50.98	223.41	32.59	23.76	166.73	40.36	60.39	103.69	241.19	96.68	100.13	185.11	69.03	387.02	45.53	723.08	18.16	44.57	63.45	150.17	187.71	426.57	25.54	191.67	71.5	81.14	95.34	236.21	22.92	17.13	7.57	25.54
ARHGAP39	511.0	69.03	173.85	71.5	555.41	289.02	166.73	64.34	228.13	87.03	220.32	109.66	142.01	356.05	132.44	201.25	122.64	53.57	122.64	88.26	172.65	59.97	46.84	87.03	42.71	142.01	186.4	165.57	135.24	120.1	148.09	97.36	406.31	116.78	392.44	52.82	96.01	144.01	293.07	151.22	327.56	31.67	334.46	72.01	107.38	169.07	273.37	85.22	19.39	34.02	51.71
ARMC4	4239.45	171.45	457.25	229.72	1378.57	392.44	387.02	241.19	612.11	217.27	466.88	389.72	275.28	368.65	301.33	551.56	175.07	162.14	229.72	149.12	476.71	42.41	93.35	323.03	77.25	392.44	376.41	426.57	429.54	444.72	642.59	173.85	1277.29	53.57	1037.29	52.82	162.14	215.77	764.36	395.18	1191.69	52.82	723.08	212.78	147.06	540.19	884.29	178.77	31.67	129.69	45.53
ASB14	12.0	10.0	17.25	5.45	68.55	13.32	14.14	5.28	27.64	8.71	15.34	4.5	8.38	13.62	9.63	14.03	6.41	6.73	9.13	6.06	19.39	9.56	3.53	8.99	10.08	25.35	24.11	16.03	15.68	11.91	11.04	11.55	38.67	2.78	31.0	3.99	4.98	6.41	17.25	17.13	29.48	5.19	33.3	4.78	6.89	34.75	14.45	5.63	9.27	5.92	6.21
ATP2C2	2895.31	110.43	1119.56	708.18	3847.29	1909.85	909.17	848.22	583.07	373.81	995.0	339.14	5441.3	902.89	521.76	1519.15	896.64	543.96	312.0	1304.15	651.58	106.63	1081.39	2090.03	87.03	595.34	674.59	2255.7	2271.4	493.56	1322.37	237.86	1721.16	1143.1	2915.45	555.41	1963.57	1208.34	1322.37	1819.35	2451.44	59.97	460.44	583.07	713.11	651.58	2075.59	1037.29	88.88	265.87	480.04
