	TCGA.C8.A12O.01A.11R.A115.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A1AN.01A.11R.A12P.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.C8.A12Z.01A.11R.A115.07	TCGA.A2.A0EV.01A.11R.A034.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.E2.A15C.01A.31R.A12D.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.D8.A1XO.01A.11R.A14M.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.U3ZN.0626.SM.3DB7U	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9
ABHD17B	204.07	246.28	353.59	170.25	177.53	414.87	197.09	500.46	218.79	215.77	170.25	271.48	249.73	269.6	181.28	69.03	123.5	237.86	241.19	178.77	241.19	295.11	264.03	187.71	281.09	218.79	265.87	177.53	231.32	264.03	307.69	237.86	532.74	316.37	307.69	152.28	500.46	237.86	303.44	153.34	339.14	406.31	323.03	217.27	199.85	291.04	361.04	96.01	241.19	165.57	108.9	176.29	231.32	201.25	186.4	248.0	144.01	178.77	334.46	178.77	154.42	113.56	181.28	100.13	159.9	92.05	341.51	138.1	189.02	285.03	262.2	173.85	118.43	169.07	223.41	226.54	149.12	217.27	170.25	262.2	193.01	162.14	198.47	166.73	194.36	177.53	211.31	140.04	194.36	159.9	171.45	146.03	232.94	176.29	178.77	305.55	323.03	256.78	133.36	249.73	193.01	97.36	124.37	316.37	262.2	144.01	186.4	177.53	125.24	158.79	209.84	183.82	236.21	167.9	155.5	150.17	255.0	211.31	186.4	289.02	256.78	199.85	197.09	264.03	260.38	170.25	112.77	178.77	231.32	211.31	190.34	167.9	221.86	214.27	175.07	191.67	151.22	98.73	348.71	397.93	674.59
ABI1	1191.69	1151.06	947.83	866.07	1551.09	1088.92	860.08	723.08	884.29	1023.0	638.15	647.07	1088.92	1119.56	796.86	1135.2	791.35	934.76	988.12	961.07	902.89	1167.14	1119.56	909.17	1008.9	679.29	1111.82	1674.06	1233.75	1051.79	1304.15	961.07	1407.55	1208.34	1529.73	1350.18	1529.73	1119.56	825.0	954.43	1183.45	2090.03	1340.84	299.25	339.14	1051.79	1175.27	231.32	518.15	265.87	318.57	406.31	718.08	414.87	412.0	493.56	307.69	260.38	638.15	612.11	336.79	450.94	409.15	281.09	291.04	297.17	441.64	341.51	248.0	435.55	409.15	209.84	175.07	277.2	271.48	249.73	279.14	486.75	303.44	429.54	343.89	297.17	312.0	348.71	547.75	603.67	237.86	314.17	500.46	518.15	429.54	236.21	336.79	511.0	334.46	551.56	417.77	371.22	305.55	791.35	441.64	232.94	139.07	511.0	320.8	283.05	376.41	217.27	147.06	444.72	384.34	371.22	371.22	303.44	260.38	387.02	547.75	358.54	281.09	273.37	287.01	470.14	334.46	336.79	361.04	785.88	220.32	232.94	208.38	253.23	299.25	204.07	351.14	231.32	283.05	307.69	325.29	287.01	1417.35	1250.98	1561.89
ACAP2	314.17	518.15	332.14	244.57	480.04	521.76	249.73	387.02	392.44	567.1	264.03	346.29	258.57	379.04	521.76	457.25	368.65	223.41	435.55	329.84	417.77	486.75	334.46	295.11	412.0	305.55	400.71	242.88	483.38	454.09	567.1	392.44	651.58	575.03	620.67	521.76	836.53	275.28	514.56	229.72	674.59	483.38	688.78	103.69	125.24	348.71	595.34	44.89	151.22	74.58	109.66	95.34	173.85	93.35	85.22	162.14	90.77	55.49	118.43	128.79	84.63	115.16	106.63	82.29	87.03	70.51	133.36	57.49	75.11	173.85	161.02	72.01	48.87	92.7	69.03	92.7	99.43	130.6	84.04	178.77	112.77	94.67	102.25	135.24	155.5	164.42	102.97	167.9	122.64	177.53	122.64	91.41	115.97	178.77	80.01	253.23	143.01	133.36	96.01	229.72	146.03	118.43	55.1	236.21	99.43	123.5	182.55	77.25	74.06	181.28	136.19	102.25	113.56	131.51	84.04	172.65	134.3	205.5	60.82	100.83	118.43	106.63	103.69	120.1	153.34	133.36	79.45	103.69	96.01	76.71	126.12	73.03	124.37	58.3	113.56	105.89	113.56	113.56	802.41	872.1	466.88
ACTR2	3235.01	3742.05	2520.38	2835.7	4575.41	3467.27	2485.67	3768.09	3395.89	3768.09	2351.53	3419.52	3515.68	2777.33	4095.0	3235.01	1923.14	2573.36	3515.68	2739.08	2555.58	3540.14	4010.71	2400.97	2468.49	2720.15	2796.65	4639.29	3690.52	2956.17	3103.19	2319.15	2701.35	3257.52	3515.68	1745.2	3820.7	1870.53	2796.65	2956.17	2104.58	3467.27	3303.0	718.08	961.07	4769.75	7280.4	1417.35	1417.35	941.27	961.07	902.89	2104.58	1331.57	764.36	1167.14	1023.0	551.56	1268.46	1277.29	830.75	1191.69	1175.27	1104.13	981.29	802.41	1208.34	647.07	733.19	1199.98	1277.29	665.29	559.28	688.78	780.44	896.64	967.76	1216.75	866.07	1561.89	1127.35	1051.79	1208.34	928.3	1111.82	2193.99	759.08	1685.71	1628.26	1561.89	1397.83	1437.15	1709.26	1059.11	775.05	2119.22	1857.6	1295.13	1259.69	2400.97	1331.57	624.99	825.0	1572.76	1015.93	896.64	1340.84	1259.69	884.29	1191.69	1498.22	1135.2	1167.14	1167.14	1001.93	780.44	1477.58	1519.15	785.88	890.44	764.36	1208.34	1183.45	954.43	1467.37	1175.27	775.05	698.41	656.11	878.17	1313.23	595.34	1059.11	624.99	1397.83	981.29	1304.15	884.29	4972.34	4419.52	4419.52
ACVR1	764.36	1030.12	733.19	595.34	412.0	1044.52	842.36	336.79	591.22	656.11	547.75	780.44	1397.83	703.28	825.0	713.11	579.04	551.56	954.43	536.45	769.69	842.36	1159.07	802.41	866.07	470.14	656.11	620.67	723.08	718.08	1088.92	753.83	995.0	947.83	764.36	764.36	1183.45	525.39	490.14	511.0	1477.58	1806.78	718.08	384.34	403.5	693.58	825.0	316.37	447.82	197.09	144.01	348.71	583.07	400.71	244.57	301.33	231.32	189.02	493.56	289.02	258.57	256.78	295.11	212.78	299.25	234.57	457.25	226.54	256.78	305.55	444.72	295.11	178.77	320.8	262.2	323.03	334.46	379.04	218.79	470.14	371.22	181.28	371.22	332.14	503.95	607.87	400.71	221.86	341.51	483.38	450.94	193.01	441.64	854.13	293.07	921.88	514.56	228.13	507.46	854.13	293.07	329.84	141.02	466.88	211.31	258.57	412.0	191.67	129.69	220.32	432.53	444.72	366.09	241.19	199.85	356.05	414.87	392.44	260.38	395.18	353.59	387.02	371.22	332.14	332.14	429.54	246.28	334.46	312.0	153.34	329.84	137.14	279.14	454.09	297.17	1001.93	198.47	555.41	1081.39	967.76	909.17
ADAM10	1008.9	1127.35	941.27	620.67	1397.83	1037.29	769.69	890.44	1066.48	1369.04	769.69	941.27	836.53	587.13	1044.52	866.07	454.09	684.02	2209.26	1183.45	1051.79	1388.16	1407.55	884.29	1023.0	713.11	1151.06	1088.92	733.19	928.3	1709.26	872.1	1388.16	1304.15	1304.15	947.83	1359.57	656.11	1066.48	866.07	1551.09	1529.73	1295.13	299.25	346.29	1697.45	4268.94	412.0	693.58	314.17	299.25	454.09	808.0	392.44	339.14	693.58	450.94	211.31	866.07	441.64	301.33	414.87	406.31	400.71	473.41	212.78	426.57	332.14	229.72	457.25	457.25	205.5	157.68	255.0	251.48	289.02	303.44	460.44	256.78	525.39	336.79	343.89	348.71	273.37	555.41	575.03	267.73	470.14	567.1	733.19	470.14	392.44	376.41	567.1	186.4	587.13	656.11	423.61	400.71	860.08	414.87	189.02	114.36	536.45	555.41	264.03	463.65	277.2	136.19	536.45	529.06	463.65	638.15	450.94	269.6	381.68	571.05	872.1	256.78	351.14	256.78	291.04	346.29	318.57	612.11	420.68	198.47	299.25	212.78	209.84	444.72	175.07	346.29	248.0	551.56	320.8	703.28	346.29	1369.04	1350.18	1119.56
ADAM17	373.81	435.55	314.17	239.52	279.14	438.59	275.28	361.04	346.29	381.68	215.77	309.83	358.54	309.83	363.56	356.05	265.87	301.33	371.22	358.54	343.89	392.44	447.82	301.33	529.06	273.37	356.05	353.59	441.64	483.38	514.56	341.51	521.76	490.14	551.56	620.67	307.69	220.32	466.88	285.03	665.29	500.46	660.68	49.56	54.33	414.87	563.18	191.67	103.69	41.22	39.5	60.82	197.09	62.56	57.08	107.38	85.82	20.86	117.6	85.22	48.52	64.8	71.5	50.27	81.71	59.97	69.03	43.63	37.85	100.13	72.52	28.24	23.59	34.51	53.19	31.22	72.01	82.29	42.11	100.83	72.01	59.13	77.25	42.41	120.94	185.11	59.97	133.36	49.91	143.01	116.78	63.0	74.58	130.6	53.57	111.21	169.07	56.68	58.71	157.68	98.73	50.98	47.84	100.83	133.36	55.1	102.97	92.05	43.02	80.01	84.63	76.17	57.08	59.13	60.82	98.73	80.57	187.71	19.25	75.11	60.39	84.63	90.14	33.78	127.89	124.37	34.51	64.34	61.25	22.59	88.26	47.84	61.25	102.25	76.71	102.97	78.89	34.75	412.0	825.0	493.56
AEBP2	490.14	599.49	414.87	368.65	563.18	647.07	281.09	703.28	384.34	563.18	403.5	483.38	373.81	444.72	536.45	277.2	332.14	420.68	371.22	444.72	518.15	312.0	490.14	387.02	587.13	316.37	457.25	283.05	647.07	693.58	769.69	684.02	1175.27	836.53	981.29	890.44	1685.71	718.08	599.49	423.61	909.17	1023.0	854.13	178.77	169.07	698.41	780.44	128.79	249.73	198.47	137.14	140.04	297.17	130.6	129.69	269.6	181.28	102.25	371.22	195.72	116.78	99.43	114.36	173.85	193.01	186.4	169.07	116.78	110.43	223.41	231.32	138.1	69.03	135.24	163.28	173.85	202.66	178.77	151.22	273.37	211.31	126.12	180.02	166.73	180.02	208.38	246.28	177.53	147.06	172.65	146.03	176.29	110.43	269.6	64.34	293.07	194.36	138.1	148.09	353.59	147.06	143.01	77.25	208.38	241.19	157.68	307.69	69.52	151.22	246.28	178.77	139.07	134.3	135.24	106.63	202.66	103.69	320.8	147.06	291.04	241.19	169.07	156.59	262.2	149.12	126.12	102.25	228.13	163.28	119.26	132.44	79.45	197.09	125.24	159.9	320.8	239.52	224.97	480.04	356.05	669.92
AGK	373.81	356.05	441.64	395.18	525.39	381.68	291.04	339.14	389.72	397.93	466.88	403.5	373.81	336.79	387.02	329.84	379.04	435.55	343.89	334.46	444.72	366.09	329.84	356.05	368.65	490.14	376.41	329.84	384.34	389.72	490.14	432.53	454.09	384.34	395.18	525.39	480.04	279.14	281.09	323.03	389.72	540.19	463.65	163.28	169.07	332.14	356.05	151.22	312.0	181.28	115.16	283.05	265.87	128.79	185.11	277.2	299.25	102.25	332.14	334.46	218.79	202.66	285.03	187.71	253.23	267.73	279.14	241.19	185.11	169.07	242.88	133.36	164.42	142.01	146.03	164.42	181.28	198.47	136.19	158.79	202.66	161.02	189.02	236.21	167.9	141.02	273.37	178.77	198.47	190.34	127.0	208.38	166.73	205.5	217.27	171.45	78.89	139.07	148.09	176.29	172.65	206.94	108.9	155.5	138.1	110.43	175.07	156.59	148.09	152.28	171.45	161.02	125.24	197.09	180.02	157.68	143.01	110.43	159.9	110.43	159.9	170.25	204.07	138.1	111.99	236.21	185.11	178.77	153.34	126.12	127.0	208.38	171.45	58.3	152.28	89.51	112.77	163.28	329.84	244.57	283.05
ANKRD13C	323.03	325.29	277.2	251.48	293.07	371.22	212.78	332.14	269.6	287.01	260.38	389.72	323.03	303.44	368.65	277.2	209.84	223.41	299.25	237.86	256.78	316.37	267.73	289.02	295.11	194.36	289.02	291.04	316.37	336.79	368.65	281.09	466.88	371.22	438.59	191.67	665.29	231.32	361.04	246.28	457.25	334.46	389.72	107.38	111.21	221.86	460.44	73.54	144.01	87.03	72.52	52.08	143.01	91.41	77.79	140.04	59.13	125.24	171.45	136.19	73.03	97.36	109.66	74.06	53.95	67.12	143.01	67.59	84.63	135.24	114.36	94.01	48.18	88.88	92.05	96.68	105.89	98.73	85.22	123.5	104.42	88.26	113.56	102.97	90.14	117.6	130.6	87.65	71.5	106.63	74.58	60.82	84.04	93.35	50.98	120.94	95.34	149.12	76.71	163.28	96.68	56.28	59.13	78.89	90.77	70.51	63.0	76.17	59.55	72.01	89.51	59.55	61.68	92.7	127.89	172.65	115.97	108.14	100.83	118.43	118.43	72.01	108.14	215.77	124.37	80.01	75.64	142.01	110.43	190.34	127.0	52.08	94.01	127.0	64.34	105.89	170.25	80.57	289.02	497.0	583.07
