	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.145LS.2726.SM.5Q5D8	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.147JS.2526.SM.5S2Q8	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.14BMV.2426.SM.5S2PP	GTEX.12ZZY.2726.SM.5EQ45	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.UJHI.1126.SM.4IHLN	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.Y8E4.2426.SM.4WWDN	GTEX.13OW6.2126.SM.5N9GL	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.11DXZ.1726.SM.5H12M	GTEX.TKQ2.1326.SM.4DXT9	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.QCQG.1626.SM.48U26	GTEX.11O72.2226.SM.5PNW2	GTEX.Y3IK.1826.SM.4WWDS	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07
AADACL2	16.63	4.66	5.32	6.21	6.16	3.14	17.13	0.0	33.3	1.89	6.41	31.45	42.71	2.89	18.56	19.39	5.59	2.34	4.7	13.03	6.46	26.86	27.44	7.0	6.16	37.85	3.96	8.38	11.64	17.77	71.5	3.59	0.0	41.22	6.01	23.25	3.35	19.39	28.65	9.06	0.0	2.05	9.06	25.72	3.47	3.26	6.89	22.59	9.7	23.08	10.39	28.65	0.0	2.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABI3BP	493.56	49.91	127.89	161.02	72.01	358.54	1331.57	92.05	2720.15	116.78	320.8	866.07	1487.87	86.43	420.68	1066.48	457.25	110.43	159.9	269.6	75.64	1572.76	197.09	228.13	612.11	1407.55	2047.0	665.29	139.07	426.57	1883.54	78.34	87.03	1883.54	153.34	988.12	126.12	733.19	813.63	854.13	40.93	169.07	651.58	1313.23	109.66	1143.1	1015.93	1794.29	583.07	2032.85	265.87	1733.13	206.94	46.18	463.65	26.1	38.4	171.45	116.78	116.78	0.0
ANAPC10	217.27	138.1	187.71	223.41	190.34	189.02	348.71	211.31	281.09	183.82	234.57	271.48	466.88	206.94	262.2	249.73	244.57	169.07	229.72	180.02	180.02	348.71	178.77	177.53	209.84	543.96	392.44	309.83	187.71	228.13	450.94	137.14	205.5	426.57	208.38	318.57	206.94	269.6	341.51	309.83	156.59	186.4	189.02	289.02	327.56	178.77	239.52	363.56	202.66	287.01	265.87	293.07	205.5	128.79	264.03	258.57	323.03	228.13	441.64	341.51	0.0
AQPEP	30.56	7.63	14.56	2.94	5.23	12.45	55.89	11.04	193.01	7.57	28.24	65.72	85.22	16.63	19.68	16.75	16.27	10.63	25.91	16.03	12.36	52.45	25.17	8.25	19.82	84.63	32.82	28.04	15.45	7.75	119.26	10.0	3.72	78.89	8.19	55.49	16.63	80.01	29.7	39.5	1.87	3.06	47.5	64.34	5.45	81.14	43.02	50.98	7.57	48.87	17.0	138.1	8.85	1.93	1.28	0.44	0.58	0.79	0.0	2.51	0.0
ARMCX1	206.94	44.25	85.22	130.6	63.89	204.07	559.28	86.43	551.56	55.49	139.07	483.38	647.07	43.32	103.69	283.05	86.43	57.08	64.34	163.28	47.17	435.55	108.9	68.55	195.72	624.99	684.02	339.14	91.41	86.43	583.07	50.63	52.82	521.76	67.12	150.17	70.01	417.77	303.44	329.84	61.25	62.56	253.23	356.05	57.08	460.44	327.56	490.14	111.21	540.19	142.01	426.57	59.97	50.98	81.14	38.67	12.74	41.22	217.27	90.14	0.0
ARMCX6	559.28	289.02	414.87	417.77	341.51	633.73	1096.5	301.33	961.07	275.28	775.05	780.44	1250.98	149.12	463.65	607.87	409.15	429.54	397.93	493.56	228.13	1447.15	293.07	423.61	503.95	961.07	1225.22	830.75	241.19	262.2	1242.34	438.59	429.54	1008.9	480.04	406.31	406.31	660.68	769.69	389.72	248.0	432.53	647.07	684.02	406.31	836.53	688.78	813.63	540.19	813.63	651.58	1407.55	466.88	241.19	163.28	1167.14	116.78	185.11	738.29	75.11	0.0
ARPP21	6.78	2.97	6.52	5.77	3.38	3.63	7.46	2.81	26.86	0.77	4.39	7.75	17.51	6.67	3.06	8.45	4.31	1.79	4.86	6.31	4.03	9.13	4.54	1.51	3.82	26.67	18.43	5.96	4.94	3.2	15.68	6.36	1.71	19.25	0.54	7.94	5.82	5.59	6.21	8.45	5.32	6.31	8.25	12.74	1.99	10.16	13.12	7.11	12.45	12.93	5.92	17.13	2.58	1.48	0.08	12.09	0.23	5.87	6.06	4.13	0.0
ATP8A2	5.41	2.32	3.82	5.32	3.69	4.94	10.08	5.96	15.11	2.43	4.24	8.58	16.15	1.73	5.02	6.89	4.06	3.11	2.94	5.5	3.11	19.53	4.1	4.54	9.06	24.63	19.82	11.91	3.44	9.2	26.1	4.5	5.5	14.67	6.01	5.82	4.46	7.4	13.62	14.24	7.57	3.26	11.91	15.8	2.76	10.24	10.08	8.45	8.32	16.51	2.46	8.58	5.73	2.86	0.79	0.54	0.0	0.62	0.65	0.66	14.14
BCAM	1159.07	713.11	738.29	473.41	426.57	1561.89	4268.94	236.21	3419.52	450.94	1066.48	1388.16	1407.55	277.2	1151.06	974.5	571.05	429.54	444.72	587.13	281.09	1745.2	435.55	466.88	769.69	3540.14	2178.83	961.07	848.22	543.96	2319.15	647.07	525.39	3257.52	400.71	1407.55	441.64	1331.57	1437.15	764.36	299.25	713.11	934.76	1674.06	373.81	1487.87	961.07	2061.24	961.07	3103.19	540.19	1295.13	353.59	483.38	848.22	142.01	271.48	1159.07	1794.29	1001.93	0.0
C1QTNF1	368.65	132.44	231.32	218.79	187.71	187.71	1096.5	90.14	1721.16	224.97	246.28	890.44	579.04	182.55	191.67	571.05	346.29	211.31	142.01	395.18	155.5	543.96	231.32	128.79	426.57	1081.39	713.11	728.11	161.02	395.18	1001.93	144.01	155.5	511.0	228.13	353.59	189.02	642.59	466.88	988.12	118.43	178.77	244.57	2271.4	185.11	540.19	599.49	890.44	693.58	890.44	199.85	450.94	312.0	135.24	884.29	1167.14	228.13	438.59	4419.52	1199.98	0.0
