	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8259.11A.01R.2263.07
ECD	583.07	507.46	525.39	426.57	616.37	409.15	591.22	656.11	457.25	470.14	417.77	543.96	603.67	429.54	463.65	444.72	454.09	395.18	567.1	441.64	420.68	397.93	521.76	503.95	361.04	417.77	329.84	358.54	490.14	547.75	507.46	525.39	432.53	361.04	567.1	376.41	454.09	397.93	441.64	438.59	371.22	518.15	503.95	473.41	438.59	343.89	476.71	438.59	403.5	420.68	438.59	412.0	470.14	409.15	447.82
EIF2AK3	854.13	909.17	1051.79	312.0	890.44	473.41	819.3	1088.92	607.87	954.43	733.19	607.87	796.86	447.82	708.18	660.68	426.57	376.41	660.68	540.19	470.14	591.22	660.68	638.15	269.6	265.87	403.5	373.81	708.18	733.19	842.36	896.64	591.22	376.41	1216.75	497.0	500.46	1044.52	320.8	713.11	312.0	616.37	796.86	395.18	1023.0	307.69	884.29	567.1	493.56	323.03	460.44	466.88	579.04	521.76	457.25
ESF1	237.86	190.34	242.88	81.14	297.17	137.14	253.23	241.19	137.14	215.77	180.02	221.86	287.01	185.11	220.32	182.55	145.02	123.5	260.38	198.47	143.01	177.53	258.57	181.28	74.58	82.29	135.24	130.6	146.03	241.19	208.38	108.9	191.67	115.16	224.97	118.43	157.68	248.0	124.37	181.28	117.6	149.12	246.28	224.97	199.85	100.83	209.84	155.5	104.42	157.68	144.01	153.34	167.9	147.06	167.9
FAM120A	1923.14	2018.8	1794.29	1015.93	2133.97	1216.75	2004.85	2032.85	1277.29	2047.0	1519.15	1529.73	1923.14	1295.13	1733.13	1447.15	1088.92	1304.15	1594.73	1250.98	1250.98	1104.13	1617.0	1936.53	941.27	878.17	988.12	1059.11	1259.69	2163.77	1733.13	1769.57	1304.15	1208.34	1745.2	1081.39	1447.15	1977.24	1001.93	1477.58	1216.75	1350.18	1923.14	1407.55	1745.2	1051.79	1963.57	1286.18	1135.2	1044.52	1233.75	1183.45	1199.98	1183.45	1191.69
FAM133B	486.75	438.59	497.0	281.09	708.18	406.31	612.11	629.35	361.04	476.71	529.06	518.15	612.11	473.41	500.46	414.87	447.82	403.5	775.05	470.14	323.03	412.0	547.75	460.44	346.29	316.37	381.68	348.71	417.77	575.03	616.37	438.59	423.61	271.48	612.11	336.79	432.53	624.99	336.79	450.94	414.87	450.94	587.13	540.19	457.25	389.72	463.65	409.15	325.29	409.15	432.53	457.25	438.59	409.15	466.88
FBXO11	665.29	679.29	753.83	346.29	830.75	406.31	836.53	759.08	497.0	571.05	540.19	728.11	759.08	540.19	660.68	463.65	583.07	334.46	688.78	583.07	463.65	480.04	595.34	616.37	291.04	356.05	397.93	409.15	575.03	633.73	511.0	500.46	559.28	441.64	551.56	432.53	497.0	808.0	429.54	463.65	314.17	476.71	693.58	532.74	563.18	417.77	612.11	466.88	409.15	470.14	438.59	532.74	435.55	483.38	579.04
FRS2	236.21	293.07	246.28	58.3	395.18	109.66	323.03	299.25	113.56	332.14	149.12	193.01	305.55	129.69	202.66	141.02	120.94	102.25	201.25	154.42	134.3	115.97	226.54	209.84	50.63	55.49	75.11	87.65	154.42	239.52	208.38	228.13	159.9	93.35	275.28	107.38	122.64	269.6	88.26	166.73	70.51	170.25	287.01	181.28	220.32	73.03	217.27	149.12	84.04	120.94	123.5	143.01	92.05	99.43	153.34
G2E3	211.31	205.5	185.11	43.32	256.78	77.79	246.28	251.48	109.66	197.09	102.97	150.17	236.21	94.01	165.57	110.43	92.05	70.01	183.82	116.78	82.87	94.01	171.45	180.02	55.1	52.08	68.07	94.67	115.16	221.86	132.44	145.02	114.36	80.57	237.86	80.57	132.44	239.52	77.79	116.78	72.01	108.14	237.86	102.25	135.24	60.82	176.29	105.89	66.18	91.41	94.01	98.73	80.01	84.04	127.0
G3BP1	1617.0	1551.09	1594.73	878.17	1529.73	1088.92	1709.26	1883.54	1015.93	1639.59	1037.29	1350.18	1794.29	842.36	1508.65	1417.35	753.83	825.0	1651.0	1015.93	1051.79	791.35	1896.65	1617.0	842.36	748.61	866.07	718.08	1008.9	1781.89	1457.23	1757.34	1437.15	878.17	1806.78	802.41	961.07	2032.85	775.05	1242.34	836.53	995.0	1572.76	1397.83	1151.06	583.07	1745.2	909.17	796.86	866.07	941.27	808.0	1096.5	872.1	802.41
GABPB1	323.03	275.28	389.72	175.07	426.57	204.07	361.04	412.0	234.57	511.0	293.07	289.02	420.68	281.09	327.56	277.2	239.52	208.38	348.71	231.32	220.32	231.32	339.14	295.11	221.86	193.01	180.02	281.09	285.03	389.72	358.54	262.2	246.28	195.72	341.51	189.02	234.57	457.25	217.27	256.78	153.34	264.03	353.59	361.04	242.88	197.09	291.04	239.52	202.66	195.72	271.48	281.09	260.38	384.34	201.25
GFM1	567.1	629.35	493.56	279.14	769.69	444.72	830.75	748.61	376.41	607.87	444.72	595.34	819.3	395.18	460.44	457.25	373.81	285.03	836.53	423.61	429.54	450.94	665.29	796.86	297.17	265.87	339.14	438.59	432.53	656.11	579.04	679.29	441.64	289.02	536.45	381.68	379.04	743.43	334.46	497.0	497.0	460.44	733.19	366.09	507.46	334.46	607.87	371.22	351.14	325.29	376.41	332.14	457.25	346.29	384.34
GLS	543.96	579.04	420.68	118.43	624.99	197.09	529.06	587.13	297.17	444.72	384.34	366.09	532.74	395.18	423.61	295.11	351.14	358.54	525.39	400.71	186.4	341.51	514.56	351.14	140.04	183.82	371.22	309.83	255.0	480.04	400.71	356.05	327.56	275.28	275.28	253.23	224.97	633.73	202.66	327.56	299.25	307.69	412.0	403.5	363.56	277.2	470.14	299.25	197.09	320.8	314.17	320.8	283.05	303.44	460.44
GMEB1	144.01	133.36	170.25	73.03	147.06	108.9	147.06	141.02	121.79	166.73	145.02	150.17	169.07	106.63	170.25	120.94	127.0	96.01	138.1	142.01	108.14	90.14	154.42	112.77	77.79	83.45	77.79	120.1	118.43	139.07	140.04	131.51	136.19	106.63	161.02	92.7	117.6	143.01	114.36	122.64	88.88	111.99	135.24	154.42	113.56	97.36	137.14	136.19	84.04	104.42	107.38	128.79	131.51	128.79	113.56
GOLT1B	669.92	660.68	703.28	381.68	981.29	414.87	728.11	961.07	493.56	607.87	429.54	358.54	693.58	403.5	543.96	500.46	348.71	287.01	624.99	441.64	497.0	466.88	583.07	567.1	234.57	264.03	426.57	334.46	540.19	728.11	607.87	679.29	555.41	339.14	718.08	417.77	447.82	780.44	336.79	500.46	358.54	460.44	769.69	414.87	511.0	336.79	728.11	343.89	441.64	358.54	447.82	299.25	412.0	420.68	480.04
GORASP2	1561.89	1923.14	1388.16	665.29	1407.55	1617.0	1628.26	1769.57	1397.83	1794.29	1407.55	1407.55	1498.22	1088.92	1467.37	1498.22	1044.52	1073.91	1508.65	1199.98	1331.57	947.83	1662.49	1427.22	1277.29	1001.93	947.83	884.29	1378.57	1551.09	1844.76	1977.24	1662.49	1388.16	2627.46	1015.93	1322.37	1721.16	1001.93	1477.58	1044.52	1519.15	1617.0	1519.15	1594.73	890.44	1498.22	1369.04	1225.22	872.1	1427.22	1015.93	1277.29	1167.14	1143.1
HMGXB4	435.55	289.02	529.06	129.69	387.02	253.23	454.09	435.55	258.57	463.65	239.52	348.71	414.87	217.27	351.14	346.29	218.79	202.66	417.77	295.11	244.57	157.68	389.72	387.02	152.28	156.59	241.19	198.47	329.84	406.31	309.83	400.71	444.72	283.05	483.38	237.86	305.55	395.18	172.65	307.69	157.68	327.56	395.18	309.83	323.03	193.01	348.71	251.48	170.25	289.02	195.72	253.23	229.72	283.05	220.32
HNRNPLL	543.96	583.07	703.28	289.02	698.41	336.79	759.08	629.35	432.53	579.04	529.06	656.11	748.61	400.71	595.34	463.65	503.95	329.84	693.58	493.56	395.18	403.5	575.03	551.56	325.29	384.34	412.0	348.71	414.87	616.37	476.71	473.41	406.31	325.29	563.18	346.29	358.54	718.08	363.56	409.15	318.57	406.31	612.11	379.04	490.14	329.84	575.03	387.02	309.83	373.81	381.68	438.59	463.65	361.04	463.65
HNRNPR	1923.14	2119.22	2468.49	1477.58	2875.3	1733.13	2209.26	2384.37	1529.73	2119.22	1896.65	2119.22	2835.7	1709.26	2178.83	1909.85	1721.16	1477.58	2573.36	1870.53	1594.73	1628.26	2133.97	2148.82	1662.49	1388.16	1388.16	1487.87	1662.49	2303.12	2178.83	1896.65	1806.78	1304.15	2224.63	1277.29	1806.78	2451.44	1628.26	1685.71	1477.58	1794.29	2090.03	2004.85	1819.35	1322.37	1896.65	1529.73	988.12	1639.59	1721.16	1519.15	1923.14	1572.76	1697.45
HSPA14	525.39	500.46	417.77	336.79	447.82	480.04	441.64	547.75	444.72	536.45	358.54	454.09	525.39	432.53	400.71	466.88	348.71	299.25	555.41	403.5	387.02	381.68	493.56	414.87	389.72	316.37	332.14	303.44	395.18	435.55	507.46	429.54	371.22	323.03	460.44	351.14	555.41	500.46	339.14	343.89	293.07	368.65	473.41	441.64	414.87	279.14	435.55	406.31	289.02	341.51	395.18	341.51	339.14	316.37	395.18
IPMK	73.54	81.14	87.65	17.25	84.63	40.93	89.51	122.64	29.27	76.17	35.76	39.79	94.67	34.26	65.72	43.02	36.53	30.12	70.01	40.93	33.3	41.52	67.59	85.22	14.35	20.71	33.78	34.26	34.51	82.87	59.55	66.65	52.45	31.45	58.3	31.0	25.91	93.35	25.17	46.84	22.59	33.06	85.82	40.93	57.89	24.81	63.89	30.56	28.86	36.79	31.9	31.0	37.59	36.27	30.12
IPO7	1151.06	1268.46	1268.46	397.93	1127.35	743.43	1519.15	1313.23	624.99	1051.79	802.41	796.86	1378.57	567.1	1001.93	679.29	693.58	567.1	878.17	674.59	708.18	651.58	1427.22	974.5	373.81	353.59	607.87	438.59	656.11	1437.15	802.41	1175.27	1175.27	638.15	909.17	563.18	669.92	1313.23	426.57	688.78	457.25	591.22	1143.1	836.53	1088.92	384.34	1111.82	551.56	511.0	551.56	511.0	551.56	603.67	567.1	543.96
ITGAV	1088.92	1208.34	674.59	167.9	1143.1	316.37	1277.29	1457.23	295.11	1059.11	1096.5	525.39	1023.0	429.54	607.87	480.04	595.34	387.02	748.61	583.07	503.95	507.46	764.36	1104.13	54.72	358.54	305.55	361.04	457.25	819.3	718.08	679.29	525.39	356.05	688.78	343.89	406.31	1250.98	281.09	551.56	187.71	500.46	1551.09	387.02	808.0	269.6	902.89	339.14	332.14	339.14	368.65	536.45	423.61	351.14	518.15
KDM5B	579.04	620.67	967.76	293.07	591.22	381.68	780.44	674.59	381.68	688.78	387.02	607.87	733.19	470.14	679.29	466.88	438.59	432.53	366.09	518.15	438.59	318.57	642.59	547.75	301.33	277.2	318.57	336.79	480.04	718.08	599.49	490.14	514.56	447.82	563.18	392.44	426.57	842.36	366.09	457.25	305.55	525.39	647.07	665.29	500.46	301.33	616.37	397.93	303.44	363.56	409.15	466.88	412.0	454.09	397.93
KIAA1430	738.29	769.69	665.29	156.59	511.0	329.84	830.75	743.43	299.25	612.11	371.22	351.14	780.44	273.37	521.76	387.02	314.17	248.0	599.49	356.05	297.17	318.57	656.11	607.87	185.11	143.01	234.57	181.28	336.79	693.58	503.95	551.56	450.94	291.04	723.08	249.73	332.14	890.44	182.55	351.14	178.77	371.22	723.08	432.53	532.74	208.38	563.18	291.04	177.53	256.78	226.54	253.23	262.2	260.38	400.71
KLHL7	525.39	633.73	713.11	297.17	563.18	343.89	819.3	665.29	447.82	656.11	323.03	708.18	642.59	490.14	529.06	397.93	460.44	414.87	624.99	463.65	387.02	480.04	616.37	638.15	171.45	339.14	379.04	363.56	480.04	638.15	551.56	450.94	473.41	373.81	435.55	305.55	397.93	872.1	409.15	563.18	264.03	497.0	642.59	532.74	466.88	316.37	521.76	336.79	307.69	379.04	444.72	447.82	435.55	423.61	454.09
KLK2	217400.14	246289.25	205673.01	520665.48	189257.69	391864.76	167058.21	174152.51	329517.51	225066.78	353168.2	258533.99	161367.56	324980.94	236256.4	350728.68	378516.38	334117.42	273275.14	311742.51	378516.38	383800.28	209994.66	303217.87	341137.96	443937.41	338781.54	324980.94	284880.02	221968.2	329517.51	320506.81	373305.21	316094.29	320506.81	419990.32	345900.08	177811.84	311742.51	324980.94	279017.26	355624.68	221968.2	437825.58	280957.98	265802.39	253213.41	331809.5	244588.0	375901.76	299043.36	365622.68	383800.28	402881.61	370726.6
LATS1	363.56	363.56	387.02	93.35	417.77	175.07	426.57	429.54	194.36	368.65	198.47	161.02	432.53	195.72	307.69	246.28	194.36	131.51	291.04	236.21	170.25	199.85	293.07	309.83	77.25	90.77	116.78	150.17	212.78	325.29	269.6	291.04	223.41	156.59	341.51	166.73	165.57	384.34	133.36	212.78	110.43	191.67	346.29	201.25	277.2	127.0	309.83	159.9	134.3	154.42	139.07	202.66	140.04	167.9	226.54
LRP12	236.21	198.47	258.57	65.26	175.07	120.1	320.8	291.04	116.78	309.83	138.1	140.04	224.97	114.36	167.9	144.01	96.01	78.89	187.71	135.24	98.04	119.26	186.4	273.37	34.75	79.45	65.72	75.11	173.85	215.77	206.94	239.52	170.25	92.05	189.02	103.69	142.01	295.11	72.52	185.11	80.01	136.19	239.52	132.44	159.9	61.68	176.29	147.06	56.28	68.55	101.54	108.14	105.15	103.69	126.12
MAPK6	1059.11	480.04	1051.79	205.5	775.05	457.25	860.08	1159.07	255.0	753.83	353.59	599.49	633.73	312.0	642.59	303.44	312.0	332.14	525.39	379.04	287.01	258.57	813.63	571.05	159.9	195.72	307.69	293.07	656.11	878.17	583.07	483.38	842.36	341.51	490.14	287.01	327.56	941.27	177.53	532.74	180.02	457.25	1073.91	429.54	325.29	211.31	486.75	260.38	269.6	241.19	228.13	271.48	409.15	480.04	246.28
MCMBP	633.73	647.07	738.29	291.04	759.08	356.05	718.08	769.69	473.41	420.68	532.74	507.46	651.58	406.31	532.74	395.18	457.25	343.89	595.34	406.31	376.41	389.72	559.28	532.74	336.79	320.8	406.31	320.8	470.14	579.04	563.18	559.28	571.05	366.09	583.07	320.8	406.31	595.34	366.09	426.57	316.37	435.55	607.87	587.13	529.06	343.89	518.15	414.87	376.41	341.51	426.57	409.15	366.09	400.71	486.75
MGA	242.88	237.86	220.32	68.07	287.01	105.15	256.78	229.72	127.89	291.04	121.79	166.73	299.25	119.26	215.77	141.02	98.73	63.89	206.94	161.02	111.99	90.77	221.86	206.94	61.68	54.72	72.52	82.29	142.01	221.86	170.25	211.31	141.02	113.56	281.09	115.16	123.5	273.37	81.14	149.12	73.03	138.1	239.52	135.24	183.82	81.14	218.79	129.69	78.89	83.45	94.01	139.07	100.83	108.14	134.3
NAA15	387.02	281.09	273.37	122.64	339.14	181.28	420.68	389.72	176.29	346.29	223.41	239.52	423.61	165.57	242.88	199.85	172.65	143.01	267.73	208.38	173.85	177.53	329.84	258.57	153.34	131.51	100.13	128.79	180.02	303.44	241.19	246.28	220.32	152.28	305.55	159.9	186.4	483.38	157.68	197.09	148.09	186.4	316.37	277.2	248.0	111.99	249.73	183.82	115.97	146.03	178.77	158.79	191.67	147.06	206.94
NCK1	733.19	656.11	521.76	265.87	819.3	366.09	961.07	1073.91	423.61	629.35	417.77	529.06	775.05	429.54	595.34	426.57	397.93	267.73	928.3	395.18	316.37	463.65	633.73	591.22	241.19	314.17	423.61	309.83	473.41	665.29	563.18	497.0	551.56	397.93	718.08	400.71	373.81	941.27	351.14	387.02	325.29	395.18	819.3	599.49	540.19	403.5	543.96	466.88	301.33	353.59	368.65	403.5	450.94	414.87	447.82
NRIP1	638.15	547.75	409.15	150.17	450.94	325.29	503.95	463.65	279.14	435.55	170.25	265.87	603.67	307.69	400.71	518.15	264.03	155.5	591.22	356.05	379.04	281.09	540.19	954.43	158.79	91.41	187.71	134.3	226.54	395.18	218.79	633.73	500.46	368.65	703.28	269.6	283.05	551.56	156.59	318.57	138.1	231.32	392.44	273.37	559.28	139.07	571.05	246.28	208.38	236.21	205.5	167.9	180.02	105.15	169.07
NUFIP2	438.59	466.88	327.56	163.28	414.87	242.88	638.15	480.04	211.31	503.95	269.6	341.51	444.72	255.0	361.04	275.28	217.27	236.21	361.04	273.37	232.94	201.25	356.05	339.14	147.06	170.25	157.68	166.73	236.21	329.84	376.41	339.14	228.13	209.84	536.45	198.47	239.52	540.19	181.28	267.73	173.85	214.27	409.15	271.48	329.84	177.53	414.87	218.79	171.45	206.94	232.94	239.52	214.27	202.66	211.31
NUP153	414.87	379.04	373.81	112.77	476.71	209.84	457.25	441.64	234.57	409.15	248.0	293.07	480.04	208.38	356.05	285.03	211.31	165.57	371.22	287.01	215.77	195.72	381.68	341.51	117.6	114.36	119.26	157.68	242.88	351.14	320.8	336.79	239.52	195.72	473.41	186.4	248.0	441.64	155.5	236.21	140.04	228.13	381.68	295.11	303.44	152.28	334.46	237.86	144.01	177.53	177.53	221.86	189.02	193.01	237.86
ORC2	334.46	262.2	376.41	157.68	426.57	229.72	371.22	361.04	223.41	277.2	253.23	312.0	429.54	262.2	376.41	241.19	244.57	172.65	379.04	237.86	218.79	239.52	403.5	287.01	183.82	156.59	194.36	202.66	236.21	318.57	283.05	241.19	232.94	180.02	366.09	211.31	242.88	406.31	223.41	241.19	183.82	209.84	343.89	299.25	241.19	202.66	346.29	208.38	144.01	241.19	208.38	258.57	228.13	220.32	253.23
OTUD4	371.22	299.25	283.05	61.25	361.04	115.16	454.09	406.31	162.14	343.89	195.72	244.57	426.57	170.25	336.79	182.55	166.73	126.12	356.05	180.02	149.12	158.79	327.56	303.44	77.79	84.04	105.15	139.07	166.73	293.07	212.78	255.0	156.59	141.02	329.84	146.03	152.28	429.54	111.99	197.09	85.82	180.02	371.22	198.47	267.73	127.0	312.0	156.59	92.7	152.28	128.79	157.68	150.17	136.19	172.65
PANK3	318.57	511.0	457.25	178.77	432.53	239.52	567.1	460.44	239.52	511.0	251.48	248.0	406.31	162.14	356.05	236.21	237.86	242.88	312.0	251.48	253.23	211.31	273.37	400.71	173.85	162.14	117.6	132.44	260.38	447.82	325.29	454.09	297.17	181.28	486.75	145.02	195.72	651.58	119.26	273.37	190.34	209.84	426.57	193.01	387.02	130.6	353.59	218.79	239.52	156.59	176.29	206.94	164.42	163.28	248.0
PAXIP1	293.07	229.72	283.05	136.19	265.87	195.72	220.32	241.19	177.53	251.48	215.77	226.54	287.01	193.01	241.19	218.79	158.79	176.29	255.0	195.72	169.07	177.53	307.69	228.13	141.02	119.26	145.02	171.45	201.25	248.0	141.02	211.31	228.13	209.84	281.09	157.68	189.02	283.05	152.28	181.28	143.01	229.72	226.54	327.56	199.85	159.9	248.0	181.28	141.02	163.28	173.85	208.38	189.02	202.66	150.17
PBRM1	473.41	633.73	629.35	135.24	607.87	221.86	638.15	620.67	279.14	708.18	343.89	366.09	723.08	236.21	497.0	327.56	265.87	178.77	429.54	283.05	258.57	217.27	529.06	483.38	120.94	133.36	157.68	189.02	334.46	551.56	435.55	435.55	332.14	228.13	703.28	249.73	297.17	733.19	186.4	353.59	140.04	299.25	591.22	271.48	460.44	180.02	400.71	283.05	176.29	202.66	194.36	283.05	231.32	236.21	297.17
PHLPP2	52.82	90.77	89.51	42.71	85.22	54.72	67.12	100.13	43.02	80.01	58.3	78.34	65.26	38.4	58.71	54.72	54.33	39.79	41.22	61.25	43.02	43.63	72.01	61.25	22.75	21.63	24.28	44.57	50.98	50.27	68.55	87.03	30.56	44.89	68.07	44.57	38.67	92.05	32.36	53.95	24.11	63.89	77.25	62.56	75.64	38.4	61.25	56.68	40.93	42.41	35.25	49.91	42.41	25.91	59.55
PICALM	3212.66	2664.15	2796.65	1001.93	3564.78	1529.73	2816.11	3589.58	1628.26	2701.35	1685.71	2163.77	2855.44	1697.45	2351.53	2090.03	1757.34	1519.15	2537.92	1977.24	1651.0	1369.04	2720.15	2032.85	808.0	1135.2	1437.15	1583.71	2351.53	3081.75	2163.77	2104.58	2400.97	1313.23	2178.83	1721.16	1721.16	3039.3	1066.48	1832.01	1088.92	2163.77	3039.3	2895.31	2193.99	1487.87	2193.99	1639.59	1819.35	1594.73	1350.18	1572.76	1685.71	2018.8	1794.29
PLEKHA8	73.03	96.01	73.03	38.95	82.87	54.72	97.36	78.34	58.71	95.34	63.0	74.58	88.88	63.45	79.45	66.65	62.56	47.5	101.54	55.49	61.25	61.25	100.13	69.03	36.53	39.5	48.87	49.91	60.82	66.65	59.97	71.5	65.26	64.8	97.36	48.87	63.89	90.77	50.63	61.25	53.19	63.45	93.35	68.55	84.04	60.82	96.68	59.97	64.8	70.51	56.28	64.8	45.85	56.28	65.72
PNPLA8	397.93	525.39	397.93	195.72	473.41	417.77	540.19	511.0	339.14	441.64	320.8	361.04	460.44	314.17	414.87	253.23	327.56	373.81	486.75	361.04	275.28	305.55	400.71	444.72	149.12	211.31	234.57	236.21	329.84	457.25	392.44	423.61	336.79	232.94	638.15	255.0	305.55	620.67	239.52	314.17	260.38	291.04	444.72	299.25	381.68	277.2	463.65	346.29	281.09	244.57	314.17	281.09	281.09	231.32	429.54
PNPT1	376.41	353.59	275.28	170.25	287.01	215.77	267.73	249.73	215.77	265.87	267.73	329.84	301.33	215.77	281.09	253.23	199.85	205.5	403.5	242.88	244.57	214.27	329.84	251.48	256.78	182.55	201.25	198.47	205.5	281.09	239.52	356.05	312.0	153.34	287.01	187.71	246.28	329.84	127.0	265.87	167.9	255.0	262.2	209.84	260.38	169.07	295.11	223.41	181.28	215.77	206.94	190.34	218.79	206.94	191.67
POGLUT1	231.32	212.78	291.04	102.25	177.53	214.27	197.09	202.66	125.24	186.4	189.02	176.29	242.88	136.19	211.31	162.14	136.19	54.33	229.72	143.01	131.51	150.17	251.48	173.85	98.73	99.43	97.36	161.02	125.24	158.79	271.48	178.77	151.22	106.63	148.09	140.04	127.89	220.32	100.83	180.02	76.71	189.02	228.13	149.12	199.85	106.63	186.4	112.77	81.14	149.12	108.9	150.17	147.06	153.34	136.19
POLR2B	1051.79	1191.69	1225.22	633.73	1242.34	753.83	1159.07	1407.55	909.17	1233.75	1119.56	1304.15	1378.57	902.89	1167.14	921.88	813.63	571.05	1104.13	878.17	733.19	703.28	1183.45	1104.13	1295.13	665.29	651.58	708.18	884.29	1225.22	1001.93	1001.93	836.53	780.44	1233.75	723.08	921.88	1250.98	718.08	713.11	665.29	1008.9	1216.75	1191.69	1023.0	616.37	1008.9	915.51	559.28	708.18	830.75	775.05	796.86	884.29	974.5
PPP2R1B	336.79	343.89	339.14	185.11	307.69	283.05	281.09	450.94	226.54	441.64	236.21	334.46	356.05	269.6	379.04	307.69	239.52	237.86	366.09	246.28	249.73	193.01	334.46	318.57	125.24	189.02	178.77	206.94	253.23	376.41	400.71	363.56	172.65	205.5	518.15	208.38	223.41	503.95	145.02	271.48	211.31	318.57	420.68	473.41	273.37	162.14	303.44	256.78	194.36	226.54	223.41	267.73	251.48	205.5	251.48
PPP3R1	842.36	921.88	813.63	536.45	1119.56	607.87	1151.06	1135.2	647.07	748.61	612.11	708.18	967.76	651.58	842.36	591.22	665.29	555.41	791.35	665.29	638.15	660.68	813.63	860.08	392.44	447.82	587.13	540.19	708.18	890.44	688.78	842.36	743.43	417.77	733.19	620.67	684.02	1051.79	612.11	612.11	470.14	555.41	954.43	651.58	759.08	547.75	830.75	493.56	583.07	521.76	559.28	607.87	583.07	529.06	591.22
PPP4R2	429.54	660.68	738.29	277.2	860.08	229.72	902.89	981.29	429.54	703.28	460.44	599.49	825.0	373.81	514.56	463.65	384.34	358.54	743.43	444.72	248.0	403.5	708.18	497.0	265.87	241.19	356.05	312.0	397.93	775.05	571.05	647.07	483.38	299.25	693.58	329.84	414.87	954.43	320.8	420.68	244.57	236.21	775.05	400.71	563.18	343.89	656.11	371.22	325.29	392.44	384.34	376.41	358.54	358.54	376.41
PPP6C	1015.93	1001.93	1111.82	759.08	1369.04	836.53	1313.23	1233.75	915.51	947.83	967.76	1015.93	1225.22	872.1	1081.39	830.75	813.63	708.18	1081.39	748.61	878.17	743.43	1151.06	1066.48	633.73	603.67	808.0	665.29	941.27	1417.35	921.88	860.08	921.88	764.36	1175.27	791.35	1059.11	1268.46	753.83	842.36	674.59	896.64	1127.35	1008.9	866.07	753.83	1104.13	878.17	848.22	941.27	854.13	791.35	753.83	836.53	902.89
PRKX	212.78	164.42	293.07	19.11	163.28	142.01	191.67	155.5	100.83	206.94	307.69	140.04	264.03	157.68	231.32	122.64	120.94	102.97	166.73	118.43	113.56	102.25	228.13	178.77	100.83	87.03	100.83	120.1	125.24	201.25	214.27	212.78	167.9	110.43	169.07	102.97	107.38	229.72	85.82	120.1	44.57	102.97	269.6	102.97	148.09	90.14	205.5	98.04	66.65	105.15	60.82	170.25	124.37	139.07	100.83
PRPF4B	802.41	733.19	753.83	301.33	1175.27	483.38	830.75	854.13	563.18	796.86	642.59	638.15	974.5	559.28	884.29	521.76	547.75	432.53	961.07	638.15	521.76	514.56	733.19	633.73	400.71	409.15	366.09	536.45	579.04	775.05	723.08	599.49	518.15	470.14	785.88	470.14	490.14	848.22	669.92	575.03	329.84	633.73	813.63	647.07	529.06	483.38	688.78	599.49	271.48	521.76	497.0	638.15	547.75	555.41	728.11
