	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
ABCD3	299.25	412.0	432.53	441.64	429.54	368.65	432.53	483.38	414.87	536.45	346.29	379.04	414.87	525.39	389.72	414.87	555.41	379.04	320.8	457.25	323.03	587.13	384.34	567.1	376.41	389.72	226.54	688.78	607.87	473.41	616.37	753.83	400.71	802.41	684.02	665.29	521.76	567.1	395.18	555.41	587.13	607.87	651.58	473.41	361.04	647.07	559.28	503.95	555.41	642.59	575.03	713.11	420.68	476.71	878.17	698.41	376.41	612.11	500.46	748.61	660.68	500.46	728.11	457.25	563.18	665.29	363.56	713.11	412.0	297.17	438.59	323.03	381.68	575.03	563.18	457.25	620.67	441.64	483.38	703.28	532.74	698.41	579.04	785.88	316.37	836.53	444.72	703.28	412.0	426.57	909.17	438.59	633.73	514.56	603.67	551.56	559.28	591.22	599.49	669.92	441.64	555.41	559.28	457.25	559.28	708.18	842.36	651.58	688.78	591.22	583.07	947.83	688.78	624.99	532.74	518.15	470.14	438.59	361.04	387.02	567.1	703.28	703.28	483.38
ABHD13	93.35	94.01	91.41	98.04	94.01	95.34	127.89	108.14	81.71	52.82	87.65	107.38	102.25	119.26	82.29	99.43	106.63	98.73	86.43	104.42	78.34	110.43	115.16	135.24	81.14	100.13	60.82	178.77	173.85	100.13	190.34	186.4	96.01	273.37	173.85	171.45	145.02	211.31	96.68	135.24	153.34	136.19	134.3	142.01	108.14	157.68	128.79	140.04	177.53	117.6	156.59	208.38	77.25	128.79	264.03	159.9	111.99	115.97	135.24	182.55	124.37	123.5	121.79	137.14	122.64	156.59	132.44	144.01	134.3	117.6	122.64	79.45	115.97	111.21	131.51	134.3	165.57	159.9	98.73	158.79	139.07	177.53	187.71	251.48	90.77	204.07	120.94	105.89	109.66	115.97	190.34	132.44	112.77	143.01	172.65	122.64	136.19	228.13	146.03	151.22	119.26	111.21	157.68	145.02	119.26	208.38	189.02	144.01	146.03	147.06	118.43	185.11	202.66	155.5	119.26	138.1	130.6	165.57	106.63	112.77	138.1	164.42	127.89	131.51
ABHD2	193.01	158.79	176.29	232.94	212.78	163.28	231.32	176.29	130.6	105.89	142.01	134.3	156.59	214.27	154.42	137.14	228.13	144.01	167.9	118.43	115.97	202.66	248.0	221.86	142.01	132.44	118.43	379.04	314.17	287.01	376.41	341.51	327.56	616.37	483.38	363.56	366.09	547.75	173.85	264.03	466.88	497.0	320.8	264.03	249.73	532.74	525.39	229.72	447.82	236.21	371.22	599.49	143.01	279.14	567.1	389.72	299.25	232.94	299.25	329.84	242.88	361.04	265.87	420.68	289.02	318.57	220.32	318.57	287.01	297.17	309.83	228.13	470.14	249.73	511.0	320.8	409.15	441.64	190.34	341.51	309.83	441.64	616.37	473.41	229.72	351.14	264.03	190.34	220.32	181.28	417.77	275.28	412.0	376.41	341.51	334.46	356.05	309.83	182.55	316.37	249.73	444.72	438.59	309.83	381.68	543.96	299.25	182.55	273.37	346.29	356.05	559.28	363.56	334.46	265.87	246.28	234.57	287.01	226.54	267.73	403.5	305.55	358.54	248.0
ACTR2	718.08	890.44	1059.11	1066.48	764.36	1015.93	1127.35	1175.27	638.15	1216.75	723.08	947.83	1037.29	1191.69	759.08	1015.93	1233.75	915.51	703.28	854.13	825.0	1199.98	954.43	1745.2	878.17	995.0	607.87	1519.15	1350.18	1001.93	2451.44	1417.35	896.64	1923.14	1769.57	1498.22	1498.22	1870.53	1183.45	1081.39	1417.35	1572.76	1487.87	1313.23	1119.56	1896.65	1447.15	1051.79	1388.16	1651.0	1745.2	2090.03	954.43	1551.09	2178.83	1467.37	988.12	1051.79	974.5	1832.01	1151.06	1051.79	1096.5	1651.0	1295.13	1605.83	1044.52	1191.69	1159.07	753.83	954.43	854.13	1119.56	1407.55	1883.54	1378.57	1277.29	1199.98	764.36	1540.37	1304.15	1208.34	2351.53	2075.59	1008.9	2335.28	947.83	1322.37	967.76	1008.9	2104.58	1259.69	1259.69	1572.76	1617.0	1529.73	1447.15	2224.63	1167.14	1594.73	1023.0	1407.55	1340.84	1104.13	1183.45	1977.24	1388.16	1259.69	1322.37	1397.83	1313.23	2163.77	1745.2	1369.04	947.83	1119.56	1183.45	1662.49	1143.1	1037.29	1529.73	1417.35	1407.55	1119.56
ADAM9	480.04	532.74	638.15	733.19	412.0	595.34	753.83	603.67	395.18	638.15	571.05	638.15	551.56	651.58	450.94	665.29	693.58	373.81	599.49	447.82	466.88	665.29	743.43	1030.12	389.72	503.95	429.54	1104.13	921.88	698.41	921.88	1015.93	769.69	1175.27	915.51	1073.91	1044.52	1583.71	813.63	738.29	1044.52	866.07	981.29	988.12	854.13	1477.58	1277.29	878.17	988.12	748.61	1745.2	1081.39	896.64	825.0	2209.26	1397.83	616.37	759.08	595.34	1037.29	629.35	878.17	884.29	1104.13	974.5	780.44	728.11	802.41	915.51	728.11	563.18	802.41	1359.57	1427.22	995.0	1044.52	764.36	1159.07	435.55	1369.04	728.11	1030.12	2417.67	1697.45	775.05	1277.29	733.19	603.67	995.0	703.28	947.83	974.5	1044.52	1151.06	1388.16	693.58	703.28	1477.58	909.17	1127.35	836.53	947.83	1242.34	902.89	629.35	967.76	1331.57	866.07	934.76	848.22	1111.82	1369.04	748.61	1081.39	866.07	753.83	967.76	1111.82	791.35	728.11	1359.57	974.5	842.36	791.35
ALG10	31.9	31.45	46.18	46.84	29.06	23.59	54.33	30.34	22.26	25.54	23.42	23.76	22.26	31.9	29.91	21.63	41.81	13.52	29.91	22.1	18.84	19.53	34.02	47.84	27.44	27.84	27.44	64.34	82.87	47.5	70.51	68.07	42.41	81.14	94.67	93.35	37.85	88.26	38.95	48.87	61.68	75.64	67.12	57.08	38.95	72.52	62.12	42.11	78.89	65.72	57.89	89.51	28.45	47.84	75.64	69.03	47.5	46.5	46.5	68.55	56.28	77.79	78.89	36.79	76.71	58.3	38.12	89.51	51.35	23.25	57.49	44.89	44.25	30.78	56.28	72.01	46.18	76.17	57.08	55.89	56.68	77.25	122.64	125.24	22.92	65.72	67.12	46.18	52.82	39.5	91.41	37.59	53.19	48.18	81.71	50.27	87.03	71.5	47.84	70.51	52.82	73.03	62.12	65.26	62.56	97.36	71.0	55.49	82.29	61.68	49.56	96.68	100.13	75.11	84.04	35.0	44.89	29.06	42.71	68.55	76.17	59.55	69.52	36.27
ALG10B	27.64	14.67	31.22	33.78	20.11	24.11	45.21	24.81	19.25	22.92	20.86	17.64	14.67	30.56	16.88	26.67	24.99	22.92	21.16	23.08	19.11	36.01	34.26	49.56	15.34	28.65	15.11	70.51	74.58	33.3	63.0	66.18	26.1	87.03	66.65	96.68	45.85	84.63	35.5	62.12	52.08	43.32	52.45	57.49	45.85	52.45	57.49	51.35	107.38	70.01	46.18	125.24	33.3	27.64	74.58	65.26	34.26	57.49	62.12	63.45	30.56	53.19	48.18	32.59	49.91	57.89	43.02	49.21	37.59	24.99	47.84	38.95	60.82	47.5	60.82	46.18	54.72	57.89	71.5	61.25	55.89	61.25	72.52	118.43	25.54	100.83	69.03	29.91	25.91	41.22	132.44	31.67	77.25	32.59	63.45	53.19	60.39	46.84	30.12	59.97	72.01	75.11	78.34	48.18	59.13	84.04	74.06	27.05	71.5	30.12	60.82	68.07	87.65	87.03	41.81	55.89	28.86	56.28	15.22	45.21	44.25	43.63	59.13	19.68
AP2B1	1467.37	1350.18	1467.37	1388.16	1199.98	1378.57	1605.83	1313.23	1259.69	1477.58	1477.58	1008.9	1417.35	1388.16	1427.22	1183.45	1745.2	1199.98	1242.34	1159.07	1529.73	1457.23	1073.91	1857.6	1151.06	1151.06	902.89	1769.57	1769.57	1733.13	1697.45	2090.03	1529.73	2119.22	1977.24	1819.35	1721.16	2104.58	1498.22	1674.06	1832.01	1870.53	1721.16	1844.76	1322.37	1745.2	2104.58	1250.98	1794.29	1806.78	1662.49	2739.08	1322.37	1427.22	2367.9	2119.22	1183.45	1628.26	1733.13	2018.8	1378.57	1844.76	1923.14	1709.26	1870.53	1477.58	1508.65	1674.06	1709.26	1529.73	1304.15	1350.18	1498.22	1540.37	1721.16	2032.85	1733.13	1628.26	1104.13	1769.57	1340.84	1745.2	2004.85	2303.12	1605.83	2335.28	1331.57	1561.89	1427.22	1250.98	2075.59	1583.71	1806.78	1697.45	1977.24	2075.59	1883.54	1674.06	1304.15	1519.15	1322.37	1844.76	2004.85	1378.57	1674.06	2485.67	2119.22	1605.83	1936.53	1685.71	1950.0	2163.77	1721.16	1498.22	1662.49	1295.13	1896.65	1628.26	1572.76	1322.37	1923.14	2061.24	1757.34	1662.49
API5	656.11	693.58	753.83	890.44	688.78	738.29	909.17	743.43	708.18	583.07	718.08	748.61	647.07	703.28	612.11	733.19	796.86	665.29	620.67	616.37	612.11	842.36	612.11	1030.12	688.78	693.58	547.75	1199.98	1111.82	819.3	1304.15	1313.23	819.3	1295.13	1331.57	1183.45	890.44	1331.57	620.67	988.12	1143.1	941.27	1059.11	947.83	647.07	1127.35	1008.9	1001.93	1135.2	988.12	1066.48	1769.57	753.83	753.83	1883.54	1001.93	780.44	915.51	928.3	1216.75	995.0	1015.93	1030.12	1030.12	1023.0	1104.13	780.44	1225.22	915.51	665.29	785.88	791.35	796.86	872.1	1127.35	934.76	1066.48	1073.91	848.22	1135.2	967.76	1295.13	1250.98	1685.71	638.15	1769.57	909.17	825.0	854.13	825.0	1340.84	947.83	1088.92	1030.12	1233.75	995.0	1073.91	1183.45	1001.93	1030.12	890.44	947.83	995.0	934.76	866.07	1331.57	1199.98	995.0	1111.82	915.51	1183.45	1397.83	1508.65	1143.1	1059.11	961.07	836.53	878.17	713.11	941.27	1044.52	1073.91	974.5	1015.93
ARFIP1	341.51	438.59	454.09	417.77	336.79	366.09	457.25	457.25	279.14	397.93	389.72	412.0	400.71	389.72	341.51	532.74	470.14	368.65	299.25	500.46	414.87	540.19	361.04	587.13	307.69	406.31	295.11	500.46	521.76	343.89	493.56	665.29	348.71	579.04	511.0	555.41	579.04	595.34	387.02	348.71	486.75	403.5	409.15	414.87	412.0	466.88	507.46	480.04	379.04	536.45	483.38	620.67	271.48	563.18	718.08	486.75	500.46	414.87	366.09	551.56	525.39	409.15	454.09	500.46	441.64	511.0	384.34	457.25	514.56	387.02	343.89	368.65	397.93	371.22	447.82	460.44	353.59	438.59	339.14	457.25	536.45	514.56	511.0	718.08	376.41	708.18	406.31	536.45	454.09	403.5	587.13	493.56	379.04	521.76	511.0	435.55	521.76	624.99	543.96	518.15	435.55	432.53	361.04	376.41	409.15	470.14	521.76	470.14	409.15	429.54	417.77	629.35	587.13	476.71	480.04	555.41	414.87	432.53	447.82	406.31	521.76	529.06	529.06	497.0
