	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.XLM4.0726.SM.4AT64	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
ABHD16A	2104.58	1963.57	1697.45	1923.14	1572.76	1757.34	1950.0	1605.83	1963.57	1977.24	1745.2	1437.15	1388.16	1030.12	1143.1	1498.22	1709.26	1529.73	1477.58	1709.26	1259.69	1250.98	1104.13	1225.22	1359.57	1540.37
ABR	1709.26	1119.56	1519.15	2075.59	1175.27	1733.13	1350.18	890.44	902.89	1467.37	915.51	387.02	493.56	133.36	343.89	529.06	387.02	412.0	191.67	301.33	371.22	351.14	175.07	299.25	457.25	432.53
AC011897.1	51.71	87.03	78.89	100.13	55.49	51.35	55.49	63.45	43.94	114.36	55.49	10.08	6.52	8.06	11.82	11.82	6.78	19.25	12.0	7.94	20.71	18.56	8.0	5.63	17.25	13.72
AC018816.3	450.94	152.28	176.29	679.29	162.14	181.28	191.67	134.3	94.01	376.41	76.71	16.88	22.75	11.47	0.0	13.72	22.75	25.54	21.32	11.82	18.56	4.98	5.41	16.27	18.56	32.59
ALDH3B1	258.57	75.64	387.02	463.65	228.13	376.41	124.37	123.5	81.14	551.56	167.9	57.49	79.45	11.38	39.79	49.91	58.3	55.1	34.75	38.95	55.1	5.59	11.64	27.64	54.33	33.3
ANO7	59.97	57.49	43.02	62.12	63.89	137.14	40.07	42.41	70.51	36.27	57.08	16.39	19.25	36.27	12.64	28.04	40.64	40.36	22.59	15.34	31.0	43.63	28.04	19.82	22.43	47.84
ASPHD1	152.28	59.97	106.63	129.69	61.68	88.26	98.04	14.35	33.54	260.38	35.5	3.66	4.54	4.7	0.0	14.67	8.71	3.41	2.81	1.38	4.7	2.14	1.39	6.16	3.29	5.54
BCAR1	1268.46	1417.35	1295.13	1467.37	1322.37	1295.13	1119.56	1242.34	1313.23	1088.92	1073.91	915.51	872.1	836.53	353.59	669.92	961.07	723.08	587.13	1081.39	607.87	447.82	490.14	656.11	688.78	866.07
BID	1001.93	363.56	1119.56	1015.93	507.46	860.08	483.38	341.51	256.78	1208.34	309.83	126.12	69.03	72.01	129.69	115.16	182.55	127.0	169.07	172.65	65.26	102.97	180.02	50.63	156.59	111.21
BMP1	1745.2	1037.29	1685.71	1896.65	1259.69	1923.14	947.83	791.35	1059.11	1397.83	764.36	339.14	540.19	316.37	217.27	583.07	529.06	514.56	327.56	497.0	470.14	423.61	353.59	361.04	397.93	547.75
