	TCGA.FJ.A871.01A.11R.A352.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.BH.A1EO.11A.31R.A137.07	GTEX.12WSK.2226.SM.5GCO5	GTEX.TSE9.2826.SM.4DXTF	GTEX.TML8.0726.SM.4DXTT	GTEX.S341.1126.SM.4AD6T	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.S4UY.1426.SM.4AD6Y	GTEX.TSE9.2726.SM.4DXSQ	TCGA.ZU.A8S4.01A.11R.A41I.07	TCGA.KN.8427.01A.11R.2315.07	TCGA.CW.6090.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.CZ.4860.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4861.01A.01R.1305.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.CZ.5461.01A.01R.1503.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.DV.5565.01A.01R.1541.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.CJ.6027.01A.11R.1672.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.B0.4814.01A.01R.1277.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.11PRG.0926.SM.5EGI8	GTEX.YJ8O.1826.SM.5HL82	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.DE.A4M9.01A.11R.A250.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.117XS.0526.SM.5987Q	GTEX.SN8G.1526.SM.4DM79	GTEX.POYW.0826.SM.2XCEM	GTEX.14AS3.0226.SM.5Q5B6	GTEX.147F4.0826.SM.5QGRB	GTEX.RNOR.0926.SM.2TF56	GTEX.SIU8.0626.SM.2XCDN	GTEX.T2IS.0626.SM.32QP6	GTEX.12ZZX.1226.SM.5EGHS	GTEX.ZDTS.0926.SM.4WAXG	GTEX.ZVZQ.0626.SM.59HJU	GTEX.PLZ4.1226.SM.2I5FE	GTEX.14A6H.2426.SM.5Q5BO	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13OVI.1026.SM.5L3EM	GTEX.N7MT.0726.SM.3TW8S	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.14BIM.2226.SM.5SI8Y	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.13W3W.1426.SM.5LU56	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT	GTEX.T6MO.1526.SM.4DM57
AC012123.1	0.0	4.74	0.0	0.0	0.0	18.16	0.0	4.86	279.14	1.57	2.36	0.0	0.65	0.0	0.0	9.06	0.0	0.0	0.0	0.0	0.0	0.77	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	2.51	0.69	0.0	0.0	3.06	0.36	0.0	0.0	0.0	0.79	0.0	1.87	0.0	4.13	0.0	0.0	0.0	57.89	40.07	41.52	49.21	50.98	14.89	106.63	52.45	52.82	53.19	23.42	68.07	32.36	71.0	85.22	46.18	59.13	0.0	43.63	8.71	20.86	6.52	12.0	12.36	1.79	9.06	0.0	71.0	34.02	1.66
AC024257.1	0.0	0.4	0.0	0.85	0.62	0.69	0.87	3.17	2.32	1.01	0.25	0.0	0.0	1.14	0.38	0.41	0.0	0.0	0.39	0.0	0.41	0.0	7.75	1.1	0.39	0.79	0.38	0.0	0.39	0.78	0.42	0.39	0.38	0.37	0.0	0.44	2.81	1.13	0.0	0.77	0.37	0.0	0.38	3.08	0.0	1.07	1.28	0.78	0.0	13.93	4.7	7.63	0.48	5.36	2.43	11.3	3.38	6.67	1.53	3.89	1.95	3.2	9.2	7.34	5.45	6.84	0.88	2.94	5.5	7.34	0.28	1.13	1.1	1.14	1.14	0.69	2.97	4.98	1.6
AC132192.1	38.67	18.16	8.25	17.0	33.06	23.08	33.3	42.41	27.05	12.74	29.06	0.0	16.88	0.0	23.93	59.55	0.0	18.43	15.56	0.0	17.64	6.52	126.12	31.45	36.27	8.06	0.0	6.94	13.93	12.27	27.44	55.49	6.11	4.86	0.0	0.0	152.28	29.27	14.35	6.21	27.05	0.0	0.0	35.5	21.32	82.29	14.67	9.78	0.0	221.86	117.6	100.83	35.0	108.9	264.03	137.14	141.02	82.29	100.13	91.41	68.07	78.34	149.12	91.41	318.57	158.79	48.87	29.91	129.69	42.41	33.06	27.44	20.71	21.94	38.95	40.93	22.43	55.49	71.0
AF131215.5	0.29	0.4	0.0	0.37	0.09	0.79	0.13	0.58	0.43	0.12	0.0	0.0	0.0	0.0	0.0	2.81	0.4	0.0	0.0	0.0	0.0	1.19	2.1	0.0	0.39	1.57	0.0	0.0	0.0	0.39	0.41	0.0	0.0	0.37	0.0	0.0	2.07	3.35	0.0	0.0	0.0	0.41	0.38	1.16	0.0	0.0	1.73	0.0	0.38	0.93	1.89	1.97	1.35	1.1	7.4	1.58	2.51	0.0	0.43	2.1	2.12	1.79	0.93	1.83	1.1	1.36	0.0	1.27	0.97	0.0	0.0	0.09	0.49	0.0	0.0	0.0	0.85	1.1	0.31
AGAP4	79.45	40.93	19.39	40.93	36.27	88.26	162.14	94.67	273.37	133.36	14.14	52.45	57.08	15.91	26.47	141.02	9.13	18.03	17.77	15.11	16.63	23.25	190.34	16.27	42.11	30.34	28.65	3.56	30.34	4.06	3.92	26.86	54.33	21.94	0.0	31.22	325.29	53.95	37.32	19.11	9.48	16.88	21.16	107.38	11.47	182.55	177.53	40.07	123.5	33.54	180.02	135.24	256.78	368.65	395.18	403.5	329.84	507.46	217.27	138.1	147.06	50.63	684.02	182.55	525.39	395.18	149.12	262.2	373.81	265.87	7.82	403.5	70.51	100.13	89.51	21.78	412.0	185.11	77.79
AHSA2	518.15	748.61	208.38	307.69	1104.13	426.57	435.55	1088.92	819.3	414.87	1167.14	463.65	595.34	239.52	237.86	1104.13	120.94	215.77	171.45	189.02	255.0	248.0	2417.67	293.07	490.14	262.2	104.42	189.02	141.02	209.84	995.0	348.71	289.02	155.5	209.84	157.68	2835.7	414.87	242.88	511.0	295.11	277.2	137.14	543.96	159.9	1685.71	518.15	343.89	1059.11	2303.12	1832.01	3820.7	2224.63	3124.78	3190.46	2915.45	1437.15	1437.15	1135.2	1225.22	1923.14	1088.92	2720.15	2915.45	2119.22	1977.24	1250.98	1104.13	1594.73	674.59	126.12	559.28	389.72	295.11	866.07	435.55	1066.48	1233.75	579.04
AMY2B	34.51	50.63	215.77	193.01	878.17	139.07	612.11	974.5	2816.11	351.14	796.86	126.12	60.82	176.29	36.53	264.03	66.65	30.12	46.5	46.84	17.77	64.34	2255.7	34.51	139.07	140.04	59.55	80.57	66.65	67.59	314.17	88.88	101.54	46.18	81.14	143.01	669.92	125.24	134.3	152.28	49.56	47.5	50.27	102.97	66.65	379.04	244.57	142.01	454.09	3419.52	1508.65	1936.53	1242.34	2119.22	4704.07	1467.37	902.89	934.76	529.06	583.07	718.08	547.75	1572.76	1167.14	1359.57	1259.69	1175.27	1066.48	2303.12	954.43	66.18	616.37	53.57	198.47	403.5	368.65	1066.48	1151.06	289.02
ANAPC4	343.89	253.23	341.51	336.79	616.37	521.76	567.1	1175.27	1781.89	656.11	599.49	379.04	224.97	287.01	215.77	323.03	242.88	193.01	198.47	220.32	163.28	191.67	409.15	183.82	334.46	371.22	260.38	176.29	264.03	163.28	287.01	199.85	237.86	241.19	176.29	246.28	406.31	273.37	181.28	314.17	307.69	199.85	262.2	185.11	251.48	348.71	432.53	260.38	591.22	525.39	532.74	660.68	473.41	575.03	954.43	842.36	463.65	525.39	624.99	532.74	497.0	389.72	718.08	587.13	559.28	743.43	884.29	1322.37	1304.15	1216.75	384.34	1359.57	356.05	555.41	518.15	521.76	1378.57	1628.26	493.56
ANKK1	1.48	1.58	1.51	1.33	32.82	6.78	9.93	143.01	127.0	5.54	38.95	1.07	0.38	17.0	1.93	19.53	1.66	3.69	1.23	4.54	2.53	6.84	31.22	2.63	4.03	21.01	4.54	5.59	5.15	3.56	20.41	4.31	3.76	2.58	3.26	3.56	42.11	10.24	2.78	3.47	1.51	4.17	4.21	7.0	2.27	19.25	2.94	10.88	20.71	19.82	28.86	11.13	11.21	35.5	84.63	45.21	14.35	27.05	36.01	9.48	93.35	20.86	53.19	50.27	37.05	43.63	2.92	43.32	38.4	32.36	2.39	5.92	10.96	4.1	13.32	1.07	41.52	22.1	27.44
AP000322.54	0.91	6.01	29.06	30.78	49.21	17.9	26.67	24.81	17.64	7.94	50.63	14.89	12.18	16.15	6.78	52.45	15.91	25.54	22.26	14.67	13.62	25.72	43.32	10.63	25.91	18.16	16.27	11.47	16.75	17.38	48.18	16.88	9.63	23.42	15.56	22.59	40.36	15.11	16.03	16.27	9.48	24.46	15.68	15.45	10.71	25.91	125.24	35.25	40.36	52.08	48.18	126.12	75.64	66.18	175.07	67.59	92.05	55.1	98.73	60.39	78.34	67.59	64.34	91.41	41.52	76.71	31.9	35.76	67.59	47.84	0.16	48.87	17.64	10.79	33.54	9.85	34.26	65.72	20.41
ARMCX4	65.72	139.07	103.69	98.04	651.58	84.04	162.14	195.72	165.57	182.55	525.39	74.06	44.25	94.01	68.55	156.59	84.04	69.03	32.59	82.87	67.59	54.33	256.78	52.45	86.43	40.64	71.5	50.98	67.59	125.24	136.19	82.29	45.21	53.19	82.29	67.59	389.72	84.04	77.79	38.4	27.84	39.79	90.77	88.88	55.1	149.12	325.29	135.24	529.06	497.0	511.0	825.0	642.59	981.29	555.41	713.11	785.88	764.36	679.29	476.71	429.54	514.56	974.5	708.18	902.89	884.29	198.47	406.31	1781.89	753.83	41.52	567.1	120.1	104.42	343.89	183.82	1268.46	1322.37	163.28
ATG14	90.14	102.97	167.9	460.44	303.44	246.28	323.03	384.34	376.41	400.71	334.46	90.14	185.11	149.12	76.17	303.44	111.99	164.42	69.52	177.53	78.34	151.22	175.07	121.79	139.07	146.03	164.42	158.79	148.09	185.11	152.28	124.37	103.69	123.5	236.21	124.37	368.65	178.77	124.37	153.34	87.65	100.83	117.6	87.03	175.07	256.78	190.34	166.73	165.57	356.05	232.94	480.04	228.13	267.73	231.32	358.54	295.11	323.03	307.69	221.86	234.57	181.28	253.23	329.84	307.69	423.61	414.87	220.32	279.14	285.03	156.59	244.57	161.02	234.57	351.14	202.66	332.14	332.14	255.0
BBS2	149.12	341.51	708.18	708.18	1313.23	1923.14	1950.0	1313.23	2209.26	1369.04	1605.83	384.34	371.22	473.41	624.99	791.35	684.02	674.59	830.75	493.56	748.61	620.67	567.1	599.49	486.75	651.58	642.59	620.67	679.29	813.63	579.04	595.34	525.39	638.15	612.11	660.68	1030.12	493.56	316.37	785.88	473.41	647.07	718.08	616.37	647.07	791.35	878.17	633.73	1111.82	1015.93	941.27	1216.75	1030.12	764.36	1191.69	1030.12	1008.9	1167.14	1135.2	796.86	915.51	928.3	1030.12	723.08	1208.34	1023.0	1519.15	490.14	775.05	1199.98	420.68	780.44	514.56	860.08	896.64	915.51	1397.83	1697.45	559.28
BTAF1	47.17	91.41	124.37	348.71	214.27	105.89	241.19	211.31	258.57	148.09	206.94	109.66	381.68	104.42	72.52	514.56	186.4	178.77	103.69	103.69	195.72	151.22	638.15	135.24	183.82	291.04	148.09	76.71	208.38	241.19	414.87	159.9	98.04	198.47	167.9	244.57	575.03	209.84	126.12	190.34	197.09	142.01	68.07	273.37	147.06	307.69	198.47	134.3	309.83	490.14	373.81	1081.39	525.39	612.11	902.89	447.82	457.25	346.29	435.55	316.37	536.45	454.09	269.6	363.56	318.57	392.44	947.83	249.73	656.11	246.28	39.5	275.28	122.64	248.0	447.82	279.14	275.28	361.04	232.94
C17orf100	20.71	27.44	8.06	0.0	9.85	30.34	51.71	53.57	65.72	10.08	11.64	8.58	17.64	28.86	31.67	25.91	17.25	18.03	3.44	23.93	28.65	19.11	11.64	11.47	7.69	12.36	7.94	12.45	16.75	38.4	20.71	21.94	12.64	31.9	29.7	12.74	17.77	22.1	11.82	12.18	24.28	37.05	12.09	28.86	27.44	15.34	12.18	19.39	17.77	62.12	66.18	57.89	96.01	70.01	69.03	85.22	69.52	27.44	59.13	87.03	47.17	48.52	74.58	48.18	58.3	70.01	19.25	17.77	17.64	9.06	24.63	51.71	24.28	26.67	21.78	12.0	29.91	14.03	31.45
C2CD5	108.14	186.4	371.22	454.09	483.38	473.41	518.15	483.38	595.34	470.14	503.95	260.38	327.56	376.41	223.41	633.73	444.72	384.34	255.0	256.78	223.41	343.89	457.25	314.17	384.34	406.31	329.84	206.94	389.72	363.56	334.46	242.88	232.94	444.72	389.72	341.51	620.67	318.57	180.02	470.14	420.68	258.57	269.6	339.14	368.65	540.19	599.49	392.44	638.15	591.22	563.18	660.68	733.19	684.02	1059.11	878.17	743.43	878.17	866.07	738.29	656.11	591.22	1051.79	872.1	791.35	890.44	633.73	909.17	1044.52	988.12	265.87	878.17	279.14	318.57	525.39	466.88	1216.75	1304.15	490.14
C6orf163	19.39	32.13	7.28	8.51	7.94	37.05	23.59	44.25	68.07	19.97	22.75	13.62	6.21	4.98	4.94	35.76	12.55	4.03	12.27	10.71	18.29	3.66	23.25	11.82	8.78	3.23	2.66	19.68	7.88	7.88	24.28	10.47	6.36	1.5	1.66	6.62	49.21	4.98	7.94	6.52	5.92	10.79	2.68	3.14	7.46	15.8	18.29	16.63	38.12	38.4	28.24	16.88	25.35	35.0	78.34	59.13	20.56	30.34	29.7	29.27	40.64	16.27	44.89	38.4	20.71	49.56	61.68	48.87	29.48	74.58	18.7	19.68	19.97	31.67	38.67	4.06	60.82	20.86	7.63
C9orf72	23.76	40.36	205.5	371.22	432.53	141.02	157.68	409.15	389.72	275.28	417.77	111.21	94.67	208.38	91.41	133.36	117.6	157.68	68.55	127.0	81.71	111.21	361.04	147.06	175.07	267.73	129.69	78.89	122.64	131.51	251.48	81.14	102.97	151.22	99.43	209.84	299.25	180.02	103.69	105.15	124.37	74.06	123.5	195.72	248.0	214.27	166.73	140.04	221.86	525.39	182.55	988.12	547.75	387.02	629.35	490.14	341.51	325.29	332.14	341.51	361.04	332.14	283.05	547.75	536.45	473.41	651.58	381.68	836.53	249.73	132.44	275.28	98.73	271.48	332.14	325.29	301.33	444.72	209.84
CAPRIN2	148.09	126.12	193.01	108.9	309.83	134.3	198.47	297.17	237.86	161.02	303.44	327.56	236.21	121.79	80.57	258.57	105.89	178.77	98.73	102.25	197.09	136.19	371.22	75.64	181.28	135.24	94.01	74.58	166.73	129.69	171.45	122.64	120.94	120.1	115.16	137.14	323.03	135.24	64.8	132.44	114.36	75.11	90.77	173.85	77.79	181.28	376.41	136.19	376.41	353.59	329.84	409.15	432.53	540.19	738.29	629.35	406.31	376.41	392.44	409.15	457.25	301.33	417.77	529.06	480.04	579.04	353.59	426.57	620.67	371.22	76.17	406.31	121.79	157.68	246.28	165.57	363.56	567.1	242.88
CARF	9.63	20.41	42.71	98.73	52.45	62.12	120.1	121.79	148.09	84.63	45.53	30.34	34.75	40.36	30.56	99.43	75.64	76.71	66.18	45.21	40.64	70.01	164.42	46.84	80.57	62.12	60.39	39.5	75.11	86.43	102.97	38.95	33.78	81.14	38.95	52.45	153.34	63.45	26.86	46.5	53.95	68.07	30.12	73.03	59.97	122.64	118.43	108.9	135.24	163.28	157.68	285.03	212.78	201.25	234.57	285.03	255.0	316.37	336.79	226.54	185.11	195.72	211.31	260.38	251.48	325.29	220.32	137.14	332.14	96.68	23.76	92.7	31.67	151.22	111.21	68.55	127.0	175.07	87.65
CATSPER2	33.3	25.91	23.59	32.13	87.03	59.97	43.63	111.99	40.07	73.03	138.1	64.8	52.45	19.25	16.39	50.98	12.64	11.13	21.16	16.63	20.11	11.38	132.44	18.29	77.79	31.22	17.0	12.55	24.11	25.17	104.42	30.78	41.52	15.11	6.16	19.97	159.9	23.76	35.25	34.51	27.05	28.65	13.42	85.22	25.91	104.42	43.94	42.11	214.27	176.29	211.31	149.12	193.01	187.71	291.04	164.42	162.14	153.34	226.54	167.9	150.17	89.51	209.84	147.06	165.57	189.02	92.05	67.59	287.01	110.43	21.63	125.24	50.27	40.93	94.67	39.79	139.07	285.03	61.25
CCDC66	93.35	134.3	143.01	195.72	223.41	187.71	262.2	246.28	309.83	191.67	228.13	127.89	116.78	65.26	53.57	131.51	33.54	64.34	25.35	63.45	51.71	55.1	186.4	58.3	97.36	110.43	59.55	123.5	77.25	77.25	94.01	77.25	74.58	70.51	67.59	65.72	224.97	96.01	90.14	121.79	97.36	48.18	91.41	82.87	55.49	121.79	236.21	66.65	358.54	412.0	336.79	532.74	277.2	312.0	981.29	429.54	358.54	327.56	432.53	392.44	392.44	248.0	441.64	417.77	511.0	480.04	305.55	463.65	490.14	432.53	141.02	633.73	144.01	183.82	158.79	195.72	486.75	435.55	144.01
CCDC7	11.21	17.13	35.5	25.17	53.95	23.76	12.18	15.22	26.1	19.11	44.57	23.08	34.02	25.91	11.55	36.79	20.26	53.95	24.99	17.0	15.22	28.45	41.22	15.34	48.18	27.44	11.13	29.48	15.11	55.1	29.27	22.92	25.72	20.56	21.47	13.93	45.21	12.83	16.03	18.16	32.59	26.1	23.42	52.08	34.75	43.94	36.27	23.93	65.26	19.39	58.3	46.18	46.18	68.55	116.78	39.5	30.78	48.87	70.51	38.95	43.02	23.25	80.01	55.1	58.3	50.63	13.52	56.28	90.14	15.8	15.45	44.89	17.9	21.16	17.51	33.54	29.91	34.02	19.39
CCDC93	111.21	152.28	195.72	346.29	316.37	115.16	221.86	303.44	332.14	177.53	253.23	248.0	435.55	172.65	123.5	273.37	224.97	220.32	178.77	149.12	146.03	182.55	299.25	334.46	208.38	224.97	158.79	131.51	125.24	178.77	297.17	135.24	119.26	197.09	146.03	205.5	466.88	194.36	159.9	234.57	145.02	111.21	77.79	201.25	155.5	283.05	248.0	231.32	246.28	348.71	353.59	679.29	536.45	353.59	728.11	587.13	376.41	341.51	665.29	457.25	450.94	358.54	368.65	575.03	361.04	429.54	334.46	463.65	368.65	265.87	56.68	260.38	151.22	198.47	260.38	167.9	267.73	389.72	169.07
CCNL1	656.11	638.15	1059.11	1369.04	1844.76	665.29	947.83	1417.35	1369.04	866.07	1819.35	796.86	1023.0	693.58	764.36	1127.35	392.44	575.03	432.53	420.68	366.09	802.41	2758.13	400.71	532.74	1397.83	297.17	384.34	567.1	708.18	3060.45	753.83	536.45	470.14	921.88	540.19	4298.64	941.27	559.28	842.36	521.76	426.57	379.04	1175.27	444.72	1487.87	1628.26	1119.56	2061.24	1685.71	2061.24	4358.66	3212.66	2796.65	4543.8	2627.46	2119.22	1844.76	2682.69	1572.76	2104.58	1883.54	3742.05	2193.99	2351.53	2777.33	2502.97	2855.44	2720.15	1709.26	583.07	1991.0	529.06	1119.56	1369.04	1350.18	2004.85	2319.15	1023.0
CDC16	988.12	921.88	1369.04	934.76	1572.76	1096.5	1350.18	1369.04	1477.58	1225.22	1427.22	1286.18	934.76	1769.57	748.61	1088.92	842.36	995.0	860.08	1143.1	543.96	1286.18	1151.06	733.19	1159.07	1277.29	1008.9	995.0	674.59	961.07	915.51	1044.52	1199.98	1447.15	1250.98	1001.93	1159.07	967.76	769.69	1350.18	1242.34	1066.48	1457.23	961.07	1066.48	2018.8	1015.93	1088.92	1378.57	1199.98	1199.98	1447.15	1191.69	1104.13	2367.9	2240.11	1208.34	1322.37	1447.15	1322.37	1199.98	961.07	1350.18	1286.18	1378.57	1685.71	1572.76	1896.65	2855.44	2303.12	728.11	2090.03	872.1	791.35	1167.14	947.83	2682.69	2485.67	947.83
CHD2	185.11	248.0	234.57	555.41	470.14	366.09	480.04	579.04	486.75	376.41	547.75	197.09	334.46	366.09	143.01	417.77	249.73	473.41	206.94	255.0	197.09	363.56	483.38	291.04	384.34	381.68	265.87	246.28	341.51	366.09	599.49	232.94	211.31	409.15	358.54	329.84	518.15	412.0	249.73	429.54	309.83	223.41	214.27	356.05	417.77	532.74	457.25	397.93	450.94	780.44	743.43	1498.22	1066.48	967.76	902.89	902.89	947.83	813.63	764.36	764.36	928.3	660.68	878.17	1359.57	890.44	813.63	854.13	775.05	802.41	493.56	165.57	703.28	379.04	438.59	764.36	429.54	679.29	743.43	466.88
CHKB	896.64	1277.29	738.29	366.09	1059.11	909.17	836.53	2303.12	1806.78	988.12	967.76	1135.2	941.27	674.59	536.45	896.64	518.15	457.25	301.33	571.05	620.67	688.78	2417.67	287.01	995.0	454.09	426.57	775.05	473.41	258.57	941.27	587.13	738.29	327.56	368.65	444.72	2367.9	974.5	595.34	674.59	915.51	780.44	669.92	802.41	381.68	1340.84	813.63	995.0	1304.15	2502.97	2075.59	2835.7	1794.29	2935.74	2875.3	2591.27	1883.54	2335.28	2209.26	2287.2	1819.35	1331.57	3614.55	2163.77	3901.01	3589.58	1407.55	2777.33	2627.46	1477.58	1208.34	1551.09	780.44	466.88	620.67	860.08	2351.53	2739.08	660.68
CHRNA7	54.72	68.55	7.63	2.66	6.57	27.05	15.56	25.17	34.02	16.03	9.13	3.86	6.01	8.51	8.06	31.67	41.52	1.95	5.02	19.53	21.01	28.65	20.86	14.35	9.27	9.63	12.36	13.72	12.18	12.93	6.94	34.51	6.89	29.7	16.75	14.89	24.63	15.8	6.52	6.31	13.93	16.03	10.31	13.62	14.45	9.78	38.67	4.74	14.45	108.14	356.05	53.19	67.12	62.56	87.65	115.97	201.25	93.35	113.56	75.64	66.18	125.24	116.78	28.04	75.64	66.65	26.67	40.36	35.5	39.5	9.27	11.91	29.7	9.2	27.84	35.0	37.32	21.78	6.46
CLK1	1135.2	1216.75	1757.34	2303.12	3874.05	1977.24	2133.97	3081.75	2627.46	1819.35	3928.15	1044.52	525.39	1508.65	872.1	1313.23	314.17	669.92	343.89	808.0	575.03	1359.57	3614.55	1651.0	1119.56	1605.83	796.86	490.14	587.13	1104.13	3103.19	1008.9	921.88	688.78	473.41	954.43	4298.64	1883.54	1008.9	934.76	842.36	1037.29	1044.52	1225.22	1605.83	3928.15	4210.15	2061.24	3820.7	3257.52	3491.39	7537.18	4512.4	5633.22	6699.25	5366.37	5441.3	4903.87	4639.29	4123.49	4123.49	4543.8	8078.22	5594.3	5872.48	6037.61	3372.43	5711.87	5076.84	4298.64	4419.52	6652.97	1745.2	1457.23	2193.99	2956.17	5147.73	4210.15	2758.13
COQ10A	176.29	223.41	202.66	138.1	242.88	314.17	323.03	470.14	624.99	277.2	242.88	325.29	144.01	133.36	118.43	128.79	150.17	162.14	87.65	157.68	201.25	100.83	318.57	53.95	94.01	84.04	198.47	79.45	135.24	156.59	177.53	141.02	106.63	108.14	234.57	129.69	363.56	224.97	123.5	162.14	208.38	152.28	152.28	63.0	99.43	204.07	212.78	264.03	253.23	536.45	283.05	444.72	518.15	441.64	780.44	571.05	514.56	521.76	575.03	392.44	493.56	435.55	616.37	507.46	579.04	638.15	371.22	208.38	540.19	503.95	309.83	346.29	162.14	327.56	358.54	571.05	454.09	387.02	305.55
