	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQK.2926.SM.5EQKT	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13OVJ.0626.SM.5J2O2	GTEX.14E6C.2626.SM.5RQJP	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.144GM.0226.SM.5Q5CB	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.QXCU.0326.SM.2TC63	GTEX.13O1R.0826.SM.5J2MB	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
ABHD14A	0.0	0.36	66.65	2758.13	2997.45	2645.74	1191.69	2163.77	1111.82	1059.11	2468.49	2240.11	872.1	262.2	1216.75	2209.26	954.43	1378.57	2796.65	1540.37	825.0	1519.15	1081.39	2061.24	2032.85	1674.06	2855.44	1628.26	2133.97	1963.57	708.18	2573.36	1340.84	2835.7	988.12	1369.04	2090.03	2240.11	1088.92	2090.03	1870.53	1286.18	1119.56	802.41	819.3	1617.0	1066.48	579.04	1199.98	444.72	738.29	1304.15	1757.34	1498.22	1135.2	878.17	2287.2	2417.67	2303.12
AGO1	57.89	61.68	98.73	156.59	141.02	161.02	148.09	187.71	77.79	117.6	129.69	127.89	85.82	134.3	88.88	120.94	123.5	95.34	142.01	128.79	96.01	129.69	79.45	172.65	149.12	84.63	123.5	201.25	140.04	147.06	97.36	148.09	100.83	134.3	97.36	82.29	111.99	119.26	98.73	161.02	103.69	118.43	112.77	102.25	129.69	96.68	96.68	108.9	99.43	88.26	85.22	128.79	108.14	108.14	96.01	119.26	166.73	132.44	138.1
AKR7A2	0.0	0.16	299.25	1487.87	1388.16	1304.15	830.75	1487.87	988.12	1073.91	1551.09	1572.76	1008.9	341.51	1119.56	1427.22	1059.11	1135.2	1407.55	1427.22	947.83	1242.34	1066.48	1561.89	1467.37	1350.18	1457.23	1437.15	1498.22	1477.58	995.0	1388.16	1322.37	1167.14	902.89	995.0	1498.22	1250.98	1051.79	1313.23	1457.23	759.08	1104.13	1037.29	934.76	1216.75	1159.07	813.63	713.11	579.04	791.35	1044.52	1183.45	1359.57	830.75	902.89	1295.13	1304.15	1277.29
ALAD	0.0	0.56	412.0	1540.37	1199.98	1583.71	435.55	1088.92	954.43	1037.29	1127.35	1044.52	775.05	397.93	713.11	1286.18	1088.92	1167.14	1295.13	1242.34	902.89	954.43	921.88	1331.57	1191.69	872.1	1540.37	1388.16	1066.48	1250.98	836.53	1498.22	954.43	1104.13	507.46	1015.93	1304.15	1104.13	896.64	1295.13	723.08	1081.39	1313.23	896.64	785.88	796.86	1277.29	669.92	547.75	532.74	819.3	981.29	1008.9	1073.91	587.13	587.13	1378.57	1167.14	1388.16
ALDH7A1	0.0	0.72	1199.98	2163.77	2956.17	2591.27	1378.57	2148.82	1806.78	2061.24	3395.89	2701.35	1295.13	629.35	2193.99	2997.45	1950.0	2224.63	2645.74	3146.52	1709.26	2976.74	1806.78	2627.46	2400.97	1639.59	2701.35	2682.69	3235.01	2956.17	1427.22	2287.2	2163.77	2855.44	1322.37	2502.97	3742.05	2178.83	2104.58	2502.97	2468.49	2682.69	1407.55	1519.15	1781.89	2090.03	2148.82	1191.69	1757.34	796.86	2104.58	2682.69	2739.08	1991.0	1286.18	1519.15	2855.44	2485.67	2303.12
AMOT	0.0	0.21	26.67	358.54	155.5	336.79	61.68	316.37	59.13	62.12	159.9	172.65	16.63	19.25	52.45	135.24	56.28	42.41	191.67	191.67	86.43	82.29	84.04	195.72	206.94	82.29	217.27	177.53	291.04	224.97	72.52	215.77	163.28	228.13	63.45	55.89	242.88	158.79	113.56	231.32	87.65	113.56	90.77	74.58	175.07	78.34	75.64	64.34	24.63	23.08	99.43	65.26	90.77	115.97	27.25	82.87	145.02	181.28	190.34
ANO5	0.0	0.06	26.86	81.14	62.12	164.42	15.91	98.73	23.25	45.85	67.59	98.04	15.11	20.86	15.22	57.49	57.49	55.1	52.45	54.72	18.56	65.26	34.51	125.24	52.82	45.21	41.81	129.69	134.3	109.66	26.47	81.14	43.02	87.65	31.22	19.11	77.25	100.83	67.59	89.51	74.58	45.53	74.06	32.59	45.85	37.85	53.19	31.22	56.68	8.99	38.95	92.05	67.12	34.51	47.17	37.05	82.87	150.17	92.05
ANXA9	0.0	0.23	81.71	866.07	563.18	981.29	295.11	547.75	323.03	267.73	540.19	457.25	256.78	120.1	269.6	684.02	244.57	195.72	587.13	379.04	205.5	361.04	264.03	514.56	679.29	332.14	660.68	532.74	450.94	307.69	226.54	764.36	226.54	547.75	121.79	205.5	500.46	518.15	473.41	607.87	432.53	309.83	363.56	197.09	236.21	183.82	314.17	186.4	361.04	98.73	204.07	543.96	503.95	320.8	237.86	234.57	825.0	563.18	785.88
APITD1	0.0	0.0	158.79	1127.35	1208.34	1030.12	271.48	981.29	647.07	595.34	848.22	1037.29	466.88	336.79	633.73	967.76	486.75	638.15	1119.56	738.29	521.76	791.35	612.11	808.0	854.13	748.61	1001.93	884.29	1051.79	1008.9	651.58	813.63	808.0	1066.48	429.54	559.28	1088.92	1044.52	703.28	1023.0	1001.93	665.29	713.11	728.11	543.96	638.15	819.3	529.06	486.75	336.79	571.05	759.08	759.08	708.18	414.87	780.44	981.29	967.76	1167.14
ARMCX1	0.0	0.59	18.7	624.99	599.49	748.61	463.65	583.07	400.71	607.87	612.11	579.04	283.05	297.17	563.18	679.29	423.61	547.75	785.88	579.04	483.38	490.14	346.29	830.75	703.28	854.13	612.11	497.0	629.35	684.02	406.31	748.61	423.61	660.68	197.09	361.04	748.61	728.11	454.09	848.22	571.05	629.35	466.88	466.88	376.41	457.25	616.37	336.79	258.57	232.94	423.61	529.06	587.13	551.56	265.87	511.0	624.99	620.67	603.67
