	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.SNMC.0426.SM.4DM5Y	GTEX.1122O.1626.SM.5N9CX	GTEX.111YS.1026.SM.5GZYE	GTEX.146FQ.1126.SM.5NQBM	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.ZAB5.1026.SM.5HL91	GTEX.YF7O.0826.SM.4W21F	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.U3ZN.1826.SM.4DXUY	GTEX.OHPM.0726.SM.3LK7A	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.Q2AH.1026.SM.48TZI	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.U8T8.1226.SM.4E3IH	GTEX.1211K.1426.SM.5FQTF	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.R55D.1526.SM.48FEJ
ACTG2	726195.27	3406832.48	1048575.0	280957.98	251464.33	176583.6	79572.48	593956.43	365622.68	164758.26	602247.76	125731.67	234624.45	205673.01	561916.97	74760.09	92040.7	95949.32	0.0	0.61	275175.93	237899.7	577714.63	627822.72	373305.21	456418.21	271387.49	386469.83	350728.68	839981.65	645473.24	998912.34	1078054.48	1055868.42	834179.46	945028.61
AMIGO2	587.13	2193.99	130.6	65.26	71.0	72.01	53.95	156.59	75.11	41.22	97.36	43.32	72.52	80.01	115.16	41.52	35.25	123.5	0.0	0.62	361.04	223.41	239.52	514.56	267.73	303.44	406.31	234.57	420.68	438.59	591.22	503.95	297.17	444.72	239.52	414.87
ANGPTL2	1757.34	4419.52	1572.76	679.29	934.76	665.29	642.59	1447.15	591.22	406.31	934.76	591.22	607.87	521.76	1191.69	647.07	194.36	246.28	0.0	0.61	4123.49	4181.07	4937.99	3395.89	2915.45	3280.18	2976.74	2915.45	3103.19	1304.15	2739.08	1551.09	2739.08	3060.45	2645.74	2133.97
AXL	1151.06	2178.83	3039.3	872.1	1037.29	995.0	928.3	1208.34	1119.56	1066.48	1519.15	1167.14	995.0	848.22	1427.22	1277.29	796.86	808.0	802.41	4671.57	1561.89	1594.73	2209.26	1857.6	2240.11	1832.01	2240.11	2384.37	2303.12	1199.98	1923.14	1242.34	1781.89	2018.8	1369.04	1467.37
BCAR1	808.0	775.05	764.36	743.43	679.29	669.92	819.3	1250.98	536.45	660.68	1250.98	587.13	1135.2	753.83	1088.92	902.89	872.1	748.61	0.0	0.57	1369.04	1159.07	1467.37	1950.0	1331.57	1259.69	1498.22	1498.22	1477.58	1685.71	941.27	836.53	884.29	947.83	1216.75	854.13
C4orf46	91.41	84.63	50.63	33.54	55.89	44.25	35.76	43.94	43.32	44.89	47.17	47.17	41.81	34.51	63.89	28.04	20.11	38.12	0.0	0.28	103.69	89.51	111.99	139.07	100.13	85.22	97.36	98.04	96.01	54.33	68.07	66.18	72.01	74.58	84.04	82.87
C4orf48	251.48	62.12	63.89	84.63	273.37	148.09	107.38	115.97	118.43	125.24	131.51	78.34	181.28	81.14	136.19	87.65	33.3	70.01	0.0	0.21	555.41	339.14	287.01	769.69	187.71	679.29	193.01	151.22	214.27	64.8	152.28	72.01	175.07	128.79	141.02	197.09
C6orf118	3.82	2.78	0.0	0.97	0.0	0.0	0.0	4.28	0.0	0.0	2.61	0.0	1.51	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	6.41	2.16	3.82	16.39	4.9	3.5	1.58	2.18	3.35	4.21	6.01	5.32	3.23
C9orf16	1896.65	1487.87	1733.13	2451.44	2451.44	1250.98	1151.06	2417.67	1950.0	1208.34	1583.71	2163.77	1733.13	2018.8	2335.28	1721.16	1583.71	1781.89	0.0	0.83	2451.44	2367.9	2417.67	3540.14	2816.11	4736.79	2485.67	2555.58	2075.59	2875.3	3742.05	7032.37	5831.91	10368.08	1250.98	3303.0
CAMK2N2	8.58	16.88	7.82	14.35	3.08	3.59	4.17	17.77	2.03	8.38	5.87	0.0	10.88	6.01	23.59	4.03	2.84	0.0	0.0	0.27	39.79	15.56	22.75	42.41	19.39	17.0	17.77	33.78	47.84	26.1	13.72	0.64	3.63	20.26	12.27	2.23
CAPN6	83.45	198.47	25.54	16.27	50.63	10.31	8.71	55.49	18.29	11.3	42.41	8.92	13.93	7.28	59.55	8.92	1.87	4.21	0.0	0.0	480.04	583.07	656.11	718.08	180.02	454.09	156.59	297.17	420.68	2855.44	27.25	28.86	842.36	32.13	90.77	212.78
CARD16	463.65	217.27	129.69	82.87	97.36	71.5	72.01	149.12	88.26	60.82	166.73	111.99	128.79	147.06	158.79	88.26	68.55	88.26	0.0	0.2	457.25	559.28	341.51	612.11	309.83	373.81	236.21	248.0	231.32	187.71	226.54	118.43	264.03	217.27	236.21	361.04
CCDC81	22.92	43.32	38.4	13.93	29.27	12.64	12.27	36.79	14.14	17.13	35.0	5.36	18.84	22.75	52.08	8.06	6.84	9.85	0.0	0.0	63.89	38.67	121.79	150.17	53.57	40.64	19.39	30.78	42.71	6.89	14.14	19.68	41.52	16.51	31.0	20.26
CDH13	224.97	540.19	131.51	63.45	50.98	58.71	48.52	163.28	170.25	27.84	50.63	42.71	57.49	33.06	146.03	50.27	53.19	31.22	0.0	0.54	299.25	271.48	199.85	368.65	201.25	293.07	392.44	170.25	198.47	221.86	312.0	118.43	255.0	466.88	148.09	258.57
CDR1	2.81	14.03	18.29	8.0	14.03	7.88	2.86	6.84	3.69	6.06	7.34	20.56	7.11	1.81	6.62	3.32	1.69	3.35	0.0	0.13	63.45	21.16	19.68	100.83	26.86	14.24	82.87	63.0	66.18	148.09	25.54	16.39	24.28	14.03	41.22	32.36
CELF5	10.16	15.45	2.71	0.54	1.99	0.99	0.53	8.85	0.57	1.57	2.12	0.0	1.04	2.46	2.61	0.52	0.0	3.35	0.0	0.22	12.18	7.57	8.99	16.27	27.84	3.2	25.72	19.82	29.91	3.0	3.23	0.0	2.84	2.34	5.23	0.0
CENPP	21.63	31.0	26.67	15.8	17.0	12.93	18.03	21.63	24.99	14.35	29.48	19.11	31.22	28.24	27.64	12.18	19.25	25.35	0.0	0.4	35.25	43.94	33.06	53.95	44.57	38.67	29.91	31.9	27.84	49.56	23.25	22.43	30.56	13.22	32.59	21.94
CHRNA3	307.69	403.5	616.37	70.01	38.12	29.27	8.51	75.11	0.72	12.55	59.13	3.72	63.89	30.34	69.52	4.35	4.24	21.47	0.0	0.0	1561.89	1111.82	1757.34	532.74	872.1	915.51	341.51	591.22	981.29	175.07	320.8	348.71	403.5	389.72	547.75	237.86
CHRNB4	60.82	96.68	41.52	7.94	5.77	3.14	0.72	16.88	2.56	1.64	7.11	0.0	5.54	3.17	14.03	0.0	1.04	2.29	0.0	0.2	33.06	55.1	70.51	37.85	88.88	31.67	50.98	82.29	94.67	63.45	72.01	37.59	100.83	53.57	81.71	30.12
CHST11	105.89	155.5	39.79	34.75	50.27	61.25	38.4	32.82	46.84	28.24	48.18	57.08	38.4	35.0	36.79	46.18	29.27	52.82	381.68	134.3	217.27	208.38	214.27	267.73	281.09	297.17	267.73	204.07	141.02	237.86	343.89	221.86	194.36	878.17	143.01	206.94
CLEC2B	248.0	155.5	197.09	89.51	101.54	135.24	106.63	64.8	133.36	65.72	141.02	144.01	54.33	102.25	121.79	96.68	145.02	87.65	0.0	0.64	417.77	514.56	264.03	518.15	305.55	281.09	329.84	400.71	341.51	921.88	379.04	105.15	363.56	151.22	258.57	295.11
COL11A1	12.83	26.1	3.86	11.13	24.11	0.0	1.6	3.06	3.0	1.27	4.98	5.15	17.13	21.63	0.78	0.0	7.11	11.38	0.0	0.39	29.27	48.87	19.68	34.26	10.79	27.84	13.12	10.55	13.83	32.82	10.96	15.56	22.43	31.45	34.26	24.81
CPXM1	111.21	91.41	0.99	41.81	2.58	0.71	1.62	5.28	8.13	2.2	1.75	0.71	3.14	0.0	8.51	0.68	2.81	27.25	0.0	0.0	1242.34	96.68	158.79	1674.06	10.79	98.04	30.56	4.13	20.56	64.8	15.22	3.63	12.74	8.78	9.93	3.35
CTD-2267D19.3	109.66	55.49	58.71	38.67	41.52	33.78	30.34	87.03	39.79	29.7	49.21	28.24	38.12	29.7	140.04	27.44	26.47	46.5	0.0	0.16	121.79	119.26	127.0	182.55	127.89	133.36	94.67	80.01	110.43	100.83	253.23	156.59	140.04	142.01	191.67	100.13
CTDSPL	836.53	1044.52	748.61	780.44	941.27	591.22	656.11	934.76	753.83	713.11	1159.07	559.28	848.22	808.0	1104.13	638.15	612.11	896.64	339.14	166.73	1073.91	1030.12	947.83	1378.57	1037.29	1167.14	1175.27	1216.75	1175.27	842.36	748.61	909.17	525.39	669.92	921.88	780.44
DLX5	11.04	22.1	13.03	2.63	6.01	4.13	6.89	8.71	1.27	5.32	5.06	4.94	8.25	5.92	10.88	9.2	6.01	0.54	0.0	0.39	18.56	11.64	7.17	21.78	11.82	9.41	19.25	27.44	28.86	63.89	44.25	8.51	17.64	44.25	32.13	8.78
