	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.TML8.1226.SM.32QON	GTEX.12WSB.0626.SM.59HJO	GTEX.13QIC.2326.SM.5LU5N	GTEX.13OVG.1426.SM.5K7VP	TCGA.CV.5977.01A.11R.1686.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11EQ9.2026.SM.5P9JI
AL357673.1	74.06	75.11	56.68	59.13	70.51	75.11	48.18	66.65	57.89	92.05	65.26	76.71	69.52	63.45	73.54	68.07	80.57	81.14	62.12	109.66	117.6	135.24	87.03	153.34	82.87	57.08	60.82	85.22	20.56	50.63	99.43	98.04	74.58	37.05	19.97	22.1	7.46	0.09	56.68
ANKMY2	563.18	329.84	299.25	429.54	414.87	368.65	356.05	575.03	400.71	607.87	563.18	358.54	547.75	325.29	358.54	447.82	500.46	409.15	314.17	547.75	967.76	679.29	483.38	1313.23	450.94	251.48	275.28	397.93	181.28	301.33	785.88	483.38	466.88	277.2	54.72	54.72	104.42	0.4	141.02
ANKRD26	122.64	55.49	21.63	84.04	55.49	71.0	69.03	199.85	53.95	125.24	133.36	64.8	92.7	52.08	55.1	80.57	72.52	94.67	50.27	112.77	258.57	172.65	111.21	197.09	116.78	70.51	49.91	89.51	28.86	35.5	120.1	72.52	190.34	49.91	34.75	37.59	14.67	0.3	27.64
ARMC10	1088.92	808.0	819.3	860.08	967.76	961.07	802.41	1331.57	718.08	981.29	1023.0	902.89	860.08	642.59	775.05	915.51	915.51	802.41	848.22	967.76	995.0	934.76	836.53	2061.24	928.3	679.29	947.83	902.89	748.61	723.08	1437.15	1225.22	1081.39	603.67	444.72	642.59	669.92	358.54	490.14
C11orf1	1313.23	921.88	753.83	1030.12	1059.11	825.0	775.05	2032.85	775.05	1322.37	1225.22	1081.39	1498.22	441.64	921.88	941.27	825.0	1199.98	1044.52	1023.0	2855.44	1674.06	1369.04	1304.15	718.08	536.45	348.71	563.18	559.28	764.36	866.07	532.74	1733.13	358.54	420.68	218.79	351.14	0.26	518.15
C11orf54	796.86	514.56	339.14	563.18	693.58	603.67	555.41	947.83	470.14	896.64	647.07	536.45	703.28	497.0	684.02	575.03	633.73	764.36	612.11	819.3	1331.57	1417.35	555.41	1286.18	591.22	457.25	507.46	612.11	239.52	571.05	1023.0	579.04	842.36	733.19	58.3	101.54	167.9	0.27	450.94
CAMKMT	144.01	106.63	105.89	163.28	128.79	115.97	114.36	204.07	114.36	129.69	143.01	111.21	115.97	87.03	129.69	120.1	140.04	111.21	94.01	218.79	149.12	137.14	171.45	109.66	108.14	127.0	131.51	155.5	48.18	105.15	138.1	82.87	107.38	95.34	80.01	88.26	94.01	0.42	78.34
CD36	18178.19	91404.92	52135.28	98646.85	118127.7	80683.28	68793.23	13492.72	53601.03	40621.74	54727.32	75280.1	82951.62	71714.63	92040.7	79572.48	76861.91	127486.83	92040.7	163620.18	1857.6	62431.08	63742.91	6935.54	64632.75	76861.91	57051.4	124863.17	57448.23	162489.97	29327.18	139508.13	46019.85	147462.67	16.51	234.57	1883.54	0.36	967.76
CDC40	540.19	301.33	191.67	309.83	312.0	334.46	325.29	571.05	285.03	435.55	412.0	299.25	356.05	289.02	283.05	323.03	384.34	312.0	269.6	329.84	612.11	571.05	409.15	1437.15	339.14	224.97	281.09	346.29	205.5	186.4	525.39	329.84	559.28	246.28	147.06	134.3	142.01	0.44	187.71
CLVS2	5.68	0.4	0.0	1.3	0.0	0.4	0.75	0.77	0.0	1.58	2.73	2.16	0.41	0.0	0.0	3.5	2.01	0.0	0.0	1.77	2.66	1.85	15.22	4.35	2.07	0.15	0.0	0.8	0.0	0.0	1.73	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.07
