	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.EM.A2P2.01A.11R.A206.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3UP.01A.11R.A22L.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.EL.A3GW.01A.11R.A206.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A2N8.01A.11R.A18C.07
ADCY9	211.31	236.21	368.65	194.36	441.64	152.28	414.87	209.84	125.24	98.73	130.6	115.97	0.0	450.94	616.37	320.8	579.04	536.45	403.5	334.46	397.93	559.28	460.44	403.5
AHCYL2	96.01	110.43	194.36	89.51	143.01	87.65	121.79	75.11	108.9	117.6	191.67	48.52	0.0	796.86	738.29	406.31	703.28	785.88	896.64	423.61	567.1	915.51	521.76	738.29
AP3B1	293.07	231.32	368.65	262.2	368.65	217.27	258.57	265.87	329.84	221.86	406.31	283.05	0.0	764.36	1088.92	785.88	872.1	808.0	830.75	796.86	723.08	967.76	780.44	954.43
AQR	193.01	163.28	170.25	129.69	158.79	108.14	144.01	191.67	146.03	218.79	214.27	120.94	0.0	384.34	567.1	414.87	412.0	403.5	387.02	341.51	429.54	470.14	376.41	339.14
ASF1A	157.68	151.22	211.31	187.71	297.17	150.17	239.52	163.28	224.97	140.04	214.27	84.04	0.0	303.44	518.15	314.17	379.04	387.02	429.54	303.44	368.65	486.75	346.29	703.28
B3GNT9	30.56	19.53	53.57	16.88	54.33	21.16	48.18	43.32	45.85	38.95	96.68	5.11	0.0	543.96	1088.92	447.82	988.12	791.35	1104.13	647.07	703.28	1242.34	514.56	896.64
BARX1	8.71	18.84	5.23	3.76	1.28	6.16	19.39	6.31	7.17	5.45	32.36	0.0	0.0	12.27	1127.35	3.32	142.01	101.54	187.71	86.43	11.21	92.05	6.67	791.35
BEND3	8.99	6.16	6.73	2.53	7.75	17.9	6.67	4.7	2.25	4.39	4.06	0.77	37.32	35.5	62.56	26.28	42.41	47.17	52.08	48.52	23.25	94.01	42.11	50.98
BMP8B	8.58	7.63	15.56	7.51	0.43	7.28	4.43	6.62	0.0	3.59	11.82	0.0	0.0	70.51	116.78	65.26	100.13	138.1	63.0	128.79	34.51	133.36	43.32	75.64
C10orf82	0.71	0.0	1.85	0.0	0.0	0.65	0.44	1.58	0.51	1.71	0.35	0.83	0.0	127.89	258.57	49.56	241.19	255.0	149.12	154.42	49.91	249.73	21.63	146.03
C10orf95	2.53	3.32	7.63	3.03	3.35	1.3	4.06	3.5	1.04	0.27	0.67	0.0	0.0	108.14	285.03	46.5	170.25	97.36	129.69	28.86	147.06	159.9	108.14	124.37
C15orf26	0.84	3.63	0.0	0.0	12.09	4.98	2.89	1.5	3.5	4.5	0.82	0.0	0.0	5.28	143.01	8.0	21.78	145.02	119.26	3.03	8.19	31.45	9.78	75.11
C6orf62	961.07	629.35	1304.15	802.41	1199.98	785.88	1104.13	947.83	1378.57	656.11	1286.18	314.17	1437.15	1721.16	2287.2	1594.73	1781.89	2104.58	1721.16	2004.85	1529.73	1950.0	1896.65	1583.71
CA13	90.14	111.21	104.42	183.82	81.71	183.82	102.97	124.37	76.71	132.44	132.44	71.0	0.0	318.57	400.71	231.32	376.41	246.28	371.22	234.57	287.01	441.64	244.57	432.53
CACNB4	0.32	0.0	4.9	0.0	3.44	0.0	1.48	0.52	1.53	1.81	3.29	0.0	0.0	9.85	31.67	8.06	26.47	43.32	13.52	4.24	10.39	19.53	4.58	22.75
CARS	441.64	287.01	325.29	454.09	358.54	651.58	309.83	423.61	432.53	743.43	698.41	343.89	0.0	753.83	2555.58	1233.75	1617.0	1259.69	1066.48	967.76	934.76	1340.84	878.17	1551.09
CCNE1	25.91	1.19	6.89	3.86	19.53	60.82	8.51	26.1	4.62	9.7	34.75	0.36	0.0	59.97	121.79	82.29	95.34	56.28	46.5	35.76	63.89	139.07	60.82	86.43
CHRM3	12.74	6.46	4.7	3.5	0.57	0.05	2.56	18.43	2.46	13.12	22.26	1.58	0.0	36.27	180.02	18.16	73.54	67.59	87.03	20.71	52.08	136.19	58.71	41.22
CPSF3	285.03	234.57	325.29	316.37	356.05	228.13	373.81	301.33	279.14	273.37	312.0	232.94	0.0	406.31	698.41	555.41	536.45	507.46	454.09	540.19	441.64	612.11	583.07	669.92
CYP26C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	6.41	2.34	5.59	8.71	0.39	2.34	2.12	8.19	1.68	3.76
DEFB129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0	3.41	1.43	0.74	0.0	0.0	0.75	0.0	2.01
DENND1A	329.84	185.11	273.37	232.94	400.71	231.32	283.05	283.05	309.83	185.11	169.07	366.09	0.0	336.79	343.89	334.46	426.57	454.09	463.65	358.54	341.51	444.72	366.09	392.44
DLGAP3	2.48	1.93	1.45	3.56	5.11	2.29	5.82	1.53	0.93	1.31	0.17	1.5	0.0	57.49	202.66	4.13	121.79	35.0	53.95	38.12	13.83	63.45	7.11	38.4
DNASE1L2	1.31	10.08	6.31	5.96	1.89	2.97	6.94	2.48	4.39	5.63	3.47	0.46	0.0	339.14	1540.37	98.04	149.12	137.14	607.87	559.28	156.59	144.01	53.95	1073.91
DPY30	1331.57	1819.35	1781.89	1963.57	1923.14	1304.15	1806.78	1639.59	1427.22	1225.22	1883.54	1369.04	0.0	1963.57	7433.4	2591.27	4358.66	3901.01	4639.29	1662.49	2178.83	3955.48	1794.29	7642.41
DUOXA2	0.0	1.06	0.47	0.0	1.23	0.0	9.7	0.0	0.0	1.83	2.43	0.51	0.0	312.0	3491.39	638.15	3467.27	2351.53	2434.5	1119.56	728.11	2271.4	312.0	2701.35
EDA	32.13	25.35	62.12	3.11	83.45	3.92	97.36	242.88	20.11	24.99	63.45	16.88	0.0	53.95	400.71	49.56	275.28	249.73	325.29	113.56	115.97	293.07	110.43	221.86
EMB	19.39	17.64	50.63	35.76	165.57	10.08	13.93	27.05	173.85	55.49	180.02	18.7	0.0	780.44	3349.13	460.44	1407.55	135.24	457.25	392.44	674.59	660.68	1135.2	305.55
EXOC6	166.73	67.59	149.12	166.73	518.15	94.67	205.5	158.79	202.66	84.63	193.01	118.43	0.0	540.19	775.05	409.15	708.18	753.83	607.87	688.78	414.87	1023.0	525.39	934.76
FAM107A	10.79	53.19	124.37	19.11	27.84	44.25	88.88	59.55	98.73	84.04	57.08	19.82	119.26	525.39	4607.24	525.39	6121.9	3372.43	3589.58	164.42	591.22	3419.52	928.3	2758.13
FAM155B	0.0	1.1	6.31	0.0	6.36	0.34	0.59	1.41	0.0	0.0	1.55	0.0	0.0	35.5	902.89	108.14	555.41	543.96	624.99	111.99	214.27	547.75	129.69	441.64
FAM174B	90.77	18.16	166.73	161.02	84.63	47.5	112.77	228.13	131.51	40.36	56.68	358.54	129.69	967.76	2664.15	1066.48	2367.9	1350.18	1437.15	660.68	1304.15	1551.09	825.0	1277.29
FCGBP	10.24	54.33	27.64	6.62	11.3	2.05	38.12	120.1	37.05	1.6	8.99	0.42	0.0	1159.07	1709.26	1183.45	2434.5	708.18	1135.2	1225.22	684.02	1378.57	1073.91	536.45
FOCAD	59.97	27.05	92.05	90.77	83.45	64.8	119.26	57.49	111.21	69.52	71.5	40.36	0.0	583.07	759.08	555.41	738.29	738.29	366.09	708.18	318.57	444.72	620.67	587.13
FRMD3	8.78	1.77	23.08	2.51	9.48	11.47	10.39	37.32	12.45	20.41	14.89	0.52	0.0	1088.92	1950.0	902.89	1225.22	1857.6	2148.82	366.09	1417.35	2520.38	1806.78	1508.65
FRMD4B	170.25	147.06	323.03	332.14	363.56	414.87	273.37	612.11	258.57	334.46	201.25	299.25	0.0	743.43	890.44	486.75	802.41	769.69	974.5	381.68	684.02	854.13	866.07	583.07
FRMPD3	0.27	0.28	0.31	1.6	0.32	0.24	0.0	0.34	1.69	2.25	1.16	0.33	0.0	33.78	62.56	45.53	82.87	62.12	69.03	16.03	63.45	60.39	66.18	37.32
GMNN	253.23	248.0	318.57	441.64	329.84	299.25	466.88	181.28	688.78	279.14	559.28	172.65	0.0	351.14	543.96	327.56	262.2	525.39	511.0	197.09	395.18	490.14	234.57	547.75
GNG10	693.58	647.07	466.88	607.87	723.08	785.88	540.19	718.08	629.35	633.73	1369.04	638.15	1407.55	1051.79	3190.46	1104.13	2335.28	1191.69	1286.18	1388.16	1015.93	2148.82	1175.27	1639.59
GOLGA8I	15.45	19.97	16.39	16.88	10.0	7.51	18.84	18.29	34.51	17.64	57.08	6.89	0.0	49.91	271.48	176.29	195.72	232.94	180.02	66.65	166.73	150.17	64.34	94.67
GOLGA8K	3.96	2.05	3.03	2.14	0.0	0.0	1.33	2.89	4.17	0.0	1.14	0.77	0.0	0.0	26.1	8.58	14.14	36.27	17.9	6.16	13.72	14.45	11.21	6.57
GOLGA8M	10.88	13.52	42.71	13.93	37.32	4.7	89.51	32.59	4.28	30.56	76.17	4.43	0.0	73.54	140.04	92.05	102.97	297.17	193.01	54.33	93.35	125.24	58.71	99.43
GOLGA8N	21.47	15.34	103.69	27.64	18.43	22.75	27.84	74.58	33.06	85.82	208.38	5.96	0.0	185.11	332.14	140.04	215.77	423.61	253.23	87.65	143.01	114.36	67.12	71.5
GOLGA8Q	0.0	21.32	19.11	4.13	10.08	6.01	4.17	22.1	1.08	1.89	13.12	0.0	0.0	50.27	297.17	130.6	68.07	137.14	115.16	12.45	159.9	118.43	65.72	61.68
GOLGA8R	34.51	16.15	53.57	5.02	18.43	1.95	22.1	30.56	6.41	18.56	35.0	2.97	0.0	27.05	103.69	48.18	136.19	258.57	229.72	96.01	71.0	97.36	63.89	49.91
