	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.J8.A3YG.01A.11R.A22U.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.WHSE.0626.SM.4RGNF
AC010547.9	6.11	9.34	0.0	0.0	4.74	2.66	7.11	0.0	6.31	1.01	10.08	20.71	12.64	24.63	42.41	7.82	15.8	16.39	24.28	6.89	34.02	26.67	8.51	26.67	17.13	46.5	6.73	13.03	14.24	12.18	12.27	6.21	40.36	10.79	21.78	12.09	13.62	37.32	6.46	10.96	8.92	8.92	20.86	10.0	9.41	9.56	16.63	7.82	12.83	43.94	20.56	22.75	8.99	9.78	5.68	22.43	8.85	9.41	15.45	30.78	40.93	32.36	26.28	7.57	51.71	60.82	12.27	9.78	28.24	24.28	9.48	13.12	12.93	25.17	9.41	4.7	19.82
AC135178.1	3.89	2.29	10.31	2.43	16.63	9.85	7.22	0.0	6.84	2.18	41.81	87.03	58.71	53.95	87.65	102.25	33.06	32.59	27.25	26.47	71.0	59.55	17.64	60.82	89.51	87.65	22.43	30.56	23.42	66.65	26.67	59.97	68.07	33.06	55.49	13.12	44.57	116.78	28.04	23.59	34.51	33.54	39.79	18.29	59.97	47.5	33.78	60.82	20.71	100.13	60.39	71.0	67.59	21.47	29.06	92.05	33.78	31.0	42.41	131.51	56.28	84.63	46.18	17.77	94.01	123.5	48.87	41.52	108.14	33.06	59.55	98.73	21.32	71.0	35.76	48.87	44.57
AGAP4	12.93	5.23	66.18	0.0	10.08	3.14	19.53	0.0	37.05	1.27	189.02	121.79	127.89	29.7	201.25	91.41	112.77	27.84	103.69	92.05	220.32	199.85	38.95	145.02	109.66	212.78	7.46	66.18	151.22	180.02	80.01	57.49	66.65	65.72	181.28	0.0	78.89	293.07	130.6	78.34	156.59	63.89	193.01	53.57	119.26	92.05	132.44	55.89	55.89	256.78	51.35	234.57	43.02	103.69	40.36	204.07	129.69	128.79	108.9	90.77	279.14	28.04	162.14	8.58	175.07	162.14	138.1	76.17	226.54	171.45	108.9	46.5	77.79	105.15	59.55	79.45	23.93
AGAP5	17.77	4.94	34.02	11.91	14.78	10.31	19.39	0.0	26.86	5.54	96.01	41.81	70.01	127.89	143.01	40.07	93.35	66.18	72.52	61.25	136.19	129.69	32.59	56.28	144.01	114.36	44.57	73.54	66.18	124.37	55.89	36.01	101.54	69.03	165.57	44.57	85.22	153.34	57.89	52.08	71.0	66.65	127.89	35.0	90.77	54.72	84.04	74.06	43.94	177.53	102.25	94.67	36.53	34.02	35.76	169.07	77.25	61.68	110.43	87.65	146.03	114.36	84.04	36.01	142.01	170.25	67.59	75.11	112.77	68.07	78.89	94.01	59.55	129.69	62.56	71.0	76.17
AGAP6	29.48	21.94	102.25	24.63	21.94	12.83	15.56	0.0	76.17	7.46	265.87	204.07	190.34	381.68	466.88	138.1	177.53	204.07	253.23	229.72	409.15	353.59	84.63	251.48	409.15	397.93	131.51	265.87	149.12	463.65	166.73	205.5	466.88	177.53	267.73	96.01	217.27	400.71	159.9	153.34	205.5	182.55	334.46	122.64	361.04	214.27	193.01	214.27	79.45	567.1	218.79	269.6	120.94	162.14	79.45	551.56	198.47	191.67	287.01	241.19	447.82	412.0	341.51	98.73	651.58	638.15	173.85	228.13	376.41	299.25	356.05	251.48	153.34	540.19	133.36	193.01	264.03
AHSA2	239.52	43.02	220.32	44.57	162.14	67.59	62.56	0.0	155.5	4.94	1407.55	518.15	743.43	1457.23	2573.36	447.82	1081.39	1001.93	1477.58	791.35	1923.14	1605.83	305.55	896.64	2004.85	1844.76	387.02	791.35	473.41	2004.85	896.64	536.45	2047.0	638.15	1369.04	389.72	1225.22	2400.97	688.78	493.56	708.18	728.11	1378.57	379.04	1487.87	1151.06	866.07	1233.75	339.14	2061.24	1369.04	1313.23	480.04	432.53	307.69	2417.67	759.08	915.51	1781.89	490.14	2591.27	1477.58	1605.83	486.75	2956.17	4607.24	1208.34	1286.18	1417.35	1104.13	1519.15	995.0	595.34	1909.85	470.14	1066.48	954.43
AL136115.1	1.93	0.8	2.39	1.16	0.0	0.0	0.77	0.0	0.0	0.0	7.57	2.71	4.1	18.16	14.45	3.89	7.82	8.19	7.34	2.41	8.65	16.75	2.43	3.72	12.83	5.19	7.4	6.73	7.63	12.36	5.11	1.3	8.78	1.35	12.0	3.63	1.83	13.12	5.36	8.06	7.28	3.59	8.13	3.99	9.27	7.75	3.44	3.53	3.59	13.93	18.03	7.17	2.03	5.02	1.91	16.75	9.27	3.0	9.48	3.69	25.91	5.45	12.83	3.66	18.97	18.97	8.65	22.43	7.06	6.31	10.63	3.99	4.78	8.45	7.06	6.31	10.39
AL359091.2	0.0	0.0	1.17	0.46	1.95	0.38	0.74	0.0	1.64	0.0	4.46	3.2	3.17	3.82	5.28	0.72	3.59	3.99	1.62	0.56	5.45	4.24	1.0	0.69	7.46	11.91	0.62	1.13	4.62	2.34	3.03	3.89	5.59	1.64	3.32	1.91	3.17	2.61	0.0	1.04	3.17	2.32	1.06	5.77	2.12	1.01	1.16	3.17	0.99	13.12	2.86	2.18	1.13	2.58	0.58	3.79	2.73	4.62	1.77	3.0	3.06	9.63	1.97	0.57	6.21	6.21	1.11	0.0	10.31	1.39	3.26	5.23	1.43	3.08	3.92	0.59	2.51
AL590452.1	0.39	0.0	1.27	0.52	0.0	0.0	0.0	0.0	0.0	0.05	7.46	0.71	0.62	1.13	7.17	0.0	1.71	1.16	3.41	0.62	7.28	4.03	0.64	0.0	0.64	3.82	2.32	0.71	3.44	3.72	1.17	1.14	1.45	0.71	3.03	0.64	1.99	5.06	0.64	1.64	3.92	0.64	2.66	0.0	0.69	1.58	2.36	2.92	0.64	4.86	4.06	1.46	0.71	1.45	1.14	4.54	2.94	4.43	1.48	0.0	4.66	3.06	2.61	1.11	7.57	8.58	3.92	6.16	4.06	3.35	0.64	1.48	1.08	2.76	1.85	6.36	0.44
AL627171.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	3.2	0.69	5.82	2.1	4.1	2.07	0.67	1.66	2.29	1.07	3.86	0.62	0.62	0.0	6.94	6.78	0.0	0.0	0.0	4.35	0.66	0.65	1.87	0.69	8.19	2.53	0.0	6.01	1.55	0.65	3.38	0.61	2.14	1.2	3.92	0.0	1.79	0.61	0.61	6.89	2.58	2.78	1.22	1.45	0.0	2.56	0.61	2.97	0.59	3.86	4.7	4.58	3.11	0.0	5.19	3.79	0.0	0.64	6.84	0.0	2.03	2.36	1.08	0.67	3.0	1.14	2.36
