	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
ACD	463.65	447.82	241.19	161.02	193.01	120.1	1119.56	813.63	348.71	559.28	295.11	134.3	202.66	336.79	264.03	186.4	198.47	190.34	201.25	638.15	595.34	521.76	260.38	414.87	176.29	209.84	189.02	264.03	371.22	289.02	193.01	323.03	307.69	237.86	305.55	346.29	273.37	371.22	371.22	358.54	309.83	289.02	295.11	170.25	172.65	343.89	211.31	281.09	115.16	201.25	183.82	115.97	195.72	130.6	186.4	150.17	137.14	175.07	164.42	162.14	258.57	142.01	144.01	136.19	113.56	177.53	185.11	183.82	142.01	152.28	148.09	155.5	228.13	161.02	297.17	185.11	154.42	99.43	130.6	86.43	397.93	126.12	197.09	63.45	69.03	101.54	138.1	63.45	236.21	134.3	148.09	127.89	170.25	152.28	144.01	166.73	88.26	204.07	142.01	126.12	239.52	133.36	161.02	148.09	100.13	115.97	129.69	101.54	197.09	123.5	164.42	262.2	158.79	166.73	172.65	336.79	95.34	152.28	139.07	105.89	127.89	128.79	104.42	153.34	217.27	144.01	473.41	638.15	642.59	753.83	480.04	435.55	447.82	480.04	796.86	339.14	555.41	647.07	866.07
ANLN	301.33	287.01	163.28	7.82	11.38	6.78	684.02	928.3	64.8	116.78	76.17	13.32	24.28	91.41	13.93	30.56	8.78	11.47	90.14	181.28	162.14	529.06	24.63	49.21	150.17	44.25	46.5	41.81	223.41	53.57	52.45	65.72	182.55	28.04	50.98	156.59	287.01	92.7	41.52	64.34	94.01	53.95	447.82	58.3	30.56	297.17	106.63	155.5	229.72	2.94	16.39	13.03	4.74	8.38	23.93	6.41	3.03	28.65	5.82	27.25	3.23	3.14	0.95	11.21	13.52	8.45	6.26	7.17	13.32	11.04	1.57	48.52	33.54	9.06	30.56	11.04	21.47	26.86	9.48	32.36	10.08	2.89	15.91	5.92	13.42	16.15	31.45	4.58	0.0	5.23	23.25	8.13	2.36	16.39	9.7	3.2	5.23	79.45	12.36	37.59	3.79	15.11	19.97	5.96	12.64	6.62	1.04	5.87	11.91	5.15	0.64	2.66	3.99	17.9	38.67	105.89	4.21	30.34	5.28	0.67	8.71	8.19	9.34	4.17	15.56	28.45	902.89	669.92	253.23	703.28	941.27	58.3	5.54	42.41	896.64	480.04	285.03	769.69	392.44
APBB1	493.56	403.5	264.03	98.73	180.02	155.5	1250.98	813.63	616.37	341.51	285.03	102.97	161.02	237.86	299.25	162.14	103.69	211.31	88.88	343.89	629.35	669.92	142.01	403.5	363.56	106.63	202.66	258.57	175.07	660.68	214.27	454.09	303.44	172.65	269.6	348.71	111.99	187.71	343.89	376.41	638.15	241.19	178.77	264.03	136.19	205.5	158.79	178.77	173.85	206.94	115.16	85.22	120.1	87.65	101.54	171.45	96.01	151.22	115.16	115.97	221.86	111.21	133.36	127.89	66.65	119.26	180.02	101.54	87.65	113.56	127.0	79.45	121.79	38.4	348.71	204.07	341.51	124.37	116.78	80.57	320.8	96.01	163.28	107.38	74.58	102.25	141.02	70.51	121.79	100.83	100.13	111.21	142.01	173.85	183.82	145.02	75.11	53.19	50.27	111.21	134.3	78.34	248.0	173.85	490.14	98.04	76.71	144.01	154.42	73.03	117.6	90.14	114.36	205.5	111.21	289.02	176.29	193.01	99.43	80.01	172.65	81.14	153.34	253.23	96.01	87.03	409.15	447.82	555.41	429.54	480.04	620.67	579.04	642.59	688.78	579.04	679.29	703.28	536.45
ARHGAP11B	122.64	113.56	67.59	9.27	10.71	9.34	389.72	325.29	38.4	35.76	26.28	16.39	8.32	33.78	21.16	26.86	6.11	8.71	25.72	74.06	129.69	94.01	9.56	33.78	59.13	15.0	36.53	34.75	53.19	33.3	17.51	53.57	30.56	24.46	37.59	71.5	102.25	59.97	27.84	72.01	53.57	21.01	199.85	23.42	18.03	36.53	60.82	55.89	84.04	1.06	9.78	9.48	5.02	10.71	8.38	7.63	4.82	14.45	2.46	15.0	2.97	2.43	1.03	11.04	4.5	14.67	5.41	2.56	18.43	13.72	6.89	20.11	16.03	4.13	14.56	6.06	5.59	16.03	10.79	9.48	3.26	2.61	23.93	11.21	8.25	6.16	16.39	10.79	14.14	9.93	15.34	5.15	2.46	6.84	11.04	7.28	15.68	12.55	27.25	23.42	6.16	7.0	13.93	10.88	4.1	11.04	8.32	9.78	2.05	9.56	6.16	14.45	15.56	6.16	24.63	31.0	5.19	4.74	6.16	0.57	15.11	17.77	15.0	21.94	6.36	5.41	136.19	186.4	171.45	178.77	229.72	22.1	18.84	29.27	819.3	118.43	86.43	217.27	183.82
ASF1B	698.41	514.56	195.72	13.72	24.63	13.93	180.02	647.07	144.01	202.66	108.9	15.91	29.7	171.45	21.01	52.45	10.63	24.46	75.64	518.15	356.05	351.14	27.25	61.68	281.09	81.14	52.82	30.56	223.41	137.14	27.84	101.54	336.79	60.82	40.64	264.03	228.13	159.9	43.32	90.14	170.25	60.39	575.03	88.88	24.99	780.44	251.48	155.5	153.34	13.03	25.17	12.93	12.45	10.96	18.43	19.39	10.0	9.56	12.09	57.08	22.75	6.84	6.57	13.22	12.93	16.15	30.78	7.75	11.04	15.22	8.32	40.36	89.51	14.78	71.0	15.8	15.8	36.53	44.89	8.51	9.06	6.41	42.41	6.31	8.25	19.11	108.9	11.21	9.13	11.04	51.35	17.13	21.32	5.15	31.0	10.79	9.93	137.14	9.41	47.5	28.04	90.14	19.39	7.94	10.71	16.51	6.36	35.5	7.57	4.43	7.28	10.88	17.9	43.32	57.08	175.07	2.36	34.51	13.72	9.63	11.04	11.38	17.25	9.78	10.24	18.29	283.05	316.37	583.07	579.04	764.36	96.68	31.9	17.51	1051.79	679.29	575.03	748.61	267.73
ATAD5	33.3	33.06	24.28	4.5	7.11	3.35	139.07	149.12	15.45	20.26	7.06	5.45	7.51	11.82	3.35	7.75	5.54	5.32	14.03	36.53	43.32	56.28	3.76	19.25	26.67	3.92	11.21	9.06	27.05	16.88	5.82	15.0	18.97	7.4	10.55	26.47	50.98	10.08	10.24	16.39	15.0	8.51	63.89	12.0	9.34	61.25	33.3	19.53	26.1	3.17	4.39	4.24	3.96	2.78	8.13	8.13	1.51	3.44	2.81	6.46	4.46	1.57	2.51	4.46	2.86	3.23	5.5	2.92	3.69	5.36	3.35	6.62	10.31	4.5	8.45	3.89	2.94	3.06	5.73	1.5	1.97	7.0	3.53	5.32	1.14	3.11	9.13	2.84	2.41	1.33	2.97	1.27	4.7	3.72	2.86	4.62	1.6	14.14	2.53	8.85	6.57	11.55	5.11	6.46	2.05	2.56	5.73	5.77	2.66	1.57	0.43	2.94	3.44	3.06	5.96	18.16	0.69	2.68	3.66	1.91	3.03	3.41	2.84	0.39	5.28	1.19	65.72	77.79	64.34	94.01	165.57	13.42	10.0	10.55	73.54	57.08	36.53	45.85	58.71
AURKB	902.89	346.29	339.14	20.56	19.82	4.28	1233.75	1781.89	158.79	148.09	231.32	52.82	40.07	198.47	30.78	98.04	41.81	49.21	198.47	486.75	579.04	1733.13	63.0	112.77	124.37	169.07	75.64	77.79	281.09	108.14	64.34	221.86	318.57	59.97	45.53	1242.34	358.54	775.05	65.26	277.2	157.68	120.1	633.73	397.93	53.95	500.46	228.13	228.13	127.0	21.78	60.82	12.64	35.5	10.08	12.55	24.81	13.93	18.84	24.81	88.88	27.05	7.17	17.0	29.48	15.56	24.28	21.16	32.36	14.24	15.34	14.45	64.8	84.63	3.26	88.26	25.54	16.75	42.41	33.54	63.45	18.97	12.18	54.72	8.92	3.63	10.63	181.28	20.11	10.79	3.35	53.19	15.45	11.3	24.63	44.57	4.35	18.43	287.01	43.94	84.63	17.13	34.75	26.67	7.82	23.08	34.75	10.0	13.83	8.99	7.34	11.04	16.15	11.73	20.41	82.87	202.66	12.0	43.63	1.73	3.72	44.25	24.81	14.24	7.69	23.08	38.67	389.72	356.05	669.92	1340.84	2047.0	127.0	25.17	11.55	1250.98	1407.55	974.5	1519.15	518.15
AZI1	603.67	563.18	224.97	81.71	107.38	47.84	551.56	450.94	156.59	186.4	167.9	60.82	85.22	155.5	123.5	97.36	78.89	67.12	105.89	493.56	718.08	529.06	185.11	303.44	476.71	108.9	145.02	143.01	236.21	167.9	127.0	226.54	229.72	102.25	145.02	397.93	253.23	314.17	144.01	293.07	307.69	148.09	412.0	182.55	122.64	334.46	289.02	209.84	157.68	74.06	61.25	69.03	74.06	34.02	46.84	50.63	54.33	48.18	43.32	91.41	82.29	40.07	36.53	74.06	54.33	43.94	92.05	50.63	49.21	102.25	49.91	53.57	80.01	40.07	64.8	57.49	46.5	64.34	73.03	14.78	62.56	71.5	67.59	19.53	21.47	38.95	51.35	33.3	43.02	47.84	63.45	39.79	79.45	105.15	61.25	61.68	39.79	59.13	34.75	45.85	67.59	45.21	82.29	102.25	36.01	40.36	77.25	30.56	61.68	58.71	31.45	55.49	130.6	63.45	126.12	170.25	38.67	47.5	62.56	33.06	37.05	31.0	46.5	49.21	85.22	47.17	441.64	395.18	743.43	612.11	414.87	236.21	289.02	389.72	624.99	563.18	525.39	2367.9	743.43
BIRC5	825.0	860.08	559.28	22.75	12.18	10.63	595.34	1119.56	121.79	178.77	172.65	28.65	47.84	249.73	31.67	98.73	26.86	57.49	115.97	974.5	1030.12	1340.84	67.59	381.68	780.44	185.11	91.41	56.28	693.58	113.56	75.64	156.59	486.75	98.04	75.11	665.29	780.44	599.49	76.17	289.02	555.41	111.21	1183.45	223.41	73.54	954.43	647.07	500.46	251.48	10.47	48.52	14.67	14.78	11.91	40.07	15.68	17.51	43.32	9.56	70.51	12.83	6.46	5.28	18.43	12.27	14.03	10.88	16.15	24.63	19.11	5.87	63.89	70.51	39.5	53.95	13.32	18.97	33.3	5.87	29.91	16.27	10.79	25.72	8.25	4.78	13.22	77.79	18.43	11.13	14.56	66.65	5.59	45.85	16.27	24.28	7.06	12.27	273.37	6.06	59.13	23.93	31.22	42.11	5.41	10.0	14.14	20.11	11.38	18.43	8.78	16.88	7.46	34.26	29.06	61.25	236.21	5.92	34.26	19.82	5.59	12.74	24.28	7.57	3.99	23.76	34.26	796.86	406.31	348.71	1447.15	1175.27	145.02	22.26	36.27	1519.15	1457.23	665.29	669.92	759.08
BUB1	329.84	218.79	105.89	12.45	4.21	0.55	603.67	312.0	55.1	77.79	47.17	5.77	21.16	85.22	5.28	21.01	5.23	22.59	65.72	129.69	155.5	463.65	12.74	48.87	92.7	41.81	33.3	38.4	113.56	32.36	25.17	49.21	92.05	17.77	25.54	165.57	132.44	111.21	24.63	105.15	122.64	27.64	273.37	63.89	12.45	397.93	102.97	111.99	148.09	4.86	13.22	3.41	5.73	4.7	9.48	7.51	1.53	6.36	2.14	20.26	7.51	0.55	5.11	5.59	3.26	2.97	5.63	3.86	8.06	7.11	3.63	38.67	24.46	7.51	38.95	6.52	10.96	21.01	9.78	17.38	8.32	1.89	16.88	5.45	2.78	7.51	20.56	7.11	2.29	3.35	19.82	8.85	2.27	3.92	12.45	3.14	3.66	59.97	16.88	29.48	5.63	12.74	3.03	4.43	6.57	1.55	0.93	4.43	6.84	3.11	1.06	5.19	0.99	12.45	18.29	44.57	1.57	21.94	0.48	0.0	3.14	7.4	4.54	1.55	1.39	15.68	341.51	246.28	301.33	255.0	638.15	38.95	10.55	4.06	780.44	603.67	193.01	412.0	503.95
