	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Z93S.2426.SM.5HL8N	GTEX.145LS.2726.SM.5Q5D8	GTEX.13OVJ.1826.SM.5KM2D	GTEX.ZF28.2526.SM.57WFH	GTEX.11WQK.2126.SM.5EQME	GTEX.14E6C.2226.SM.5QGQG	GTEX.13SLW.2826.SM.5Q5ES	GTEX.ZTTD.2626.SM.57WEX	GTEX.11WQK.2526.SM.5CVL8	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.OOBJ.0826.SM.3NB2K	GTEX.WQUQ.1926.SM.4OOSA	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	GTEX.146FH.2126.SM.5SI9U	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V
AARD	3.08	0.0	248.0	19.68	26.47	7.51	23.59	7.22	11.55	14.67	24.63	33.78	1.33	0.0	0.47	0.58	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	13.42	0.0	0.0	0.0	0.0	0.0	1.14	0.0	204.07	381.68	86.43	150.17	183.82	307.69	98.73
ADRB3	19.68	0.0	228.13	37.05	25.72	19.68	7.51	11.73	29.06	25.91	28.86	11.91	0.47	0.0	0.0	1.14	0.57	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	229.72	73.54	131.51	237.86	50.27	133.36	88.26
AKAP2	2758.13	361.04	1709.26	860.08	1175.27	642.59	669.92	616.37	470.14	802.41	974.5	1073.91	318.57	187.71	376.41	358.54	447.82	409.15	555.41	256.78	450.94	273.37	540.19	376.41	460.44	265.87	435.55	426.57	242.88	351.14	420.68	186.4	429.54	1059.11	1159.07	1225.22	1051.79	1467.37	1073.91	1037.29
AKAP6	20.26	28.24	728.11	100.13	172.65	78.89	81.14	123.5	82.29	70.51	239.52	169.07	16.15	12.0	18.7	30.78	25.72	25.54	31.67	22.59	24.81	13.52	21.01	16.88	15.8	7.34	13.42	17.38	25.91	16.39	49.56	11.73	13.03	256.78	316.37	551.56	363.56	358.54	406.31	264.03
C20orf27	693.58	368.65	3372.43	1685.71	884.29	1350.18	1119.56	3419.52	1617.0	1639.59	1407.55	1313.23	764.36	397.93	612.11	381.68	438.59	327.56	351.14	412.0	379.04	395.18	289.02	381.68	334.46	329.84	307.69	246.28	379.04	339.14	493.56	353.59	318.57	3491.39	5041.77	4328.55	7032.37	3564.78	5219.6	5076.84
C3orf70	27.64	4.66	738.29	295.11	283.05	110.43	241.19	108.9	162.14	164.42	281.09	199.85	6.57	3.2	6.41	9.41	5.77	4.43	14.78	1.03	5.73	2.2	5.63	3.63	4.28	2.97	3.29	3.11	2.68	2.14	3.89	1.93	8.38	579.04	392.44	536.45	454.09	384.34	483.38	466.88
CCDC69	3690.52	633.73	14262.1	2163.77	3325.99	2178.83	4038.61	1923.14	1745.2	1551.09	3515.68	2119.22	285.03	454.09	303.44	381.68	802.41	708.18	555.41	217.27	476.71	540.19	547.75	543.96	1259.69	1437.15	1250.98	1397.83	559.28	775.05	723.08	426.57	947.83	2384.37	9215.48	4358.66	3443.31	5112.16	3794.3	4268.94
CDKL2	0.47	1.16	57.08	8.38	19.97	3.2	13.62	11.47	1.58	21.94	5.77	15.11	2.92	0.0	0.0	0.0	0.0	0.56	2.2	2.36	1.55	0.55	0.0	1.19	2.36	11.21	0.0	0.0	0.55	0.56	0.0	1.66	1.71	69.03	60.39	117.6	189.02	39.5	95.34	111.99
CLMP	3349.13	1.46	2104.58	872.1	1073.91	473.41	599.49	463.65	297.17	575.03	473.41	392.44	6.89	0.64	2.86	3.5	4.5	1.99	10.08	2.81	6.26	5.82	7.82	4.03	2.05	2.84	0.85	3.29	3.72	0.07	6.06	0.0	5.02	1519.15	1909.85	1757.34	2018.8	748.61	1191.69	1844.76
DKFZP761J1410	77.25	163.28	2209.26	507.46	392.44	493.56	571.05	775.05	470.14	412.0	521.76	555.41	647.07	454.09	271.48	283.05	258.57	251.48	214.27	108.14	208.38	198.47	283.05	143.01	96.01	353.59	223.41	123.5	123.5	112.77	121.79	185.11	156.59	1051.79	1066.48	1286.18	1369.04	848.22	1088.92	1225.22
