	GTEX.14AS3.1626.SM.5S2OY	TCGA.AA.3489.11A.01R.1839.07	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZLV1.0426.SM.4WWC2	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.NL3G.0526.SM.4RTWW	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.33.4587.11A.01R.2125.07	TCGA.EJ.7125.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3725.11A.01R.1736.07	TCGA.AG.3742.11A.01R.1660.07	GTEX.ZV6S.1526.SM.5NQ7O
ANAPC11	10225.32	5403.7	7857.29	13123.73	1151.06	2976.74	4836.35	3690.52	2664.15	1119.56	3039.3	6164.49	3280.18	3491.39	5292.48	2758.13	3540.14	1551.09	2875.3	2915.45	2209.26	3690.52	2209.26	2997.45	4671.57	2609.3	2351.53	3395.89	2018.8	3768.09	4450.27	4972.34	2537.92	4419.52	3060.45	6792.79	4066.71	1963.57	954.43	3540.14	2997.45	3395.89	1674.06	2209.26	2255.7	6983.79	7537.18	6652.97	5183.54	7130.55	4328.55	8363.13
ATP5EP2	28.45	132.44	83.45	224.97	0.12	30.56	79.45	40.36	3.96	19.82	70.01	57.08	32.82	31.45	63.0	11.04	63.0	35.25	52.45	43.02	3.96	51.71	23.42	78.34	42.11	69.52	20.71	45.21	21.94	43.94	59.55	41.52	24.81	65.26	45.85	68.07	27.64	31.22	4.1	36.79	17.25	75.11	57.89	103.69	9.78	34.51	62.12	143.01	69.52	121.79	51.71	180.02
BRK1	12676.65	8363.13	7966.99	10733.74	607.87	3874.05	7180.15	5594.3	2417.67	2004.85	4268.94	6381.92	4607.24	5219.6	4802.93	3168.41	3928.15	4066.71	5366.37	5147.73	3874.05	4328.55	4268.94	5517.27	4639.29	4450.27	3874.05	3982.99	2875.3	5112.16	5954.47	5292.48	4358.66	4450.27	4972.34	9344.14	4239.45	3280.18	2976.74	4481.23	2875.3	3690.52	3614.55	3372.43	3103.19	7803.01	9606.86	9279.58	7642.41	9673.69	8247.98	18304.63
C12orf57	30151.71	12764.83	18950.18	19754.96	1.1	5791.62	5995.9	10154.69	2468.49	4903.87	7857.29	12853.63	2796.65	4639.29	7382.04	4543.8	4038.61	4095.0	2004.85	5112.16	2609.3	7230.1	3257.52	3372.43	12244.81	4038.61	9808.75	4066.71	1844.76	7589.61	4671.57	9409.14	5006.93	8191.0	4481.23	8598.28	8305.36	3419.52	1508.65	4869.99	4181.07	3955.48	2855.44	6037.61	2739.08	12160.22	20451.65	25354.3	14461.21	18304.63	10225.32	50011.46
C22orf39	1909.85	1467.37	1183.45	1457.23	0.55	866.07	830.75	802.41	738.29	295.11	620.67	1295.13	808.0	836.53	1167.14	543.96	785.88	529.06	718.08	872.1	796.86	753.83	583.07	836.53	1119.56	511.0	339.14	967.76	287.01	679.29	819.3	1008.9	791.35	947.83	684.02	974.5	1015.93	647.07	312.0	738.29	723.08	748.61	808.0	967.76	532.74	1001.93	1259.69	1662.49	1135.2	1359.57	1745.2	1628.26
CHMP2A	6699.25	4836.35	8778.97	12076.21	1.01	4802.93	6121.9	4607.24	3716.2	2303.12	2976.74	6745.86	4769.75	4066.71	6840.04	3419.52	3103.19	1674.06	3928.15	5403.7	5041.77	4298.64	4543.8	4123.49	5791.62	3443.31	4095.0	5292.48	2502.97	4769.75	5006.93	7130.55	3103.19	4869.99	6337.83	7032.37	3690.52	2271.4	1081.39	3443.31	3665.02	4607.24	2976.74	2591.27	3190.46	5183.54	6037.61	5913.33	5594.3	4937.99	4972.34	12244.81
COMMD6	45701.96	8840.04	10225.32	16496.96	1685.71	4268.94	5403.7	5403.7	2271.4	2384.37	5555.65	6294.04	5219.6	4704.07	7230.1	2976.74	3716.2	3515.68	5329.3	5751.61	3303.0	4038.61	2758.13	4836.35	5292.48	4298.64	2609.3	3419.52	2319.15	4607.24	5147.73	4543.8	4903.87	4736.79	4239.45	7857.29	5831.91	2777.33	2090.03	5076.84	4010.71	3103.19	2739.08	4239.45	2796.65	10512.82	11267.44	14361.31	9474.59	12853.63	12676.65	26067.14
COX5B	10154.69	11112.3	16045.82	26614.89	1.07	4869.99	6983.79	4268.94	1529.73	1781.89	3901.01	7966.99	3540.14	3794.3	6607.01	2591.27	3146.52	1015.93	3103.19	2875.3	3060.45	4607.24	2434.5	1977.24	6607.01	3325.99	3768.09	3874.05	2485.67	6037.61	6426.31	6840.04	3443.31	4388.98	5711.87	7857.29	4450.27	1628.26	1001.93	3901.01	2255.7	2104.58	1617.0	2335.28	1417.35	6337.83	9025.81	12076.21	7857.29	23009.42	11035.54	17927.91
COX6A1	25708.25	27363.16	21768.19	28923.41	1.27	11909.94	22850.48	11745.96	9808.75	6426.31	13776.25	22535.88	11035.54	10733.74	17681.08	10296.45	8718.32	3303.0	15715.58	9876.98	8598.28	12943.04	8421.31	13492.72	16611.71	10225.32	15285.81	11827.67	8022.41	15824.9	20737.16	18431.96	8479.89	12244.81	15075.35	25708.25	16383.0	5329.3	3443.31	9606.86	8840.04	11745.96	7081.29	6983.79	7331.05	20310.37	23986.58	23169.48	18178.19	57051.4	20451.65	23330.64
COX6B1	18431.96	14065.74	16611.71	23169.48	1.14	6652.97	8963.45	6935.54	4066.71	3874.05	5633.22	12415.75	4419.52	5791.62	10014.87	6745.86	4210.15	1407.55	6164.49	9151.82	4210.15	6164.49	3742.05	8305.36	9344.14	5872.48	5831.91	5594.3	3982.99	6840.04	11189.6	11189.6	4937.99	6840.04	8598.28	16269.83	6037.61	2976.74	1407.55	7589.61	6983.79	5255.91	3928.15	2777.33	5594.3	10808.41	14262.1	14461.21	12415.75	23986.58	12853.63	18052.61
COX7C	74760.09	35118.87	58655.36	50011.46	1.23	17197.56	26614.89	17681.08	5954.47	5872.48	23169.48	38164.99	15075.35	23492.92	27938.14	8538.88	10659.59	7537.18	17927.91	10154.69	13776.25	15285.81	7695.57	16960.78	22225.61	19214.73	17927.91	12943.04	9540.5	20030.74	25887.07	22380.2	12589.08	18052.61	22850.48	50709.61	20737.16	7382.04	5041.77	14663.09	11267.44	11112.3	7280.4	8363.13	5219.6	25530.66	31432.17	46019.85	34876.28	50709.61	36357.37	68318.04
DRAP1	5791.62	4481.23	3955.48	5555.65	0.83	2682.69	2090.03	1819.35	1397.83	1001.93	1498.22	1909.85	2319.15	1561.89	2178.83	1487.87	2018.8	1819.35	1407.55	1651.0	1008.9	1936.53	2119.22	1066.48	1870.53	2163.77	3124.78	1794.29	2537.92	2758.13	2047.0	2645.74	1135.2	1806.78	2555.58	2997.45	1529.73	2627.46	1051.79	1286.18	1819.35	1216.75	1268.46	1015.93	2468.49	3794.3	3491.39	4972.34	4358.66	3039.3	3168.41	4210.15
EEF1A1	636586.81	355624.68	309589.14	334117.42	5751.61	145432.49	239554.43	193234.41	209994.66	193234.41	309589.14	218912.29	174152.51	324980.94	179048.63	168220.2	95949.32	116501.39	180294.02	260332.24	136637.07	184082.4	117311.73	127486.83	159145.95	236256.4	292889.12	151608.43	160252.91	205673.01	242898.5	253213.41	164758.26	171754.88	221968.2	517068.97	258533.99	69271.73	189257.69	204252.32	217400.14	160252.91	168220.2	158046.64	180294.02	375901.76	456418.21	411347.03	329517.51	581732.96	370726.6	1345768.59
