	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0BA.11A.22R.A19E.07	TCGA.E9.A1RB.11A.33R.A157.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.V1D1.1026.SM.4JBHE	GTEX.131XE.1426.SM.5HL7V	GTEX.11EQ9.0726.SM.5A5K2	GTEX.XQ3S.1126.SM.4BOPK	GTEX.XBED.1026.SM.48TCB	GTEX.OIZG.1026.SM.3LK5X	TCGA.CV.7424.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACVR1	954.43	1088.92	769.69	947.83	909.17	1008.9	1183.45	660.68	540.19	1806.78	205.5	262.2	417.77	454.09	180.02	165.57	195.72	185.11	269.6	118.43	253.23	180.02	387.02	0.0	0.54	381.68	137.14	327.56	180.02	256.78	173.85
ALPL	400.71	476.71	1208.34	1963.57	624.99	429.54	1216.75	1199.98	426.57	1250.98	269.6	77.79	84.63	55.89	75.11	57.49	104.42	112.77	107.38	31.0	339.14	73.03	327.56	0.0	0.0	197.09	31.9	218.79	42.41	110.43	87.03
ANKRD13C	329.84	368.65	309.83	371.22	258.57	301.33	368.65	325.29	420.68	334.46	111.99	182.55	249.73	220.32	209.84	182.55	180.02	181.28	320.8	135.24	281.09	191.67	279.14	0.0	0.54	232.94	198.47	190.34	170.25	201.25	202.66
ANPEP	2609.3	3280.18	2451.44	1832.01	1561.89	1111.82	1350.18	1143.1	291.04	3515.68	264.03	743.43	361.04	185.11	163.28	65.26	15.8	25.91	117.6	11.82	180.02	10.31	143.01	0.0	0.72	103.69	83.45	145.02	34.26	146.03	105.89
AP2B1	2555.58	2351.53	1883.54	2148.82	2163.77	1991.0	2384.37	1883.54	3372.43	3491.39	74.06	780.44	1127.35	713.11	301.33	262.2	423.61	389.72	791.35	376.41	612.11	368.65	743.43	0.0	0.97	629.35	262.2	563.18	246.28	323.03	202.66
BCL7A	234.57	246.28	242.88	125.24	297.17	262.2	341.51	159.9	217.27	251.48	223.41	81.14	125.24	109.66	69.03	69.03	57.49	68.07	117.6	34.75	125.24	115.16	191.67	0.0	0.35	80.57	83.45	173.85	62.12	102.97	63.45
BMPR2	802.41	819.3	599.49	872.1	688.78	723.08	753.83	775.05	1447.15	490.14	167.9	197.09	414.87	305.55	214.27	151.22	177.53	194.36	228.13	104.42	229.72	176.29	336.79	0.0	0.13	299.25	273.37	253.23	156.59	187.71	228.13
CAV2	3303.0	3639.7	3639.7	7331.05	3325.99	3614.55	6935.54	6935.54	6607.01	4736.79	253.23	1467.37	1991.0	2434.5	1350.18	1111.82	651.58	684.02	1757.34	279.14	1104.13	447.82	1331.57	1757.34	633.73	2104.58	2816.11	1709.26	1322.37	1295.13	2178.83
CRY1	435.55	447.82	307.69	603.67	314.17	389.72	392.44	406.31	343.89	733.19	78.89	242.88	327.56	149.12	140.04	172.65	108.9	149.12	358.54	180.02	211.31	180.02	246.28	0.0	0.0	193.01	154.42	111.21	70.51	178.77	127.0
F2RL2	86.43	204.07	38.67	198.47	113.56	42.71	77.25	42.11	45.53	85.82	10.47	28.24	218.79	34.51	11.47	2.84	4.54	2.2	12.64	1.39	13.22	1.95	7.0	0.0	0.3	30.78	4.82	9.48	2.68	3.66	3.0
FAM129A	2090.03	988.12	1378.57	1359.57	1350.18	995.0	2400.97	1340.84	2468.49	2875.3	96.68	743.43	563.18	698.41	708.18	830.75	312.0	256.78	743.43	223.41	665.29	299.25	444.72	395.18	162.14	339.14	343.89	392.44	444.72	262.2	220.32
FAM69A	368.65	521.76	283.05	633.73	381.68	540.19	406.31	366.09	368.65	603.67	64.8	98.73	389.72	244.57	85.22	56.68	49.91	65.26	141.02	56.28	142.01	46.84	92.7	0.0	0.23	140.04	36.53	75.64	87.03	75.64	77.25
FBN1	1832.01	1340.84	2915.45	3614.55	1685.71	6840.04	2537.92	5147.73	780.44	4836.35	21.94	1457.23	954.43	348.71	94.01	115.97	105.15	80.01	353.59	185.11	432.53	228.13	547.75	0.0	0.89	1350.18	1250.98	466.88	116.78	100.83	251.48
FBXL3	1662.49	1757.34	1225.22	1277.29	1143.1	1447.15	1508.65	1286.18	2739.08	2193.99	332.14	583.07	612.11	638.15	579.04	591.22	567.1	493.56	748.61	217.27	780.44	454.09	669.92	0.0	0.31	842.36	563.18	563.18	500.46	447.82	591.22
FKBP7	507.46	780.44	583.07	583.07	583.07	540.19	432.53	688.78	497.0	403.5	8.78	84.63	231.32	265.87	38.4	49.21	35.76	56.28	83.45	73.54	98.04	65.26	118.43	0.0	0.48	320.8	52.82	36.27	24.11	37.05	81.14
FOXO1	563.18	543.96	551.56	941.27	599.49	775.05	583.07	540.19	713.11	483.38	63.89	241.19	356.05	217.27	137.14	158.79	115.16	108.9	226.54	70.51	241.19	101.54	297.17	0.0	0.44	178.77	133.36	159.9	93.35	134.3	180.02
GALNT10	1044.52	1066.48	947.83	1037.29	921.88	1001.93	921.88	693.58	1151.06	4210.15	96.01	146.03	228.13	98.04	65.72	66.65	159.9	166.73	255.0	105.15	237.86	138.1	287.01	0.0	0.61	341.51	153.34	158.79	67.59	122.64	100.13
GALNT13	7.75	22.92	26.28	49.56	32.82	28.86	35.0	10.47	5.28	87.03	2.29	3.11	3.26	8.71	0.62	0.93	0.34	0.34	2.53	0.0	8.06	0.0	7.94	0.0	0.0	9.27	21.47	10.71	0.46	2.61	0.77
GIMAP7	866.07	785.88	1685.71	896.64	624.99	1127.35	988.12	2855.44	2627.46	423.61	71.0	221.86	269.6	215.77	135.24	140.04	131.51	148.09	217.27	58.71	277.2	139.07	194.36	0.0	0.42	327.56	109.66	325.29	88.88	142.01	258.57
GNA13	684.02	890.44	599.49	836.53	669.92	813.63	813.63	981.29	1417.35	1628.26	392.44	341.51	559.28	463.65	379.04	301.33	312.0	277.2	361.04	134.3	409.15	241.19	429.54	0.0	0.26	708.18	379.04	400.71	400.71	279.14	490.14
GNB1	4869.99	5041.77	4769.75	4769.75	4869.99	4769.75	5147.73	6699.25	6935.54	4607.24	2193.99	3395.89	2997.45	3419.52	2895.31	3060.45	2209.26	2367.9	2855.44	2468.49	2682.69	2777.33	3325.99	2895.31	575.03	4450.27	2434.5	2701.35	2047.0	2133.97	1991.0
GNS	2303.12	2335.28	1991.0	3955.48	2591.27	2701.35	2935.74	3443.31	3081.75	2664.15	297.17	532.74	764.36	567.1	307.69	281.09	414.87	366.09	493.56	285.03	579.04	358.54	743.43	0.0	0.74	808.0	246.28	599.49	327.56	603.67	248.0
GPR116	638.15	647.07	854.13	1295.13	1322.37	1059.11	769.69	1477.58	2555.58	759.08	34.26	114.36	346.29	116.78	69.52	57.49	84.04	66.18	139.07	56.28	191.67	73.54	77.25	0.0	0.71	24.99	96.68	96.68	11.73	35.76	44.25
GYG1	1313.23	1159.07	1250.98	1225.22	1111.82	1073.91	961.07	1397.83	1159.07	1896.65	215.77	1030.12	540.19	915.51	591.22	713.11	463.65	435.55	607.87	417.77	616.37	409.15	785.88	0.0	0.69	1963.57	642.59	688.78	624.99	1008.9	525.39
HIAT1	1073.91	1135.2	1023.0	1175.27	921.88	896.64	830.75	941.27	1540.37	1909.85	638.15	624.99	684.02	836.53	647.07	551.56	575.03	463.65	693.58	470.14	836.53	463.65	679.29	0.0	0.49	825.0	616.37	612.11	674.59	656.11	813.63
HIP1	409.15	529.06	371.22	521.76	547.75	536.45	525.39	414.87	796.86	239.52	38.12	135.24	197.09	175.07	84.63	85.22	70.51	69.03	114.36	54.33	128.79	70.51	114.36	0.0	0.66	82.29	94.01	105.15	59.55	74.58	101.54
IMPAD1	902.89	1030.12	669.92	1437.15	947.83	1030.12	1407.55	902.89	842.36	1030.12	279.14	373.81	470.14	460.44	295.11	295.11	361.04	309.83	518.15	323.03	363.56	305.55	463.65	0.0	0.61	587.13	371.22	470.14	273.37	346.29	356.05
JAK1	2193.99	2335.28	2004.85	2609.3	2319.15	3349.13	3039.3	2434.5	3874.05	2627.46	759.08	1066.48	1286.18	1259.69	848.22	890.44	974.5	941.27	1127.35	329.84	1208.34	723.08	1304.15	0.0	0.82	1561.89	1096.5	1066.48	638.15	915.51	842.36
KCNE1	51.35	159.9	140.04	251.48	144.01	139.07	269.6	26.47	149.12	264.03	0.01	10.39	22.59	3.89	2.61	3.2	1.77	3.96	9.63	0.0	12.93	1.5	7.57	0.0	0.27	12.36	2.71	16.51	2.01	6.16	2.73
KDR	460.44	679.29	563.18	603.67	607.87	660.68	633.73	1277.29	1447.15	575.03	96.01	84.04	183.82	83.45	63.89	88.88	61.25	49.56	126.12	47.17	139.07	70.51	100.83	0.0	0.54	25.54	58.3	66.18	31.45	26.86	19.82
KIF5B	2061.24	2303.12	1540.37	2485.67	1498.22	1639.59	3124.78	1745.2	3395.89	2997.45	583.07	825.0	1583.71	1199.98	733.19	559.28	713.11	733.19	961.07	466.88	934.76	624.99	1457.23	698.41	72.52	1268.46	842.36	961.07	503.95	825.0	748.61
KRT4	3.06	22.1	1.81	50.98	2.68	0.6	52.82	20.71	2.34	0.0	3.697379928E7	1.810644424E7	1545882.32	6140819.49	2.276004283E7	3.109113511E7	437825.58	186652.11	370726.6	296977.71	221968.2	383800.28	428815.23	0.0	0.0	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LPCAT2	665.29	633.73	536.45	559.28	514.56	447.82	684.02	738.29	1242.34	860.08	92.7	256.78	473.41	373.81	277.2	223.41	156.59	115.97	231.32	144.01	260.38	144.01	327.56	53.19	145.02	150.17	497.0	258.57	420.68	156.59	218.79
LRRC40	312.0	341.51	260.38	275.28	201.25	209.84	275.28	384.34	299.25	480.04	119.26	153.34	208.38	248.0	139.07	115.16	128.79	114.36	157.68	69.52	177.53	81.71	138.1	0.0	0.29	316.37	248.0	162.14	153.34	159.9	155.5
LRRC8C	220.32	299.25	312.0	525.39	215.77	242.88	206.94	808.0	1313.23	444.72	16.75	44.25	109.66	54.72	29.27	25.72	18.97	24.11	41.22	21.94	49.91	24.81	42.71	0.0	0.32	42.11	84.63	39.5	34.26	31.0	31.67
LRRC8D	426.57	497.0	444.72	441.64	348.71	314.17	511.0	412.0	232.94	660.68	212.78	149.12	224.97	244.57	105.15	94.01	135.24	116.78	303.44	171.45	305.55	124.37	529.06	0.0	0.2	251.48	119.26	327.56	104.42	165.57	172.65
LYVE1	3018.3	1594.73	1250.98	3589.58	1639.59	4210.15	1540.37	954.43	825.0	1628.26	22.26	521.76	81.71	118.43	35.76	136.19	38.4	83.45	194.36	71.5	189.02	46.5	236.21	0.0	0.35	532.74	193.01	147.06	99.43	170.25	336.79
MAN1A1	1639.59	1175.27	915.51	2004.85	1407.55	1745.2	1447.15	1096.5	1477.58	1662.49	47.17	325.29	395.18	190.34	94.67	96.01	84.63	113.56	197.09	73.03	214.27	105.89	343.89	0.0	0.62	591.22	115.97	363.56	100.13	150.17	248.0
MMRN1	967.76	825.0	521.76	1151.06	1519.15	842.36	289.02	291.04	708.18	836.53	42.11	82.87	37.59	95.34	31.9	79.45	46.18	43.63	246.28	21.01	156.59	41.22	147.06	0.0	0.27	176.29	703.28	412.0	154.42	116.78	493.56
MTMR2	480.04	493.56	429.54	607.87	435.55	551.56	381.68	753.83	1088.92	848.22	161.02	314.17	368.65	387.02	301.33	258.57	212.78	202.66	353.59	136.19	463.65	256.78	297.17	0.0	0.48	441.64	255.0	389.72	149.12	248.0	249.73
PHEX	29.06	24.11	21.01	19.82	20.71	28.24	19.39	21.63	12.36	94.67	1.71	5.06	18.29	9.56	7.75	4.62	3.17	3.53	17.25	0.25	9.13	1.83	15.56	0.0	0.25	9.63	7.0	8.19	7.34	3.29	59.13
PIK3R1	5441.3	2384.37	2997.45	2303.12	2739.08	2777.33	5292.48	1427.22	2796.65	3212.66	214.27	559.28	728.11	836.53	305.55	285.03	371.22	336.79	470.14	134.3	493.56	318.57	620.67	0.0	0.61	336.79	137.14	583.07	178.77	387.02	166.73
PTPRG	329.84	457.25	356.05	693.58	480.04	842.36	358.54	198.47	470.14	293.07	9.13	113.56	224.97	103.69	36.27	30.56	39.79	21.16	98.04	22.59	127.89	45.85	71.0	0.0	0.48	101.54	38.4	103.69	43.94	47.5	52.45
RASL10B	17.64	46.18	49.21	37.85	70.51	543.96	78.89	13.72	24.46	15.68	0.14	57.49	7.82	13.42	5.87	9.48	4.9	1.93	16.75	8.19	15.34	3.82	14.45	0.0	0.35	15.0	0.19	7.06	0.78	9.48	10.0
SETD7	1119.56	1199.98	825.0	1477.58	1167.14	2032.85	1605.83	1697.45	884.29	2119.22	332.14	409.15	551.56	473.41	384.34	339.14	305.55	368.65	612.11	293.07	547.75	297.17	525.39	356.05	110.43	902.89	441.64	575.03	204.07	351.14	389.72
SH3D19	2075.59	1617.0	1242.34	2976.74	1697.45	4268.94	2956.17	3060.45	2119.22	3794.3	638.15	1127.35	1605.83	896.64	1183.45	1242.34	688.78	389.72	1233.75	361.04	866.07	629.35	1096.5	358.54	102.25	1073.91	728.11	836.53	525.39	651.58	743.43
SNAI2	961.07	1127.35	808.0	595.34	1769.57	612.11	791.35	579.04	915.51	860.08	231.32	447.82	518.15	723.08	363.56	178.77	329.84	368.65	395.18	135.24	854.13	239.52	567.1	0.0	0.68	830.75	123.5	397.93	329.84	180.02	463.65
SNX4	830.75	842.36	738.29	703.28	624.99	679.29	842.36	974.5	878.17	1427.22	318.57	309.83	366.09	343.89	312.0	273.37	414.87	318.57	473.41	206.94	525.39	287.01	426.57	0.0	0.35	536.45	283.05	381.68	348.71	316.37	325.29
SPG20	1225.22	1340.84	1286.18	1417.35	1242.34	1721.16	2018.8	1111.82	2018.8	2976.74	53.57	368.65	366.09	629.35	348.71	503.95	229.72	267.73	426.57	173.85	373.81	255.0	470.14	0.0	0.79	536.45	89.51	229.72	108.9	264.03	173.85
TCN2	642.59	624.99	1175.27	1487.87	1127.35	921.88	698.41	954.43	2104.58	1674.06	68.55	206.94	301.33	94.01	55.49	56.68	49.21	36.53	150.17	53.19	195.72	84.04	202.66	0.0	0.42	830.75	36.53	351.14	68.55	118.43	82.29
TIMP4	759.08	1183.45	1594.73	1529.73	1977.24	3039.3	1388.16	1313.23	1111.82	813.63	5.87	164.42	38.4	16.15	10.55	17.25	8.58	3.0	64.34	7.46	125.24	7.17	126.12	0.0	0.4	336.79	15.45	60.39	16.39	64.34	77.25
TMCO3	967.76	1001.93	890.44	764.36	884.29	775.05	1008.9	1104.13	1008.9	457.25	162.14	251.48	260.38	248.0	232.94	199.85	217.27	318.57	406.31	159.9	460.44	299.25	480.04	0.0	0.85	423.61	154.42	444.72	186.4	293.07	173.85
TTC33	403.5	339.14	258.57	303.44	281.09	361.04	381.68	336.79	579.04	470.14	41.81	114.36	180.02	143.01	88.88	78.89	94.01	109.66	136.19	49.56	123.5	66.18	163.28	0.0	0.28	173.85	80.57	104.42	56.68	69.03	112.77
TUBA8	47.84	52.82	61.25	73.03	98.73	103.69	75.64	59.55	32.59	67.12	15.45	24.28	45.85	19.68	16.03	10.71	19.25	23.76	53.57	14.56	42.11	23.93	43.02	0.0	0.29	99.43	37.05	52.45	39.79	65.72	66.65
