	TCGA.LN.A7HY.01A.12R.A354.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.2H.A9GR.01A.12R.A37I.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AARSD1	1159.07	1135.2	819.3	988.12	633.73	1417.35	890.44	1304.15	679.29	620.67	651.58	559.28	463.65	638.15	575.03	497.0	435.55
AC010327.2	102.25	138.1	0.0	114.36	40.36	166.73	57.89	93.35	0.0	0.0	0.0	0.0	7.69	0.0	5.28	5.45	5.54
ADCY3	2520.38	2591.27	1605.83	1175.27	791.35	1806.78	1844.76	1832.01	718.08	429.54	651.58	0.89	703.28	599.49	595.34	493.56	733.19
AGPAT6	1477.58	1605.83	1191.69	1268.46	902.89	1883.54	2417.67	1617.0	934.76	759.08	866.07	1.25	358.54	753.83	616.37	928.3	299.25
AMPD2	1286.18	848.22	607.87	669.92	346.29	1540.37	890.44	1183.45	483.38	291.04	271.48	0.46	258.57	221.86	303.44	271.48	190.34
ANAPC5	2434.5	1819.35	1685.71	2133.97	1697.45	2090.03	1909.85	2664.15	1605.83	1832.01	1508.65	0.56	1594.73	1477.58	1340.84	1457.23	1447.15
AP1M1	1322.37	1540.37	1059.11	703.28	836.53	890.44	995.0	1183.45	860.08	521.76	460.44	0.71	708.18	642.59	457.25	587.13	518.15
ARAP3	181.28	301.33	198.47	208.38	122.64	197.09	139.07	205.5	78.34	36.27	81.14	0.59	47.17	42.11	25.72	30.78	21.94
ATP5SL	1081.39	1350.18	1151.06	1216.75	909.17	1111.82	1259.69	1417.35	1081.39	808.0	674.59	0.65	909.17	915.51	1199.98	1044.52	1277.29
ATR	1242.34	454.09	417.77	660.68	460.44	684.02	780.44	848.22	368.65	368.65	343.89	92.7	152.28	260.38	198.47	271.48	232.94
C11orf70	124.37	84.04	49.56	70.51	34.26	65.72	54.72	52.08	29.7	14.45	11.38	0.02	4.28	53.95	49.91	13.22	9.78
C15orf61	273.37	215.77	143.01	141.02	109.66	182.55	199.85	242.88	127.0	98.04	110.43	0.39	103.69	150.17	122.64	125.24	194.36
C16orf93	297.17	201.25	98.73	138.1	77.25	154.42	115.97	175.07	31.22	27.64	36.01	0.22	20.41	26.47	24.28	19.25	16.75
