	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.144GM.0126.SM.5Q5AX	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZY6K.0326.SM.5SIBB	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W	TCGA.33.4589.01A.01R.1443.07
ADAMTS1	279.14	22.75	154.42	96.68	0.0	0.56	236.21	1662.49	1639.59	1639.59	3467.27	329.84	1088.92	1250.98	860.08	1242.34	303.44	1167.14	738.29	341.51	665.29	2240.11	961.07	157.68	967.76	1233.75	1617.0	1322.37	954.43	2090.03	1159.07	303.44	1819.35	708.18	884.29	902.89	825.0	3768.09	988.12	2400.97	3146.52	3928.15	1447.15	1304.15	26.47
ADAMTS6	8.06	3.92	7.46	5.59	0.0	0.29	3.35	27.64	23.76	3.23	11.55	19.25	5.28	16.88	15.11	0.57	7.57	5.82	25.17	5.5	4.86	26.86	27.44	0.58	8.78	18.43	16.15	38.12	31.22	25.17	2.29	25.17	19.97	2.78	9.34	21.78	8.71	6.41	41.22	21.01	25.35	54.33	3.17	6.52	3.11
ADCY5	2.94	5.23	1.43	5.82	0.0	0.57	2.71	61.68	197.09	63.0	68.55	17.9	31.22	109.66	39.79	2.76	11.73	6.41	59.13	20.56	36.27	217.27	41.22	2.56	82.87	68.55	93.35	529.06	149.12	195.72	18.29	10.88	38.4	11.21	16.15	177.53	15.91	142.01	100.13	32.82	108.9	281.09	23.59	18.29	0.0
AGBL5	400.71	358.54	105.15	125.24	155.5	182.55	279.14	567.1	583.07	371.22	583.07	500.46	583.07	563.18	450.94	221.86	208.38	260.38	299.25	529.06	291.04	373.81	312.0	285.03	420.68	387.02	743.43	587.13	447.82	521.76	256.78	339.14	426.57	287.01	384.34	476.71	376.41	397.93	438.59	521.76	351.14	591.22	341.51	312.0	273.37
ARHGEF37	37.85	44.25	353.59	18.43	0.0	0.18	5.45	166.73	175.07	45.21	490.14	53.19	189.02	293.07	120.94	13.72	30.34	87.65	201.25	178.77	58.71	128.79	88.26	23.42	214.27	100.13	201.25	98.04	190.34	248.0	39.22	69.03	169.07	53.19	32.36	185.11	42.71	214.27	228.13	194.36	158.79	397.93	51.71	46.84	50.98
ARNT	242.88	147.06	248.0	336.79	476.71	224.97	215.77	743.43	947.83	438.59	1233.75	511.0	647.07	718.08	493.56	555.41	351.14	406.31	587.13	551.56	361.04	713.11	842.36	460.44	896.64	426.57	559.28	563.18	521.76	769.69	525.39	432.53	941.27	301.33	480.04	872.1	409.15	1081.39	830.75	813.63	624.99	780.44	842.36	392.44	148.09
ATG13	463.65	529.06	941.27	866.07	791.35	178.77	583.07	988.12	921.88	591.22	1199.98	813.63	688.78	1081.39	860.08	775.05	660.68	743.43	718.08	866.07	642.59	854.13	665.29	934.76	1051.79	836.53	769.69	1008.9	872.1	967.76	575.03	638.15	941.27	642.59	791.35	1191.69	825.0	947.83	954.43	1159.07	967.76	1030.12	1127.35	791.35	819.3
ATP1A2	0.0	3.26	0.44	4.5	0.0	0.29	2.18	180.02	171.45	54.72	87.65	26.1	52.08	228.13	60.39	4.39	8.78	20.71	92.05	22.92	23.25	136.19	122.64	0.56	74.58	35.5	190.34	769.69	138.1	173.85	42.11	19.53	131.51	8.71	39.5	265.87	13.52	99.43	140.04	84.04	126.12	267.73	69.03	12.18	0.0
ATP7B	4.58	62.12	6.46	53.19	0.0	0.35	11.73	59.97	153.34	26.28	136.19	53.57	52.08	55.49	26.86	8.85	14.45	38.4	82.29	55.1	7.82	66.18	57.08	10.79	149.12	24.63	93.35	75.11	48.52	57.08	12.83	24.63	113.56	8.0	24.28	189.02	27.25	102.25	110.43	94.67	77.25	108.9	69.03	60.82	2.56
BBS1	193.01	158.79	96.68	140.04	0.0	0.57	68.07	493.56	521.76	400.71	607.87	518.15	660.68	733.19	387.02	329.84	218.79	256.78	651.58	665.29	334.46	547.75	397.93	303.44	915.51	400.71	748.61	890.44	579.04	607.87	277.2	323.03	403.5	260.38	466.88	872.1	392.44	728.11	743.43	1073.91	536.45	802.41	389.72	417.77	128.79
