	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.4730.01A.01R.1436.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.RWS6.0226.SM.2XCA9	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.OIZI.1026.SM.3NB1K	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.PW2O.0526.SM.2I3DX	GTEX.12WSA.1026.SM.5EGHN	GTEX.UJMC.0726.SM.3GADX	GTEX.13OW8.1726.SM.5L3GO	TCGA.33.4589.01A.01R.1443.07
ABCA6	7.11	8.32	6.46	4.24	2.86	0.0	0.27	132.44	15.91	361.04	551.56	175.07	198.47	167.9	11.47	400.71	79.45	163.28	221.86	256.78	117.6	28.04	277.2	444.72	111.99	195.72	67.59	35.5	316.37	255.0	599.49	363.56	363.56	4.58
ALDH1A1	275.28	12.45	10.24	44.25	2.18	0.0	0.78	5995.9	563.18	17558.94	14163.58	7081.29	9474.59	4066.71	1001.93	19754.96	2061.24	4298.64	3665.02	10014.87	5112.16	791.35	13033.07	7966.99	4836.35	3103.19	1143.1	559.28	6745.86	1359.57	20593.91	13123.73	6426.31	293.07
ANKRA2	136.19	78.34	110.43	102.25	119.26	0.0	0.21	221.86	141.02	232.94	277.2	285.03	412.0	281.09	120.1	457.25	218.79	616.37	343.89	536.45	212.78	90.14	633.73	497.0	255.0	414.87	169.07	85.82	480.04	271.48	387.02	351.14	612.11	231.32
ARHGAP24	64.34	56.68	15.0	35.25	10.24	0.0	0.51	314.17	229.72	909.17	409.15	547.75	361.04	289.02	129.69	361.04	239.52	514.56	480.04	417.77	336.79	134.3	1066.48	307.69	361.04	466.88	124.37	65.26	332.14	316.37	1051.79	289.02	507.46	46.5
ARHGAP28	1.31	1.25	1.73	8.38	14.89	0.0	0.31	67.59	29.27	325.29	120.94	72.01	46.5	106.63	9.85	150.17	20.56	60.39	131.51	241.19	74.06	31.9	133.36	118.43	40.93	195.72	10.08	12.18	120.94	107.38	204.07	76.17	96.68	18.29
AZI2	802.41	540.19	543.96	567.1	339.14	921.88	142.01	1135.2	921.88	1081.39	1685.71	896.64	1104.13	796.86	753.83	1066.48	1023.0	1844.76	1208.34	1250.98	842.36	967.76	1519.15	1143.1	785.88	1175.27	961.07	819.3	1322.37	693.58	1151.06	878.17	2255.7	642.59
C1QTNF7	0.66	2.16	0.47	0.0	0.82	0.0	0.0	217.27	11.91	764.36	237.86	223.41	260.38	255.0	3.72	264.03	61.25	204.07	332.14	255.0	138.1	27.25	521.76	262.2	145.02	366.09	31.67	4.31	264.03	246.28	769.69	228.13	96.68	0.89
CCNG2	251.48	142.01	105.89	224.97	156.59	0.0	0.36	353.59	85.82	616.37	698.41	361.04	376.41	532.74	226.54	647.07	195.72	1073.91	262.2	713.11	555.41	75.11	1407.55	780.44	312.0	486.75	209.84	172.65	836.53	503.95	693.58	473.41	503.95	241.19
CELF2	55.49	26.47	9.78	105.15	3.86	92.7	58.71	796.86	193.01	1697.45	1427.22	579.04	521.76	796.86	612.11	1709.26	409.15	2047.0	1159.07	616.37	1457.23	267.73	3794.3	1651.0	1417.35	860.08	409.15	256.78	2075.59	470.14	1583.71	599.49	6250.56	25.17
CIR1	579.04	384.34	444.72	301.33	466.88	536.45	432.53	748.61	384.34	587.13	967.76	961.07	1199.98	638.15	525.39	796.86	866.07	1313.23	647.07	1073.91	1143.1	563.18	1359.57	1066.48	890.44	896.64	884.29	587.13	1662.49	563.18	1259.69	728.11	1769.57	423.61
