	GTEX.U4B1.1226.SM.4DXT7	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.Y111.1726.SM.4SOIQ	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.RNOR.1326.SM.48FDE	GTEX.145MN.1126.SM.5RQJB	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.13OW8.2226.SM.5K7Z4	GTEX.T2IS.0926.SM.4DM5B	GTEX.148VJ.1126.SM.5NQBZ	TCGA.38.4625.01A.01R.1206.07	GTEX.12696.2226.SM.5EQ65	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.PWN1.2026.SM.48TD9	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
ABCD4	669.92	389.72	460.44	693.58	518.15	723.08	860.08	1936.53	1561.89	1963.57	2178.83	2004.85	1051.79	1191.69	1923.14	2104.58	1417.35	1819.35	684.02	1745.2	1806.78	2075.59	1617.0	1417.35	1551.09	1857.6	1322.37	1832.01	1447.15	1540.37	381.68	476.71	665.29	1143.1	595.34	1322.37	1233.75	1697.45	473.41	620.67	603.67	1208.34	1104.13	441.64	708.18	723.08	995.0	612.11	728.11	638.15	575.03	486.75	540.19	1059.11	674.59	642.59	1617.0	928.3	669.92	547.75	1135.2	748.61	669.92
AC093157.1	7.51	2.76	2.2	2.18	0.91	3.56	1.69	37.85	26.28	28.24	54.72	36.53	15.22	13.72	38.95	56.68	36.27	55.1	10.71	32.36	37.05	37.59	28.86	30.12	49.91	41.52	29.7	23.59	28.04	22.75	0.0	2.14	1.04	2.86	4.62	7.75	19.11	18.29	3.35	1.79	0.0	10.96	4.39	1.2	0.8	1.91	2.71	1.58	1.75	0.87	3.35	0.29	1.16	9.2	4.7	4.1	7.46	4.13	0.0	3.0	3.47	2.12	2.03
ACAD10	176.29	161.02	195.72	178.77	186.4	329.84	295.11	688.78	567.1	638.15	248.0	819.3	389.72	406.31	503.95	599.49	444.72	743.43	320.8	447.82	536.45	579.04	420.68	371.22	493.56	547.75	529.06	536.45	503.95	218.79	0.0	120.1	189.02	277.2	221.86	260.38	353.59	314.17	251.48	256.78	221.86	327.56	164.42	158.79	236.21	185.11	339.14	202.66	314.17	190.34	153.34	199.85	173.85	307.69	249.73	309.83	202.66	346.29	275.28	124.37	204.07	157.68	201.25
ACAP3	567.1	967.76	497.0	579.04	616.37	1350.18	1104.13	3955.48	3039.3	3257.52	1369.04	3901.01	2739.08	1388.16	2875.3	4419.52	2855.44	3564.78	902.89	2367.9	2193.99	2573.36	2956.17	2502.97	3716.2	4419.52	2319.15	1950.0	2739.08	1081.39	0.0	271.48	457.25	656.11	915.51	1508.65	1487.87	2004.85	361.04	463.65	242.88	1417.35	536.45	368.65	1175.27	460.44	961.07	291.04	854.13	872.1	490.14	255.0	420.68	1594.73	656.11	647.07	819.3	1199.98	679.29	271.48	279.14	395.18	420.68
ACD	748.61	595.34	486.75	555.41	500.46	688.78	603.67	884.29	802.41	808.0	466.88	974.5	669.92	603.67	753.83	718.08	780.44	1044.52	708.18	902.89	633.73	713.11	703.28	633.73	872.1	902.89	825.0	738.29	954.43	525.39	0.0	457.25	281.09	341.51	329.84	830.75	775.05	981.29	674.59	514.56	543.96	830.75	332.14	397.93	713.11	642.59	764.36	679.29	500.46	490.14	559.28	563.18	507.46	896.64	563.18	638.15	420.68	830.75	684.02	325.29	518.15	392.44	361.04
ADAM33	1709.26	1662.49	708.18	796.86	902.89	1844.76	2591.27	4152.18	6983.79	7911.95	4450.27	6121.9	7130.55	2451.44	6294.04	7966.99	5517.27	5517.27	995.0	5292.48	4704.07	5995.9	4704.07	7180.15	6652.97	5913.33	5954.47	5872.48	5441.3	3768.09	0.0	228.13	244.57	473.41	241.19	5183.54	2468.49	4239.45	503.95	435.55	348.71	4481.23	500.46	961.07	1277.29	518.15	2319.15	466.88	2178.83	1407.55	1447.15	583.07	1304.15	1923.14	703.28	988.12	2720.15	1457.23	575.03	575.03	529.06	1427.22	759.08
AGAP3	1191.69	1819.35	1066.48	1467.37	1304.15	1639.59	1225.22	2777.33	1883.54	3039.3	1519.15	2816.11	2104.58	1498.22	2384.37	2148.82	2178.83	2367.9	1051.79	2468.49	2133.97	1844.76	2319.15	1721.16	2047.0	2485.67	1963.57	2163.77	2367.9	1551.09	0.0	860.08	2240.11	2133.97	1359.57	1407.55	2061.24	2018.8	947.83	698.41	780.44	1674.06	1651.0	1208.34	1457.23	1540.37	1628.26	902.89	1143.1	1508.65	1167.14	1487.87	947.83	2255.7	866.07	1498.22	2664.15	1359.57	1551.09	775.05	1697.45	1088.92	1001.93
AGBL3	50.98	16.88	22.43	21.16	38.95	22.92	36.79	96.68	105.15	104.42	66.65	87.03	108.9	77.25	51.35	90.77	163.28	80.01	46.18	120.94	117.6	105.89	105.15	172.65	94.67	89.51	74.58	109.66	78.34	80.57	0.0	43.32	12.18	45.53	19.97	16.88	127.89	89.51	21.47	21.01	27.64	42.11	19.68	29.91	19.11	21.32	27.25	18.03	23.25	23.93	21.94	17.64	27.84	57.49	25.35	31.67	108.14	47.5	16.75	21.78	37.32	40.07	22.92
AMT	277.2	486.75	249.73	339.14	253.23	395.18	733.19	2209.26	1870.53	2367.9	1030.12	2417.67	1709.26	1183.45	2193.99	2645.74	1417.35	2573.36	819.3	2032.85	2520.38	2061.24	2090.03	1870.53	1551.09	2758.13	1594.73	1617.0	2075.59	1806.78	0.0	346.29	105.89	127.89	177.53	775.05	1583.71	1977.24	202.66	115.16	81.71	1268.46	244.57	395.18	497.0	356.05	1467.37	316.37	237.86	303.44	141.02	50.27	136.19	1143.1	101.54	215.77	1467.37	429.54	281.09	329.84	293.07	555.41	135.24
AMY2B	108.9	84.04	61.25	118.43	114.36	260.38	713.11	2163.77	1628.26	1208.34	1191.69	2915.45	1350.18	860.08	1662.49	2163.77	1340.84	1709.26	559.28	1896.65	2367.9	1066.48	1088.92	1540.37	1340.84	2004.85	1662.49	1583.71	1883.54	1950.0	0.0	67.59	381.68	70.51	175.07	607.87	334.46	400.71	126.12	56.28	44.89	303.44	134.3	78.89	92.05	186.4	189.02	143.01	59.13	171.45	34.75	28.86	44.57	466.88	33.78	46.5	387.02	125.24	108.9	110.43	53.57	265.87	76.17
ANKRD36	40.36	34.75	62.56	56.28	32.36	112.77	132.44	483.38	579.04	473.41	432.53	483.38	255.0	447.82	447.82	599.49	432.53	476.71	113.56	368.65	543.96	480.04	400.71	571.05	343.89	511.0	318.57	473.41	366.09	384.34	0.0	43.02	20.41	33.06	34.51	145.02	173.85	198.47	70.51	94.67	49.91	214.27	112.77	117.6	52.08	85.82	123.5	80.01	98.73	75.64	34.75	38.67	54.33	141.02	43.02	50.98	215.77	90.14	52.08	75.64	44.25	55.1	51.71
