	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.E7.A97P.01A.11R.A38B.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.GU.A766.01A.11R.A32O.07	TCGA.D8.A27M.01A.11R.A16F.07	TCGA.A8.A08I.01A.11R.A00Z.07	TCGA.VS.AA62.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.MY.A913.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	GTEX.146FR.0426.SM.5SI97	TCGA.DQ.5630.01A.01R.1873.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.D6.6825.01A.21R.1915.07	TCGA.CQ.5325.01A.01R.1686.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.H7.8501.01A.11R.2403.07	TCGA.CN.4736.01A.01R.1436.07	TCGA.UF.A7JO.01A.11R.A34R.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.62.8402.01A.11R.2326.07	TCGA.95.7562.01A.11R.2241.07	GTEX.11NV4.1126.SM.5HL6J	GTEX.WHPG.1426.SM.3NMBB	TCGA.33.4589.01A.01R.1443.07	TCGA.39.5011.01A.01R.1443.07	GTEX.WYVS.2026.SM.4RGNS	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.FP.7998.01A.11R.2203.13	TCGA.BR.4253.01A.01R.1131.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.12WSH.0226.SM.5GCOG	GTEX.P4QT.2626.SM.2I3FM	GTEX.13O1R.0826.SM.5J2MB	TCGA.N9.A4Q7.01A.11R.A28V.07
AKAP11	73.03	144.01	102.97	129.69	57.49	48.87	400.71	323.03	144.01	53.19	97.36	133.36	209.84	87.03	178.77	151.22	194.36	148.09	314.17	110.43	92.7	289.02	198.47	112.77	191.67	90.14	97.36	275.28	133.36	242.88	153.34	202.66	147.06	122.64	387.02	94.67	102.25	124.37	162.14	237.86	98.73	46.18	30.12	23.59	15.34	67.12	38.67	127.0	102.97	64.8	191.67	41.22	91.41	201.25	215.77	346.29	426.57	125.24	148.09	189.02	165.57	37.59
ANKFY1	177.53	420.68	279.14	187.71	173.85	251.48	525.39	723.08	486.75	135.24	463.65	194.36	848.22	297.17	753.83	536.45	723.08	395.18	656.11	447.82	293.07	547.75	591.22	242.88	483.38	305.55	318.57	796.86	518.15	457.25	358.54	612.11	363.56	353.59	607.87	318.57	217.27	361.04	518.15	490.14	30.56	79.45	59.55	55.49	46.5	125.24	153.34	395.18	336.79	129.69	470.14	96.01	343.89	435.55	353.59	802.41	603.67	414.87	218.79	521.76	457.25	181.28
ANKRD17	339.14	379.04	387.02	420.68	161.02	228.13	848.22	532.74	457.25	182.55	285.03	320.8	688.78	307.69	753.83	620.67	796.86	500.46	633.73	470.14	529.06	748.61	753.83	248.0	571.05	403.5	363.56	688.78	785.88	684.02	406.31	660.68	470.14	361.04	1088.92	334.46	409.15	497.0	441.64	780.44	48.87	143.01	127.89	351.14	190.34	155.5	176.29	575.03	511.0	403.5	521.76	77.79	361.04	551.56	500.46	679.29	629.35	483.38	583.07	543.96	518.15	182.55
AP1G1	429.54	567.1	571.05	312.0	275.28	426.57	1427.22	1561.89	796.86	165.57	728.11	376.41	1096.5	511.0	995.0	738.29	1143.1	872.1	961.07	591.22	629.35	1233.75	1001.93	457.25	836.53	483.38	356.05	915.51	1030.12	1030.12	733.19	1015.93	511.0	547.75	1617.0	486.75	555.41	559.28	551.56	1051.79	119.26	281.09	198.47	190.34	195.72	187.71	293.07	780.44	460.44	647.07	743.43	277.2	426.57	1008.9	426.57	995.0	947.83	723.08	723.08	995.0	813.63	114.36
ASXL2	91.41	107.38	104.42	66.18	41.81	48.52	167.9	346.29	181.28	39.79	132.44	69.03	197.09	88.26	237.86	148.09	281.09	146.03	318.57	105.89	113.56	264.03	201.25	63.0	159.9	77.25	63.89	273.37	204.07	251.48	153.34	217.27	126.12	122.64	438.59	86.43	59.97	100.83	139.07	241.19	25.17	37.05	20.71	43.32	20.41	35.5	23.25	130.6	113.56	65.26	153.34	31.45	92.05	226.54	138.1	309.83	239.52	109.66	106.63	173.85	98.04	48.87
ATXN1L	124.37	178.77	140.04	129.69	76.17	101.54	454.09	567.1	253.23	80.57	217.27	141.02	289.02	127.0	332.14	226.54	450.94	260.38	358.54	154.42	194.36	368.65	269.6	88.88	285.03	149.12	126.12	343.89	232.94	366.09	215.77	316.37	185.11	202.66	884.29	135.24	146.03	198.47	215.77	334.46	33.06	74.58	61.25	64.34	45.21	94.67	72.52	204.07	134.3	191.67	466.88	63.89	98.73	173.85	172.65	409.15	206.94	181.28	208.38	368.65	327.56	37.32
CBFB	708.18	842.36	1135.2	808.0	595.34	514.56	1127.35	1199.98	921.88	587.13	802.41	819.3	563.18	651.58	884.29	860.08	1135.2	775.05	1304.15	842.36	693.58	1151.06	733.19	1044.52	981.29	764.36	551.56	1359.57	1001.93	1023.0	1081.39	1051.79	890.44	642.59	1963.57	500.46	599.49	896.64	693.58	884.29	162.14	133.36	97.36	205.5	251.48	175.07	107.38	813.63	470.14	214.27	642.59	633.73	555.41	934.76	836.53	1199.98	915.51	638.15	665.29	536.45	660.68	339.14
CDKL5	10.24	5.68	6.31	7.63	2.56	4.5	102.97	88.26	23.25	3.59	16.39	2.56	60.39	12.45	31.45	28.24	32.82	16.75	99.43	5.32	12.18	59.55	38.4	8.85	15.11	5.15	1.69	111.99	45.21	107.38	9.06	45.53	8.32	9.56	130.6	6.16	8.45	9.34	28.45	52.08	0.0	0.85	0.0	4.03	0.66	1.69	4.94	10.16	7.94	15.45	53.57	1.55	3.17	34.26	11.47	65.72	65.26	46.5	6.21	43.32	23.08	1.08
CHD9	215.77	107.38	181.28	209.84	105.15	92.05	447.82	426.57	186.4	108.9	182.55	199.85	371.22	154.42	199.85	148.09	376.41	220.32	381.68	162.14	183.82	283.05	193.01	144.01	237.86	186.4	124.37	397.93	173.85	260.38	145.02	273.37	228.13	241.19	988.12	130.6	136.19	145.02	218.79	332.14	111.99	74.06	93.35	66.65	45.85	54.72	50.63	202.66	94.01	90.77	332.14	223.41	187.71	287.01	255.0	417.77	281.09	312.0	139.07	316.37	267.73	110.43
CLOCK	70.01	161.02	175.07	127.0	113.56	98.73	329.84	182.55	231.32	111.21	118.43	198.47	303.44	156.59	258.57	149.12	246.28	158.79	246.28	141.02	239.52	271.48	211.31	96.01	214.27	100.83	91.41	258.57	228.13	285.03	103.69	262.2	100.13	101.54	483.38	85.22	80.01	151.22	220.32	320.8	28.04	30.34	34.26	65.72	50.98	57.89	14.67	120.1	161.02	92.7	229.72	64.34	92.7	281.09	201.25	229.72	336.79	155.5	121.79	158.79	146.03	99.43
