	TCGA.DK.AA6X.01A.12R.A42T.07	TCGA.FD.A5BV.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.FU.A57G.01A.11R.A26T.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	TCGA.55.7570.01A.11R.2039.07	TCGA.55.7724.01A.11R.2170.07	TCGA.21.1075.01A.01R.0692.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.N5.A4RT.01A.11R.A28V.07
ACTL6A	1096.5	2032.85	2090.03	2555.58	1745.2	1896.65	915.51	1216.75	3639.7	693.58	599.49	493.56	656.11	403.5	536.45	567.1	551.56	629.35	612.11	476.71	463.65	728.11	514.56	633.73	728.11	514.56	529.06	525.39	547.75	587.13	579.04	607.87	500.46	575.03	507.46	651.58	591.22	559.28	674.59	497.0	591.22	769.69	579.04	320.8	490.14	507.46	432.53	511.0	432.53	470.14	454.09	376.41	438.59	444.72	470.14	503.95	447.82	432.53	242.88	307.69	171.45	114.36	229.72	2271.4	1923.14	7589.61	624.99	738.29	718.08	802.41	603.67	974.5	603.67	896.64	679.29	764.36	1909.85	2319.15
AMMECR1	248.0	195.72	182.55	209.84	171.45	429.54	115.16	162.14	187.71	106.63	84.63	102.25	92.7	86.43	94.01	102.97	105.15	90.14	66.18	80.57	142.01	139.07	111.99	133.36	138.1	93.35	167.9	118.43	125.24	148.09	84.63	115.97	134.3	143.01	134.3	140.04	105.15	156.59	129.69	84.63	92.05	127.0	118.43	30.56	83.45	102.25	91.41	120.1	125.24	77.25	103.69	66.65	84.63	87.65	88.88	125.24	80.57	90.14	39.79	33.54	84.04	33.78	58.3	260.38	256.78	258.57	52.45	74.06	89.51	63.89	73.54	70.51	104.42	94.67	123.5	88.26	218.79	183.82
APAF1	299.25	191.67	234.57	140.04	255.0	277.2	255.0	191.67	171.45	120.94	57.89	116.78	71.5	76.17	74.58	93.35	131.51	214.27	164.42	80.01	128.79	119.26	110.43	118.43	151.22	108.9	123.5	111.21	101.54	120.1	105.15	125.24	84.63	94.67	106.63	126.12	90.14	101.54	130.6	96.01	134.3	139.07	147.06	36.27	86.43	136.19	81.71	76.17	97.36	94.01	87.03	59.13	82.87	94.67	99.43	120.94	78.34	75.64	41.52	23.93	83.45	49.91	91.41	190.34	198.47	123.5	149.12	138.1	228.13	175.07	151.22	151.22	111.99	170.25	109.66	103.69	148.09	289.02
APLF	53.57	45.53	63.0	37.32	35.25	107.38	64.34	38.12	52.08	30.78	15.0	28.24	25.54	21.94	14.56	33.78	45.53	27.64	62.12	25.72	24.28	19.68	27.84	39.5	38.4	26.86	29.7	25.72	29.91	31.67	21.32	36.27	29.27	29.7	23.08	30.34	27.25	14.03	41.22	34.02	29.27	41.81	30.78	9.56	21.32	29.7	20.26	15.0	21.47	22.92	23.25	20.26	22.1	24.63	28.65	25.54	21.63	19.11	5.63	22.43	9.78	11.3	8.19	17.9	45.85	39.5	29.27	32.82	38.67	23.42	52.45	17.9	39.79	28.65	24.99	30.78	81.71	33.3
ARL6IP6	480.04	660.68	480.04	575.03	490.14	780.44	447.82	371.22	1286.18	170.25	198.47	159.9	208.38	109.66	100.13	171.45	148.09	376.41	218.79	180.02	146.03	318.57	220.32	260.38	293.07	191.67	248.0	189.02	190.34	226.54	197.09	181.28	136.19	180.02	212.78	199.85	178.77	161.02	258.57	181.28	239.52	346.29	208.38	38.12	147.06	198.47	149.12	107.38	133.36	147.06	153.34	96.01	150.17	152.28	175.07	176.29	121.79	131.51	39.79	48.87	100.83	45.21	39.79	780.44	921.88	1051.79	305.55	285.03	343.89	387.02	400.71	341.51	248.0	409.15	273.37	329.84	543.96	297.17
ATG12	532.74	660.68	679.29	693.58	848.22	476.71	981.29	642.59	961.07	348.71	457.25	395.18	454.09	177.53	151.22	289.02	423.61	708.18	599.49	348.71	432.53	470.14	466.88	454.09	450.94	414.87	384.34	384.34	395.18	356.05	490.14	426.57	346.29	336.79	351.14	406.31	490.14	271.48	603.67	438.59	466.88	460.44	463.65	220.32	281.09	483.38	336.79	228.13	251.48	381.68	299.25	293.07	346.29	373.81	363.56	435.55	285.03	320.8	221.86	264.03	438.59	262.2	503.95	684.02	884.29	1059.11	825.0	612.11	769.69	791.35	660.68	665.29	796.86	738.29	543.96	656.11	860.08	890.44
ATXN3	476.71	314.17	348.71	490.14	358.54	447.82	409.15	507.46	314.17	248.0	141.02	181.28	119.26	158.79	161.02	199.85	265.87	348.71	228.13	185.11	241.19	226.54	226.54	198.47	271.48	204.07	301.33	269.6	147.06	211.31	237.86	267.73	228.13	180.02	181.28	262.2	212.78	218.79	201.25	209.84	221.86	285.03	249.73	74.06	146.03	175.07	157.68	187.71	137.14	265.87	183.82	141.02	181.28	170.25	212.78	228.13	148.09	153.34	79.45	91.41	152.28	162.14	135.24	264.03	559.28	409.15	229.72	198.47	253.23	299.25	334.46	241.19	162.14	303.44	177.53	206.94	575.03	536.45
BORA	295.11	181.28	470.14	256.78	220.32	214.27	94.67	107.38	194.36	42.11	22.1	28.45	26.67	18.43	30.56	39.22	46.5	57.49	65.72	24.63	26.67	95.34	37.85	40.93	48.18	25.72	41.81	34.75	42.71	47.17	34.75	45.85	36.01	40.93	30.56	35.25	37.59	39.79	60.82	34.51	40.07	50.63	48.18	19.25	22.43	43.94	24.46	31.67	32.13	28.04	34.51	18.16	36.79	31.22	35.5	43.63	29.27	33.54	8.85	24.46	33.54	2.63	21.16	183.82	150.17	187.71	55.49	87.65	95.34	85.22	96.68	111.21	74.58	95.34	57.08	103.69	181.28	180.02
BRIX1	941.27	2591.27	921.88	1225.22	842.36	1508.65	684.02	854.13	1313.23	371.22	384.34	417.77	426.57	299.25	255.0	269.6	283.05	397.93	397.93	336.79	381.68	595.34	325.29	403.5	483.38	275.28	368.65	327.56	371.22	400.71	371.22	389.72	351.14	348.71	339.14	387.02	309.83	323.03	432.53	423.61	403.5	497.0	327.56	90.77	348.71	279.14	262.2	258.57	256.78	329.84	341.51	208.38	267.73	295.11	323.03	297.17	264.03	271.48	115.97	244.57	371.22	105.15	163.28	1388.16	872.1	2627.46	356.05	435.55	412.0	392.44	379.04	669.92	423.61	511.0	480.04	514.56	2075.59	3190.46
BUB3	1322.37	2104.58	1088.92	2591.27	1572.76	3124.78	1605.83	1769.57	3060.45	1073.91	1073.91	981.29	1088.92	825.0	941.27	995.0	1104.13	1183.45	1242.34	884.29	1015.93	1447.15	1037.29	1001.93	1088.92	1044.52	1127.35	988.12	1073.91	1104.13	1066.48	1119.56	1030.12	1066.48	961.07	1111.82	1233.75	995.0	1119.56	1008.9	974.5	1073.91	1073.91	669.92	967.76	1008.9	878.17	866.07	1015.93	928.3	1037.29	808.0	836.53	1001.93	1015.93	941.27	890.44	941.27	514.56	409.15	540.19	329.84	656.11	4298.64	1628.26	2255.7	1127.35	1104.13	1216.75	1369.04	1159.07	1250.98	981.29	1437.15	1081.39	1233.75	2178.83	1936.53
