	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.A7.A6VY.01A.12R.A33J.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N
ACOT7	1427.22	1183.45	332.14	1304.15	312.0	1832.01	450.94	376.41	665.29	2400.97	567.1	295.11	236.21	332.14	514.56	902.89	1159.07	237.86	389.72	426.57	234.57	353.59	1119.56	674.59	327.56	915.51	429.54	1277.29	1015.93	521.76	1457.23	981.29	209.84	277.2	177.53	244.57	112.77	242.88	232.94	279.14	361.04	320.8	167.9	547.75	135.24	231.32	195.72	239.52	171.45	381.68	332.14	177.53	507.46	256.78	258.57	384.34	356.05	301.33	414.87	78.89	341.51	191.67	291.04	214.27	275.28
ADRM1	4210.15	4512.4	2090.03	7280.4	2032.85	5479.15	1651.0	2384.37	5441.3	6983.79	4802.93	2720.15	1572.76	2287.2	1896.65	2119.22	2434.5	2468.49	2701.35	2555.58	2335.28	1066.48	2555.58	4298.64	2148.82	5791.62	1407.55	4181.07	1883.54	2816.11	2018.8	3349.13	1008.9	1015.93	884.29	785.88	444.72	1001.93	813.63	684.02	1757.34	1572.76	497.0	2090.03	759.08	1037.29	1304.15	1008.9	1135.2	1617.0	1286.18	500.46	1359.57	1757.34	1119.56	1135.2	2816.11	1199.98	2976.74	748.61	854.13	2061.24	1857.6	802.41	1350.18
ANAPC11	7911.95	13872.08	4328.55	11745.96	4639.29	6935.54	6164.49	5147.73	13399.51	9279.58	7589.61	4836.35	2816.11	3820.7	4512.4	1923.14	5633.22	3564.78	4419.52	4450.27	3235.01	2224.63	6699.25	6561.36	2609.3	4836.35	2335.28	4607.24	2367.9	6471.02	5041.77	5441.3	1529.73	1950.0	1583.71	1561.89	860.08	1551.09	1594.73	1199.98	2351.53	2417.67	866.07	2915.45	1250.98	1963.57	1498.22	1769.57	1583.71	2758.13	1322.37	808.0	1628.26	1268.46	1242.34	1651.0	3039.3	1709.26	10225.32	981.29	1457.23	4836.35	1870.53	1073.91	1923.14
APRT	5517.27	6207.38	3564.78	10959.3	2855.44	3212.66	2255.7	2591.27	5403.7	5872.48	2720.15	3491.39	2075.59	3280.18	4066.71	3639.7	6207.38	2335.28	3540.14	3768.09	7537.18	2915.45	5672.41	4543.8	3820.7	4802.93	2645.74	5831.91	3419.52	2835.7	3190.46	3515.68	1977.24	2061.24	1143.1	1268.46	1883.54	1870.53	2271.4	1551.09	2895.31	3168.41	1359.57	4607.24	2193.99	2178.83	1923.14	1936.53	2240.11	2502.97	1583.71	753.83	2119.22	2193.99	3168.41	2777.33	3820.7	1369.04	10014.87	1583.71	1757.34	6652.97	2075.59	1733.13	3039.3
ATAD3A	825.0	684.02	441.64	551.56	587.13	1561.89	224.97	389.72	575.03	656.11	432.53	708.18	193.01	255.0	320.8	172.65	368.65	249.73	490.14	336.79	309.83	180.02	753.83	819.3	356.05	748.61	246.28	536.45	318.57	412.0	353.59	309.83	107.38	109.66	65.72	90.14	70.51	111.21	98.04	73.03	248.0	249.73	67.59	403.5	217.27	212.78	221.86	277.2	271.48	161.02	674.59	55.1	327.56	220.32	187.71	457.25	441.64	273.37	392.44	123.5	348.71	258.57	264.03	104.42	183.82
ATG4D	559.28	612.11	703.28	1359.57	642.59	688.78	503.95	379.04	961.07	1030.12	753.83	961.07	366.09	406.31	813.63	603.67	633.73	457.25	603.67	463.65	483.38	420.68	571.05	633.73	403.5	525.39	483.38	376.41	289.02	698.41	713.11	796.86	339.14	318.57	175.07	181.28	299.25	307.69	212.78	236.21	341.51	406.31	199.85	444.72	417.77	400.71	320.8	426.57	444.72	246.28	299.25	173.85	429.54	500.46	323.03	273.37	171.45	320.8	587.13	135.24	441.64	759.08	466.88	339.14	237.86
AURKAIP1	4512.4	4937.99	3491.39	5112.16	2468.49	3820.7	2018.8	2061.24	3540.14	6745.86	3039.3	3443.31	1159.07	1923.14	2875.3	1561.89	4038.61	2335.28	3081.75	1583.71	1757.34	934.76	3982.99	3081.75	2720.15	4575.41	1806.78	3190.46	1733.13	2537.92	3146.52	3081.75	819.3	954.43	665.29	698.41	293.07	890.44	674.59	450.94	1639.59	1498.22	289.02	2935.74	738.29	1081.39	1051.79	1066.48	1175.27	1857.6	1015.93	454.09	1233.75	1216.75	1044.52	1662.49	1950.0	1322.37	4836.35	738.29	1159.07	3212.66	1605.83	785.88	1175.27
BOLA2	2758.13	1709.26	334.46	2133.97	301.33	358.54	423.61	371.22	1119.56	1628.26	493.56	780.44	134.3	279.14	194.36	199.85	808.0	373.81	318.57	363.56	334.46	100.83	253.23	463.65	167.9	693.58	141.02	536.45	150.17	403.5	281.09	842.36	80.01	88.88	57.49	71.5	41.22	78.34	55.49	43.94	140.04	105.15	27.64	195.72	29.27	44.89	131.51	42.41	55.89	101.54	52.45	40.36	73.03	73.03	33.06	63.0	232.94	118.43	1757.34	23.08	93.35	212.78	191.67	57.08	86.43
BOLA2B	13872.08	8538.88	3039.3	9673.69	2434.5	2816.11	4450.27	3589.58	9808.75	8598.28	4328.55	3257.52	1135.2	2090.03	2163.77	1963.57	2468.49	2537.92	1870.53	2485.67	3124.78	854.13	2502.97	4010.71	1662.49	5403.7	1378.57	6294.04	1151.06	3372.43	2555.58	6935.54	583.07	1111.82	669.92	995.0	612.11	647.07	764.36	723.08	1037.29	1159.07	595.34	1757.34	733.19	723.08	780.44	813.63	1059.11	941.27	633.73	551.56	813.63	1044.52	656.11	1378.57	2400.97	1073.91	4972.34	1477.58	947.83	2451.44	1159.07	334.46	915.51
BRMS1	1685.71	2061.24	1225.22	2209.26	1286.18	1639.59	967.76	884.29	2193.99	3395.89	1268.46	1359.57	941.27	1225.22	769.69	529.06	1331.57	1322.37	1233.75	1088.92	1313.23	748.61	1199.98	1313.23	1216.75	1447.15	718.08	1487.87	866.07	1191.69	1277.29	1417.35	514.56	536.45	318.57	299.25	309.83	432.53	450.94	363.56	860.08	915.51	314.17	1081.39	483.38	497.0	543.96	500.46	656.11	684.02	599.49	301.33	941.27	848.22	460.44	764.36	1216.75	688.78	1508.65	358.54	638.15	2255.7	961.07	500.46	490.14
