	TCGA.FD.A3SR.01A.11R.A22U.07	TCGA.A2.A3XX.01A.21R.A239.07	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.BH.A0B3.01A.11R.A056.07	TCGA.ZJ.AB0H.01A.11R.A42T.07	TCGA.W5.AA2Q.01A.11R.A41I.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.6936.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.7696.01A.11R.2125.07
ADAR	7589.61	3060.45	4419.52	6079.61	3589.58	5479.15	1909.85	1561.89	1388.16	1143.1	1143.1	1674.06	2032.85	1963.57	1819.35	1844.76	2555.58	1286.18	1135.2	4512.4	1572.76	0.93	4095.0
APH1A	9540.5	8078.22	10659.59	10014.87	5751.61	9151.82	3039.3	2018.8	1794.29	2502.97	1508.65	1088.92	1639.59	1896.65	2609.3	2384.37	5147.73	3690.52	4152.18	6840.04	2400.97	1.06	7857.29
ATF6	748.61	397.93	1037.29	363.56	264.03	802.41	343.89	171.45	206.94	172.65	157.68	363.56	212.78	366.09	204.07	202.66	277.2	198.47	185.11	583.07	177.53	197.09	490.14
B4GALT3	3515.68	3589.58	10883.59	2502.97	2209.26	2956.17	1151.06	954.43	660.68	633.73	848.22	543.96	595.34	1008.9	651.58	796.86	1096.5	511.0	872.1	2400.97	547.75	0.61	1359.57
BOLA1	2004.85	2163.77	2163.77	1216.75	1044.52	2032.85	842.36	1151.06	130.6	309.83	567.1	334.46	435.55	127.0	429.54	395.18	591.22	277.2	392.44	961.07	199.85	0.33	1685.71
C1orf115	218.79	470.14	1143.1	295.11	134.3	1427.22	51.35	51.71	14.14	14.24	30.56	42.11	66.65	100.13	40.64	92.7	75.64	39.22	55.49	351.14	19.97	0.44	153.34
C1orf43	7749.1	7695.57	12415.75	9673.69	6079.61	13123.73	3742.05	3614.55	2875.3	2520.38	2739.08	2758.13	2895.31	3039.3	2537.92	2997.45	4038.61	2855.44	2796.65	6561.36	2119.22	305.55	10585.95
C1orf85	9606.86	3928.15	8598.28	3349.13	2224.63	4543.8	1159.07	1427.22	703.28	473.41	836.53	890.44	1199.98	1697.45	1051.79	1104.13	1594.73	647.07	633.73	4239.45	656.11	0.04	1733.13
CACYBP	4903.87	6426.31	8778.97	4937.99	2935.74	3564.78	2758.13	2148.82	2351.53	2193.99	1639.59	1540.37	2502.97	2777.33	981.29	1151.06	2701.35	1331.57	967.76	3168.41	1143.1	0.0	3874.05
CCT3	9606.86	16843.62	18689.27	14163.58	6887.62	13492.72	7180.15	6607.01	5954.47	5183.54	5711.87	5441.3	4736.79	8078.22	3235.01	4298.64	5403.7	4328.55	3443.31	10512.82	3955.48	0.55	8305.36
CHD1L	708.18	1199.98	947.83	1832.01	563.18	1844.76	361.04	417.77	312.0	356.05	287.01	249.73	387.02	483.38	253.23	218.79	571.05	329.84	246.28	748.61	194.36	0.84	988.12
CHTOP	3540.14	2032.85	2796.65	2573.36	3060.45	4388.98	1806.78	1896.65	1199.98	1572.76	1044.52	1417.35	1883.54	1844.76	1183.45	1388.16	1757.34	1225.22	1127.35	2163.77	796.86	0.79	3235.01
CLPTM1L	4937.99	4152.18	3820.7	5751.61	3103.19	2209.26	2163.77	1628.26	1286.18	1159.07	1159.07	1111.82	1674.06	4268.94	1051.79	1467.37	1447.15	1286.18	1127.35	3349.13	1806.78	0.87	2956.17
COPA	3419.52	4181.07	5219.6	5366.37	1487.87	3690.52	1572.76	854.13	1225.22	988.12	961.07	1225.22	1233.75	1183.45	1199.98	1199.98	1551.09	909.17	1015.93	2997.45	1388.16	195.72	4038.61
CRTC2	2351.53	1628.26	1561.89	1594.73	1832.01	2835.7	1857.6	1487.87	780.44	954.43	981.29	1191.69	1388.16	1685.71	860.08	1313.23	1883.54	808.0	808.0	1832.01	397.93	995.0	1662.49
DAP3	3768.09	6471.02	7130.55	7130.55	4937.99	8078.22	2720.15	2777.33	2061.24	1909.85	1909.85	1950.0	2351.53	3060.45	1561.89	1709.26	3168.41	1936.53	1540.37	5112.16	1216.75	1.04	5954.47
DEDD	2935.74	1870.53	3124.78	2090.03	1594.73	2434.5	1277.29	1143.1	1111.82	921.88	1030.12	1242.34	961.07	1295.13	1088.92	1135.2	1605.83	909.17	995.0	1857.6	490.14	825.0	1572.76
DNAH14	109.66	599.49	674.59	571.05	78.89	571.05	108.9	52.08	16.75	6.31	68.07	71.5	80.01	131.51	47.5	37.05	90.14	21.47	27.05	283.05	47.17	0.49	718.08
