	TCGA.AN.A0AR.01A.11R.A00Z.07	TCGA.AZ.4315.01A.01R.1410.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	GTEX.131XW.1126.SM.5EGK4	GTEX.T6MN.0826.SM.32PM4	GTEX.N7MS.0926.SM.2HMIZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.13G51.0426.SM.5K7Z5	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
ACOT13	947.83	825.0	2018.8	0.33	135.24	124.37	417.77	183.82	325.29	269.6	406.31	426.57	480.04	497.0	607.87	387.02
APOPT1	2193.99	1697.45	1757.34	0.51	420.68	616.37	775.05	441.64	571.05	486.75	759.08	1397.83	988.12	1030.12	915.51	1023.0
APRT	4903.87	9740.98	4543.8	0.61	1216.75	1991.0	1977.24	1259.69	2255.7	1378.57	4671.57	3901.01	3589.58	4328.55	3325.99	3467.27
ATP5L	17558.94	17197.56	19482.97	0.99	4328.55	4836.35	6561.36	2855.44	6164.49	5292.48	10512.82	10959.3	9876.98	10512.82	9474.59	7857.29
ATP6V0E1	6381.92	8778.97	14361.31	0.87	4937.99	5913.33	6337.83	5255.91	5711.87	6935.54	8305.36	8778.97	7589.61	8901.53	8901.53	7911.95
AURKAIP1	4836.35	4038.61	5954.47	0.75	607.87	802.41	1685.71	813.63	1697.45	967.76	4066.71	3614.55	3168.41	3794.3	3018.3	2835.7
BCL7C	1628.26	928.3	1216.75	0.52	289.02	559.28	802.41	480.04	571.05	507.46	642.59	775.05	679.29	708.18	660.68	728.11
BOLA2B	4210.15	7966.99	2915.45	0.3	299.25	423.61	1167.14	267.73	819.3	688.78	1674.06	1617.0	1322.37	1407.55	1378.57	1721.16
BTBD6	2047.0	1583.71	961.07	0.59	320.8	493.56	884.29	759.08	1268.46	703.28	1388.16	1159.07	1143.1	1199.98	1023.0	1175.27
BTD	361.04	198.47	928.3	0.24	189.02	293.07	417.77	226.54	154.42	480.04	463.65	575.03	490.14	587.13	559.28	780.44
C11orf48	5711.87	3372.43	2287.2	0.35	703.28	954.43	872.1	1143.1	1268.46	599.49	2758.13	2367.9	1963.57	2075.59	2178.83	2591.27
C11orf83	723.08	435.55	480.04	170.25	62.12	65.72	100.83	51.35	90.77	55.89	384.34	457.25	307.69	447.82	301.33	470.14
C6orf203	1457.23	679.29	796.86	0.0	120.94	148.09	215.77	176.29	231.32	102.25	540.19	470.14	500.46	454.09	620.67	555.41
CHCHD1	2609.3	2133.97	1950.0	0.4	351.14	473.41	665.29	389.72	679.29	470.14	1388.16	1477.58	1225.22	1551.09	1427.22	1304.15
COA4	2777.33	2796.65	2796.65	0.43	397.93	595.34	860.08	525.39	791.35	567.1	1936.53	1844.76	1628.26	1651.0	1721.16	1183.45
COQ2	170.25	651.58	249.73	0.0	107.38	108.14	169.07	96.01	186.4	164.42	206.94	176.29	151.22	163.28	180.02	135.24
COX8A	14065.74	25887.07	34396.12	1.03	4328.55	3589.58	6840.04	3564.78	4358.66	6079.61	14663.09	14765.09	11664.82	14765.09	8901.53	11664.82
EMC3	1832.01	2240.11	2956.17	142.01	1216.75	1242.34	1378.57	1051.79	915.51	1467.37	2502.97	2976.74	2061.24	2417.67	2319.15	2303.12
EMC6	2271.4	1721.16	1769.57	0.43	470.14	423.61	674.59	262.2	559.28	403.5	1183.45	1073.91	769.69	1015.93	836.53	743.43
EXOSC1	2133.97	1769.57	785.88	0.62	269.6	353.59	387.02	444.72	500.46	334.46	1250.98	1216.75	848.22	878.17	921.88	1167.14
FARS2	387.02	387.02	540.19	0.16	100.83	202.66	392.44	201.25	154.42	301.33	248.0	283.05	283.05	269.6	231.32	368.65
FOXRED1	1378.57	624.99	813.63	244.57	131.51	133.36	279.14	273.37	253.23	134.3	543.96	616.37	395.18	356.05	511.0	555.41
GALE	884.29	4903.87	1651.0	0.31	348.71	595.34	603.67	444.72	688.78	507.46	1909.85	1467.37	934.76	1322.37	1119.56	1135.2
GMNN	2976.74	2434.5	921.88	0.6	131.51	325.29	133.36	148.09	166.73	117.6	248.0	490.14	665.29	277.2	575.03	536.45
HMBS	1781.89	1175.27	587.13	0.0	348.71	141.02	242.88	232.94	234.57	124.37	450.94	532.74	429.54	371.22	470.14	507.46
IDH1	1883.54	10225.32	2090.03	320.8	283.05	647.07	679.29	325.29	878.17	454.09	4328.55	3491.39	3060.45	3742.05	4210.15	7642.41
ITGAE	1572.76	1208.34	988.12	0.52	305.55	1030.12	693.58	511.0	791.35	356.05	507.46	620.67	629.35	579.04	583.07	518.15
JAGN1	1417.35	967.76	1096.5	0.05	356.05	493.56	480.04	334.46	381.68	309.83	753.83	708.18	612.11	647.07	708.18	748.61
LSM2	6516.03	3768.09	1457.23	0.75	332.14	813.63	1015.93	620.67	679.29	651.58	819.3	854.13	775.05	759.08	836.53	860.08
LYRM4	1467.37	1268.46	684.02	115.16	309.83	395.18	525.39	269.6	307.69	277.2	435.55	305.55	356.05	429.54	500.46	406.31
MOCS2	830.75	2875.3	3372.43	0.52	791.35	703.28	1250.98	738.29	579.04	1030.12	981.29	974.5	1104.13	1044.52	1183.45	738.29
MPC2	2148.82	5441.3	7382.04	206.94	698.41	723.08	1487.87	551.56	995.0	884.29	1066.48	1268.46	1151.06	1127.35	1268.46	2303.12
MRPL1	470.14	1268.46	961.07	0.16	164.42	132.44	289.02	189.02	295.11	146.03	283.05	312.0	318.57	264.03	325.29	314.17
MRPL17	1605.83	2104.58	1977.24	0.2	1551.09	878.17	1268.46	909.17	1313.23	2209.26	1551.09	1662.49	1313.23	1369.04	1529.73	1487.87
MRPL20	6381.92	5147.73	4972.34	0.71	1498.22	1250.98	3212.66	1832.01	2417.67	2367.9	4736.79	5517.27	4802.93	4388.98	3955.48	4152.18
MRPL27	2485.67	3081.75	3794.3	0.0	511.0	595.34	1081.39	698.41	934.76	813.63	2351.53	2148.82	1870.53	1936.53	2148.82	1991.0
MRPL39	713.11	1143.1	1250.98	0.41	353.59	135.24	214.27	209.84	183.82	384.34	438.59	384.34	414.87	400.71	429.54	571.05
MRPL48	1477.58	1819.35	1923.14	0.25	228.13	273.37	563.18	432.53	293.07	603.67	1066.48	1143.1	961.07	872.1	896.64	1127.35
MRPS16	5219.6	3614.55	3168.41	1844.76	500.46	718.08	954.43	842.36	688.78	642.59	2178.83	2502.97	1977.24	2319.15	1896.65	2240.11
MRPS18B	2835.7	2777.33	2875.3	2367.9	612.11	830.75	1135.2	759.08	693.58	759.08	1572.76	1977.24	1551.09	1685.71	1628.26	1857.6
MTFP1	1304.15	1651.0	1037.29	0.23	239.52	166.73	223.41	194.36	251.48	202.66	392.44	490.14	361.04	356.05	400.71	547.75
NDUFA9	5479.15	4419.52	3349.13	0.64	426.57	693.58	521.76	848.22	591.22	612.11	1674.06	1572.76	1359.57	1477.58	1277.29	1617.0
NDUFAF4	2075.59	1832.01	1183.45	0.42	444.72	269.6	599.49	507.46	921.88	529.06	819.3	743.43	698.41	555.41	753.83	457.25
NDUFS3	2148.82	7749.1	6337.83	0.32	642.59	967.76	1268.46	902.89	1378.57	909.17	2468.49	2682.69	2400.97	2417.67	2451.44	2255.7
NRL	69.52	51.71	124.37	0.0	7.34	19.82	32.13	36.01	44.57	33.3	59.13	63.0	41.52	59.13	64.8	66.18
OVCA2	830.75	2090.03	1605.83	0.27	503.95	395.18	366.09	447.82	334.46	500.46	1167.14	947.83	819.3	1151.06	909.17	878.17
PDSS1	638.15	400.71	194.36	0.19	68.07	32.36	103.69	156.59	137.14	100.83	31.22	31.0	72.52	23.59	45.53	95.34
PHF5A	651.58	2004.85	947.83	0.72	387.02	409.15	441.64	305.55	796.86	490.14	708.18	738.29	595.34	536.45	660.68	656.11
PPP1R11	2351.53	2047.0	1628.26	0.55	748.61	493.56	1508.65	1023.0	1008.9	1572.76	1628.26	1397.83	1191.69	1322.37	1397.83	1340.84
PSMD13	2573.36	5041.77	2777.33	1.08	3491.39	2287.2	1950.0	2976.74	3665.02	3395.89	2271.4	2224.63	2148.82	1883.54	2104.58	3103.19
QRSL1	414.87	348.71	251.48	0.34	44.25	59.97	103.69	90.14	65.26	61.68	156.59	153.34	176.29	153.34	170.25	199.85
RBX1	1250.98	2591.27	1844.76	0.83	743.43	974.5	1674.06	896.64	1104.13	1208.34	1151.06	1572.76	1127.35	1059.11	1277.29	1073.91
RP11-41O4.1	67.12	67.59	8.92	0.0	2.36	6.31	10.47	2.58	2.89	0.0	5.68	6.31	0.0	1.19	7.34	5.96
RP11-500M8.7	1073.91	988.12	454.09	0.47	31.22	43.32	305.55	190.34	187.71	172.65	426.57	353.59	525.39	412.0	387.02	273.37
RTN4IP1	395.18	361.04	271.48	0.0	19.82	43.32	48.18	17.38	38.95	31.0	181.28	158.79	161.02	173.85	164.42	166.73
SDF2	1617.0	1407.55	1806.78	684.02	921.88	791.35	902.89	836.53	981.29	1487.87	1617.0	1769.57	1529.73	1639.59	1697.45	1963.57
SDHB	1295.13	3955.48	7911.95	0.54	1369.04	974.5	1437.15	1340.84	1540.37	1745.2	1950.0	1936.53	1950.0	1819.35	2119.22	1757.34
SEMG1	0.33	57.49	1.62	0.0	0.0	0.95	0.51	0.0	1.08	0.0	3134925.09	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11
SEMG2	0.0	0.0	10.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1041331.96	1864037.21	1556634.79	1611529.43	1264380.15	3028138.0
SF3B5	10014.87	8247.98	7382.04	0.69	1369.04	1175.27	2104.58	1135.2	1662.49	1583.71	4210.15	5366.37	3540.14	4543.8	3491.39	3874.05
SLC22A18AS	29.48	583.07	285.03	0.28	0.84	10.0	13.72	10.55	6.26	3.59	12.09	7.88	13.32	13.32	5.63	17.64
SLX1A	1437.15	1397.83	738.29	0.34	209.84	283.05	224.97	224.97	191.67	123.5	884.29	780.44	318.57	177.53	753.83	191.67
SPCS1	2976.74	5403.7	7130.55	0.67	2271.4	1447.15	2875.3	1242.34	1709.26	2032.85	7749.1	6887.62	6250.56	7695.57	5954.47	7433.4
SPSB2	796.86	318.57	406.31	0.16	75.64	130.6	173.85	124.37	217.27	165.57	236.21	281.09	128.79	256.78	215.77	157.68
STK16	1529.73	1277.29	1437.15	0.46	351.14	417.77	392.44	466.88	490.14	346.29	708.18	1073.91	764.36	988.12	941.27	1127.35
TIMM23	3018.3	2875.3	2133.97	0.38	684.02	395.18	567.1	497.0	928.3	684.02	2004.85	1540.37	1369.04	1721.16	1437.15	1508.65
TIMM8B	4802.93	3955.48	2537.92	0.35	273.37	403.5	872.1	403.5	785.88	540.19	902.89	1104.13	995.0	909.17	1030.12	902.89
TMEM14B	5147.73	3303.0	3928.15	0.72	679.29	748.61	1407.55	872.1	974.5	1268.46	2133.97	2004.85	1806.78	2061.24	1923.14	2271.4
TMEM14C	5995.9	4575.41	6121.9	0.77	1322.37	1697.45	3060.45	1159.07	1769.57	2555.58	3820.7	3955.48	3443.31	3742.05	3847.29	4210.15
TMEM219	5672.41	3928.15	5711.87	934.76	1313.23	3665.02	4903.87	3280.18	3742.05	3103.19	6121.9	5995.9	4937.99	5594.3	5255.91	6164.49
TRMT10C	353.59	909.17	507.46	187.71	178.77	182.55	224.97	194.36	368.65	217.27	343.89	293.07	309.83	309.83	332.14	299.25
TST	2777.33	2701.35	5219.6	0.0	185.11	483.38	426.57	239.52	389.72	246.28	1963.57	1733.13	1313.23	1295.13	1417.35	1991.0
TXNDC17	6471.02	8718.32	6471.02	0.43	713.11	629.35	1191.69	583.07	1757.34	974.5	2417.67	2796.65	2133.97	2502.97	2758.13	2255.7
UQCC2	4152.18	5255.91	2935.74	0.52	551.56	551.56	954.43	559.28	791.35	813.63	1832.01	1806.78	1487.87	1447.15	1819.35	1745.2
UQCRC1	3589.58	15499.21	11584.24	0.77	1819.35	2240.11	2075.59	2240.11	1662.49	2271.4	4869.99	4769.75	5711.87	4419.52	4802.93	3742.05
YIF1A	3515.68	3639.7	2627.46	2133.97	775.05	1030.12	1259.69	813.63	1051.79	981.29	1909.85	1950.0	1639.59	2090.03	1617.0	1697.45
ZMAT5	753.83	825.0	866.07	0.08	194.36	371.22	438.59	253.23	373.81	336.79	995.0	878.17	769.69	981.29	981.29	974.5
ZNF593	785.88	1066.48	595.34	0.0	119.26	104.42	153.34	124.37	228.13	82.29	454.09	346.29	309.83	318.57	303.44	242.88
