	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.E7.A3X6.01A.12R.A22U.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.2F.A9KO.01A.11R.A38B.07	TCGA.86.7955.01A.11R.2187.07	TCGA.49.4486.01A.01R.1206.07	TCGA.78.7163.01A.12R.2066.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.60.2721.01A.01R.0851.07
ALOX5	616.37	543.96	287.01	743.43	54.33	76.17	205.5	14561.8	3280.18	2287.2	5112.16	31215.04	41763.8	4268.94	4481.23	8718.32	575.03
C10orf128	130.6	73.54	16.51	98.04	36.79	37.85	33.78	559.28	698.41	791.35	967.76	612.11	1350.18	206.94	373.81	1250.98	166.73
C10orf54	1397.83	860.08	591.22	1191.69	134.3	409.15	432.53	2119.22	3564.78	4972.34	3467.27	2032.85	2468.49	9740.98	3303.0	4607.24	1044.52
C1QTNF2	7.17	5.19	6.06	4.35	0.79	4.98	1.58	85.22	87.03	72.52	118.43	124.37	98.73	26.47	81.14	114.36	12.27
CACNA1C	11.82	21.16	38.12	39.22	10.96	3.63	2.66	66.18	84.04	67.12	151.22	75.11	52.08	56.68	51.35	124.37	57.89
CALHM2	187.71	547.75	303.44	236.21	107.38	50.63	60.82	1151.06	460.44	376.41	780.44	1183.45	607.87	279.14	764.36	551.56	339.14
CCDC3	86.43	144.01	50.27	72.52	55.89	143.01	34.51	305.55	1111.82	384.34	563.18	842.36	198.47	246.28	220.32	325.29	325.29
CD74	397335.0	62431.08	42641.37	72213.45	6337.83	57847.82	225066.78	726195.27	1019901.63	932018.1	1503610.06	1229805.58	741454.2	1877002.62	636586.81	1196176.45	51417.5
CHN1	231.32	123.5	44.25	120.94	122.64	59.13	100.13	591.22	466.88	743.43	591.22	575.03	679.29	341.51	476.71	638.15	529.06
CNRIP1	68.07	45.85	30.56	69.03	29.27	54.33	13.03	334.46	334.46	1127.35	403.5	429.54	486.75	283.05	444.72	361.04	147.06
COL4A1	1295.13	1572.76	934.76	1127.35	642.59	287.01	135.24	1359.57	1909.85	3955.48	7130.55	1437.15	1923.14	1685.71	1519.15	6983.79	1313.23
COL4A2	1551.09	1594.73	934.76	1369.04	753.83	432.53	195.72	2240.11	3103.19	6745.86	8022.41	2434.5	2591.27	2351.53	2335.28	8479.89	1359.57
COTL1	3665.02	3589.58	1857.6	2351.53	236.21	400.71	647.07	9945.68	3690.52	2468.49	15824.9	10512.82	18431.96	5329.3	6121.9	14867.79	2178.83
