	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.W5.AA2W.01A.11R.A41I.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.05.4244.01A.01R.1107.07	TCGA.38.4625.01A.01R.1206.07	TCGA.MP.A4T6.01A.32R.A262.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5935.01A.11R.1755.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ACOT13	325.29	693.58	1127.35	579.04	0.0	642.59	0.33	599.49	624.99	346.29	1051.79	483.38	384.34	186.4	269.6	267.73	193.01	466.88	417.77	269.6	283.05	417.77	392.44	269.6
ALG1	629.35	629.35	693.58	728.11	0.0	791.35	0.0	780.44	521.76	417.77	249.73	555.41	607.87	208.38	145.02	112.77	236.21	305.55	239.52	172.65	115.16	389.72	251.48	231.32
AP1S1	1331.57	1745.2	1378.57	1397.83	0.0	2163.77	0.28	1769.57	1051.79	830.75	791.35	1322.37	921.88	543.96	435.55	406.31	376.41	974.5	830.75	559.28	191.67	830.75	624.99	688.78
AP4M1	536.45	334.46	503.95	426.57	0.0	769.69	0.31	521.76	599.49	395.18	389.72	591.22	607.87	138.1	211.31	204.07	204.07	318.57	212.78	318.57	181.28	223.41	265.87	140.04
APOA1BP	3395.89	5441.3	2720.15	4972.34	0.0	3372.43	0.67	5791.62	1250.98	1427.22	1794.29	1242.34	1457.23	842.36	708.18	1073.91	1044.52	1259.69	748.61	1639.59	974.5	1250.98	1242.34	1175.27
ARHGEF11	708.18	884.29	429.54	532.74	218.79	775.05	151.22	769.69	769.69	406.31	500.46	638.15	435.55	253.23	228.13	170.25	242.88	642.59	525.39	170.25	165.57	329.84	273.37	314.17
BOLA1	738.29	890.44	796.86	764.36	0.0	981.29	0.33	1167.14	529.06	376.41	361.04	660.68	688.78	148.09	88.26	105.89	105.15	420.68	214.27	100.83	90.77	384.34	312.0	143.01
BPNT1	616.37	1167.14	348.71	813.63	0.0	866.07	0.0	902.89	579.04	476.71	435.55	429.54	571.05	208.38	195.72	145.02	190.34	460.44	348.71	395.18	163.28	376.41	343.89	334.46
C14orf182	49.56	111.21	19.11	27.64	0.0	102.25	0.21	28.24	23.42	19.68	40.93	23.93	37.32	7.82	18.97	13.12	16.15	17.38	16.75	10.16	18.03	8.78	13.83	4.66
C1orf56	194.36	287.01	134.3	187.71	0.0	438.59	0.31	414.87	102.97	85.22	35.25	112.77	94.67	22.1	65.72	16.39	69.03	95.34	38.12	34.75	23.25	89.51	23.76	26.47
C1orf85	2255.7	3235.01	2855.44	1883.54	0.0	2303.12	0.04	2502.97	1498.22	1081.39	1059.11	2119.22	1709.26	703.28	616.37	518.15	1135.2	1119.56	988.12	547.75	529.06	1304.15	753.83	872.1
CAD	656.11	1001.93	587.13	642.59	0.0	674.59	0.37	500.46	473.41	182.55	232.94	507.46	432.53	100.83	121.79	47.84	140.04	371.22	185.11	94.67	63.45	327.56	175.07	169.07
CASP6	571.05	373.81	563.18	426.57	0.0	753.83	0.18	642.59	361.04	403.5	185.11	403.5	429.54	161.02	169.07	77.25	127.0	291.04	277.2	141.02	178.77	332.14	211.31	221.86
CD74	341137.96	23656.34	425853.18	71714.63	0.0	74760.09	1.08	125731.67	527933.71	726195.27	1196176.45	520665.48	757033.75	358098.26	1019901.63	932018.1	1503610.06	1229805.58	741454.2	593956.43	375901.76	1877002.62	636586.81	1196176.45
CHRNB4	1.51	35.5	1.81	11.91	0.0	50.98	0.2	12.36	2.39	4.39	2.32	7.34	10.79	0.0	0.0	0.0	2.61	0.0	0.0	0.0	0.0	0.99	0.82	16.15
CHTOP	2417.67	2018.8	1721.16	2335.28	0.0	2287.2	0.79	2061.24	1268.46	808.0	1242.34	1617.0	1594.73	551.56	1044.52	961.07	500.46	703.28	665.29	842.36	1437.15	567.1	902.89	603.67
CLK2	1437.15	2555.58	1909.85	2004.85	0.0	3395.89	0.82	1447.15	1216.75	620.67	438.59	1259.69	1304.15	244.57	258.57	312.0	329.84	579.04	409.15	343.89	316.37	316.37	379.04	289.02
CTPS2	255.0	802.41	186.4	281.09	0.0	447.82	0.43	718.08	299.25	223.41	131.51	154.42	312.0	119.26	124.37	52.08	145.02	269.6	147.06	125.24	28.24	348.71	127.0	193.01
CUL7	353.59	575.03	503.95	363.56	0.0	684.02	0.47	511.0	384.34	183.82	118.43	368.65	466.88	120.94	124.37	57.08	117.6	414.87	209.84	146.03	51.35	234.57	131.51	145.02
DAP3	4152.18	4903.87	2645.74	4639.29	0.0	3716.2	1.04	3820.7	1572.76	1447.15	2335.28	2090.03	2224.63	896.64	1059.11	848.22	693.58	1167.14	1304.15	1277.29	909.17	1477.58	1151.06	1151.06
DENND4B	791.35	1295.13	1487.87	1051.79	379.04	1605.83	684.02	796.86	1225.22	493.56	808.0	1322.37	785.88	595.34	915.51	476.71	559.28	825.0	866.07	674.59	403.5	381.68	567.1	595.34
DPCD	961.07	423.61	2163.77	540.19	0.0	728.11	0.08	808.0	435.55	1242.34	356.05	764.36	1015.93	198.47	571.05	373.81	366.09	480.04	237.86	361.04	189.02	212.78	361.04	287.01
