	GTEX.11GSP.0726.SM.5986L	GTEX.111VG.0726.SM.5GIDC	TCGA.56.8082.11A.01R.2247.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.7737.01A.11R.2118.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.AJ.A3NE.11A.11R.A22K.07
AAED1	651.58	457.25	563.18	176.29	171.45	97.36	320.8	105.15	450.94	329.84	172.65	420.68	85.82	301.33	140.04	201.25	181.28	281.09	281.09	98.04	275.28	346.29	205.5	108.9	493.56	343.89	166.73	123.5	214.27	309.83	318.57	134.3	105.15	267.73	178.77	136.19	237.86	476.71	346.29	289.02	89.51	149.12	470.14	193.01	98.73	159.9	125.24	170.25	178.77	172.65	309.83	312.0	166.73	241.19	98.73	60.82	89.51	136.19	117.6	172.65	366.09	148.09	163.28	426.57	325.29
ADAMTS4	1617.0	1519.15	6607.01	10.63	60.82	1.57	20.86	34.75	555.41	366.09	64.8	170.25	146.03	872.1	17.9	26.47	105.15	1350.18	532.74	21.78	934.76	836.53	17.64	4.03	3690.52	155.5	0.6	9.85	38.12	1359.57	329.84	22.59	6.06	1407.55	15.91	244.57	31.22	66.18	395.18	351.14	11.3	10.88	674.59	23.76	18.16	21.63	23.93	10.31	70.51	55.49	199.85	68.07	28.45	182.55	39.79	2.39	2.39	2.18	18.29	400.71	384.34	38.12	11.13	2701.35	2816.11
ADM	7485.11	1909.85	5183.54	85.82	201.25	36.27	172.65	142.01	1963.57	1008.9	432.53	409.15	148.09	279.14	39.5	126.12	242.88	1331.57	2835.7	55.49	1769.57	466.88	102.25	64.34	1277.29	698.41	64.8	46.18	186.4	1605.83	281.09	173.85	82.87	941.27	62.12	571.05	123.5	343.89	281.09	232.94	80.01	136.19	713.11	90.14	47.5	109.66	112.77	101.54	114.36	129.69	909.17	775.05	255.0	379.04	547.75	108.14	54.33	144.01	66.18	1088.92	1073.91	61.68	88.88	2047.0	271.48
APOBEC3A	915.51	187.71	1250.98	13.83	0.41	0.65	1.03	0.41	43.63	23.93	2.58	2.48	3.23	15.91	2.25	2.14	10.88	25.54	11.82	0.41	2.61	10.24	9.2	17.9	68.07	10.0	0.78	4.46	3.38	15.56	18.84	12.27	1.11	11.3	1.45	13.03	2.53	4.58	5.96	11.91	0.44	0.0	43.32	13.93	1.1	2.46	4.13	0.73	1.13	4.1	1.51	3.63	2.56	5.68	0.41	0.38	1.17	2.1	1.83	53.95	3.96	10.24	4.21	92.05	66.18
AREG	21172.91	1923.14	2400.97	38.12	66.65	1.64	7.06	22.43	698.41	67.59	54.72	106.63	69.03	128.79	4.21	14.67	46.84	543.96	237.86	10.0	688.78	251.48	29.06	10.88	460.44	141.02	9.93	2.94	39.79	275.28	743.43	14.78	22.59	703.28	0.0	130.6	68.55	460.44	198.47	575.03	7.22	33.54	228.13	9.13	10.96	0.0	11.13	0.29	40.36	15.45	181.28	58.3	63.0	201.25	33.54	4.66	7.82	0.61	58.3	791.35	55.49	16.03	40.07	429.54	802.41
ARID5A	3372.43	4239.45	6426.31	120.1	265.87	58.71	101.54	291.04	1151.06	1745.2	406.31	660.68	808.0	1111.82	232.94	100.13	1008.9	2018.8	796.86	130.6	1277.29	928.3	199.85	97.36	5183.54	802.41	87.03	106.63	275.28	1781.89	2645.74	336.79	297.17	1721.16	239.52	753.83	249.73	743.43	713.11	629.35	59.55	50.63	1540.37	189.02	151.22	195.72	113.56	140.04	265.87	231.32	954.43	190.34	229.72	540.19	231.32	157.68	231.32	214.27	381.68	1806.78	1639.59	493.56	228.13	1819.35	3639.7
BATF3	1030.12	748.61	813.63	30.56	28.45	5.15	7.88	34.75	19.25	476.71	24.46	62.12	25.17	44.89	16.75	15.8	78.34	61.25	26.47	23.08	94.01	58.71	28.24	8.71	356.05	28.24	10.39	10.88	26.47	100.83	163.28	38.67	26.47	62.56	18.43	57.08	16.63	83.45	17.25	22.92	8.85	11.3	49.56	11.47	12.55	22.92	29.91	12.36	22.43	12.36	170.25	15.11	20.56	39.79	23.25	1.55	21.63	7.51	18.29	49.91	63.89	22.92	6.89	379.04	305.55
BCL3	6699.25	7230.1	10659.59	607.87	1350.18	450.94	1023.0	934.76	3847.29	5479.15	825.0	3060.45	620.67	3280.18	543.96	638.15	1923.14	3443.31	3665.02	785.88	1583.71	3018.3	769.69	607.87	5633.22	2701.35	493.56	429.54	368.65	5112.16	2895.31	1617.0	642.59	2555.58	684.02	2018.8	511.0	2047.0	1359.57	1498.22	656.11	129.69	4066.71	703.28	547.75	866.07	884.29	764.36	497.0	836.53	6426.31	647.07	723.08	2335.28	1551.09	532.74	679.29	454.09	511.0	3847.29	3212.66	551.56	1008.9	5183.54	7537.18
BCL7B	2367.9	1487.87	2434.5	1088.92	1066.48	921.88	1015.93	1119.56	1417.35	1216.75	1073.91	1143.1	1096.5	1340.84	1119.56	813.63	1216.75	1151.06	1111.82	1015.93	1259.69	1216.75	902.89	921.88	1674.06	1151.06	974.5	934.76	890.44	1313.23	1487.87	1216.75	1051.79	1242.34	1001.93	1030.12	1151.06	1304.15	1208.34	995.0	684.02	718.08	1191.69	967.76	941.27	1051.79	967.76	808.0	878.17	1008.9	1151.06	974.5	1073.91	1268.46	1096.5	878.17	836.53	934.76	1359.57	1242.34	1709.26	1378.57	1151.06	1745.2	1477.58
BDKRB1	72.01	28.04	53.57	4.17	4.43	0.0	0.0	1.87	19.11	10.55	5.02	10.31	6.21	26.67	1.99	1.48	10.79	15.45	3.5	1.06	11.3	9.2	0.64	1.93	46.18	4.9	0.65	0.64	2.92	21.63	17.9	3.5	1.48	24.28	3.53	15.11	4.1	7.94	8.32	3.79	0.0	0.59	6.67	0.0	1.06	5.23	4.78	0.62	1.93	0.0	7.22	0.66	5.87	12.0	2.29	0.59	1.11	0.0	3.99	14.67	8.71	1.93	3.11	33.54	129.69
