	TCGA.G4.6306.01A.11R.1774.07	TCGA.AD.6963.01A.11R.1928.07	TCGA.AA.A01Z.01A.11R.A083.07	TCGA.G4.6295.01A.11R.1723.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.DM.A0X9.01A.11R.A155.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.DY.A1DC.01A.31R.A155.07	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.TMMY.1626.SM.4DXTY
ACO1	493.56	567.1	567.1	366.09	753.83	684.02	305.55	133.36	0.0	0.56	314.17	587.13	684.02	507.46	708.18	679.29	665.29	518.15	941.27	988.12	1457.23	1457.23	607.87	753.83	708.18	921.88	486.75	1250.98	1286.18	1183.45
ACOX1	409.15	255.0	232.94	120.1	329.84	269.6	206.94	173.85	237.86	376.41	208.38	633.73	738.29	454.09	1104.13	738.29	406.31	591.22	1015.93	1359.57	974.5	1685.71	353.59	665.29	493.56	830.75	417.77	1286.18	1540.37	988.12
ADAMTS13	32.13	35.25	43.32	19.68	20.71	36.27	9.85	6.94	0.0	0.59	48.18	80.01	117.6	20.41	53.19	49.56	62.12	66.65	126.12	105.15	211.31	123.5	111.99	191.67	68.07	82.87	56.68	129.69	151.22	70.01
ALG10B	20.71	28.04	56.28	49.56	34.75	55.49	24.63	15.8	0.0	0.22	7.51	19.82	54.33	45.85	24.99	52.08	35.0	85.82	70.51	75.11	61.25	67.59	36.53	69.03	58.3	69.03	60.82	132.44	71.5	106.63
AQP5	2.92	37.32	14.24	6.26	4.43	5.19	0.0	0.0	0.0	0.16	7.06	244.57	1313.23	104.42	1883.54	514.56	269.6	575.03	2018.8	1769.57	2178.83	995.0	1819.35	1073.91	3124.78	1350.18	825.0	9474.59	4512.4	543.96
CACNA1A	1.43	3.41	1.16	1.08	8.06	4.62	1.62	17.13	7.75	96.68	3.99	11.91	209.84	107.38	30.56	24.11	15.0	13.93	82.29	145.02	69.52	27.84	53.19	58.71	194.36	50.98	22.1	242.88	226.54	130.6
CALY	10.63	0.0	0.0	1.83	5.5	3.0	0.0	0.0	0.0	0.39	14.56	5.59	39.79	33.3	21.94	10.08	14.89	11.3	104.42	191.67	29.7	64.8	29.48	39.5	327.56	42.41	110.43	90.77	98.04	163.28
CASP3	612.11	454.09	429.54	176.29	444.72	536.45	291.04	318.57	563.18	934.76	356.05	381.68	583.07	356.05	559.28	808.0	400.71	764.36	928.3	563.18	1044.52	780.44	551.56	540.19	1216.75	463.65	616.37	995.0	1259.69	967.76
CASR	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.48	31.22	6.78	2.43	1.81	0.0	0.92	30.56	70.51	8.78	8.38	1.99	1.89	15.0	1.04	1.14	105.89	48.87	8.13
CASZ1	473.41	356.05	279.14	255.0	285.03	246.28	291.04	297.17	0.0	0.58	253.23	738.29	616.37	323.03	780.44	571.05	616.37	244.57	713.11	961.07	693.58	525.39	400.71	532.74	447.82	775.05	314.17	1023.0	642.59	1030.12
