	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.13QIC.2326.SM.5LU5N	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.3K.AAZ8.01A.12R.A39D.07
ABL2	94.01	262.2	211.31	476.71	395.18	86.43	234.57	191.67	173.85	172.65	42.71	182.55	101.54	194.36	220.32	165.57	118.43	163.28	169.07	256.78	796.86	180.02	67.12	27.64	73.03	29.27	29.48	30.56	47.84	70.51	44.89
ADPRH	63.89	182.55	176.29	150.17	242.88	95.34	180.02	80.01	97.36	106.63	16.63	88.88	46.5	87.03	116.78	136.19	116.78	273.37	116.78	131.51	417.77	301.33	28.86	34.26	10.08	50.98	8.25	4.66	40.93	23.93	10.47
AMOT	92.7	400.71	172.65	145.02	291.04	91.41	348.71	256.78	212.78	289.02	156.59	376.41	164.42	156.59	339.14	583.07	109.66	563.18	239.52	173.85	426.57	547.75	33.3	21.16	0.64	3.2	24.11	66.65	72.01	35.25	1.01
ANTXR2	229.72	1225.22	693.58	1540.37	1066.48	221.86	2047.0	1519.15	454.09	460.44	155.5	368.65	123.5	334.46	444.72	878.17	358.54	571.05	211.31	713.11	802.41	583.07	123.5	108.14	127.89	244.57	176.29	152.28	144.01	281.09	146.03
APOL4	103.69	289.02	363.56	157.68	133.36	74.58	224.97	141.02	132.44	92.7	59.55	59.55	189.02	301.33	208.38	1561.89	76.71	312.0	74.58	95.34	176.29	198.47	16.27	31.0	9.56	24.28	5.15	7.63	55.1	6.67	4.17
ARHGAP18	148.09	412.0	279.14	647.07	532.74	155.5	363.56	248.0	660.68	351.14	55.49	297.17	117.6	244.57	514.56	264.03	387.02	1127.35	327.56	241.19	718.08	759.08	38.4	41.52	26.28	34.02	10.96	8.45	47.17	17.64	18.29
ARHGAP31	57.08	325.29	202.66	384.34	305.55	53.57	323.03	208.38	115.97	158.79	20.11	107.38	54.33	124.37	158.79	152.28	109.66	166.73	74.58	149.12	435.55	281.09	27.25	15.68	7.17	13.12	5.5	4.9	24.28	8.51	8.58
ARHGAP6	19.68	197.09	29.7	43.94	101.54	39.22	119.26	59.97	48.87	98.73	10.71	27.05	15.68	59.97	48.18	35.25	51.71	29.7	46.5	81.14	185.11	169.07	9.63	11.91	2.78	12.93	3.53	3.79	10.47	6.31	3.14
BICD2	215.77	275.28	273.37	332.14	389.72	151.22	444.72	172.65	303.44	162.14	126.12	175.07	163.28	127.0	242.88	287.01	165.57	327.56	177.53	228.13	341.51	351.14	102.25	104.42	129.69	95.34	82.29	134.3	94.01	113.56	83.45
BST1	50.27	166.73	145.02	145.02	198.47	97.36	289.02	105.89	76.17	88.88	63.45	60.39	30.12	74.06	236.21	191.67	71.5	108.9	95.34	128.79	514.56	236.21	37.59	18.7	30.34	43.02	118.43	44.25	30.12	22.75	16.15
