	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
ABCA3	55.49	130.6	339.14	44.89	25.54	54.72	44.57	25.17	7.46	24.63	42.71	35.0	55.89	229.72	59.13	109.66	36.01	15.68	61.68	194.36	6.89	30.34	31.9	159.9	40.64	50.27	205.5	145.02	34.75	98.04	13.52	29.06	73.54	91.41	126.12	23.59	153.34	24.63	55.89	25.54	29.91	53.19	13.72	18.29	24.46	108.14	22.1	52.45	22.43	147.06	51.35	28.04	43.94	32.13	54.72	15.22	17.0	21.78	12.64	198.47	37.05	44.89	20.11	16.03	122.64	15.91	24.63	39.22	67.12	104.42	22.59	23.25	88.88	19.53	38.67	67.12	15.56	22.92	12.93	96.68	108.14	21.16	43.32	57.89	42.41	102.25	151.22	59.55	107.38	148.09	15.0	153.34	27.05	9.34	312.0	262.2
ACAD11	65.26	256.78	420.68	153.34	106.63	119.26	112.77	86.43	77.79	107.38	173.85	116.78	140.04	348.71	158.79	116.78	133.36	108.14	146.03	260.38	92.7	97.36	87.03	376.41	87.65	134.3	392.44	264.03	127.0	132.44	85.22	90.77	90.14	236.21	215.77	84.63	187.71	90.14	120.1	105.15	96.68	98.04	66.18	92.05	102.97	166.73	82.29	143.01	115.97	181.28	167.9	105.89	183.82	115.97	124.37	86.43	54.33	61.25	73.54	305.55	127.89	155.5	80.01	102.25	166.73	100.13	115.16	119.26	121.79	152.28	68.55	122.64	211.31	93.35	129.69	170.25	78.89	108.9	84.63	176.29	158.79	90.14	148.09	185.11	84.63	193.01	318.57	234.57	212.78	420.68	92.7	214.27	118.43	87.03	802.41	454.09
ACSM5	12.36	47.84	78.89	19.53	18.03	19.25	37.32	17.64	6.26	14.35	17.9	9.41	25.91	69.52	20.11	29.7	14.14	16.88	17.0	84.04	8.85	27.84	7.4	119.26	18.43	10.16	72.01	67.59	10.0	16.75	3.11	17.0	9.7	26.47	49.21	15.68	57.08	8.32	31.9	9.63	4.94	32.59	2.01	9.78	7.75	38.95	9.7	25.35	22.92	38.12	35.25	29.91	23.25	8.78	40.07	12.93	9.2	4.74	8.06	53.57	20.71	27.25	4.03	7.34	45.21	4.58	9.2	12.74	24.11	45.85	9.06	15.68	31.22	10.71	8.32	61.68	14.14	24.28	7.57	37.59	53.95	5.19	24.63	27.05	15.56	36.53	49.91	61.25	44.89	90.77	7.88	78.34	18.43	7.4	77.79	76.71
ADAMTS10	30.12	295.11	307.69	113.56	112.77	138.1	68.07	69.03	52.08	66.65	98.04	111.21	129.69	242.88	80.01	97.36	87.65	76.71	132.44	454.09	42.41	63.0	54.72	264.03	56.28	100.13	507.46	209.84	40.64	75.64	25.72	48.52	64.8	180.02	113.56	37.32	158.79	32.59	73.03	46.84	34.75	86.43	26.86	60.82	54.33	102.97	50.98	96.68	100.13	163.28	165.57	98.04	183.82	68.07	102.25	29.27	58.71	30.78	23.76	423.61	74.06	68.55	43.32	43.32	170.25	18.56	72.01	100.83	71.5	140.04	38.12	68.07	116.78	59.55	44.25	144.01	60.82	114.36	34.51	251.48	138.1	54.33	87.03	147.06	66.65	151.22	346.29	198.47	152.28	460.44	48.52	135.24	87.65	29.91	624.99	231.32
ADAMTS12	5.63	32.36	119.26	10.0	13.52	12.45	9.27	3.82	1.04	1.0	31.45	13.52	7.11	63.89	10.47	25.35	10.16	3.11	14.35	61.25	1.89	16.15	4.94	37.59	6.46	12.18	76.71	30.34	2.43	23.08	0.65	7.4	23.42	15.8	21.94	5.32	38.12	4.35	13.12	5.87	3.66	4.98	0.96	7.06	7.46	14.03	2.12	14.89	7.0	55.49	8.92	10.88	20.41	2.68	12.36	2.48	7.46	2.46	3.5	113.56	6.73	5.87	1.43	4.5	30.78	2.01	11.04	2.66	11.38	20.26	4.35	3.79	15.0	3.53	2.07	15.68	6.01	6.41	2.16	13.72	15.91	3.08	8.19	6.84	23.59	29.91	64.34	10.79	16.51	57.49	2.34	34.02	5.68	0.93	117.6	95.34
ADAMTS7	21.32	69.52	142.01	43.02	29.48	38.67	18.56	22.26	23.76	23.25	63.0	41.81	23.76	98.04	36.79	46.18	19.97	11.73	59.97	113.56	8.38	17.51	35.76	75.64	12.27	38.67	100.83	53.95	16.27	43.63	9.85	16.88	40.64	39.5	46.5	11.04	70.51	12.74	23.08	12.64	18.7	26.67	14.24	29.27	36.27	31.45	13.93	23.42	13.52	63.0	29.91	30.34	22.92	22.1	29.7	9.27	28.24	14.03	13.72	126.12	15.91	25.17	9.85	14.89	35.25	10.55	34.02	24.28	21.01	24.81	16.75	27.05	56.28	20.26	19.53	69.52	10.08	17.77	10.16	48.18	34.75	10.79	19.25	30.34	20.26	82.29	120.94	41.22	48.87	80.57	19.97	63.45	13.52	9.48	155.5	78.89
ADRA1A	1.38	28.86	60.39	3.38	3.17	8.32	12.27	1.95	1.66	2.41	3.03	3.72	13.52	14.35	5.87	6.73	9.56	3.08	4.06	35.25	4.24	5.23	4.7	31.9	4.98	5.28	20.41	16.03	3.06	18.16	0.69	8.06	10.47	20.11	19.25	1.3	6.41	2.71	10.0	4.9	0.0	1.97	2.86	5.63	2.12	10.0	2.46	6.31	3.72	9.93	13.72	6.21	18.29	6.26	2.29	9.27	6.41	2.71	2.81	24.28	5.06	13.42	1.45	4.21	16.51	3.0	3.32	4.78	6.46	22.75	7.28	3.26	6.89	5.77	4.35	8.45	2.94	12.45	5.15	16.15	26.28	5.36	3.14	14.14	5.63	11.3	15.34	18.16	17.0	18.7	3.72	17.9	8.32	3.47	37.59	25.35
ANGPT1	8.32	78.34	194.36	13.83	24.81	36.79	29.06	10.47	9.34	15.56	31.0	21.63	29.7	132.44	48.87	44.25	28.24	5.36	37.85	151.22	23.08	22.92	10.71	57.49	8.71	34.75	123.5	49.91	19.11	32.36	7.06	20.11	31.22	86.43	38.4	9.93	64.8	7.51	62.12	12.36	23.76	26.28	9.27	28.65	28.65	40.64	6.52	24.46	11.55	73.03	33.3	19.11	28.65	21.63	41.52	13.03	9.34	12.74	8.85	157.68	18.56	24.11	8.78	24.11	71.0	12.93	15.45	13.03	61.25	43.32	12.36	8.85	42.41	11.3	9.27	36.79	7.75	20.56	6.67	76.71	110.43	11.82	48.52	30.56	34.02	82.87	164.42	55.1	68.55	74.58	19.53	172.65	8.92	5.32	147.06	299.25
ANGPTL2	157.68	1250.98	4419.52	242.88	297.17	392.44	239.52	187.71	96.01	100.83	363.56	323.03	166.73	1923.14	454.09	435.55	223.41	112.77	260.38	1977.24	55.49	205.5	140.04	1457.23	224.97	221.86	1757.34	1151.06	166.73	674.59	51.35	152.28	412.0	503.95	638.15	265.87	928.3	103.69	277.2	108.14	148.09	309.83	171.45	211.31	155.5	414.87	98.73	532.74	158.79	813.63	277.2	277.2	334.46	146.03	351.14	190.34	120.94	159.9	31.67	1037.29	132.44	406.31	90.77	157.68	748.61	43.94	93.35	202.66	473.41	842.36	154.42	100.13	426.57	87.65	131.51	476.71	83.45	140.04	147.06	490.14	854.13	76.17	318.57	525.39	273.37	947.83	866.07	246.28	518.15	1407.55	146.03	878.17	181.28	65.72	1066.48	1991.0
AP000322.54	3.72	20.41	88.88	21.32	8.13	25.35	8.38	7.28	7.69	14.03	16.75	10.16	11.55	45.85	18.84	21.32	13.52	7.88	21.94	31.45	17.38	21.63	8.0	52.45	15.22	16.75	31.67	46.18	13.72	29.7	2.01	19.39	17.9	39.5	15.22	3.72	23.59	8.65	14.45	16.27	9.56	4.98	4.06	15.68	14.45	17.51	8.85	29.06	8.45	23.59	16.51	17.51	21.94	10.47	22.26	8.92	18.84	4.13	16.75	29.06	16.27	12.27	9.06	9.56	21.32	6.62	14.78	7.17	11.91	18.43	4.31	10.79	25.54	6.31	9.78	20.71	11.73	10.16	6.84	30.78	15.0	11.64	24.28	20.86	9.63	17.9	56.68	33.78	37.05	46.5	10.31	32.82	22.43	13.32	172.65	90.77
