	TCGA.E9.A228.01A.31R.A157.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.BH.A0C7.01B.11R.A115.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07
ABAT	239.52	995.0	1208.34	395.18	249.73	1304.15	981.29	571.05	518.15	665.29	45.85	120.1	256.78	27.84	90.14	75.64	175.07	70.01	68.55	229.72	162.14	72.52	131.51	180.02	69.03	64.8	256.78	133.36	195.72	156.59	82.29	155.5	249.73	113.56	108.14	53.19	109.66	176.29	66.18	35.76	275.28	52.82	17.77	59.97	64.8	27.05	94.67	0.0
ADAT1	1417.35	1225.22	974.5	981.29	860.08	679.29	884.29	1250.98	1369.04	872.1	356.05	536.45	854.13	460.44	403.5	616.37	599.49	718.08	536.45	612.11	723.08	656.11	497.0	665.29	480.04	660.68	854.13	514.56	591.22	748.61	441.64	379.04	830.75	587.13	507.46	551.56	854.13	1175.27	480.04	1044.52	356.05	595.34	825.0	579.04	426.57	848.22	511.0	0.0
AMFR	6983.79	3060.45	3742.05	7485.11	2090.03	1628.26	1857.6	3212.66	2816.11	2351.53	1477.58	1407.55	2018.8	1662.49	1088.92	1437.15	1794.29	1104.13	1268.46	2018.8	1806.78	1397.83	1457.23	1572.76	1529.73	1417.35	2018.8	1277.29	1781.89	1191.69	1447.15	1175.27	1397.83	2555.58	848.22	1066.48	1135.2	2520.38	1844.76	2018.8	1175.27	1183.45	1870.53	1127.35	1225.22	1685.71	1044.52	967.76
APEH	2047.0	2319.15	1806.78	3325.99	1175.27	2240.11	1685.71	3325.99	1277.29	2573.36	1104.13	1008.9	1628.26	1183.45	1073.91	872.1	1540.37	791.35	967.76	1617.0	1268.46	1030.12	1304.15	1561.89	1167.14	1044.52	1628.26	1447.15	1277.29	1044.52	1216.75	1498.22	1457.23	1628.26	974.5	1030.12	988.12	1883.54	1388.16	2075.59	1242.34	1268.46	1594.73	1350.18	1242.34	902.89	1313.23	0.0
ARHGAP8	1044.52	825.0	819.3	684.02	688.78	1508.65	728.11	915.51	460.44	1023.0	24.63	82.29	392.44	7.11	22.59	90.14	500.46	22.26	17.77	334.46	567.1	45.85	88.88	376.41	33.06	24.46	392.44	72.01	490.14	60.39	40.93	32.36	162.14	189.02	34.26	30.12	176.29	420.68	136.19	102.97	55.49	44.89	86.43	232.94	239.52	169.07	82.87	0.0
BSPRY	264.03	995.0	356.05	866.07	1498.22	1216.75	1605.83	591.22	551.56	612.11	3.79	75.11	260.38	1.28	7.17	27.84	323.03	1.43	2.12	353.59	412.0	19.97	76.71	232.94	4.46	4.94	260.38	57.49	316.37	1.93	17.64	3.56	128.79	218.79	25.54	32.59	141.02	435.55	49.21	15.0	29.27	18.16	74.58	239.52	180.02	25.72	109.66	0.0
C3orf83	69.03	70.51	92.05	47.17	154.42	65.72	85.22	149.12	92.7	124.37	0.41	8.71	22.59	1.13	2.18	6.01	23.25	2.81	0.0	42.41	40.07	3.2	5.59	20.71	0.78	2.05	22.59	3.56	28.45	5.96	3.26	2.86	10.88	10.47	0.0	5.87	20.41	47.5	10.96	17.0	18.97	18.97	4.98	28.65	2.97	12.55	21.78	0.0
C4orf21	153.34	82.87	84.04	159.9	83.45	58.3	73.54	114.36	99.43	138.1	19.53	26.1	52.82	18.16	33.54	25.72	66.18	39.79	18.29	43.94	81.71	21.32	34.26	47.84	43.32	36.27	52.82	36.53	74.58	42.71	21.16	29.91	37.59	24.46	14.89	27.84	65.26	59.97	87.03	25.72	24.46	29.27	33.78	80.57	49.56	49.21	40.36	0.0
CAMSAP3	363.56	420.68	450.94	521.76	325.29	1059.11	348.71	713.11	703.28	314.17	0.66	18.03	143.01	0.0	5.73	9.78	239.52	0.08	1.41	145.02	221.86	12.74	29.48	110.43	0.06	0.09	143.01	29.06	176.29	0.45	6.46	1.1	85.82	87.03	16.75	14.67	73.03	155.5	44.57	19.39	11.38	8.13	30.12	105.15	108.14	12.64	108.14	0.0
CCDC57	616.37	1037.29	1340.84	2255.7	890.44	1936.53	1175.27	1794.29	2178.83	1551.09	209.84	341.51	591.22	348.71	236.21	171.45	915.51	163.28	212.78	693.58	813.63	232.94	320.8	543.96	234.57	237.86	591.22	289.02	967.76	251.48	279.14	708.18	500.46	208.38	361.04	423.61	536.45	1159.07	591.22	403.5	301.33	131.51	204.07	693.58	607.87	341.51	271.48	432.53
