	GTEX.XBEC.1526.SM.4AT68	GTEX.13NZB.0626.SM.5IFH6	GTEX.RN64.1826.SM.48FDV	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.OHPK.2626.SM.2HMK9	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.XBEW.0126.SM.4AT66
ANAPC10	167.9	283.05	175.07	221.86	173.85	0.29	679.29	414.87	387.02	698.41	629.35	283.05	341.51	358.54	361.04	486.75	463.65	423.61	406.31	414.87	551.56	346.29	473.41	759.08	507.46	466.88	325.29	466.88	358.54	450.94	400.71	400.71
BCAS2	444.72	497.0	435.55	536.45	647.07	291.04	1437.15	1175.27	842.36	1151.06	1331.57	896.64	872.1	860.08	836.53	1143.1	1059.11	974.5	995.0	1001.93	1225.22	642.59	1151.06	1685.71	1183.45	1151.06	902.89	1175.27	1225.22	1044.52	1037.29	769.69
CAB39	327.56	476.71	273.37	409.15	389.72	0.79	1295.13	679.29	660.68	1135.2	1313.23	500.46	620.67	575.03	656.11	684.02	633.73	555.41	629.35	1119.56	909.17	633.73	738.29	2004.85	693.58	660.68	647.07	612.11	624.99	785.88	802.41	591.22
CALM2	4639.29	5633.22	2915.45	8247.98	4575.41	825.0	19618.49	16383.0	11189.6	16843.62	19754.96	10808.41	10659.59	9344.14	8421.31	13399.51	12160.22	11745.96	12244.81	12502.12	15607.02	7280.4	14867.79	18304.63	13399.51	12415.75	8421.31	13123.73	12244.81	10225.32	16269.83	8479.89
COMMD8	146.03	170.25	65.72	57.49	90.77	0.0	703.28	447.82	406.31	669.92	796.86	232.94	384.34	255.0	346.29	470.14	514.56	457.25	379.04	426.57	587.13	283.05	518.15	708.18	612.11	567.1	260.38	638.15	521.76	466.88	511.0	397.93
CWC27	136.19	93.35	69.03	118.43	78.89	0.42	414.87	318.57	329.84	486.75	447.82	221.86	307.69	301.33	289.02	363.56	366.09	346.29	301.33	381.68	432.53	291.04	384.34	559.28	341.51	351.14	285.03	348.71	289.02	339.14	320.8	275.28
DNAJC8	759.08	1104.13	872.1	703.28	866.07	0.89	3124.78	2351.53	2351.53	2591.27	2976.74	2032.85	2090.03	1870.53	2367.9	2335.28	2573.36	2224.63	2133.97	2451.44	2434.5	1991.0	2796.65	3235.01	2335.28	2367.9	1977.24	2384.37	2287.2	2434.5	2047.0	2163.77
DPM1	633.73	511.0	624.99	909.17	490.14	0.75	1340.84	1104.13	884.29	1175.27	1331.57	728.11	1015.93	890.44	915.51	974.5	1015.93	748.61	954.43	928.3	1286.18	693.58	1225.22	1519.15	1119.56	1044.52	848.22	947.83	961.07	1044.52	1081.39	830.75
EAPP	463.65	457.25	728.11	463.65	684.02	571.05	1388.16	1407.55	1199.98	1313.23	1001.93	909.17	1073.91	1135.2	1388.16	1199.98	1397.83	1051.79	941.27	1030.12	981.29	961.07	1519.15	1561.89	1250.98	1088.92	1208.34	1331.57	1359.57	1359.57	947.83	941.27
EIF3M	2255.7	2004.85	3081.75	3928.15	2777.33	1.0	7911.95	4972.34	4298.64	6037.61	7589.61	4937.99	4181.07	4358.66	5041.77	4607.24	5112.16	5517.27	6699.25	5594.3	6561.36	3901.01	5594.3	7130.55	5112.16	5751.61	5292.48	4836.35	5831.91	4836.35	6652.97	3690.52
EMC7	1015.93	1030.12	954.43	802.41	1175.27	0.57	2163.77	1844.76	1639.59	2627.46	2502.97	1286.18	1529.73	1594.73	1745.2	1781.89	1844.76	1991.0	1685.71	1605.83	2148.82	1088.92	1923.14	2384.37	2032.85	2193.99	1561.89	1883.54	2061.24	1819.35	1819.35	1216.75
