	TCGA.DK.A3WX.01A.22R.A22U.07	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A950.01A.11R.A42T.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.6954.01A.11R.1915.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A5QA.01A.11R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A94O.01A.11R.A414.31	TCGA.A5.A1OH.01A.21R.A22K.07
AAR2	1127.35	733.19	473.41	665.29	543.96	759.08	941.27	507.46	1015.93	420.68	587.13	521.76	688.78	457.25	371.22	587.13	1023.0	277.2	493.56	595.34	599.49	1216.75	480.04	432.53	389.72	1044.52	830.75	529.06	1477.58	567.1	1167.14	493.56	1015.93	775.05	384.34	536.45	599.49	532.74	665.29	583.07	1457.23	1397.83	1304.15
ACTR5	518.15	241.19	93.35	262.2	244.57	220.32	232.94	167.9	281.09	164.42	287.01	197.09	212.78	100.13	98.73	291.04	293.07	107.38	156.59	195.72	163.28	379.04	107.38	206.94	167.9	262.2	244.57	123.5	264.03	164.42	348.71	218.79	358.54	202.66	123.5	153.34	197.09	211.31	295.11	223.41	642.59	507.46	301.33
C20orf27	1685.71	1096.5	679.29	1674.06	1561.89	4836.35	1508.65	571.05	1721.16	830.75	1008.9	915.51	866.07	591.22	420.68	1088.92	974.5	264.03	376.41	1143.1	633.73	1487.87	764.36	947.83	743.43	2061.24	1242.34	536.45	1242.34	1127.35	2335.28	693.58	2555.58	1417.35	486.75	518.15	967.76	830.75	1286.18	961.07	2573.36	3515.68	2451.44
CDK5RAP1	1313.23	842.36	289.02	934.76	660.68	674.59	1044.52	409.15	1259.69	376.41	728.11	503.95	612.11	397.93	376.41	902.89	764.36	543.96	563.18	473.41	603.67	1388.16	466.88	551.56	947.83	1477.58	961.07	358.54	1437.15	412.0	1001.93	587.13	878.17	1044.52	336.79	363.56	708.18	454.09	1059.11	497.0	1369.04	1844.76	1909.85
CPNE1	10883.59	4512.4	2664.15	6207.38	7081.29	6164.49	8305.36	2739.08	6561.36	2758.13	3564.78	1857.6	4769.75	1639.59	1819.35	4010.71	5872.48	2209.26	2468.49	2720.15	3768.09	10084.54	3540.14	2935.74	4239.45	8479.89	6652.97	2816.11	12943.04	2739.08	8479.89	3039.3	9673.69	8022.41	2502.97	2976.74	4152.18	3540.14	4123.49	3589.58	13586.57	17078.76	11112.3
CRLS1	1551.09	1073.91	392.44	1008.9	1015.93	819.3	1561.89	693.58	1870.53	547.75	688.78	733.19	941.27	525.39	409.15	642.59	1051.79	265.87	674.59	612.11	525.39	1242.34	432.53	567.1	624.99	1721.16	1183.45	616.37	698.41	511.0	1529.73	603.67	2047.0	1651.0	387.02	567.1	759.08	713.11	967.76	587.13	4298.64	4543.8	2303.12
CRNKL1	738.29	866.07	624.99	708.18	466.88	525.39	928.3	412.0	860.08	309.83	441.64	303.44	426.57	318.57	287.01	432.53	819.3	273.37	351.14	316.37	339.14	1008.9	358.54	353.59	291.04	1023.0	633.73	271.48	688.78	387.02	684.02	299.25	1096.5	583.07	241.19	361.04	417.77	389.72	651.58	392.44	995.0	1331.57	1508.65
DDRGK1	3168.41	2004.85	860.08	1685.71	1605.83	1268.46	2032.85	780.44	1561.89	1001.93	1407.55	1250.98	1199.98	825.0	1167.14	1277.29	1397.83	934.76	1250.98	1135.2	1183.45	2384.37	1378.57	1096.5	1427.22	2520.38	1199.98	1175.27	1359.57	1037.29	1733.13	1417.35	2075.59	2209.26	1104.13	748.61	1529.73	896.64	1781.89	1183.45	2609.3	4481.23	1896.65
DDX27	1923.14	1322.37	366.09	1313.23	915.51	1233.75	1417.35	417.77	1617.0	656.11	1001.93	890.44	988.12	591.22	575.03	1208.34	1487.87	417.77	679.29	647.07	813.63	2609.3	842.36	769.69	1008.9	1819.35	1277.29	647.07	1322.37	764.36	1651.0	1199.98	1781.89	1457.23	518.15	684.02	842.36	1030.12	1369.04	791.35	2351.53	3419.52	1991.0
DHX35	251.48	127.89	25.91	181.28	273.37	583.07	301.33	53.19	214.27	58.71	111.21	56.28	99.43	64.34	76.71	154.42	165.57	53.19	85.22	76.71	94.67	363.56	71.5	97.36	94.67	228.13	159.9	81.14	128.79	93.35	303.44	127.0	248.0	101.54	38.95	78.89	98.04	110.43	218.79	61.68	796.86	718.08	379.04
