	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.11P7K.1826.SM.5HL5A	GTEX.ZDTS.2726.SM.5L3E2	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.148VI.1226.SM.5RQJR	GTEX.13VXT.1826.SM.5KM2F	GTEX.13OVL.2726.SM.5J2MP	GTEX.12WSL.1226.SM.5DUXE	GTEX.Y111.1726.SM.4SOIQ	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZAB4.1226.SM.5CVN5	GTEX.ZPU1.1326.SM.57WE1	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.ZPCL.1226.SM.4WWFF	GTEX.U3ZN.1826.SM.4DXUY	GTEX.OHPM.0726.SM.3LK7A	GTEX.X3Y1.1226.SM.4PQZ8	GTEX.T2IS.0926.SM.4DM5B	GTEX.ZE7O.0826.SM.57WCP	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GN.11A.12R.A251.31	GTEX.13X6H.1626.SM.5Q5CT	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
ALS2CL	75.64	109.66	78.89	137.14	255.0	187.71	108.14	45.53	82.87	135.24	669.92	163.28	195.72	133.36	299.25	679.29	277.2	633.73	228.13	791.35	182.55	733.19	299.25	381.68	473.41	674.59	1008.9	521.76	547.75	167.9	348.71	74.06	848.22	260.38	457.25	265.87	642.59	595.34	143.01	265.87	98.04	239.52	483.38	3467.27	86.43	43.94	43.32	158.79	155.5	147.06	65.26	77.25	107.38	36.01	55.89	26.86	55.1	48.52	90.14
AMDHD2	279.14	241.19	256.78	260.38	384.34	376.41	379.04	148.09	351.14	205.5	961.07	420.68	551.56	297.17	493.56	909.17	532.74	624.99	708.18	698.41	244.57	764.36	532.74	454.09	414.87	775.05	854.13	753.83	616.37	309.83	825.0	220.32	503.95	361.04	521.76	493.56	896.64	629.35	253.23	429.54	204.07	486.75	693.58	551.56	334.46	190.34	291.04	334.46	420.68	251.48	316.37	228.13	237.86	231.32	134.3	201.25	253.23	273.37	381.68
AP4B1	159.9	143.01	166.73	178.77	363.56	260.38	281.09	116.78	215.77	191.67	279.14	289.02	332.14	231.32	409.15	860.08	361.04	417.77	447.82	579.04	236.21	890.44	397.93	426.57	435.55	748.61	836.53	909.17	620.67	256.78	642.59	201.25	665.29	277.2	579.04	318.57	703.28	579.04	201.25	353.59	202.66	291.04	603.67	629.35	193.01	186.4	154.42	323.03	486.75	226.54	201.25	202.66	181.28	131.51	90.77	73.54	138.1	169.07	221.86
APBB3	120.94	237.86	226.54	208.38	351.14	389.72	493.56	176.29	214.27	157.68	571.05	379.04	665.29	293.07	802.41	1199.98	718.08	1008.9	651.58	1066.48	320.8	1378.57	599.49	854.13	1233.75	1183.45	1437.15	1467.37	830.75	403.5	1457.23	295.11	1313.23	473.41	954.43	642.59	1388.16	1127.35	214.27	476.71	262.2	470.14	1135.2	583.07	323.03	214.27	214.27	417.77	587.13	327.56	476.71	368.65	406.31	190.34	180.02	108.14	109.66	151.22	361.04
AZI1	190.34	115.97	117.6	127.0	185.11	159.9	232.94	72.01	74.58	132.44	228.13	223.41	144.01	156.59	186.4	591.22	248.0	327.56	201.25	450.94	106.63	473.41	209.84	358.54	435.55	444.72	368.65	325.29	341.51	176.29	316.37	78.89	275.28	143.01	253.23	239.52	450.94	307.69	92.7	170.25	118.43	191.67	363.56	775.05	104.42	119.26	69.52	137.14	246.28	137.14	146.03	120.1	149.12	85.82	45.53	39.5	44.57	55.49	148.09
BRF1	332.14	353.59	353.59	303.44	429.54	371.22	417.77	194.36	267.73	236.21	417.77	463.65	493.56	473.41	493.56	723.08	438.59	775.05	450.94	836.53	412.0	1104.13	547.75	616.37	647.07	748.61	743.43	688.78	612.11	392.44	642.59	363.56	624.99	389.72	733.19	591.22	802.41	583.07	343.89	429.54	406.31	441.64	638.15	1044.52	384.34	343.89	327.56	412.0	521.76	368.65	476.71	366.09	363.56	221.86	229.72	244.57	224.97	361.04	371.22
BTN3A1	175.07	224.97	226.54	202.66	218.79	432.53	327.56	75.11	231.32	156.59	429.54	346.29	323.03	162.14	323.03	802.41	420.68	665.29	215.77	414.87	119.26	587.13	293.07	220.32	775.05	813.63	679.29	612.11	454.09	271.48	796.86	175.07	651.58	255.0	339.14	480.04	660.68	441.64	84.63	264.03	115.97	246.28	595.34	2240.11	275.28	145.02	236.21	507.46	441.64	307.69	234.57	208.38	234.57	175.07	93.35	83.45	145.02	134.3	195.72
C1orf35	267.73	244.57	329.84	289.02	387.02	363.56	454.09	136.19	267.73	186.4	483.38	476.71	316.37	316.37	381.68	599.49	376.41	559.28	486.75	684.02	262.2	669.92	532.74	547.75	612.11	638.15	579.04	612.11	551.56	346.29	514.56	228.13	400.71	353.59	460.44	547.75	620.67	536.45	309.83	277.2	244.57	309.83	638.15	802.41	497.0	307.69	387.02	346.29	543.96	368.65	351.14	314.17	316.37	181.28	133.36	172.65	236.21	226.54	312.0
C20orf96	126.12	85.82	111.99	127.0	206.94	189.02	239.52	68.07	120.1	76.71	269.6	148.09	129.69	163.28	195.72	318.57	316.37	242.88	175.07	483.38	140.04	454.09	318.57	323.03	447.82	591.22	397.93	483.38	490.14	146.03	551.56	117.6	454.09	265.87	444.72	312.0	500.46	529.06	143.01	180.02	119.26	172.65	555.41	1143.1	150.17	108.9	185.11	208.38	218.79	177.53	242.88	129.69	218.79	56.28	96.68	90.77	60.82	119.26	137.14
CHTF18	134.3	74.06	60.82	42.11	144.01	167.9	46.18	92.7	68.07	77.25	540.19	299.25	87.65	59.55	167.9	381.68	126.12	343.89	166.73	327.56	94.01	470.14	114.36	273.37	204.07	336.79	251.48	323.03	336.79	68.07	289.02	43.32	318.57	91.41	267.73	193.01	287.01	356.05	56.28	204.07	56.68	166.73	307.69	312.0	86.43	94.67	62.56	105.15	166.73	102.97	55.89	71.5	72.01	54.72	51.71	31.0	52.45	53.19	87.65
