	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.132NY.0926.SM.5P9G3	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG
ABHD17B	241.19	476.71	373.81	497.0	409.15	703.28	454.09	432.53	400.71	387.02	189.02	173.85	118.43	226.54	242.88	170.25	205.5	112.77	376.41	0.53	163.28	397.93
ARFGEF1	457.25	884.29	1073.91	802.41	612.11	529.06	476.71	981.29	808.0	400.71	258.57	253.23	129.69	283.05	334.46	283.05	258.57	291.04	320.8	0.79	368.65	825.0
ARHGAP27	178.77	6381.92	2875.3	2935.74	13123.73	3212.66	4639.29	2758.13	808.0	1216.75	53.57	24.11	65.72	52.08	113.56	57.89	111.21	52.82	138.1	1.03	934.76	713.11
ARID3B	50.27	189.02	134.3	110.43	129.69	98.04	96.68	137.14	82.29	80.57	52.45	29.91	24.99	31.67	42.41	27.64	38.4	35.76	54.33	0.73	162.14	62.56
ARRDC1	1242.34	2075.59	1561.89	819.3	2148.82	1561.89	1832.01	1991.0	1909.85	1540.37	629.35	638.15	836.53	791.35	759.08	656.11	521.76	514.56	836.53	162.14	1242.34	1794.29
ASH1L	132.44	291.04	444.72	273.37	224.97	341.51	269.6	287.01	143.01	151.22	66.65	55.49	24.11	66.18	111.99	60.82	57.89	73.03	137.14	0.67	151.22	283.05
BECN1	884.29	2061.24	1819.35	1662.49	1250.98	1991.0	1594.73	1936.53	1277.29	1709.26	660.68	713.11	684.02	660.68	884.29	878.17	808.0	813.63	660.68	0.79	1909.85	1313.23
C10orf12	16.51	75.11	90.14	28.04	63.0	56.68	25.35	85.22	33.78	48.87	8.0	5.82	9.06	18.56	15.91	12.09	12.83	12.45	21.01	0.18	21.63	48.87
CAMK2G	226.54	1051.79	1388.16	339.14	947.83	836.53	1733.13	665.29	387.02	387.02	124.37	127.0	124.37	120.1	214.27	194.36	134.3	221.86	273.37	0.55	327.56	551.56
CDKN2AIP	248.0	733.19	392.44	303.44	733.19	423.61	376.41	397.93	395.18	271.48	178.77	180.02	65.72	194.36	175.07	164.42	173.85	127.89	376.41	0.13	138.1	397.93
CLDN4	486.75	32315.87	59063.35	2997.45	20310.37	25887.07	68793.23	12244.81	6294.04	2777.33	33.3	95.34	97.36	92.7	95.34	59.13	248.0	8.0	674.59	0.03	1519.15	29943.43
CLINT1	1437.15	1605.83	1572.76	2758.13	2664.15	1757.34	1709.26	1769.57	1651.0	974.5	884.29	830.75	647.07	1111.82	1498.22	842.36	890.44	848.22	1487.87	0.64	1073.91	2047.0
CS	1175.27	3589.58	2758.13	1857.6	3081.75	3443.31	3665.02	2796.65	1806.78	2758.13	587.13	603.67	769.69	651.58	854.13	591.22	698.41	450.94	1781.89	285.03	2451.44	3639.7
CTD-2583A14.10	22.59	72.01	88.26	11.47	52.45	43.94	16.63	72.01	5.02	24.81	17.13	15.8	0.0	23.76	14.89	0.0	12.45	11.91	24.11	0.23	33.06	28.86
DAZAP2	4769.75	7803.01	5329.3	23009.42	4512.4	6294.04	5183.54	7382.04	3665.02	4181.07	3467.27	3690.52	4869.99	3982.99	4210.15	3982.99	4038.61	3716.2	4152.18	3212.66	10659.59	6792.79
DLG3	60.39	536.45	660.68	301.33	536.45	229.72	486.75	647.07	332.14	432.53	30.12	25.72	20.26	32.13	45.21	23.93	43.63	11.91	232.94	0.53	253.23	620.67
FRAT2	265.87	579.04	476.71	152.28	193.01	688.78	293.07	435.55	114.36	540.19	201.25	241.19	169.07	162.14	175.07	150.17	189.02	133.36	406.31	0.41	379.04	371.22
GGA3	287.01	961.07	1417.35	1225.22	995.0	902.89	808.0	802.41	457.25	547.75	175.07	164.42	194.36	135.24	226.54	156.59	139.07	199.85	264.03	1.0	708.18	540.19
GPATCH8	180.02	607.87	514.56	500.46	376.41	444.72	314.17	409.15	187.71	348.71	66.65	46.18	51.71	66.18	127.0	56.28	82.87	68.55	161.02	0.6	202.66	287.01
ILF2	1295.13	5329.3	4869.99	3564.78	2997.45	5112.16	3124.78	3124.78	1662.49	4869.99	915.51	967.76	1023.0	995.0	1508.65	1259.69	1081.39	1467.37	1378.57	0.87	3794.3	3103.19
KANSL1	339.14	1119.56	884.29	718.08	665.29	743.43	708.18	688.78	460.44	698.41	187.71	150.17	111.99	191.67	217.27	161.02	204.07	161.02	312.0	0.79	312.0	400.71
KIAA0947	127.89	214.27	343.89	193.01	169.07	209.84	182.55	241.19	81.71	178.77	69.52	51.35	29.7	63.45	101.54	63.45	73.03	55.49	111.21	0.57	131.51	176.29
KLF5	108.14	11112.3	7081.29	5517.27	6699.25	5831.91	29736.59	5517.27	2351.53	5954.47	14.03	33.78	11.3	22.43	34.26	38.12	152.28	3.2	162.14	0.16	723.08	3372.43
KPNA2	285.03	4736.79	2855.44	2224.63	1350.18	1487.87	1605.83	4239.45	896.64	3540.14	223.41	220.32	183.82	291.04	271.48	224.97	332.14	180.02	323.03	0.54	836.53	947.83
LCOR	90.14	255.0	363.56	132.44	193.01	175.07	129.69	320.8	92.05	159.9	61.25	47.5	17.77	50.98	78.89	32.59	53.95	84.63	108.9	56.68	57.49	241.19
MCRS1	693.58	1233.75	1250.98	1175.27	1340.84	1417.35	1111.82	1151.06	607.87	1051.79	551.56	441.64	483.38	426.57	507.46	454.09	389.72	493.56	660.68	0.34	1015.93	1259.69
MYO1D	356.05	1806.78	1697.45	802.41	825.0	1259.69	1605.83	1340.84	1561.89	1127.35	165.57	194.36	289.02	206.94	339.14	217.27	273.37	100.83	206.94	0.77	303.44	669.92
NSF	205.5	791.35	679.29	480.04	599.49	381.68	309.83	878.17	532.74	656.11	139.07	119.26	211.31	149.12	325.29	217.27	248.0	256.78	267.73	0.4	738.29	612.11
NUP153	234.57	540.19	543.96	521.76	417.77	669.92	420.68	429.54	273.37	532.74	133.36	143.01	144.01	175.07	248.0	152.28	193.01	112.77	251.48	0.61	309.83	353.59
NUP188	244.57	1407.55	1183.45	591.22	1015.93	1037.29	974.5	759.08	318.57	759.08	128.79	92.05	106.63	121.79	169.07	97.36	111.99	97.36	150.17	0.77	497.0	587.13
PA2G4	1277.29	4736.79	4239.45	3639.7	4038.61	4450.27	6426.31	4123.49	2664.15	5112.16	1250.98	988.12	974.5	1167.14	1407.55	1096.5	1457.23	1225.22	1008.9	180.02	3847.29	2935.74
