	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.XF.AAN0.01A.11R.A42T.07	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.XF.AAMQ.01A.11R.A42T.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.MA.AA43.01A.11R.A42T.07	TCGA.AA.A02K.01A.03R.A32Y.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4628.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5423.01A.01R.1628.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6968.11A.01R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4625.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.Y111.1026.SM.4TT22	GTEX.147JS.1226.SM.5RQK4	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.1212Z.1026.SM.5EGJ8	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZYT6.0526.SM.5GIEA	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T2IS.0526.SM.32QP9	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	TCGA.22.1017.01A.01R.0692.07	TCGA.58.8386.11A.01R.2296.07	TCGA.77.7335.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.56.7580.11A.01R.2045.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.AG.3591.01A.01R.1736.07	TCGA.E6.A2P8.01A.11R.A19W.07	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EO.A22X.01A.11R.A180.07
ABI2	669.92	279.14	332.14	417.77	441.64	353.59	567.1	339.14	575.03	348.71	503.95	214.27	314.17	363.56	532.74	759.08	392.44	358.54	406.31	409.15	251.48	305.55	854.13	518.15	476.71	753.83	753.83	981.29	753.83	684.02	616.37	543.96	571.05	836.53	733.19	620.67	473.41	728.11	738.29	603.67	860.08	753.83	674.59	759.08	698.41	536.45	796.86	934.76	547.75	785.88	642.59	733.19	532.74	791.35	480.04	733.19	698.41	665.29	366.09	503.95	571.05	603.67	366.09	412.0	486.75	187.71	473.41
ACKR4	34.51	8.71	47.5	25.35	53.95	11.3	47.5	22.26	1.48	1.73	13.32	15.91	0.0	42.11	28.65	31.67	164.42	118.43	441.64	403.5	164.42	248.0	796.86	587.13	500.46	68.55	529.06	928.3	287.01	1991.0	221.86	466.88	312.0	260.38	514.56	112.77	155.5	1639.59	620.67	339.14	447.82	738.29	902.89	79.45	279.14	521.76	242.88	620.67	234.57	718.08	414.87	256.78	483.38	414.87	426.57	231.32	339.14	40.36	173.85	420.68	426.57	265.87	2.78	2.97	9.41	2.03	16.39
ADAMTSL3	1.6	10.31	11.91	0.87	2.63	29.27	5.59	5.11	0.62	2.41	2.18	7.75	0.0	12.27	8.58	6.11	66.18	67.59	111.21	131.51	85.22	164.42	400.71	151.22	57.89	229.72	872.1	403.5	718.08	540.19	89.51	426.57	343.89	237.86	327.56	108.14	166.73	1111.82	708.18	212.78	575.03	599.49	248.0	223.41	470.14	368.65	195.72	334.46	60.39	363.56	493.56	163.28	258.57	348.71	175.07	551.56	108.14	15.56	82.87	175.07	176.29	161.02	0.29	4.46	10.71	0.45	2.94
ADC	55.1	29.91	107.38	30.34	185.11	36.53	17.9	190.34	24.99	75.11	72.01	127.89	0.0	218.79	84.63	186.4	43.94	38.67	65.72	53.57	56.28	68.07	98.73	197.09	73.54	204.07	218.79	76.71	162.14	183.82	78.34	198.47	125.24	171.45	92.7	147.06	88.88	205.5	128.79	137.14	191.67	180.02	175.07	165.57	214.27	205.5	144.01	148.09	36.79	187.71	208.38	103.69	176.29	129.69	146.03	89.51	127.0	40.07	94.67	57.08	70.51	76.17	384.34	105.15	96.01	48.87	64.34
ADPRH	201.25	159.9	312.0	126.12	58.3	42.71	275.28	44.25	35.25	22.26	108.9	158.79	0.0	156.59	98.73	73.03	397.93	571.05	314.17	409.15	507.46	346.29	285.03	303.44	387.02	172.65	343.89	703.28	567.1	693.58	229.72	371.22	441.64	332.14	454.09	460.44	229.72	339.14	503.95	579.04	303.44	242.88	599.49	796.86	358.54	339.14	325.29	237.86	323.03	802.41	387.02	915.51	842.36	397.93	463.65	420.68	466.88	127.89	358.54	417.77	450.94	438.59	69.52	98.73	93.35	11.47	68.07
AKNAD1	19.97	1.75	3.0	29.91	0.35	0.64	0.0	13.83	38.4	80.01	3.06	0.36	0.0	8.58	2.07	0.39	3.23	0.83	13.83	34.75	9.78	0.0	10.39	9.06	3.35	0.36	18.43	16.88	53.95	21.94	0.88	26.1	34.26	9.7	10.0	26.1	3.5	18.16	18.43	27.44	17.0	27.44	24.99	12.83	6.67	11.47	11.3	13.62	4.7	21.01	32.59	4.21	29.7	4.46	7.06	5.41	8.19	2.1	14.45	24.28	22.1	12.83	10.39	17.77	0.0	1.79	0.0
AL163636.6	30.12	63.45	87.03	1.77	60.82	125.24	45.21	65.26	299.25	283.05	51.35	115.16	0.0	305.55	201.25	307.69	406.31	260.38	728.11	947.83	529.06	53.19	591.22	764.36	947.83	1457.23	1208.34	202.66	4736.79	1427.22	197.09	791.35	733.19	1143.1	0.0	316.37	126.12	1709.26	723.08	624.99	525.39	2664.15	848.22	1498.22	607.87	825.0	186.4	503.95	314.17	1359.57	1183.45	1030.12	1175.27	1104.13	981.29	947.83	571.05	624.99	353.59	808.0	698.41	493.56	146.03	420.68	264.03	68.07	21.16
AMN1	217.27	64.34	209.84	198.47	136.19	133.36	204.07	151.22	73.54	111.21	139.07	269.6	0.0	262.2	336.79	368.65	180.02	135.24	271.48	397.93	231.32	108.9	232.94	153.34	208.38	129.69	204.07	450.94	215.77	348.71	152.28	256.78	201.25	154.42	187.71	108.14	70.51	426.57	232.94	307.69	120.1	228.13	246.28	297.17	150.17	90.77	232.94	223.41	89.51	239.52	406.31	176.29	187.71	186.4	169.07	111.99	176.29	172.65	239.52	316.37	211.31	158.79	194.36	120.1	18.84	10.79	204.07
ANGPT1	15.11	15.91	18.29	47.84	7.51	22.92	5.32	13.83	30.78	4.39	68.07	57.08	0.0	114.36	24.11	156.59	204.07	194.36	414.87	909.17	518.15	146.03	503.95	258.57	99.43	327.56	1617.0	1397.83	1233.75	1769.57	255.0	775.05	2271.4	493.56	728.11	813.63	490.14	1806.78	2224.63	703.28	718.08	688.78	1583.71	1242.34	633.73	236.21	872.1	1277.29	423.61	723.08	1044.52	830.75	1104.13	995.0	246.28	406.31	791.35	22.43	389.72	1331.57	796.86	363.56	21.78	16.75	7.46	1.36	10.55
ANKRD29	10.79	140.04	320.8	170.25	19.53	22.75	22.75	164.42	139.07	9.85	29.48	147.06	0.0	486.75	234.57	373.81	802.41	713.11	1295.13	1191.69	733.19	511.0	3794.3	486.75	1008.9	693.58	872.1	4419.52	2520.38	273.37	819.3	1242.34	1397.83	2835.7	387.02	490.14	400.71	4010.71	6607.01	2915.45	2468.49	775.05	3060.45	890.44	1304.15	2895.31	728.11	3124.78	769.69	1844.76	348.71	3874.05	651.58	4736.79	1844.76	1199.98	1268.46	134.3	723.08	1023.0	1427.22	1216.75	162.14	112.77	35.0	51.71	13.93
