	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.13FTX.0526.SM.5IFGS	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.O5YV.1026.SM.3LK72	GTEX.13QJ3.1726.SM.5RQK9	GTEX.T5JC.1726.SM.4DM6U	GTEX.1399R.0826.SM.5IJEL	GTEX.13OVI.2626.SM.5KM4T	GTEX.14DAQ.1426.SM.5RQJD	GTEX.W5WG.1626.SM.4LMKG	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.X585.1226.SM.46MW7	GTEX.ZVT2.1326.SM.5E45H	GTEX.PLZ4.1626.SM.3P618	GTEX.11P81.0826.SM.5P9GR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.YEC3.2526.SM.4YCDN	GTEX.N7MT.0326.SM.48TDP	GTEX.14E1K.1226.SM.5S2PD	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.ZPCL.1426.SM.57WEC	GTEX.P4PQ.0626.SM.3NMCU	GTEX.OIZG.1026.SM.3LK5X	GTEX.14AS3.0626.SM.5QGQD	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ADSL	341.51	629.35	934.76	1268.46	934.76	1183.45	723.08	1208.34	915.51	909.17	679.29	915.51	1088.92	909.17	1191.69	728.11	718.08	507.46	420.68	575.03	389.72	543.96	466.88	587.13	466.88	441.64	417.77	540.19	466.88	536.45	665.29	591.22	563.18	555.41	529.06	536.45	624.99	567.1	507.46	253.23	583.07	432.53	473.41	540.19	559.28	303.44	575.03	603.67	426.57	536.45	769.69	915.51	679.29	1081.39	854.13	563.18	796.86	1685.71	679.29	1175.27	813.63	753.83	830.75	748.61
AIMP2	511.0	1242.34	884.29	1277.29	723.08	872.1	651.58	1397.83	928.3	693.58	708.18	1104.13	1242.34	974.5	1870.53	961.07	629.35	379.04	423.61	438.59	218.79	435.55	500.46	339.14	287.01	231.32	368.65	387.02	473.41	291.04	674.59	432.53	559.28	242.88	457.25	325.29	583.07	599.49	438.59	251.48	674.59	209.84	441.64	591.22	409.15	169.07	460.44	579.04	547.75	493.56	753.83	1073.91	723.08	759.08	830.75	819.3	1127.35	1605.83	981.29	1096.5	1104.13	878.17	1066.48	1015.93
ALYREF	2367.9	1487.87	1950.0	2591.27	1977.24	4010.71	1427.22	2682.69	1685.71	2609.3	1519.15	2451.44	2451.44	1745.2	2777.33	2133.97	1769.57	1119.56	909.17	1073.91	802.41	1369.04	1119.56	1359.57	995.0	769.69	836.53	1322.37	1104.13	1096.5	1331.57	1030.12	1259.69	688.78	1225.22	830.75	1709.26	1427.22	1259.69	1417.35	1427.22	928.3	1417.35	1277.29	1208.34	848.22	854.13	1519.15	1159.07	1447.15	2075.59	2777.33	2148.82	2047.0	2032.85	1844.76	2739.08	3515.68	4512.4	3491.39	2384.37	2997.45	2895.31	2502.97
ANXA1	1970321.01	447025.24	721179.07	573724.06	345900.08	234624.45	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	316094.29	453265.5	365622.68	329517.51	1364554.84	208544.12	162489.97	233003.78	184082.4	211455.3	244588.0	277089.94	141455.6	136637.07	128373.58	246289.25	194578.47	140478.49	217400.14	190574.09	269512.87	105727.15	211455.3	129266.49	239554.43	189257.69	279017.26	244588.0	211455.3	102125.66	209994.66	207103.59	225066.78	198667.0	163620.18	211455.3	205673.01	294926.33	324980.94	191899.64	313910.86	437825.58	225066.78	301123.38	303217.87	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
BCCIP	703.28	1037.29	738.29	1159.07	1487.87	1096.5	860.08	1127.35	954.43	974.5	669.92	878.17	848.22	1216.75	1081.39	1008.9	624.99	733.19	703.28	753.83	642.59	842.36	780.44	1059.11	693.58	514.56	603.67	808.0	698.41	703.28	947.83	674.59	872.1	638.15	764.36	764.36	1151.06	842.36	988.12	629.35	974.5	718.08	878.17	902.89	808.0	620.67	836.53	1015.93	733.19	995.0	1304.15	1508.65	1250.98	1073.91	1388.16	1008.9	1304.15	1896.65	878.17	2075.59	1044.52	791.35	1001.93	1175.27
CCT2	2351.53	2645.74	2935.74	3325.99	3665.02	3039.3	3039.3	2777.33	2935.74	3018.3	1977.24	2400.97	2956.17	2627.46	3124.78	2609.3	1628.26	1427.22	1350.18	1540.37	1135.2	1870.53	1529.73	1883.54	1225.22	1135.2	1073.91	1685.71	1216.75	1143.1	2032.85	1159.07	1977.24	1277.29	1745.2	1437.15	2956.17	1583.71	2032.85	1721.16	2119.22	947.83	2090.03	1806.78	1519.15	1322.37	1498.22	2004.85	1119.56	2335.28	3081.75	5633.22	2645.74	3081.75	3212.66	1883.54	2645.74	5995.9	2956.17	6561.36	2384.37	2209.26	2591.27	2739.08
CCT3	3874.05	6652.97	4639.29	5954.47	5183.54	5076.84	3639.7	5112.16	4639.29	5672.41	3235.01	4298.64	4639.29	4010.71	5479.15	4328.55	3443.31	2816.11	2835.7	2720.15	2319.15	2855.44	2485.67	2591.27	2682.69	2240.11	1909.85	3124.78	1977.24	1896.65	3325.99	2400.97	3564.78	2148.82	2468.49	2400.97	4095.0	2485.67	3372.43	1561.89	3190.46	2090.03	3564.78	2935.74	3081.75	2664.15	2485.67	3212.66	2915.45	3564.78	4802.93	5555.65	4358.66	3820.7	5255.91	3325.99	4639.29	6250.56	4802.93	8598.28	4836.35	4239.45	5441.3	5041.77
CCT4	2855.44	4388.98	2468.49	3742.05	4038.61	6652.97	2664.15	3564.78	3491.39	3742.05	2417.67	2384.37	4268.94	3515.68	4038.61	2555.58	2287.2	2090.03	1950.0	2384.37	1721.16	2240.11	2319.15	1963.57	2032.85	1477.58	1806.78	2193.99	1685.71	1467.37	2591.27	2133.97	2627.46	1794.29	1697.45	1950.0	2835.7	1769.57	3103.19	1883.54	2573.36	1662.49	2537.92	1977.24	2061.24	1674.06	1709.26	2555.58	1870.53	2855.44	2976.74	3280.18	2997.45	3419.52	2956.17	2104.58	2777.33	4736.79	2816.11	4298.64	2875.3	2796.65	3168.41	3235.01
CCT5	4152.18	5711.87	4152.18	7695.57	4903.87	4419.52	4152.18	5672.41	8421.31	5672.41	3419.52	4736.79	5517.27	4450.27	9215.48	5329.3	3742.05	3257.52	3018.3	3039.3	2271.4	3928.15	3081.75	3325.99	3146.52	1794.29	2148.82	3540.14	2520.38	2119.22	4450.27	2335.28	4298.64	1651.0	3280.18	2701.35	4869.99	2956.17	4268.94	2816.11	4239.45	2032.85	3716.2	3564.78	3589.58	2061.24	2976.74	3768.09	3467.27	4152.18	4937.99	6381.92	4869.99	5041.77	5255.91	4095.0	5329.3	8658.09	7280.4	9474.59	5479.15	3982.99	5791.62	6381.92
CCT6A	2915.45	5633.22	3190.46	3639.7	4419.52	4239.45	3614.55	3168.41	4123.49	4836.35	2664.15	3146.52	5329.3	4210.15	3589.58	3168.41	2240.11	2004.85	1844.76	2148.82	1639.59	2224.63	1991.0	2417.67	1819.35	2224.63	2061.24	2271.4	1896.65	1662.49	2997.45	1896.65	2573.36	2485.67	2061.24	2271.4	3349.13	2047.0	2739.08	2032.85	2645.74	2119.22	3124.78	2468.49	2104.58	2573.36	1909.85	2451.44	1857.6	2835.7	3901.01	4328.55	3540.14	2997.45	3820.7	3257.52	3589.58	6516.03	4298.64	7032.37	3060.45	3467.27	3820.7	5594.3
