	TCGA.ZF.A9RN.01A.11R.A42T.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.T2IS.1526.SM.32QPR	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EY.A1GX.01A.12R.A13S.07	GTEX.PWOO.1526.SM.48TCK
ADRA1D	0.58	2.94	3.63	0.43	3.79	2.71	1.43	4.39	5.45	1.13	2.12	1.43	4.66	3.72	1.1	1.57	1.45	0.73	1.73	2.71	2.05	1.46	7.22	2.66	7.11	6.01	3.89	3.32	18.43	2.36	5.63	7.82	5.82	8.65	5.73	6.26	16.15	2.94	3.06	8.45	217.27	226.54	0.43	0.0	0.37	0.42	0.43	77.79
BDKRB1	36.79	76.17	2.07	5.73	7.06	14.35	12.74	21.32	21.78	12.64	9.06	9.27	24.46	5.96	9.63	6.73	7.46	0.0	1.99	9.06	3.14	3.32	21.47	5.23	22.43	14.14	33.78	28.04	20.71	15.11	49.21	98.04	11.64	47.5	32.59	18.43	29.27	13.12	2.1	26.86	480.04	490.14	6.57	0.0	0.0	5.92	2.43	420.68
CCL19	28.65	55.89	229.72	500.46	981.29	457.25	146.03	802.41	3820.7	166.73	1.79	397.93	264.03	100.13	0.0	854.13	18.7	9.56	108.14	187.71	88.88	339.14	327.56	202.66	1437.15	1745.2	934.76	476.71	5954.47	3060.45	275.28	8247.98	59.13	1628.26	414.87	954.43	1359.57	620.67	218.79	2835.7	6037.61	15934.98	165.57	0.0	0.0	4.03	0.0	6745.86
CD248	180.02	438.59	185.11	248.0	728.11	902.89	376.41	507.46	1191.69	180.02	244.57	295.11	860.08	836.53	147.06	575.03	295.11	72.01	414.87	339.14	420.68	332.14	928.3	363.56	2004.85	688.78	1594.73	688.78	2701.35	967.76	316.37	1857.6	607.87	2875.3	1037.29	1111.82	703.28	381.68	379.04	813.63	8840.04	4298.64	45.53	0.0	0.24	183.82	65.26	5791.62
CNRIP1	28.86	164.42	105.89	69.52	180.02	126.12	135.24	251.48	334.46	70.51	80.01	58.71	190.34	262.2	109.66	140.04	52.82	69.52	154.42	88.26	57.49	58.3	379.04	183.82	384.34	215.77	457.25	248.0	1143.1	255.0	258.57	1208.34	262.2	412.0	559.28	759.08	860.08	98.73	305.55	540.19	1457.23	1508.65	17.64	0.0	0.62	27.84	27.05	1331.57
CORO2B	2.86	19.53	5.68	10.31	32.59	24.46	20.86	36.79	51.71	9.85	16.63	8.58	26.1	52.08	16.27	21.63	16.39	24.99	20.86	13.32	11.13	10.79	103.69	105.89	92.05	82.87	147.06	130.6	173.85	37.32	95.34	366.09	146.03	314.17	64.8	220.32	165.57	23.59	30.34	146.03	124.37	85.22	3.69	0.0	0.24	0.84	7.11	256.78
CRLF1	56.68	40.93	33.3	48.87	63.45	105.15	27.84	139.07	187.71	127.89	23.93	30.12	166.73	191.67	105.89	45.85	76.17	80.57	53.57	56.68	35.25	63.45	209.84	532.74	178.77	242.88	58.3	23.59	563.18	135.24	127.0	400.71	400.71	256.78	199.85	126.12	267.73	50.27	56.28	105.89	1008.9	3443.31	72.01	0.0	0.88	33.78	58.71	1259.69
DACT3	7.94	29.91	24.81	23.25	116.78	43.63	72.52	66.65	158.79	25.72	14.14	21.16	87.03	135.24	36.01	40.64	28.65	28.86	71.0	37.59	12.09	34.51	80.01	34.75	75.64	74.58	139.07	93.35	88.26	58.71	56.28	121.79	41.81	97.36	74.58	42.71	152.28	65.26	38.12	31.45	490.14	802.41	13.62	0.0	0.32	15.11	11.21	656.11
EBF1	10.47	81.14	28.24	45.21	77.25	56.28	53.19	86.43	144.01	19.82	33.54	42.71	73.03	152.28	108.9	49.56	36.01	14.89	63.0	48.87	35.25	25.17	234.57	108.14	190.34	209.84	287.01	141.02	1167.14	293.07	183.82	1397.83	177.53	146.03	121.79	563.18	525.39	144.01	120.1	470.14	470.14	651.58	4.5	0.0	0.29	17.0	9.2	723.08
EHD2	102.25	403.5	555.41	251.48	1477.58	633.73	2739.08	796.86	1806.78	493.56	379.04	269.6	1088.92	1015.93	441.64	432.53	503.95	473.41	848.22	848.22	256.78	775.05	1923.14	1583.71	1769.57	1617.0	1870.53	860.08	5479.15	2875.3	1427.22	4328.55	1519.15	2090.03	1651.0	2018.8	2895.31	967.76	1216.75	4210.15	3419.52	3564.78	123.5	521.76	647.07	110.43	136.19	7032.37
