	TCGA.A7.A3J1.01A.11R.A213.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARN.01A.21R.A41B.07	TCGA.XJ.A9DI.01A.11R.A37L.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	GTEX.147GR.0726.SM.5S2PL
AC007952.5	37.05	21.47	13.32	14.03	17.51	16.88	33.3	9.2	5.96	8.13	30.78	20.56	11.55	16.51	27.25	49.91	34.75	9.34	13.52	7.17	12.93	3.76	19.25	3.32	14.03	9.34	5.5	1.27	20.56	9.63	18.03	2.51	9.48	10.24	0.0	24.28	1.33	23.25	7.06	0.0	39.22	2.92	8.19	6.73	2.1	2.07	14.35	1.68	26.67	1.35	8.13	0.78	10.39	21.16	2.34	0.0	36.01	16.75	3.32	19.82	42.71
AC138969.4	1119.56	1733.13	2417.67	1936.53	1369.04	2004.85	1457.23	2209.26	1127.35	441.64	1388.16	1081.39	2502.97	1322.37	1127.35	1051.79	808.0	967.76	1950.0	57.89	769.69	267.73	420.68	180.02	224.97	189.02	262.2	55.49	551.56	312.0	483.38	301.33	435.55	414.87	353.59	121.79	547.75	633.73	262.2	295.11	241.19	231.32	444.72	211.31	819.3	301.33	743.43	281.09	426.57	397.93	232.94	93.35	249.73	171.45	159.9	0.0	346.29	2976.74	651.58	400.71	1628.26
ADCY6	1059.11	738.29	1350.18	1119.56	1369.04	974.5	713.11	1104.13	743.43	525.39	1277.29	860.08	620.67	591.22	1313.23	785.88	629.35	1159.07	1030.12	88.26	131.51	120.94	281.09	94.67	127.89	112.77	132.44	81.14	156.59	113.56	69.03	87.03	128.79	116.78	63.45	93.35	78.89	205.5	251.48	75.64	175.07	158.79	193.01	146.03	123.5	64.8	90.77	66.65	116.78	77.79	154.42	29.7	115.16	155.5	199.85	0.0	466.88	743.43	460.44	363.56	733.19
AMOTL2	587.13	547.75	540.19	1111.82	1030.12	728.11	909.17	1119.56	547.75	743.43	1127.35	842.36	1447.15	624.99	688.78	1191.69	866.07	961.07	1359.57	358.54	679.29	255.0	1159.07	215.77	802.41	197.09	454.09	339.14	312.0	165.57	277.2	149.12	301.33	1044.52	209.84	309.83	159.9	299.25	153.34	94.01	579.04	320.8	303.44	327.56	258.57	503.95	376.41	703.28	414.87	152.28	140.04	1819.35	490.14	234.57	412.0	0.0	693.58	848.22	267.73	325.29	1151.06
ATG16L2	961.07	371.22	1313.23	612.11	665.29	551.56	703.28	995.0	540.19	197.09	974.5	1457.23	890.44	723.08	1015.93	995.0	629.35	547.75	890.44	124.37	285.03	199.85	444.72	59.55	211.31	147.06	212.78	141.02	395.18	215.77	83.45	163.28	305.55	145.02	90.77	244.57	88.88	336.79	285.03	108.9	400.71	151.22	139.07	199.85	73.54	115.16	493.56	156.59	180.02	177.53	115.97	151.22	194.36	412.0	158.79	0.0	1088.92	808.0	198.47	218.79	718.08
ATP8B2	583.07	575.03	285.03	616.37	454.09	563.18	351.14	361.04	384.34	379.04	470.14	503.95	460.44	351.14	432.53	988.12	447.82	271.48	603.67	48.52	87.65	26.67	201.25	15.0	170.25	166.73	93.35	69.52	157.68	17.77	39.22	94.67	187.71	42.71	26.1	52.45	72.01	132.44	95.34	42.11	107.38	50.27	45.85	122.64	54.33	30.12	262.2	45.85	60.82	52.45	131.51	16.51	45.53	73.03	72.01	76.71	248.0	599.49	232.94	343.89	463.65
C21orf67	113.56	55.89	95.34	119.26	94.67	94.01	80.01	82.29	96.68	55.49	73.03	72.01	96.68	87.65	82.29	96.01	95.34	143.01	104.42	48.52	74.06	51.71	70.51	29.91	37.59	41.52	36.53	32.13	13.42	90.14	18.16	30.12	37.59	91.41	35.25	46.84	34.02	63.45	53.57	51.71	40.64	33.54	69.52	67.59	37.59	43.32	25.35	57.49	29.91	67.12	84.04	77.79	42.41	15.8	62.56	0.0	165.57	85.22	118.43	59.97	59.13
C7orf31	87.03	94.01	59.13	70.51	57.89	80.57	45.21	51.71	58.71	61.68	52.82	39.79	62.12	30.78	92.7	99.43	89.51	72.52	82.87	17.77	22.43	26.86	31.45	13.12	30.78	44.89	72.01	33.78	20.26	41.22	38.4	37.59	24.81	54.33	27.84	16.75	4.5	21.01	79.45	7.69	21.78	32.82	16.88	21.01	12.18	15.8	3.89	7.51	23.25	14.78	18.7	7.46	24.99	39.5	119.26	0.0	64.34	98.73	37.59	81.14	142.01
CDH24	74.58	40.64	152.28	80.01	123.5	96.01	90.77	112.77	100.13	47.84	190.34	205.5	65.26	101.54	107.38	145.02	61.68	135.24	138.1	5.32	18.84	5.02	34.26	2.66	14.45	9.93	13.22	3.79	16.39	3.5	3.66	3.53	9.13	16.39	0.19	7.4	0.83	10.31	22.26	3.99	10.31	11.55	7.17	6.06	4.82	3.38	23.59	3.66	4.62	4.78	2.58	0.0	8.58	15.45	9.34	0.0	376.41	144.01	43.63	37.32	143.01
CGB7	5.06	1.27	35.5	7.75	12.83	26.28	2.68	23.08	16.39	1.83	14.35	10.16	9.7	7.82	14.03	3.47	7.4	6.89	30.78	0.0	1.04	0.0	4.21	1.23	1.08	2.61	2.34	0.93	3.0	0.0	0.0	0.0	1.83	1.77	0.0	0.0	2.23	0.27	3.53	0.65	1.73	0.0	0.0	0.41	0.0	0.0	5.77	0.64	1.31	0.0	0.27	0.74	0.0	0.29	0.0	0.0	41.22	30.12	31.45	42.11	11.82
CHKB	1119.56	679.29	2018.8	1111.82	1617.0	1447.15	1119.56	1208.34	1073.91	480.04	2032.85	1662.49	1250.98	1685.71	1286.18	1674.06	813.63	1295.13	1769.57	373.81	753.83	567.1	830.75	323.03	361.04	441.64	825.0	363.56	693.58	947.83	348.71	267.73	599.49	384.34	348.71	295.11	476.71	633.73	320.8	351.14	444.72	376.41	529.06	334.46	708.18	281.09	599.49	466.88	575.03	287.01	497.0	356.05	575.03	813.63	361.04	0.0	2303.12	2627.46	2119.22	2004.85	2591.27
CHKB-CPT1B	334.46	127.89	547.75	361.04	403.5	251.48	283.05	289.02	156.59	49.56	500.46	275.28	301.33	339.14	262.2	224.97	108.9	395.18	438.59	25.54	54.33	25.72	73.03	3.03	95.34	24.11	37.59	29.48	54.72	46.84	11.64	37.32	144.01	20.56	0.58	2.48	7.11	57.08	23.59	53.19	45.21	44.25	93.35	63.0	54.72	17.25	129.69	28.04	46.18	40.36	65.72	4.78	44.57	75.11	71.5	0.0	163.28	211.31	85.22	26.86	329.84
CHTOP	2271.4	1617.0	2178.83	2400.97	1498.22	1757.34	2609.3	3081.75	2119.22	1806.78	1639.59	2573.36	1697.45	2591.27	1883.54	2240.11	1359.57	1883.54	2133.97	587.13	1111.82	723.08	1191.69	507.46	902.89	540.19	642.59	460.44	1709.26	728.11	890.44	555.41	638.15	713.11	651.58	547.75	547.75	1073.91	1135.2	660.68	638.15	591.22	624.99	743.43	665.29	555.41	1359.57	1159.07	733.19	642.59	1059.11	540.19	511.0	802.41	728.11	0.0	1977.24	1794.29	1572.76	1721.16	1662.49
CLK2	1167.14	902.89	2090.03	2047.0	1304.15	1250.98	2004.85	2104.58	1233.75	785.88	1540.37	1685.71	1199.98	1896.65	1216.75	1857.6	825.0	1259.69	1617.0	264.03	420.68	301.33	497.0	195.72	381.68	323.03	295.11	237.86	500.46	387.02	232.94	169.07	397.93	291.04	258.57	277.2	307.69	376.41	447.82	327.56	341.51	273.37	348.71	303.44	638.15	229.72	518.15	262.2	339.14	269.6	414.87	87.65	281.09	384.34	316.37	0.0	1457.23	1529.73	1135.2	698.41	1697.45
COPS7B	764.36	595.34	981.29	796.86	848.22	780.44	808.0	954.43	791.35	595.34	902.89	934.76	819.3	703.28	693.58	896.64	708.18	397.93	1030.12	206.94	381.68	209.84	420.68	201.25	260.38	234.57	356.05	201.25	343.89	303.44	194.36	112.77	325.29	164.42	169.07	303.44	167.9	348.71	348.71	206.94	285.03	279.14	309.83	283.05	277.2	143.01	332.14	258.57	248.0	161.02	277.2	211.31	312.0	356.05	265.87	0.0	1096.5	961.07	769.69	567.1	974.5
CPE	2271.4	2303.12	1286.18	4736.79	1963.57	3515.68	2303.12	1159.07	3146.52	1529.73	1896.65	1806.78	1721.16	1359.57	1757.34	2468.49	1159.07	2335.28	2163.77	674.59	265.87	336.79	379.04	454.09	115.97	126.12	447.82	995.0	665.29	161.02	256.78	559.28	1498.22	1794.29	67.12	220.32	105.15	1268.46	780.44	123.5	1066.48	201.25	94.67	387.02	251.48	69.03	791.35	115.16	289.02	291.04	82.29	988.12	223.41	866.07	384.34	0.0	1397.83	4239.45	6792.79	6207.38	4481.23
